x_m,y_m
0.173580840,0.816263752
0.539967264,0.841789448
0.906619897,0.824327006
1.270783762,0.776101790
1.636580452,0.743834601
2.003856006,0.746524529
2.371157265,0.752050605
2.738509252,0.752134639
3.105851487,0.749529742
3.473197244,0.747442474
3.840325533,0.735752598
4.207501890,0.732852821
4.574471032,0.749309608
4.941802657,0.752370868
5.309155146,0.752436001
5.676507649,0.752442069
6.043858584,0.753206683
6.410994889,0.764413896
6.777774911,0.784123859
7.144980853,0.775249796
7.510696081,0.803022726
7.863502136,0.902876379
8.172684072,1.097512350
8.361367610,1.406941554
8.337839190,1.769236749
8.216267257,2.115815800
8.098003518,2.463572611
7.985694524,2.813318504
7.862371121,3.159342907
7.769268457,3.514430844
7.695441493,3.874275500
7.636879960,4.236479242
7.669430790,4.601393457
7.762021683,4.956709399
7.885970750,5.302474207
8.014229228,5.646707628
8.152437162,5.987042684
8.305009604,6.321169140
8.466498584,6.651101399
8.612917314,6.988004013
8.765295668,7.322250163
8.861310844,7.675046829
8.820715593,8.038628311
8.713919675,8.389974594
8.589908805,8.735760827
8.462484438,9.080284009
8.313076213,9.415754503
8.120401211,9.727846713
7.852803617,9.976902694
7.507405000,10.091920122
7.140561648,10.089892448
6.779628319,10.024814533
6.468376390,9.842700311
6.752070847,9.751059885
7.103509520,9.685640000
7.343522851,9.408730468
7.566810860,9.117661500
7.885370601,8.940779346
8.213722532,8.780630658
8.421494173,8.481783199
8.542405251,8.135265503
8.580501264,7.771558372
8.490055139,7.417207725
8.318127130,7.092973370
8.105086355,6.794071222
7.798305521,6.615938043
7.439886998,6.692034973
7.254587567,6.486995961
7.513719507,6.228048257
7.674307328,5.920681042
7.366831629,5.828176426
7.024462235,5.732373272
6.763636918,5.474286210
6.456469910,5.519824837
6.381527030,5.877883142
6.338899975,6.242751718
6.312229512,6.609048351
6.307674622,6.976356809
6.307547970,7.343709261
6.307548000,7.711061764
6.307548002,8.078414268
6.307568537,8.445766770
6.309098335,8.813113542
6.322467918,9.180194748
6.276792644,9.537517121
6.083866229,9.284462047
6.030115142,8.921284138
6.010124468,8.554579347
6.015028990,8.187314768
6.040812187,7.820885899
6.056104095,7.453912645
6.057530152,7.086565216
6.057548726,6.719212714
6.057855867,6.351860488
6.065341759,5.984617197
6.098259666,5.618829041
6.151776703,5.255416861
6.189803876,4.890366920
6.153767440,4.525434466
6.097510618,4.162652356
6.087647600,3.795488210
6.014848373,3.437302851
5.789409193,3.153131102
5.456373439,3.002885139
5.095088384,2.938052996
4.728827614,2.912284114
4.361995745,2.929256193
3.995250997,2.949453524
3.627960879,2.955892451
3.267135207,3.014666529
2.999633454,3.255221585
2.889463124,3.603895181
2.867472373,3.970064141
2.890265090,4.336673188
2.892536764,4.703755829
2.851825263,5.068760910
2.809827694,5.433673803
2.777182289,5.799571458
2.759512686,6.166431119
2.757577856,6.533774648
2.757548000,6.901127148
2.757542244,7.268479651
2.756795865,7.635830649
2.744856931,8.002929435
2.705611401,8.368102663
2.636578347,8.728737215
2.521176169,9.077115782
2.341378510,9.396482008
2.076647234,9.648314617
1.730420691,9.756771487
1.379480319,9.663699094
1.109004570,9.419182273
0.949469799,9.090058017
0.876014306,8.730662684
0.855039038,8.364048685
0.855194647,7.996708112
0.857765206,7.629365047
0.866221104,7.262143013
0.892604371,6.895750172
0.906406652,6.528714939
0.907535996,6.161365710
0.907548000,5.794013207
0.907548000,5.426660704
0.907548001,5.059308200
0.907574503,4.691955699
0.909376632,4.324611052
0.926230739,3.957707059
0.949545888,3.591145460
0.910575305,3.227798249
0.631381124,3.020261317
0.265587724,2.988033169
-0.100914950,2.963552080
-0.467934000,2.973906387
-0.834506951,2.997339356
-1.201808852,3.002284336
-1.569161283,3.002436081
-1.936513787,3.002437120
-2.303865524,3.002935771
-2.670625211,3.019545004
-3.007712747,3.151597924
-3.169185711,3.473296247
-3.191634597,3.839596644
-3.192448094,4.206947209
-3.192452000,4.574299713
-3.192452000,4.941652216
-3.192451994,5.309004719
-3.192388013,5.676357209
-3.189624665,6.043693012
-3.175307341,6.410755514
-3.159900592,6.777737699
-3.066644742,7.131322125
-2.908616280,7.462917141
-2.783852434,7.807974399
-2.735177300,8.170961900
-2.790204810,8.533198764
-2.921006108,8.875833295
-3.122237130,9.182198635
-3.387930236,9.434884685
-3.696842192,9.632881597
-4.033465533,9.779155103
-4.390163481,9.862763740
-4.756141562,9.841754044
-5.122428519,9.819623164
-5.489626810,9.822304786
-5.854672608,9.781759678
-6.221462237,9.785876980
-6.587849570,9.780110192
-6.950762554,9.724056019
-7.317370488,9.735576668
-7.684050734,9.746219685
-8.050599428,9.723744750
-8.417766324,9.724508752
-8.702037522,9.534883779
-8.487479270,9.291578023
-8.122102185,9.322768118
-7.755528897,9.310199637
-7.391743249,9.337915094
-7.036108619,9.425117159
-6.671203491,9.390003629
-6.305317462,9.387212354
-5.940633856,9.428483046
-5.574338712,9.403028862
-5.209886501,9.436710932
-4.845348224,9.468000954
-4.483296903,9.407300664
-4.130106046,9.307401919
-3.799622491,9.148393957
-3.516509370,8.916020306
-3.314153421,8.611389935
-3.226854994,8.256321485
-3.255443004,7.891480761
-3.384353111,7.548582482
-3.599526899,7.252504185
-3.903534045,7.049839553
-4.252733383,6.938353274
-4.618006734,6.903080976
-4.984830274,6.883948025
-5.351291957,6.858719236
-5.718500422,6.848641912
-6.085212355,6.827453638
-6.451957688,6.806547994
-6.806899603,6.719781946
-7.126273337,6.538855516
-7.437574581,6.343819319
-7.747610854,6.146787990
-8.050349414,5.938838058
-8.300962100,5.673761770
-8.387182836,5.320128123
-8.387640132,4.952869933
-8.364179461,4.586306267
-8.344968799,4.219514918
-8.340279818,3.852194394
-8.322026332,3.485356071
-8.296638443,3.118901554
-8.277184303,2.752078599
-8.250606884,2.385700470
-8.233531521,2.018770514
-8.123334494,1.674073798
-7.792163427,1.544892606
-7.424881509,1.550191513
-7.057709468,1.541833836
-6.691961301,1.507767924
-6.325048931,1.509915315
-5.958609512,1.533781510
-5.597815363,1.474173174
-5.262918326,1.323951800
-4.932729804,1.163044841
-4.586152277,1.042994168
-4.222641743,0.992000196
-3.856504405,0.962384118
-3.489347218,0.951223195
-3.122112772,0.941978537
-2.754794096,0.943000753
-2.387474846,0.947762941
-2.020137762,0.947528755
-1.653496165,0.925783074
-1.287535828,0.893855440
-0.923583866,0.844489652
-0.559604175,0.795394427
-0.192635625,0.787789660
