x_m,y_m
0.043566609,-0.496632407
0.424205692,-0.478414891
0.802506356,-0.431858857
1.182080445,-0.397725351
1.562180006,-0.369227362
1.942938233,-0.360699808
2.323085532,-0.388518243
2.704120855,-0.397211557
3.085291068,-0.395736271
3.465979718,-0.377822085
3.846288758,-0.352584776
4.227221775,-0.339381401
4.606110867,-0.298380620
4.986935518,-0.292927396
5.368078471,-0.297052426
5.749112767,-0.288422092
6.128829494,-0.255447838
6.509498544,-0.246802503
6.889160798,-0.280483242
7.270002224,-0.276496665
7.649972004,-0.246185895
8.029730992,-0.213378133
8.409418328,-0.179703228
8.789498661,-0.151132847
9.169811481,-0.125973006
9.547449608,-0.075141179
9.875650820,0.097716057
9.954229775,0.465961747
9.948720221,0.846988156
9.897268266,1.224345968
9.808247553,1.594913059
9.687696362,1.956407712
9.575911053,2.320680216
9.467126991,2.685936005
9.339263277,3.045015826
9.205421785,3.401914334
9.065185020,3.756351796
8.958779972,4.121756110
8.970709494,4.500127012
9.112295451,4.852996804
9.299548039,5.184975869
9.496491285,5.511317160
9.701014894,5.832977994
9.894064262,6.161544464
10.057731977,6.505713673
10.209733992,6.855251758
10.320212225,7.219400093
10.349827535,7.598814426
10.319549645,7.978545401
10.254519575,8.354060444
10.166745947,8.724971561
10.084139605,9.097066350
10.007307703,9.470420610
9.931122473,9.843902121
9.867193598,10.219664283
9.811740685,10.596780979
9.754374057,10.973587624
9.637582162,11.333817766
9.300035211,11.470402640
8.919156585,11.455893011
8.538050920,11.448648813
8.157628861,11.425447639
7.777061145,11.405041005
7.395898255,11.402475543
7.014720334,11.402353230
6.633575032,11.398447076
6.253165994,11.375043624
5.872715320,11.351970684
5.492624894,11.324425261
5.121667486,11.241343196
4.799584497,11.041020234
4.559877405,10.747522577
4.489509776,10.376972936
4.503896486,9.996083205
4.496189191,9.615077887
4.468559370,9.234909359
4.458131842,8.853923637
4.460137600,8.472759522
4.474162104,8.091849525
4.470010040,7.710815531
4.458648946,7.329832058
4.459032292,6.948660958
4.475454674,6.567904536
4.499782199,6.187551164
4.488689274,5.806701942
4.468052671,5.426180811
4.500386633,5.046809542
4.543988367,4.668877972
4.302814864,4.507357656
4.140762348,4.846100837
4.082336990,5.222396806
4.086066270,5.603212681
4.104730427,5.983885771
4.100184932,6.364976440
4.073473694,6.745198862
4.058690783,7.126024981
4.057552921,7.507199648
4.056779368,7.888376033
4.044390200,8.269295155
4.016976206,8.649476494
4.012049385,9.030526791
4.035179913,9.410948224
4.058799992,9.791375028
4.081390376,10.171859387
4.018897397,10.544293355
3.730657040,10.780505781
3.373570309,10.913682351
3.015791530,11.045143922
2.657929440,11.176294423
2.288523536,11.268695954
1.908702544,11.294066959
1.530279533,11.252650791
1.163269915,11.150742856
0.806052137,11.017791676
0.452194124,10.876135037
0.111373300,10.706066836
-0.193379619,10.478632956
-0.358052492,10.143343575
-0.393136976,9.763818890
-0.393043353,9.384045333
-0.351578989,9.006199492
-0.359397342,8.625461727
-0.319841221,8.246462846
-0.320814578,7.865331846
-0.299063962,7.484818258
-0.291475252,7.103778851
-0.291675608,6.722602591
-0.279496630,6.341679798
-0.245881311,5.962000831
-0.215425513,5.582089643
-0.253002209,5.204385284
-0.430173202,4.869848644
-0.720941156,4.627097884
-1.086813752,4.533339256
-1.451817568,4.625830127
-1.714815027,4.895666250
-1.821148619,5.258613545
-1.768540821,5.632816281
-1.542656213,5.934972083
-1.199820582,6.092628017
-0.824311584,6.153690808
-0.670580328,6.472867207
-0.687719886,6.853633579
-0.689205574,7.234760479
-0.655288617,7.614149895
-0.635294223,7.993621386
-0.666823544,8.373217048
-0.669964110,8.754194007
-0.710686443,9.133084918
-0.712551581,9.514208181
-0.754406212,9.892800047
-0.843742812,10.262262821
-1.112175299,10.523226818
-1.459338342,10.680003996
-1.814469731,10.818485404
-2.168850213,10.958857211
-2.531897171,11.074449120
-2.904367660,11.154980194
-3.283039746,11.196203359
-3.664136320,11.198314774
-4.044293613,11.171875908
-4.422789106,11.126773222
-4.801295872,11.081766424
-5.181243103,11.051665214
-5.561405634,11.024009777
-5.942006258,11.004131099
-6.322951403,10.991571653
-6.703114185,10.963859077
-7.084087221,10.953014707
-7.465264255,10.952436249
-7.846441365,10.951883336
-8.227422218,10.941275868
-8.607584899,10.913561598
-8.988523536,10.900846963
-9.369135880,10.881198903
-9.749130478,10.851203322
-10.115217135,10.759211210
-10.278639984,10.430240506
-10.272063070,10.049570177
-10.241867762,9.669621850
-10.250485075,9.288818384
-10.282459216,8.909004398
-10.284387348,8.528050696
-10.120236933,8.208986324
-9.742050578,8.192218047
-9.361121908,8.204969052
-8.979997810,8.211263055
-8.598826049,8.209841407
-8.217738275,8.216142023
-7.836733120,8.224323893
-7.455712152,8.215387910
-7.074995373,8.233022853
-6.696828182,8.189405467
-6.316982719,8.189825075
-5.938915541,8.236898873
-5.558274701,8.220911972
-5.179025180,8.250360942
-4.866342878,8.135878985
-5.148134646,7.977427368
-5.525815132,7.996021370
-5.897710667,7.915830767
-6.268042058,7.996488558
-6.644734637,8.010525019
-7.011492055,7.912842572
-7.387738290,7.969564921
-7.759828485,7.900197238
-8.136470045,7.869473272
-8.516788523,7.881045483
-8.895988375,7.844677646
-9.276065498,7.871320503
-9.656009707,7.843313961
-10.036336802,7.863772238
-10.334123897,7.696526028
-10.299395049,7.318642776
-10.235530626,6.942871333
-10.206722087,6.563172301
-10.223016344,6.182374552
-10.210296115,5.801591224
-10.185916049,5.421196943
-10.157094037,5.041114652
-10.143407139,4.660244951
-10.142336595,4.279069459
-10.137475635,3.897940063
-10.112714683,3.517605286
-10.094026552,3.136946952
-10.083478715,2.755936484
-10.056035837,2.375757403
-10.043272309,1.994852090
-10.042457347,1.613675906
-10.042236157,1.232498097
-10.035644411,0.851404583
-10.009208339,0.471165984
-9.993481589,0.090374489
-9.980170075,-0.290456711
-9.832366829,-0.630039221
-9.471616735,-0.736437510
-9.090681636,-0.747248726
-8.709504136,-0.747312310
-8.328423686,-0.740171374
-7.948199341,-0.713467631
-7.567304927,-0.702713418
-7.186822970,-0.724689355
-6.806028714,-0.736529814
-6.425987060,-0.708025354
-6.046581336,-0.671312152
-5.666724513,-0.639663735
-5.286761440,-0.609344971
-4.905784537,-0.599413912
-4.524885208,-0.612568497
-4.143975311,-0.621778692
-3.763195920,-0.604732893
-3.382267562,-0.615174556
-3.001326803,-0.619321760
-2.621453835,-0.588141045
-2.241627804,-0.556349821
-1.860761533,-0.541198023
-1.479657425,-0.536862894
-1.098572685,-0.544965605
-0.717642008,-0.533850814
-0.337458640,-0.506471688
