s_m,x_m,y_m,psi_rad,kappa_radpm,w_tr_right_m,w_tr_left_m,right_boundary_x_m,right_boundary_y_m,left_boundary_x_m,left_boundary_y_m
0.000000000,0.106150512,0.173393754,0.030032331,0.014088358,0.685098398,0.664274032,0.043566609,-0.496632407,0.173580840,0.816263752
0.335835579,0.441809854,0.184272254,0.029666335,-0.016268008,0.672876013,0.656507105,0.423725278,-0.478460189,0.539502368,0.841780413
0.671671158,0.777523626,0.193316779,0.021496943,-0.032384029,0.657017831,0.645419973,0.801548442,-0.431970479,0.905695738,0.824426005
1.007506736,1.113315901,0.198709805,0.010885749,-0.030810249,0.639408841,0.629676201,1.180639711,-0.397838971,1.269401909,0.776281883
1.343342315,1.449146002,0.200628180,0.001723164,-0.023756649,0.623993279,0.612612933,1.560256256,-0.369348542,1.634725962,0.743898293
1.679177894,1.784980723,0.199867195,-0.005554973,-0.019587302,0.613834350,0.598930644,1.940533821,-0.360608620,2.001533990,0.746469872
2.015013473,2.120803169,0.196897104,-0.011222434,-0.014164340,0.608952520,0.591050227,2.320199564,-0.388340133,2.368371038,0.752030626
2.350849051,2.456607684,0.192329590,-0.014180746,-0.003453351,0.606655100,0.588146169,2.700745630,-0.397196881,2.735257396,0.752154389
2.686684630,2.792406680,0.187372627,-0.013184299,0.009387502,0.603721200,0.587418512,3.081435637,-0.395819261,3.102134039,0.749541965
3.022520209,3.128219627,0.183474344,-0.007332116,0.025464385,0.598455754,0.585804338,3.461650429,-0.378123919,3.469016492,0.747522397
3.358355788,3.464053642,0.182447945,0.005037011,0.048200423,0.591309763,0.581277730,3.841471876,-0.352774346,3.835682539,0.735900779
3.694191366,3.799860344,0.186857434,0.023588047,0.062284789,0.584101911,0.573544227,4.221944146,-0.339788095,4.202401332,0.732717196
4.030026945,4.135501274,0.198289022,0.041810703,0.046244498,0.578560719,0.563738377,4.600362879,-0.298826296,4.568910636,0.749119239
4.365862524,4.470924205,0.214931447,0.051083429,0.008979662,0.575327897,0.553192030,4.980678864,-0.292829619,4.935773811,0.752384964
4.701698103,4.806295509,0.232585329,0.049799479,-0.016626052,0.574095036,0.542512925,5.361339378,-0.297031630,5.302662122,0.752429301
5.037533681,5.141760077,0.248366368,0.044152602,-0.017002986,0.574184358,0.531916544,5.741910958,-0.288866929,5.669549359,0.752450351
5.373369260,5.477309318,0.262231602,0.039076885,-0.013224578,0.574901551,0.522111806,6.121147298,-0.256068034,6.036436408,0.753133270
5.709204839,5.812916806,0.274606440,0.032416532,-0.026440275,0.576048352,0.514466577,6.501334911,-0.246375895,6.403116796,0.763959219
6.045040418,6.148621050,0.284000826,0.020698484,-0.043346515,0.578408591,0.510292703,6.880518844,-0.279945133,6.769433667,0.784034831
6.380875996,6.484426364,0.288507655,0.008226023,-0.030933277,0.583118415,0.510247752,7.260869750,-0.277045551,7.136167307,0.775307788
6.716711575,6.820260314,0.289525870,0.006316024,0.019558151,0.590716810,0.514879542,7.640382014,-0.247024159,7.501540963,0.801513244
7.052547154,7.156080352,0.292749894,0.023286163,0.081516728,0.602241770,0.525821462,8.019663073,-0.214267007,7.854507364,0.899144244
7.388382733,7.491687306,0.305163655,0.059184433,0.132336650,0.622015603,0.545612340,8.398893969,-0.180592582,8.165202212,1.090496998
7.724218311,7.826407328,0.332469203,0.114192448,0.195474710,0.657784352,0.575195066,8.778495171,-0.151863919,8.358915278,1.396842349
8.060053890,8.158633152,0.381656610,0.205088099,0.347046078,0.714690867,0.611096183,9.158540103,-0.126813207,8.340700683,1.758523691
8.395889469,8.482849546,0.469017539,0.385493079,0.737201344,0.786206386,0.645242082,9.535915772,-0.077781853,8.220124610,2.105485274
8.731725048,8.776414175,0.632349792,0.738468619,1.437711104,0.851747020,0.668518737,9.870101277,0.090322586,8.100921801,2.454349571
9.067560626,8.966369811,0.909158933,1.190465743,1.372170857,0.886999659,0.676123036,9.954062447,0.459595499,7.987626365,2.807759973
9.403396205,9.019627093,1.240692198,1.522399828,0.667106357,0.881583644,0.671528798,9.949073082,0.842105722,7.863838994,3.154800318
9.739231784,8.998662717,1.575894970,1.686775688,0.319484089,0.846662123,0.664270832,9.898221484,1.219295457,7.770321675,3.509612820
10.075067363,8.942010896,1.906913087,1.775188301,0.207989980,0.802673877,0.662570581,9.809819644,1.589649269,7.696524588,3.869070719
10.410902941,8.862415916,2.233182078,1.835236091,0.149905469,0.764471421,0.668380048,9.689572508,1.950785748,7.637179488,4.230808542
10.746738520,8.766512405,2.555032395,1.872423989,0.071646259,0.734848303,0.678512428,9.577684588,2.314545874,7.668261384,4.595332473
11.082574099,8.662893934,2.874483255,1.880288767,-0.024800775,0.708505100,0.689579838,9.469248030,2.679407250,7.759994541,4.950414566
11.418409678,8.561939759,3.194785827,1.854635643,-0.128020689,0.679697380,0.701066795,9.341808202,3.038127379,7.883503984,5.295841450
11.754245256,8.474840260,3.519130289,1.793334049,-0.237410624,0.647579673,0.714187875,9.208241619,3.394685848,8.011550971,5.639721228
12.090080835,8.413815520,3.849375705,1.697769284,-0.332880247,0.617513232,0.728667892,9.068074475,3.748765618,8.149360942,5.979868540
12.425916414,8.389917154,4.184360405,1.578326549,-0.380582960,0.598393519,0.741136298,8.960088019,4.113526471,8.301487792,6.313937764
12.761751993,8.408767987,4.519666317,1.452688895,-0.370093639,0.597406632,0.747247411,8.968826212,4.491806541,8.463048085,6.643596801
13.097587571,8.468910375,4.850072765,1.336932869,-0.321224759,0.615706900,0.745636068,9.108201053,4.845124290,8.609436892,6.980239863
13.433423150,8.564194156,5.172107940,1.240426273,-0.254661723,0.648156135,0.739263497,9.294892514,5.177077368,8.761871659,7.314048178
13.769258729,8.686597378,5.484842770,1.167871052,-0.177944776,0.686879030,0.732594641,9.491423711,5.503192218,8.860549984,7.665950808
14.105094308,8.827446503,5.789715018,1.122833204,-0.090418389,0.725608448,0.727837840,9.695662498,5.824496716,8.823000440,8.029180449
