side,index,s_m,x_m,y_m,width_from_center_m
right,0,0.000000000,0.043566609,-0.496632407,0.685098398
right,1,0.336261566,0.424205692,-0.478414891,0.672858143
right,2,0.672521933,0.802506356,-0.431858857,0.656974040
right,3,1.008781743,1.182080445,-0.397725351,0.639343635
right,4,1.345042216,1.562180006,-0.369227362,0.623927178
right,5,1.681303124,1.942938233,-0.360699808,0.613788541
right,6,2.017564232,2.323085532,-0.388518243,0.608929587
right,7,2.353825688,2.704120855,-0.397211557,0.606635877
right,8,2.690087270,3.085291068,-0.395736271,0.603680551
right,9,3.026348450,3.465979718,-0.377822085,0.598382331
right,10,3.362607987,3.846288758,-0.352584776,0.591214647
right,11,3.698864081,4.227221775,-0.339381401,0.584010463
right,12,4.035120040,4.606110867,-0.298380620,0.578494252
right,13,4.371380386,4.986935518,-0.292927396,0.575293052
right,14,4.707641838,5.368078471,-0.297052426,0.574087325
right,15,5.043902792,5.749112767,-0.288422092,0.574193869
right,16,5.380164132,6.128829494,-0.255447838,0.574919528
right,17,5.716425293,6.509498544,-0.246802503,0.576082225
right,18,6.052684669,6.889160798,-0.280483242,0.578486336
right,19,6.388943175,7.270002224,-0.276496665,0.583265486
right,20,6.725204556,7.649972004,-0.246185895,0.590950217
right,21,7.061461642,8.029730992,-0.213378133,0.602631421
right,22,7.397704364,8.409418328,-0.179703228,0.622756105
right,23,7.733927161,8.789498661,-0.151132847,0.659130145
right,24,8.070092199,9.169811481,-0.125973006,0.716687120
right,25,8.405982324,9.547449608,-0.075141179,0.788388813
right,26,8.740489408,9.875650820,0.097716057,0.853139039
right,27,9.072899239,9.954229775,0.465961747,0.887229223
right,28,9.407762597,9.948720221,0.846988156,0.881278656
right,29,9.743747115,9.897268266,1.224345968,0.846086929
right,30,10.079918997,9.808247553,1.594913059,0.802059215
right,31,10.416130938,9.687696362,1.956407712,0.763950858
right,32,10.752371944,9.575911053,2.320680216,0.734398127
right,33,11.088632481,9.467126991,2.685936005,0.708018871
right,34,11.424884634,9.339263277,3.045015826,0.679101788
right,35,11.761093221,9.205421785,3.401914334,0.646919428
right,36,12.097222030,9.065185020,3.756351796,0.616961061
right,37,12.433274040,8.958779972,4.121756110,0.598160799
right,38,12.769308314,8.970709494,4.500127012,0.597614970
right,39,13.105382196,9.112295451,4.852996804,0.616327717
right,40,13.441515308,9.299548039,5.184975869,0.649046275
right,41,13.777704490,9.496491285,5.511317160,0.687871578
right,42,14.113937979,9.701014894,5.832977994,0.726598403
right,43,14.450196886,9.894064262,6.161544464,0.762903997
right,44,14.786450587,10.057731977,6.505713673,0.797169015
right,45,15.122658100,10.209733992,6.855251758,0.828870354
right,46,15.458792266,10.320212225,7.219400093,0.853924084
right,47,15.794870532,10.349827535,7.598814426,0.866305752
right,48,16.130944870,10.319549645,7.978545401,0.862986660
right,49,16.467056785,10.254519575,8.354060444,0.847435567
right,50,16.803218752,10.166745947,8.724971561,0.828689908
right,51,17.139427488,10.084139605,9.097066350,0.817530324
right,52,17.475669324,10.007307703,9.470420610,0.822701766
right,53,17.811923226,9.931122473,9.843902121,0.848226469
right,54,18.148166997,9.867193598,10.219664283,0.890513611
right,55,18.484309155,9.811740685,10.596780979,0.935319970
right,56,18.819910436,9.754374057,10.973587624,0.959968202
right,57,19.154327209,9.637582162,11.333817766,0.945845681
right,58,19.489187946,9.300035211,11.470402640,0.893474532
right,59,19.825053193,8.919156585,11.455893011,0.823993226
right,60,20.161233772,8.538050920,11.448648813,0.764258452
right,61,20.497476652,8.157628861,11.425447639,0.731582482
right,62,20.833723609,7.777061145,11.405041005,0.731281248
right,63,21.169945134,7.395898255,11.402475543,0.762282960
right,64,21.506068844,7.014720334,11.402353230,0.818841043
right,65,21.841857857,6.633575032,11.398447076,0.886385446
right,66,22.176822802,6.253165994,11.375043624,0.941502749
right,67,22.511441202,5.872715320,11.351970684,0.963498763
right,68,22.846802542,5.492624894,11.324425261,0.948962510
right,69,23.182731462,5.121667486,11.241343196,0.913131528
right,70,23.518899012,4.799584497,11.041020234,0.876106480
right,71,23.855142270,4.559877405,10.747522577,0.849216711
