index,s_m,center_x_m,center_y_m,w_left_m,w_right_m,left_boundary_x_m,left_boundary_y_m,right_boundary_x_m,right_boundary_y_m
0,0.000000000,0.106150512,0.173393754,0.664274032,0.685098398,0.173580840,0.816263752,0.043566609,-0.496632407
1,0.336261566,0.442235637,0.184285495,0.656495945,0.672858143,0.539967264,0.841789448,0.424205692,-0.478414891
2,0.672521933,0.778374201,0.193335349,0.645385438,0.656974040,0.906619897,0.824327006,0.802506356,-0.431858857
3,1.008781743,1.114590844,0.198723192,0.629610932,0.639343635,1.270783762,0.776101790,1.182080445,-0.397725351
4,1.345042216,1.450845908,0.200630517,0.612531805,0.623927178,1.636580452,0.743834601,1.562180006,-0.369227362
5,1.681303124,1.787105921,0.199854905,0.598861765,0.613788541,2.003856006,0.746524529,1.942938233,-0.360699808
6,2.017564232,2.123353757,0.196867276,0.591012077,0.608929587,2.371157265,0.752050605,2.323085532,-0.388518243
7,2.353825688,2.459583994,0.192285326,0.588134875,0.606635877,2.738509252,0.752134639,2.704120855,-0.397211557
8,2.690087270,2.795808991,0.187325227,0.587411192,0.603680551,3.105851487,0.749529742,3.085291068,-0.395736271
9,3.026348450,3.132047751,0.183442162,0.585771435,0.598382331,3.473197244,0.747442474,3.465979718,-0.377822085
10,3.362607987,3.468305866,0.182464474,0.581198663,0.591214647,3.840325533,0.735752598,3.846288758,-0.352584776
11,3.698864081,3.804531798,0.186968128,0.573418640,0.584010463,4.207501890,0.732852821,4.227221775,-0.339381401
12,4.035120040,4.140589568,0.198511332,0.563581375,0.578494252,4.574471032,0.749309608,4.606110867,-0.298380620
13,4.371380386,4.476434306,0.215224566,0.553016889,0.575293052,4.941802657,0.752370868,4.986935518,-0.292927396
14,4.707641838,4.812231679,0.232884925,0.542323641,0.574087325,5.309155146,0.752436001,5.368078471,-0.297052426
15,5.043902792,5.148123111,0.248644839,0.531719767,0.574193869,5.676507649,0.752442069,5.749112767,-0.288422092
16,5.380164132,5.484098967,0.262498122,0.521930714,0.574919528,6.043858584,0.753206683,6.128829494,-0.255447838
17,5.716425293,5.820133271,0.274847817,0.514336725,0.576082225,6.410994889,0.764413896,6.509498544,-0.246802503
18,6.052684669,6.156263661,0.284160681,0.510244171,0.578486336,6.777774911,0.784123859,6.889160798,-0.280483242
19,6.388943175,6.492493413,0.288557975,0.510300401,0.583265486,7.144980853,0.775249796,7.270002224,-0.276496665
20,6.725204556,6.828753328,0.289550876,0.515068722,0.590950217,7.510696081,0.803022726,7.649972004,-0.246185895
21,7.061461642,7.164993412,0.292932268,0.526222452,0.602631421,7.863502136,0.902876379,8.029730992,-0.213378133
22,7.397704364,7.500993816,0.305695340,0.546305679,0.622756105,8.172684072,1.097512350,8.409418328,-0.179703228
23,7.733927161,7.836061912,0.333536686,0.576173438,0.659130145,8.361367610,1.406941554,8.789498661,-0.151132847
24,8.070092199,8.168479821,0.383589329,0.612189089,0.716687120,8.337839190,1.769236749,9.169811481,-0.125973006
25,8.405982324,8.492372538,0.472559456,0.646139383,0.788388813,8.216267257,2.115815800,9.547449608,-0.075141179
26,8.740489408,8.783005873,0.638171214,0.668920367,0.853139039,8.098003518,2.463572611,9.875650820,0.097716057
27,9.072899239,8.968223491,0.914197896,0.676125645,0.887229223,7.985694524,2.813318504,9.954229775,0.465961747
28,9.407762597,9.019689139,1.245082704,0.671429636,0.881278656,7.862371121,3.159342907,9.948720221,0.846988156
29,9.743747115,8.998092640,1.580372411,0.664198951,0.846086929,7.769268457,3.514430844,9.897268266,1.224345968
30,10.079918997,8.941005727,1.911661738,0.662604060,0.802059215,7.695441493,3.874275500,9.808247553,1.594913059
31,10.416130938,8.861029727,2.238223078,0.668515276,0.763950858,7.636879960,4.236479242,9.687696362,1.956407712
32,10.752371944,8.764810561,2.560402975,0.678696278,0.734398127,7.669430790,4.601393457,9.575911053,2.320680216
33,11.088632481,8.661016716,2.880243540,0.689780922,0.708018871,7.762021683,4.956709399,9.467126991,2.685936005
34,11.424884634,8.560091623,3.200992095,0.701301207,0.679101788,7.885970750,5.302474207,9.339263277,3.045015826
35,11.761093221,8.473293841,3.525803362,0.714475844,0.646919428,8.014229228,5.646707628,9.205421785,3.401914334
36,12.097222030,8.412889298,3.856460083,0.728969775,0.616961061,8.152437162,5.987042684,9.065185020,3.756351796
37,12.433274040,8.389864882,4.191722413,0.741350744,0.598160799,8.305009604,6.321169140,8.958779972,4.121756110
38,12.769308314,8.409683399,4.527171752,0.747292548,0.597614970,8.466498584,6.651101399,8.970709494,4.500127012
39,13.105382196,8.470752302,4.857650562,0.745525202,0.616327717,8.612917314,6.988004013,9.112295451,4.852996804
40,13.441515308,8.566858536,5.179751572,0.739090978,0.649046275,8.765295668,7.322250163,9.299548039,5.184975869
41,13.777704490,8.689950756,5.492595737,0.732449826,0.687871578,8.861310844,7.675046829,9.496491285,5.511317160
42,14.113937979,8.831322261,5.797664674,0.727732835,0.726598403,8.820715593,8.038628311,9.701014894,5.832977994
43,14.450196886,8.981659831,6.098444773,0.723619831,0.762903997,8.713919675,8.389974594,9.894064262,6.161544464
44,14.786450587,9.130556960,6.399934734,0.717102741,0.797169015,8.589908805,8.735760827,10.057731977,6.505713673
45,15.122658100,9.266305365,6.707518645,0.706475049,0.828870354,8.462484438,9.080284009,10.209733992,6.855251758
46,15.458792266,9.376964817,7.024915342,0.693941012,0.853924084,8.313076213,9.415754503,10.320212225,7.219400093
47,15.794870532,9.453031240,7.352272181,0.685921852,0.866305752,8.120401211,9.727846713,10.349827535,7.598814426
48,16.130944870,9.490237611,7.686280634,0.689644697,0.862986660,7.852803617,9.976902694,10.319549645,7.978545401
49,16.467056785,9.490114491,8.022392527,0.708228364,0.847435567,7.507405000,10.091920122,10.254519575,8.354060444
50,16.803218752,9.458069731,8.357023669,0.739015743,0.828689908,7.140561648,10.089892448,10.166745947,8.724971561
51,17.139427488,9.401432624,8.688427580,0.776385125,0.817530324,6.779628319,10.024814533,10.084139605,9.097066350
52,17.475669324,9.328386205,9.016639086,0.815096936,0.822701766,6.468376390,9.842700311,10.007307703,9.470420610
53,17.811923226,9.245664347,9.342558985,0.850740077,0.848226469,6.752070847,9.751059885,9.931122473,9.843902121
54,18.148166997,9.154036638,9.666077512,0.878328979,0.890513611,7.103509520,9.685640000,9.867193598,10.219664283
55,18.484309155,9.043050976,9.983368755,0.892061673,0.935319970,7.343522851,9.408730468,9.811740685,10.596780979
56,18.819910436,8.886108974,10.280012359,0.887168433,0.959968202,7.566810860,9.117661500,9.754374057,10.973587624
57,19.154327209,8.650058381,10.516897766,0.862504460,0.945845681,7.885370601,8.940779346,9.637582162,11.333817766
58,19.489187946,8.345564962,10.656237174,0.822413088,0.893474532,8.213722532,8.780630658,9.300035211,11.470402640
59,19.825053193,8.015570247,10.718758786,0.776716496,0.823993226,8.421494173,8.481783199,8.919156585,11.455893011
60,20.161233772,7.680184070,10.741856285,0.737866171,0.764258452,8.542405251,8.135265503,8.538050920,11.448648813
61,20.497476652,7.343978571,10.746869969,0.716139915,0.731582482,8.580501264,7.771558372,8.157628861,11.425447639
