s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,speed_limit_mps,speed_zone,w_tr_right_m,w_tr_left_m
0.000000000,1.227476887,-0.015194987,-0.049339700,-0.017087866,4.000000000,0.000000000,4.000000000,straight_acceleration,0.639607897,0.605384808
0.136275967,1.363577721,-0.022100725,-0.052245428,-0.025556915,4.000000000,0.000000000,4.000000000,straight_acceleration,0.640797246,0.596450213
0.272551935,1.499653621,-0.029480634,-0.056309839,-0.034092884,4.000000000,0.000000000,4.000000000,straight_acceleration,0.641573609,0.587227415
0.408827902,1.635694683,-0.037476374,-0.061178062,-0.037353797,4.000000000,0.000000000,4.000000000,straight_acceleration,0.641526212,0.578036295
0.545103869,1.771693234,-0.046164852,-0.066498212,-0.040725480,4.000000000,0.000000000,4.000000000,straight_acceleration,0.640212666,0.569304415
0.681379837,1.907642985,-0.055586156,-0.071796457,-0.037032301,4.000000000,0.000000000,4.000000000,straight_acceleration,0.637264429,0.561518187
0.817655804,2.043543492,-0.065693386,-0.076590605,-0.033327247,4.000000000,0.000000000,4.000000000,straight_acceleration,0.632528078,0.555085136
0.953931771,2.179397934,-0.076402509,-0.080543693,-0.024688758,4.000000000,0.000000000,4.000000000,straight_acceleration,0.626163784,0.550164279
1.090207739,2.315215672,-0.087568069,-0.083306644,-0.015860612,4.000000000,0.000000000,4.000000000,straight_acceleration,0.618646696,0.546571427
1.226483706,2.451009039,-0.099026559,-0.084853157,-0.006836169,4.000000000,0.000000000,4.000000000,straight_acceleration,0.610674590,0.543834045
1.362759673,2.586791698,-0.110611396,-0.085166436,0.002238452,4.000000000,0.000000000,4.000000000,straight_acceleration,0.603024420,0.541375773
1.499035641,2.722577365,-0.122160891,-0.084377371,0.009341956,4.000000000,0.000000000,4.000000000,straight_acceleration,0.596408546,0.538731259
1.635311608,2.858377311,-0.133541123,-0.082700099,0.015273852,4.000000000,0.000000000,4.000000000,straight_acceleration,0.591363701,0.535682358
1.771587575,2.994201576,-0.144627006,-0.079956901,0.024985637,4.000000000,0.000000000,4.000000000,straight_acceleration,0.588183370,0.532271467
1.907863543,3.130059393,-0.155293670,-0.076846781,0.020658856,4.000000000,0.000000000,4.000000000,straight_acceleration,0.586893847,0.528716541
2.044139510,3.265945275,-0.165597029,-0.074750499,0.010106395,4.000000000,0.000000000,4.000000000,straight_acceleration,0.587094628,0.525457624
2.180415477,3.401845583,-0.175708650,-0.073991170,0.001037596,4.000000000,0.000000000,4.000000000,straight_acceleration,0.588059963,0.522978767
2.316691445,3.537747629,-0.185796904,-0.074376078,-0.006686535,4.000000000,0.000000000,4.000000000,straight_acceleration,0.588955742,0.521572602
2.452967412,3.673640459,-0.196008406,-0.075800731,-0.014221826,4.000000000,0.000000000,4.000000000,straight_acceleration,0.588969413,0.521266976
2.589243379,3.809513175,-0.206483855,-0.078265397,-0.021949883,4.000000000,0.000000000,4.000000000,straight_acceleration,0.587455171,0.521825315
2.725519347,3.945353877,-0.217366119,-0.081792885,-0.029819945,4.000000000,0.000000000,4.000000000,straight_acceleration,0.584073260,0.522826573
2.861795314,4.081149476,-0.228796899,-0.086317522,-0.036584184,4.000000000,0.000000000,4.000000000,straight_acceleration,0.578860164,0.523824252
2.998071281,4.216886277,-0.240905327,-0.091781310,-0.043603142,4.000000000,0.000000000,4.000000000,straight_acceleration,0.572182938,0.524535509
3.134347249,4.352549829,-0.253808074,-0.097935968,-0.046723542,4.000000000,0.000000000,4.000000000,straight_acceleration,0.564577779,0.524983740
3.270623216,4.488128578,-0.267573088,-0.104487753,-0.049431474,4.000000000,0.000000000,4.000000000,straight_acceleration,0.556533875,0.525528741
3.406899183,4.623611483,-0.282251214,-0.111411565,-0.052183497,4.000000000,0.000000000,4.000000000,straight_acceleration,0.548312782,0.526771368
3.543175151,4.758985771,-0.297899078,-0.118857985,-0.057101354,4.000000000,0.000000000,4.000000000,straight_acceleration,0.539881604,0.529374484
3.679451118,4.894234490,-0.314597122,-0.126913672,-0.061125598,4.000000000,0.000000000,4.000000000,straight_acceleration,0.530954731,0.533912296
3.815727085,5.029350312,-0.332339126,-0.133695551,-0.038406414,4.000000000,0.000000000,4.000000000,straight_acceleration,0.521299353,0.540619982
3.952003053,5.164366354,-0.350826357,-0.138231794,-0.028167978,4.000000000,0.000000000,4.000000000,straight_acceleration,0.511014727,0.549275905
4.088279020,5.299309187,-0.369840904,-0.141576725,-0.020922612,4.000000000,0.000000000,4.000000000,straight_acceleration,0.500284515,0.559610261
4.224554987,5.434195226,-0.389254430,-0.144252264,-0.018343894,4.000000000,0.000000000,4.000000000,straight_acceleration,0.489263814,0.571487108
4.360830955,5.569031275,-0.409012205,-0.146734737,-0.018089149,4.000000000,0.000000000,4.000000000,straight_acceleration,0.478051333,0.584885760
4.497106922,5.703821388,-0.429081047,-0.148709303,-0.010889803,4.000000000,0.000000000,4.000000000,straight_acceleration,0.466677525,0.599791315
4.633382889,5.838581902,-0.449347812,-0.149656260,-0.003007830,4.000000000,0.000000000,4.000000000,straight_acceleration,0.455115128,0.616061551
4.769658857,5.973338195,-0.469642637,-0.148924098,0.013753115,4.000000000,0.000000000,4.000000000,straight_acceleration,0.443296676,0.633345931
4.905934824,6.108133211,-0.489678281,-0.145761481,0.032661772,4.000000000,0.000000000,4.000000000,straight_acceleration,0.431132595,0.651088432
5.042210791,6.243017852,-0.509100355,-0.139724531,0.055937280,4.000000000,0.000000000,4.000000000,straight_acceleration,0.418543419,0.668586045
5.178486759,6.378047262,-0.527486816,-0.130364404,0.081433907,4.000000000,-0.612590243,4.000000000,straight_acceleration,0.405528920,0.685039362
5.314762726,6.513270007,-0.544389615,-0.117883861,0.101733855,3.979074936,-2.000000000,4.000000000,straight_acceleration,0.392242692,0.699602504
5.451038694,6.648714707,-0.559406570,-0.102425540,0.125139151,3.909978705,-2.000000000,4.000000000,straight_acceleration,0.379074353,0.711419849
5.587314661,6.784387980,-0.572191172,-0.085535552,0.122746952,3.839639254,-2.000000000,4.000000000,straight_acceleration,0.366680120,0.719724069
5.723590628,6.920253708,-0.582739176,-0.069732736,0.109181694,3.767986961,-2.000000000,4.000000000,straight_acceleration,0.355771393,0.724167271
5.859866596,7.056262258,-0.591253962,-0.055543412,0.099065681,3.694945448,-2.000000000,4.000000000,straight_acceleration,0.347166611,0.724816728
5.996142563,7.192373189,-0.597940133,-0.042913726,0.086291223,3.620430637,-2.000000000,4.000000000,straight_acceleration,0.341775772,0.722038621
6.132418530,7.328554531,-0.602997864,-0.031420043,0.082393009,3.544349606,-2.000000000,4.000000000,straight_acceleration,0.340350277,0.716434331
6.268694498,7.464784185,-0.606523362,-0.020393886,0.079429478,3.466599235,-2.000000000,4.000000000,straight_acceleration,0.343225377,0.708694156
6.404970465,7.601044516,-0.608539809,-0.009016551,0.087547102,3.387064568,-2.000000000,4.000000000,straight_acceleration,0.350201933,0.699424735
6.541246432,7.737319021,-0.608917660,0.003749771,0.099815057,3.305616814,-2.000000000,4.000000000,straight_acceleration,0.360653122,0.689012539
6.677522400,7.873585519,-0.607420639,0.018656027,0.118954377,3.222110899,-2.000000000,4.000000000,straight_acceleration,0.373816486,0.677572030
6.813798367,8.009808857,-0.603699600,0.036509706,0.143074689,3.136382435,-2.000000000,4.000000000,straight_acceleration,0.389115594,0.665015085
6.950074334,8.145933142,-0.597325504,0.057606358,0.166553193,3.048243906,-2.000000000,4.000000000,straight_acceleration,0.406389208,0.651202804
7.086350302,8.281876669,-0.587860907,0.081967455,0.190989962,2.957479846,-2.000000000,4.000000000,straight_acceleration,0.425941119,0.636140284
7.222626269,8.417527828,-0.574871187,0.109453952,0.212431376,2.863840633,-2.000000000,4.000000000,straight_acceleration,0.448445683,0.620127506
7.358902236,8.552751812,-0.558010826,0.138752185,0.217585463,2.767034388,-2.000000000,4.000000000,straight_acceleration,0.474792835,0.603773858
7.495178204,8.687422480,-0.537186912,0.167911134,0.210386061,2.666716226,-2.000000000,4.000000000,straight_acceleration,0.505691053,0.588078709
7.631454171,8.821442225,-0.512516592,0.195968725,0.201415451,2.562473720,-2.000000000,4.000000000,straight_acceleration,0.541401197,0.574279335
7.767730138,8.954727041,-0.484141775,0.223610903,0.204290190,2.453806777,-2.000000000,4.000000000,straight_acceleration,0.581726131,0.563422339
7.904006106,9.087168151,-0.452060074,0.251826958,0.209834239,2.340099106,-2.000000000,4.000000000,straight_acceleration,0.625916966,0.556087970
8.040282073,9.218610077,-0.416105740,0.283068793,0.248711690,2.220576492,-2.000000000,4.000000000,straight_acceleration,0.672611700,0.552295970
8.176558040,9.348741245,-0.375673963,0.320650582,0.302883826,2.094243560,-2.000000000,4.000000000,straight_acceleration,0.719892272,0.551515211
8.312834008,9.476980947,-0.329610362,0.372606255,0.459715024,1.959783717,-2.000000000,4.000000000,straight_acceleration,0.765584505,0.552777908
8.449109975,9.601944573,-0.275342721,0.452571590,0.714343087,1.815392065,-2.000000000,4.000000000,straight_acceleration,0.807807514,0.554853215
8.585385942,9.720917203,-0.209045760,0.571420654,1.031165610,1.658476554,-2.000000000,4.000000000,straight_acceleration,0.844683696,0.556401542
8.721661910,9.829195348,-0.126566029,0.740102236,1.450957429,1.485072594,-0.073296040,3.000000000,standard,0.874973830,0.556231585
8.857937877,9.920123916,-0.025356015,0.937916507,1.464220139,1.478331367,1.072878838,3.000000000,standard,0.896512144,0.554062981
8.994213844,9.989765746,0.091532207,1.125080412,1.291427132,1.574127960,1.500000000,3.000000000,standard,0.906991240,0.551848557
9.130489812,10.038733018,0.218586158,1.270738657,0.850484189,1.699031117,1.500000000,3.000000000,standard,0.904770436,0.553141980
9.266765779,10.072264803,0.350616115,1.366819997,0.560015737,1.815360746,1.500000000,3.000000000,standard,0.890830057,0.559962113
9.403041746,10.095841078,0.484821549,1.418894752,0.204409058,1.924672060,1.500000000,3.000000000,standard,0.867189799,0.573044369
9.539317714,10.114657043,0.619788349,1.445113117,0.180339388,2.028100205,1.500000000,3.000000000,standard,0.835307949,0.593010611
9.675593681,10.130076152,0.755185736,1.469700113,0.180532584,2.126503784,1.500000000,3.000000000,standard,0.796838761,0.620074802
9.811869648,10.142219254,0.890916513,1.493006830,0.161533072,2.220550888,1.500000000,3.000000000,standard,0.754500668,0.653232355
9.948145616,10.151375093,1.026882136,1.513655499,0.141518859,2.310773496,1.500000000,3.000000000,standard,0.710914566,0.690766645
10.084421583,10.157815449,1.163003566,1.533601321,0.151216283,2.397603397,1.500000000,3.000000000,standard,0.668088191,0.730685314
10.220697550,10.161449027,1.299228510,1.554882076,0.161114870,2.481396774,1.500000000,3.000000000,standard,0.627354711,0.771000521
10.356973518,10.162116666,1.435500073,1.576949383,0.162760378,2.562451532,1.500000000,3.000000000,standard,0.589405979,0.810017205
10.493249485,10.159761699,1.571752872,1.599246791,0.164492974,2.641019833,1.500000000,3.000000000,standard,0.554414201,0.846529157
10.629525452,10.154394888,1.707920455,1.620866258,0.152809143,2.717317364,1.500000000,3.000000000,standard,0.522227189,0.879829154
10.765801420,10.146185654,1.843946629,1.641076577,0.143810225,2.791530326,1.500000000,3.000000000,standard,0.492551965,0.909589063
10.902077387,10.135380875,1.979791829,1.658548117,0.112611036,2.863820780,1.500000000,3.000000000,standard,0.465055102,0.935727392
11.038353354,10.122499557,2.115456663,1.671617007,0.079191651,2.934330820,1.429828907,3.000000000,standard,0.439235413,0.958476219
11.174629322,10.108161067,2.250975802,1.679994992,0.043765051,3.000000000,0.000000000,3.000000000,standard,0.414647289,0.978122810
11.310905289,10.093015039,2.386407398,1.683534363,0.008179071,3.000000000,0.000000000,3.000000000,standard,0.391046958,0.994889007
11.447181256,10.077726611,2.521823051,1.682034813,-0.030186569,3.000000000,0.000000000,3.000000000,standard,0.368467567,1.008952931
11.583457224,10.062996994,2.657300378,1.675271580,-0.069071511,3.000000000,0.000000000,3.000000000,standard,0.347313483,1.020481520
11.719733191,10.049542731,2.792909731,1.663221415,-0.107779554,3.000000000,0.000000000,3.000000000,standard,0.328467040,1.029606739
11.856009158,10.038084451,2.928701404,1.645835427,-0.147385435,3.000000000,0.000000000,3.000000000,standard,0.313257150,1.036349497
11.992285126,10.029315957,3.064692258,1.623928453,-0.174136313,3.000000000,0.000000000,3.000000000,standard,0.303272609,1.040459413
12.128561093,10.023775472,3.200851806,1.598402592,-0.200505272,3.000000000,0.000000000,3.000000000,standard,0.299932158,1.041273676
