s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,speed_limit_mps,speed_zone,w_tr_right_m,w_tr_left_m
0.000000000,1.227476887,-0.015194987,-0.049339487,-0.017086309,4.000000000,0.000000000,4.000000000,straight_acceleration,0.639607897,0.605384808
0.137076058,1.364376769,-0.022142507,-0.052266216,-0.025616171,4.000000000,0.000000000,4.000000000,straight_acceleration,0.640803393,0.596396628
0.274215543,1.501314736,-0.029574290,-0.056364990,-0.034159044,4.000000000,0.000000000,4.000000000,straight_acceleration,0.641578913,0.587114225
0.411405316,1.638267553,-0.037634066,-0.061275742,-0.037431708,4.000000000,0.000000000,4.000000000,straight_acceleration,0.641514498,0.577865343
0.548629623,1.775211628,-0.046399362,-0.066637845,-0.040719330,4.000000000,0.000000000,4.000000000,straight_acceleration,0.640158243,0.569088936
0.685870402,1.912122565,-0.055908672,-0.071964546,-0.036906420,4.000000000,0.000000000,4.000000000,straight_acceleration,0.637136900,0.561282884
0.823110966,2.048983366,-0.066111289,-0.076767687,-0.033089583,4.000000000,0.000000000,4.000000000,straight_acceleration,0.632302422,0.554859090
0.960341151,2.185787323,-0.076918746,-0.080701762,-0.024245874,4.000000000,0.000000000,4.000000000,straight_acceleration,0.625831294,0.549968232
1.097553368,2.322536661,-0.088179787,-0.083421051,-0.015390381,4.000000000,0.000000000,4.000000000,straight_acceleration,0.618221704,0.546407062
1.234747930,2.459244392,-0.099727262,-0.084907075,-0.006272636,4.000000000,0.000000000,4.000000000,straight_acceleration,0.610193719,0.543682568
1.371926273,2.595925963,-0.111391129,-0.085145067,0.002802822,4.000000000,0.000000000,4.000000000,straight_acceleration,0.602539765,0.541207684
1.509092788,2.732599656,-0.123008114,-0.084284517,0.009744701,4.000000000,0.000000000,4.000000000,straight_acceleration,0.595977366,0.538521011
1.646252531,2.869281831,-0.134443960,-0.082518313,0.016009265,4.000000000,0.000000000,4.000000000,straight_acceleration,0.591037182,0.535420058
1.783409296,3.005986595,-0.145569848,-0.079683056,0.025334066,4.000000000,0.000000000,4.000000000,straight_acceleration,0.587999012,0.531964072
1.920568434,3.142727916,-0.156267525,-0.076593074,0.019722864,4.000000000,0.000000000,4.000000000,straight_acceleration,0.586858808,0.528392374
2.057732379,3.279501284,-0.166611300,-0.074616756,0.009094012,4.000000000,0.000000000,4.000000000,straight_acceleration,0.587169957,0.525168463
2.194898667,3.416290182,-0.176779281,-0.073980945,0.000176635,4.000000000,0.000000000,4.000000000,straight_acceleration,0.588173231,0.522775526
2.332061045,3.553075709,-0.186939878,-0.074485415,-0.007532428,4.000000000,0.000000000,4.000000000,straight_acceleration,0.589015440,0.521485110
2.469211091,3.689838395,-0.197240502,-0.076039316,-0.015127452,4.000000000,0.000000000,4.000000000,straight_acceleration,0.588879132,0.521295041
2.606342506,3.826560788,-0.207824092,-0.078649984,-0.022947964,4.000000000,0.000000000,4.000000000,straight_acceleration,0.587136449,0.521936222
2.743451076,3.963226429,-0.218836016,-0.082332724,-0.030772111,4.000000000,0.000000000,4.000000000,straight_acceleration,0.583487133,0.522966555
2.880534434,4.099819553,-0.230419002,-0.087015767,-0.037551962,4.000000000,0.000000000,4.000000000,straight_acceleration,0.578017825,0.523942271
3.017595879,4.236329416,-0.242703011,-0.092628571,-0.044350174,4.000000000,0.000000000,4.000000000,straight_acceleration,0.571137379,0.524611172
3.154641950,4.372748017,-0.255802273,-0.098891012,-0.047041749,4.000000000,0.000000000,4.000000000,straight_acceleration,0.563397956,0.525046400
3.291690658,4.509081914,-0.269781435,-0.105531849,-0.049870499,4.000000000,0.000000000,4.000000000,straight_acceleration,0.555271557,0.525658523
3.428783695,4.645361122,-0.284697148,-0.112565061,-0.052734635,4.000000000,0.000000000,4.000000000,straight_acceleration,0.546977688,0.527080854
3.565977612,4.781628095,-0.300618285,-0.120183922,-0.058332627,4.000000000,0.000000000,4.000000000,straight_acceleration,0.538431181,0.529986872
3.703349261,4.917941406,-0.317637435,-0.128256822,-0.059201705,4.000000000,0.000000000,4.000000000,straight_acceleration,0.529316303,0.534932165
3.840961051,5.054360395,-0.335716816,-0.134694460,-0.034360776,4.000000000,0.000000000,4.000000000,straight_acceleration,0.519435977,0.542086030
3.978817771,5.190927267,-0.354530769,-0.138948435,-0.027355056,4.000000000,0.000000000,4.000000000,straight_acceleration,0.508933164,0.551183239
4.116873248,5.327619332,-0.373885201,-0.142184334,-0.019523203,4.000000000,0.000000000,4.000000000,straight_acceleration,0.497991406,0.561977033
4.255040775,5.464366502,-0.393645686,-0.144813798,-0.018538764,4.000000000,0.000000000,4.000000000,straight_acceleration,0.486769733,0.574352306
4.393202021,5.601056608,-0.413754018,-0.147275577,-0.017097572,4.000000000,0.000000000,4.000000000,straight_acceleration,0.475363999,0.588292544
4.531275832,5.737615609,-0.434150504,-0.149061106,-0.008765841,4.000000000,0.000000000,4.000000000,straight_acceleration,0.463797920,0.603752489
4.669196660,5.873998801,-0.454687783,-0.149659730,0.000085159,4.000000000,0.000000000,4.000000000,straight_acceleration,0.452037072,0.620525131
4.806949788,6.010221267,-0.475166163,-0.148325637,0.019284160,4.000000000,0.000000000,4.000000000,straight_acceleration,0.440006014,0.638183233
4.944554563,6.146350797,-0.495261565,-0.144359201,0.038365479,4.000000000,0.000000000,4.000000000,straight_acceleration,0.427610047,0.656105568
5.082031737,6.282460889,-0.514601059,-0.137345888,0.063663266,4.000000000,0.000000000,4.000000000,straight_acceleration,0.414781017,0.673539504
5.219427188,6.418653598,-0.532740966,-0.126922470,0.088066063,4.000000000,-1.196337668,4.000000000,straight_acceleration,0.401553492,0.689652701
5.356696701,6.554929204,-0.549229698,-0.113429850,0.108520776,3.958731946,-2.000000000,4.000000000,straight_acceleration,0.388152390,0.703570984
5.493800920,6.691270772,-0.563670743,-0.097153568,0.128912286,3.888848383,-2.000000000,4.000000000,straight_acceleration,0.375066036,0.714433640
5.630653766,6.827586877,-0.575779458,-0.080300757,0.117382907,3.817817487,-2.000000000,4.000000000,straight_acceleration,0.363014773,0.721559691
5.767185269,6.963759291,-0.585675157,-0.065040220,0.106164830,3.745611345,-2.000000000,4.000000000,straight_acceleration,0.352723769,0.724776886
5.903451243,7.099795672,-0.593582030,-0.051326566,0.095114573,3.672130234,-2.000000000,4.000000000,straight_acceleration,0.345050413,0.724276314
6.039512081,7.235718047,-0.599718755,-0.039171855,0.083552065,3.597262445,-2.000000000,4.000000000,straight_acceleration,0.340864435,0.720528668
6.175563081,7.371692614,-0.604278602,-0.027905918,0.082062159,3.520808586,-2.000000000,4.000000000,straight_acceleration,0.340793007,0.714182052
6.311792493,7.507887947,-0.607325521,-0.016881639,0.079787185,3.442553624,-2.000000000,4.000000000,straight_acceleration,0.345011116,0.705903029
6.448422723,7.644509682,-0.608849104,-0.005141470,0.092066714,3.362239512,-2.000000000,4.000000000,straight_acceleration,0.353194588,0.696216386
6.585643387,7.781730200,-0.608649020,0.008340614,0.104436695,3.279599347,-2.000000000,4.000000000,straight_acceleration,0.364679924,0.685398077
6.723547085,7.919616097,-0.606433353,0.024320162,0.127314421,3.194394635,-2.000000000,4.000000000,straight_acceleration,0.378765524,0.673462086
6.862179669,8.058169967,-0.601762299,0.043635352,0.151342457,3.106384836,-2.000000000,4.000000000,straight_acceleration,0.395019116,0.660258609
7.001437762,8.197219488,-0.594143440,0.066404818,0.175674906,3.015392906,-2.000000000,4.000000000,straight_acceleration,0.413465147,0.645662291
7.141187922,8.336530931,-0.583078680,0.092690289,0.200513546,2.921231545,-2.000000000,4.000000000,straight_acceleration,0.434599373,0.629781036
7.281213734,8.475754065,-0.568107138,0.121955559,0.217502541,2.823736972,-2.000000000,4.000000000,straight_acceleration,0.459255043,0.613088547
7.421314578,8.614539798,-0.548955982,0.152227892,0.214667540,2.722698499,-2.000000000,4.000000000,straight_acceleration,0.488359345,0.596426052
7.561327619,8.752603693,-0.525674816,0.181680013,0.206053412,2.617830199,-2.000000000,4.000000000,straight_acceleration,0.522434599,0.581064438
7.701032238,8.889635244,-0.498476753,0.210048647,0.200080703,2.508827709,-2.000000000,4.000000000,straight_acceleration,0.561456932,0.568314508
7.840180414,9.025301604,-0.467543706,0.238510452,0.209019925,2.395333749,-2.000000000,4.000000000,straight_acceleration,0.604826165,0.559065445
7.978448547,9.159159960,-0.432902437,0.268233364,0.220917587,2.276960965,-2.000000000,4.000000000,straight_acceleration,0.651242125,0.553597075
8.115303613,9.290502006,-0.394450185,0.302833832,0.284759842,2.153399864,-2.000000000,4.000000000,straight_acceleration,0.698729715,0.551546327
8.250021708,9.418227776,-0.351612201,0.345953461,0.355362974,2.024415618,-2.000000000,4.000000000,straight_acceleration,0.744879486,0.552017479
8.381058794,9.540181511,-0.303674696,0.408396151,0.597704711,1.890531737,-2.000000000,4.000000000,straight_acceleration,0.787291197,0.553799517
8.506300608,9.652926074,-0.249138693,0.497399061,0.823858749,1.753038218,-2.000000000,4.000000000,straight_acceleration,0.824082002,0.555646292
8.624868855,9.753836239,-0.186884634,0.614716417,1.155404563,1.612101115,-2.000000000,3.000000000,standard,0.854229156,0.556570673
8.734901301,9.839105474,-0.117341147,0.759636501,1.482345662,1.469265198,0.531890272,3.000000000,standard,0.877549514,0.556096807
8.839847855,9.909460638,-0.039469906,0.911205703,1.409455761,1.506778127,-0.395474478,3.000000000,standard,0.894288787,0.554420021
8.942435818,9.966236852,0.045974530,1.058307899,1.461695391,1.479607543,1.500000000,3.000000000,standard,0.904512945,0.552453962
