s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
0.000000000,0.106211745,0.171355458,0.023568243,0.017816242,1.000000000,0.000000000,0.679649019,0.660547388
0.340369816,0.446461161,0.180408321,0.024354817,-0.013194284,1.000000000,0.000000000,0.665268788,0.654628565
0.680739631,0.786747726,0.187933065,0.017028107,-0.029857882,1.000000000,0.000000000,0.647555745,0.644864925
1.021109447,1.127093238,0.191999317,0.007075152,-0.028626516,1.000000000,0.000000000,0.628447472,0.630059656
1.361479263,1.467462211,0.192749303,-0.001589906,-0.022289869,1.000000000,0.000000000,0.611978626,0.613879377
1.701849078,1.807827061,0.190917013,-0.008598533,-0.018892985,1.000000000,0.000000000,0.601129551,0.601249436
2.042218894,2.148173101,0.186896044,-0.014155373,-0.013759020,1.000000000,0.000000000,0.595627949,0.594564365
2.382588710,2.488496624,0.181281238,-0.017060666,-0.003312437,1.000000000,0.000000000,0.592462266,0.592838835
2.722958525,2.828813569,0.175282738,-0.016072494,0.009118913,1.000000000,0.000000000,0.588272077,0.593155110
3.063328341,3.169147579,0.170340538,-0.010179614,0.025507842,1.000000000,0.000000000,0.581437167,0.592471831
3.403698157,3.509511628,0.168353255,0.002309868,0.047883031,1.000000000,0.000000000,0.572567437,0.588958309
3.744067973,3.849862036,0.171912901,0.020400156,0.058422259,1.000000000,0.000000000,0.563539616,0.582626644
4.084437788,4.190075216,0.182238785,0.036829648,0.038123039,1.000000000,0.000000000,0.555996136,0.574788423
4.424807604,4.530126228,0.196978126,0.043481462,0.000964101,1.000000000,0.000000000,0.550498174,0.566657676
4.765177420,4.870171424,0.211829013,0.040327652,-0.019495942,1.000000000,0.000000000,0.546714252,0.558657111
5.105547235,5.210308340,0.224423153,0.034265959,-0.016122637,1.000000000,0.000000000,0.544002401,0.550962361
5.445917051,5.550509062,0.235150563,0.029085188,-0.014319523,1.000000000,0.000000000,0.541779481,0.544379854
5.786286867,5.890758393,0.244219754,0.021518955,-0.030140186,1.000000000,0.000000000,0.540128144,0.540305640
6.126656682,6.231081590,0.249798034,0.009237659,-0.042026684,1.000000000,0.000000000,0.540128964,0.539892058
6.467026498,6.571450457,0.250507934,-0.001037312,-0.018350649,1.000000000,0.000000000,0.542953822,0.543612164
6.807396314,6.911818350,0.249091897,0.002773031,0.040741155,1.000000000,0.000000000,0.549139242,0.552152836
7.147766129,7.252175421,0.252395610,0.027764304,0.106141816,1.000000000,0.000000000,0.560591119,0.567334329
7.488135945,7.592172395,0.267986310,0.071919552,0.153404114,1.000000000,0.000000000,0.583559532,0.590938703
7.828505761,7.930960524,0.301297874,0.135943535,0.223255278,1.000000000,0.000000000,0.617596513,0.623040007
8.168875576,8.266053830,0.360164673,0.244753345,0.417214294,1.000000000,0.000000000,0.651633495,0.657076989
8.509245392,8.590303630,0.465975813,0.464914765,0.897220368,1.000000000,0.000000000,0.685670477,0.690782041
8.849615208,8.867614581,0.661898492,0.847072684,1.425724742,1.000000000,0.000000000,0.719707458,0.709439348
9.189985023,9.028564684,0.961927132,1.274188211,1.185747690,1.000000000,0.000000000,0.753744440,0.713510561
9.530354839,9.062991391,1.301170978,1.563159222,0.553721694,1.000000000,0.000000000,0.787781421,0.707731905
9.870724655,9.033744036,1.640096571,1.705584323,0.286731454,1.000000000,0.000000000,0.779739626,0.701038428
10.211094471,8.971641107,1.974794774,1.787443767,0.195180589,1.000000000,0.000000000,0.745702644,0.700709080
10.551464286,8.887489451,2.304582547,1.843936396,0.136983439,1.000000000,0.000000000,0.711665663,0.707655252
10.891834102,8.788059773,2.630110829,1.876646102,0.055289495,1.000000000,0.000000000,0.682931079,0.718227136
11.232203918,8.682523726,2.953706452,1.878309936,-0.045511596,1.000000000,0.000000000,0.656298089,0.729268707
11.572573733,8.582012241,3.278899280,1.844271019,-0.154591091,1.000000000,0.000000000,0.626343416,0.740979530
11.912943549,8.498733565,3.608923796,1.772551145,-0.267391106,1.000000000,0.000000000,0.593437495,0.754743257
12.253313365,8.445743207,3.945128985,1.666479493,-0.357460758,1.000000000,0.000000000,0.564657066,0.769457397
12.593683180,8.433820735,4.285266487,1.539794309,-0.389478705,1.000000000,0.000000000,0.549828137,0.780801297
12.934052996,8.466796907,4.624018803,1.412270698,-0.362436760,1.000000000,0.000000000,0.555293471,0.784551123
13.274422812,8.541076891,4.956174936,1.299443513,-0.302357864,1.000000000,0.000000000,0.579893518,0.780785264
13.614792627,8.649014624,5.278971420,1.209334051,-0.228080497,1.000000000,0.000000000,0.613930499,0.773755933
13.955162443,8.781632109,5.592441153,1.146049497,-0.144137804,1.000000000,0.000000000,0.647967481,0.767703899
14.295532259,8.929456295,5.899036009,1.113298711,-0.048379540,1.000000000,0.000000000,0.682004463,0.763451914
14.635902074,9.082309806,6.203157636,1.115407768,0.060774268,1.000000000,0.000000000,0.716041444,0.758579954
14.976271890,9.228841027,6.510376577,1.155590381,0.175472063,1.000000000,0.000000000,0.750078426,0.750162874
15.316641706,9.356785219,6.825784285,1.232120231,0.274847534,1.000000000,0.000000000,0.784115407,0.737949551
15.657011521,9.454760038,7.151740058,1.335521847,0.334138929,1.000000000,0.000000000,0.815188172,0.726161222
15.997381337,9.515213342,7.486689218,1.450319946,0.342277237,1.000000000,0.000000000,0.821207836,0.722135988
16.337751153,9.536435463,7.826394135,1.560969123,0.309575742,1.000000000,0.000000000,0.812154141,0.731862754
16.678120969,9.521893740,8.166453464,1.656784590,0.254544608,1.000000000,0.000000000,0.794073201,0.756038056
17.018490784,9.478026711,8.503983390,1.731825581,0.186945579,1.000000000,0.000000000,0.777203458,0.790075038
17.358860600,9.412802739,8.838048460,1.783499352,0.116884559,1.000000000,0.000000000,0.771957963,0.824112019
17.699230416,9.334348751,9.169251829,1.815793762,0.072920187,1.000000000,0.000000000,0.785608089,0.858149001
18.039600231,9.247696570,9.498420448,1.847029311,0.110671822,1.000000000,0.000000000,0.819223439,0.892185982
18.379970047,9.148726689,9.824049058,1.912180135,0.272519421,1.000000000,0.000000000,0.853260420,0.924118450
18.720339863,9.019984474,10.139331096,2.064594339,0.629202471,1.000000000,0.000000000,0.871577279,0.929967302
19.060709678,8.827734888,10.420381468,2.337583830,1.005677836,1.000000000,0.000000000,0.837540297,0.900388521
19.401079494,8.554621186,10.622346373,2.663995157,0.953770722,1.000000000,0.000000000,0.803503316,0.866351539
19.741449310,8.230979849,10.729238594,2.916430971,0.555489729,1.000000000,0.000000000,0.769466334,0.832314558
20.081819125,7.893550129,10.773761743,3.054115072,0.257251396,1.000000000,0.000000000,0.735429352,0.798277576
20.422188941,7.553491838,10.788655243,3.118975865,0.124338747,1.000000000,0.000000000,0.701392371,0.764848945
20.762558757,7.213131156,10.789153259,-3.126765806,0.095734232,1.000000000,0.000000000,0.680871214,0.751056037
21.102928572,6.872902504,10.778563509,-3.081958131,0.167704442,1.000000000,0.000000000,0.692975230,0.759207410
21.443298388,6.533881171,10.748598424,-3.001586646,0.305286795,1.000000000,0.000000000,0.727012211,0.782584610
21.783668204,6.199696409,10.683689905,-2.860293947,0.528858563,1.000000000,0.000000000,0.761049193,0.810955768
22.124038019,5.882260951,10.560305629,-2.626036702,0.867182129,1.000000000,0.000000000,0.795086175,0.836195560
22.464407835,5.613825275,10.351690888,-2.311883699,1.017382936,1.000000000,0.000000000,0.829123156,0.850425098
22.804777651,5.429504302,10.065535834,-2.006666556,0.813559424,1.000000000,0.000000000,0.863160138,0.850621316
23.145147467,5.329030597,9.740209188,-1.784810604,0.505670033,1.000000000,0.000000000,0.897197119,0.837811808
