side,index,s_m,x_m,y_m,width_from_center_m
left,0,0.000000000,0.173580840,0.816263752,0.664274032
left,1,0.336261566,0.539967264,0.841789448,0.656495945
left,2,0.672521933,0.906619897,0.824327006,0.645385438
left,3,1.008781743,1.270783762,0.776101790,0.629610932
left,4,1.345042216,1.636580452,0.743834601,0.612531805
left,5,1.681303124,2.003856006,0.746524529,0.598861765
left,6,2.017564232,2.371157265,0.752050605,0.591012077
left,7,2.353825688,2.738509252,0.752134639,0.588134875
left,8,2.690087270,3.105851487,0.749529742,0.587411192
left,9,3.026348450,3.473197244,0.747442474,0.585771435
left,10,3.362607987,3.840325533,0.735752598,0.581198663
left,11,3.698864081,4.207501890,0.732852821,0.573418640
left,12,4.035120040,4.574471032,0.749309608,0.563581375
left,13,4.371380386,4.941802657,0.752370868,0.553016889
left,14,4.707641838,5.309155146,0.752436001,0.542323641
left,15,5.043902792,5.676507649,0.752442069,0.531719767
left,16,5.380164132,6.043858584,0.753206683,0.521930714
left,17,5.716425293,6.410994889,0.764413896,0.514336725
left,18,6.052684669,6.777774911,0.784123859,0.510244171
left,19,6.388943175,7.144980853,0.775249796,0.510300401
left,20,6.725204556,7.510696081,0.803022726,0.515068722
left,21,7.061461642,7.863502136,0.902876379,0.526222452
left,22,7.397704364,8.172684072,1.097512350,0.546305679
left,23,7.733927161,8.361367610,1.406941554,0.576173438
left,24,8.070092199,8.337839190,1.769236749,0.612189089
left,25,8.405982324,8.216267257,2.115815800,0.646139383
left,26,8.740489408,8.098003518,2.463572611,0.668920367
left,27,9.072899239,7.985694524,2.813318504,0.676125645
left,28,9.407762597,7.862371121,3.159342907,0.671429636
left,29,9.743747115,7.769268457,3.514430844,0.664198951
left,30,10.079918997,7.695441493,3.874275500,0.662604060
left,31,10.416130938,7.636879960,4.236479242,0.668515276
left,32,10.752371944,7.669430790,4.601393457,0.678696278
left,33,11.088632481,7.762021683,4.956709399,0.689780922
left,34,11.424884634,7.885970750,5.302474207,0.701301207
left,35,11.761093221,8.014229228,5.646707628,0.714475844
left,36,12.097222030,8.152437162,5.987042684,0.728969775
left,37,12.433274040,8.305009604,6.321169140,0.741350744
left,38,12.769308314,8.466498584,6.651101399,0.747292548
left,39,13.105382196,8.612917314,6.988004013,0.745525202
left,40,13.441515308,8.765295668,7.322250163,0.739090978
left,41,13.777704490,8.861310844,7.675046829,0.732449826
left,42,14.113937979,8.820715593,8.038628311,0.727732835
left,43,14.450196886,8.713919675,8.389974594,0.723619831
left,44,14.786450587,8.589908805,8.735760827,0.717102741
left,45,15.122658100,8.462484438,9.080284009,0.706475049
left,46,15.458792266,8.313076213,9.415754503,0.693941012
left,47,15.794870532,8.120401211,9.727846713,0.685921852
left,48,16.130944870,7.852803617,9.976902694,0.689644697
left,49,16.467056785,7.507405000,10.091920122,0.708228364
left,50,16.803218752,7.140561648,10.089892448,0.739015743
left,51,17.139427488,6.779628319,10.024814533,0.776385125
left,52,17.475669324,6.468376390,9.842700311,0.815096936
