s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,speed_limit_mps,speed_zone,w_tr_right_m,w_tr_left_m
0.000000000,0.106211745,0.171355458,0.024190847,0.018081571,5.359319360,-1.500000000,6.000000000,straight_acceleration,0.657419885,0.632075260
0.274249113,0.380363297,0.178668884,0.025534480,-0.008282814,5.282003092,-1.500000000,6.000000000,straight_acceleration,0.632269707,0.649199816
0.548498225,0.654530460,0.185359535,0.020793409,-0.026292476,5.203538154,-1.500000000,6.000000000,straight_acceleration,0.604844796,0.621774905
0.822747338,0.928738251,0.190073112,0.012886596,-0.031369955,5.123871777,-1.500000000,6.000000000,straight_acceleration,0.577419885,0.594349993
1.096996451,1.202976480,0.192427528,0.004844044,-0.027282427,5.042947020,-1.500000000,6.000000000,straight_acceleration,0.577419885,0.566925082
1.371245564,1.477224924,0.192730026,-0.001908174,-0.021959657,4.960702300,-1.500000000,6.000000000,straight_acceleration,0.554844796,0.539500171
1.645494676,1.751470362,0.191380905,-0.007587818,-0.019460283,4.877070839,-1.500000000,6.000000000,straight_acceleration,0.527419885,0.512075260
1.919743789,2.025704764,0.188568181,-0.012495374,-0.016328974,4.791980033,-1.500000000,6.000000000,straight_acceleration,0.527419885,0.539500171
2.193992902,2.299923947,0.184527415,-0.016070630,-0.009744181,4.705350709,-1.500000000,6.000000000,straight_acceleration,0.554844796,0.566925082
2.468242015,2.574131488,0.179753859,-0.017451008,-0.000322439,4.617096269,-1.500000000,6.000000000,straight_acceleration,0.567419885,0.572075260
2.742491127,2.848338611,0.174956055,-0.016156712,0.009761297,4.527121670,-1.500000000,6.000000000,straight_acceleration,0.562419885,0.577075260
3.016740240,3.122557415,0.170892328,-0.011727729,0.022537943,4.435322230,-1.500000000,6.000000000,straight_acceleration,0.557419885,0.582075260
3.290989353,3.396795464,0.168523607,-0.003050253,0.040745342,4.341582193,-1.500000000,6.000000000,straight_acceleration,0.534844796,0.582075260
3.565238465,3.671041547,0.169219308,0.010276881,0.056449284,4.245773028,-1.500000000,6.000000000,straight_acceleration,0.507419885,0.582075260
3.839487578,3.945243038,0.174160135,0.025844202,0.057084191,4.147751351,-1.500000000,6.000000000,straight_acceleration,0.512419885,0.577075260
4.113736691,4.219334601,0.183392660,0.038557173,0.035631241,4.047356412,-1.500000000,6.000000000,straight_acceleration,0.522419885,0.567075260
4.387985804,4.493324621,0.195303090,0.043997353,0.004043022,3.944407001,-1.500000000,6.000000000,straight_acceleration,0.524844796,0.557075260
4.662234916,4.767301523,0.207517323,0.042237803,-0.016874882,3.838697598,-1.500000000,6.000000000,straight_acceleration,0.497419885,0.547075260
4.936484029,5.041331718,0.218463480,0.037165004,-0.020119436,3.729993554,-1.500000000,6.000000000,straight_acceleration,0.507419885,0.532075260
5.210733142,5.315418274,0.227897468,0.032514623,-0.013794322,3.618024955,-1.500000000,6.000000000,straight_acceleration,0.517419885,0.522075260
5.484982255,5.589538689,0.236294508,0.028628262,-0.014547634,3.502478728,-1.500000000,6.000000000,straight_acceleration,0.519694618,0.517075260
5.759231367,5.863690182,0.243597829,0.022681486,-0.028820612,3.382988309,-1.500000000,6.000000000,straight_acceleration,0.492269707,0.507075260
6.033480480,6.137889990,0.248734063,0.012969596,-0.042006527,3.259119906,-1.500000000,6.000000000,straight_acceleration,0.464844796,0.502075260
6.307729593,6.412130358,0.250711276,0.002288450,-0.035889358,3.130353849,-1.500000000,6.000000000,straight_acceleration,0.437419885,0.502075260
6.581978705,6.686378032,0.249989253,-0.002966247,-0.002432191,2.996058725,-1.500000000,6.000000000,straight_acceleration,0.464844796,0.529500171
6.856227818,6.960625186,0.249084300,0.003662639,0.050777328,2.855454525,-1.500000000,6.000000000,straight_acceleration,0.492269707,0.529500171
7.130476931,7.234853323,0.251998129,0.024861965,0.103846380,2.707558533,-1.500000000,6.000000000,straight_acceleration,0.519694618,0.502075260
7.404726044,7.508879688,0.262717793,0.058545379,0.141870164,2.551102873,-1.500000000,6.000000000,straight_acceleration,0.502419885,0.529500171
7.678975156,7.782273518,0.284083718,0.103230943,0.184180842,2.384403181,-1.500000000,6.000000000,straight_acceleration,0.522419885,0.556925082
7.953224269,8.054224081,0.319215042,0.164684535,0.264467295,2.205137455,-1.500000000,6.000000000,straight_acceleration,0.512419885,0.584349993
8.227473382,8.322867631,0.373924875,0.264227819,0.463924419,2.009946232,-1.500000000,6.000000000,straight_acceleration,0.539844796,0.611774905
8.501722495,8.582203946,0.462061936,0.446717987,0.882531200,1.793637789,-1.500000000,3.500000000,standard,0.567269707,0.639199816
8.775971607,8.812737287,0.608579109,0.743541134,1.336457761,1.547381394,-0.155922315,3.500000000,standard,0.594694618,0.666624727
9.050220720,8.977582657,0.825653826,1.105245342,1.385961727,1.519495333,1.962584223,3.500000000,standard,0.622119530,0.664349993
9.324469833,9.053551058,1.087923543,1.416561734,0.945252167,1.839929355,2.400000000,3.500000000,standard,0.649544441,0.636925082
9.598718946,9.060925416,1.361725829,1.605502500,0.451052535,2.168348628,2.400000000,3.500000000,standard,0.676969352,0.609500171
9.872968058,9.034570160,1.634606573,1.706437123,0.287444577,2.453188030,2.400000000,3.500000000,standard,0.649844796,0.582075260
10.147217171,8.986831964,1.904619224,1.774241127,0.207661188,2.708233235,2.400000000,3.500000000,standard,0.622419885,0.609500171
10.421466284,8.923809679,2.171499775,1.824760710,0.161012061,2.941245143,0.636423218,3.500000000,standard,0.647419885,0.636925082
10.695715396,8.849070383,2.435351082,1.861812239,0.109295734,3.000000000,0.000000000,3.500000000,standard,0.632419885,0.664349993
10.969964509,8.766455331,2.696855711,1.881694623,0.035727119,3.000000000,0.000000000,3.500000000,standard,0.626969352,0.691774905
11.244213622,8.681280631,2.957542856,1.880225405,-0.046442984,3.000000000,0.000000000,3.500000000,standard,0.599544441,0.707075260
11.518462735,8.599434981,3.219287161,1.855480708,-0.134063962,3.000000000,0.000000000,3.500000000,standard,0.572119530,0.722075260
11.792711847,8.527268095,3.483842267,1.806208973,-0.225529109,3.000000000,0.000000000,3.500000000,standard,0.544694618,0.742075260
12.066960960,8.471583029,3.752314451,1.732606884,-0.312018500,3.000000000,-0.749198757,3.500000000,standard,0.517269707,0.722075260
12.341210073,8.439009485,4.024517626,1.638942560,-0.372566711,2.930710803,-0.706790539,3.500000000,standard,0.489844796,0.749500171
12.615459186,8.434298136,4.298597909,1.534632741,-0.390177646,2.863807335,0.808199097,3.500000000,standard,0.462419885,0.776925082
