s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,speed_limit_mps,speed_zone,w_tr_right_m,w_tr_left_m
0.000000000,0.106211745,0.171355458,0.022727093,0.015376627,4.000000000,0.000000000,6.000000000,straight_acceleration,0.692500000,0.657500000
0.070466986,0.176659816,0.172989218,0.023564524,0.008391388,4.000000000,0.000000000,6.000000000,straight_acceleration,0.696511016,0.664871575
0.140933973,0.247106859,0.174664634,0.023909724,0.001406086,4.000000000,0.000000000,6.000000000,straight_acceleration,0.700793486,0.677114566
0.211400959,0.317553741,0.176347030,0.023762690,-0.005579218,4.000000000,0.000000000,6.000000000,straight_acceleration,0.703098246,0.689929217
0.281867945,0.388001329,0.178001733,0.023124541,-0.012270864,4.000000000,0.000000000,6.000000000,straight_acceleration,0.701176972,0.699017262
0.352334932,0.458450361,0.179597117,0.022109431,-0.016540041,4.000000000,0.000000000,6.000000000,straight_acceleration,0.693684472,0.701682955
0.422801918,0.528901198,0.181110389,0.020793482,-0.020809312,4.000000000,0.000000000,6.000000000,straight_acceleration,0.681896314,0.699880820
0.493268904,0.599354137,0.182520351,0.019176688,-0.025078627,4.000000000,0.000000000,6.000000000,straight_acceleration,0.667560755,0.696404116
0.563735891,0.669809472,0.183805837,0.017265082,-0.028556359,4.000000000,0.000000000,6.000000000,straight_acceleration,0.652424569,0.694037500
0.634202877,0.740267318,0.184951003,0.015231299,-0.029166516,4.000000000,0.000000000,6.000000000,straight_acceleration,0.637976996,0.694070085
0.704669863,0.810727410,0.185951356,0.013154512,-0.029776897,4.000000000,0.000000000,6.000000000,straight_acceleration,0.625158272,0.694602832
0.775136850,0.881189437,0.186803861,0.011034705,-0.030387481,4.000000000,0.000000000,6.000000000,straight_acceleration,0.614838160,0.693327452
0.845603836,0.951653085,0.187505555,0.008881479,-0.030158119,4.000000000,0.000000000,6.000000000,straight_acceleration,0.607877864,0.687959338
0.916070822,1.022118036,0.188058160,0.006825967,-0.028181486,4.000000000,0.000000000,6.000000000,straight_acceleration,0.604591510,0.677727527
0.986537808,1.092583969,0.188470831,0.004909739,-0.026204930,4.000000000,0.000000000,6.000000000,straight_acceleration,0.604425440,0.664262052
1.057004795,1.163050559,0.188753379,0.003132789,-0.024228517,4.000000000,0.000000000,6.000000000,straight_acceleration,0.606748976,0.649406029
1.127471781,1.233517486,0.188915627,0.001495939,-0.022197678,4.000000000,0.000000000,6.000000000,straight_acceleration,0.610907421,0.634963962
1.197938767,1.303984524,0.188967669,0.000005805,-0.020095405,4.000000000,0.000000000,6.000000000,straight_acceleration,0.615472144,0.621496434
1.268405754,1.374451561,0.188919925,-0.001336189,-0.017993130,4.000000000,0.000000000,6.000000000,straight_acceleration,0.618092994,0.608082884
1.338872740,1.444918489,0.188782834,-0.002530042,-0.015890891,4.000000000,0.000000000,6.000000000,straight_acceleration,0.616365996,0.593716240
1.409339726,1.515385206,0.188566680,-0.003588009,-0.014430596,4.000000000,0.000000000,6.000000000,straight_acceleration,0.608047371,0.577514024
1.479806713,1.585851643,0.188278775,-0.004572577,-0.013513470,4.000000000,0.000000000,6.000000000,straight_acceleration,0.593946089,0.560968021
1.550273699,1.656317767,0.187923768,-0.005492517,-0.012596347,4.000000000,0.000000000,6.000000000,straight_acceleration,0.577609379,0.547699686
1.620740685,1.726783546,0.187506214,-0.006347831,-0.011679235,4.000000000,0.000000000,6.000000000,straight_acceleration,0.562681529,0.541405966
1.691207672,1.797248949,0.187030726,-0.007134634,-0.010592506,4.000000000,0.000000000,6.000000000,straight_acceleration,0.552619346,0.545379025
1.761674658,1.867713974,0.186502651,-0.007839550,-0.009414479,4.000000000,0.000000000,6.000000000,straight_acceleration,0.548563700,0.557910932
1.832141644,1.938178635,0.185927828,-0.008461454,-0.008236456,4.000000000,0.000000000,6.000000000,straight_acceleration,0.550093868,0.573922280
1.902608631,2.008642947,0.185312108,-0.009000347,-0.007058440,4.000000000,0.000000000,6.000000000,straight_acceleration,0.556759896,0.588270548
1.973075617,2.079106932,0.184661743,-0.009433630,-0.005034807,4.000000000,0.000000000,6.000000000,straight_acceleration,0.567937484,0.596376676
2.043542603,2.149570675,0.183986391,-0.009707630,-0.002741900,4.000000000,0.000000000,6.000000000,straight_acceleration,0.581527061,0.598429438
2.114009590,2.220034292,0.183297425,-0.009820057,-0.000448994,4.000000000,0.000000000,6.000000000,straight_acceleration,0.594686963,0.597015931
2.184476576,2.290497900,0.182606229,-0.009770909,0.001843911,4.000000000,0.000000000,6.000000000,straight_acceleration,0.604569900,0.594741442
2.254943562,2.360961614,0.181924511,-0.009544335,0.004655915,4.000000000,0.000000000,6.000000000,straight_acceleration,0.608874532,0.593851163
2.325410549,2.431425545,0.181265913,-0.009114357,0.007547765,4.000000000,0.000000000,6.000000000,straight_acceleration,0.608570453,0.594432856
2.395877535,2.501889799,0.180644793,-0.008480598,0.010439621,4.000000000,0.000000000,6.000000000,straight_acceleration,0.605839953,0.595774418
2.466344521,2.572354485,0.180075509,-0.007643060,0.013331469,4.000000000,0.000000000,6.000000000,straight_acceleration,0.602867311,0.597162435
2.536811508,2.642819685,0.179570529,-0.006684449,0.013814967,4.000000000,0.000000000,6.000000000,straight_acceleration,0.601375896,0.598032149
2.607278494,2.713285361,0.179134147,-0.005696116,0.014235986,4.000000000,0.000000000,6.000000000,straight_acceleration,0.601100029,0.598460327
2.677745480,2.783751449,0.178768454,-0.004678113,0.014657024,4.000000000,0.000000000,6.000000000,straight_acceleration,0.601237595,0.598696751
2.748212467,2.854217880,0.178475541,-0.003630268,0.015137637,4.000000000,0.000000000,6.000000000,straight_acceleration,0.600986637,0.598991161
2.818679453,2.924684586,0.178258256,-0.002523321,0.016279786,4.000000000,0.000000000,6.000000000,straight_acceleration,0.599920450,0.599490552
2.889146439,2.995151490,0.178121810,-0.001335890,0.017421955,4.000000000,0.000000000,6.000000000,straight_acceleration,0.598785800,0.600020626
