zone_name,zone_name_cn,start_s_m,end_s_m,wraps_seam,maximum_speed_mps,speed_scale
straight_acceleration_00,straight_acceleration,0.000000000,8.526505345,false,6.000000000,1.000000000
standard_01,standard,8.596972331,9.865378085,false,3.000000000,1.000000000
standard_control_clear_3p3_02,standard_control_clear_3p3,9.935845071,11.908920688,false,3.300000000,1.000000000
standard_03,standard,11.979387675,13.247793428,false,3.000000000,1.000000000
standard_control_clear_3p3_04,standard_control_clear_3p3,13.318260415,14.304798223,false,3.300000000,1.000000000
standard_control_clear_3p5_05,standard_control_clear_3p5,14.375265209,15.432270004,false,3.500000000,1.000000000
standard_control_clear_3p3_06,standard_control_clear_3p3,15.502736991,17.334878635,false,3.300000000,1.000000000
standard_control_clear_3p5_07,standard_control_clear_3p5,17.405345621,18.321416443,false,3.500000000,1.000000000
standard_control_clear_3p3_08,standard_control_clear_3p3,18.391883430,18.673751375,false,3.300000000,1.000000000
standard_09,standard,18.744218361,20.364959047,false,3.000000000,1.000000000
standard_control_clear_3p3_10,standard_control_clear_3p3,20.435426033,20.646826992,false,3.300000000,1.000000000
standard_control_clear_3p5_11,standard_control_clear_3p5,20.717293978,21.703831787,false,3.500000000,1.000000000
standard_control_clear_3p3_12,standard_control_clear_3p3,21.774298773,22.126633705,false,3.300000000,1.000000000
standard_13,standard,22.197100691,32.414813708,false,3.000000000,1.000000000
standard_control_clear_3p3_14,standard_control_clear_3p3,32.485280694,32.908082612,false,3.300000000,1.000000000
standard_control_clear_3p5_15,standard_control_clear_3p5,32.978549598,35.163026174,false,3.500000000,1.000000000
standard_control_clear_3p3_16,standard_control_clear_3p3,35.233493160,35.867696037,false,3.300000000,1.000000000
standard_17,standard,35.938163024,41.786922888,false,3.000000000,1.000000000
standard_control_clear_3p3_18,standard_control_clear_3p3,41.857389875,42.280191792,false,3.300000000,1.000000000
standard_control_clear_3p5_19,standard_control_clear_3p5,42.350658779,43.548597546,false,3.500000000,1.000000000
standard_control_clear_3p3_20,standard_control_clear_3p3,43.619064533,44.887470286,false,3.300000000,1.000000000
standard_21,standard,44.957937273,61.447212072,false,3.000000000,1.000000000
tight_bend_1_standard_22,tight_bend_1_standard,61.517679058,67.084570977,false,3.000000000,1.000000000
standard_23,standard,67.155037964,67.930174813,false,3.000000000,1.000000000
tight_bend_2_standard_24,tight_bend_2_standard,68.000641800,72.580995910,false,3.000000000,1.000000000
round_arc_transition_25,round_arc_transition,72.651462897,72.862863856,false,6.000000000,1.000000000
dynamic_arc_transition_26,dynamic_arc_transition,72.933330842,85.194586462,false,4.000000000,1.000000000
round_arc_transition_27,round_arc_transition,85.265053448,86.322058243,false,6.000000000,1.000000000
straight_acceleration_28,straight_acceleration,86.392525229,90.127275504,false,6.000000000,1.000000000
