s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,speed_limit_mps,speed_zone,w_tr_right_m,w_tr_left_m
0.000000000,0.106211745,0.171355458,0.024190847,0.018081571,5.000000000,0.000000000,5.000000000,straight_acceleration,0.692500000,0.657500000
0.274249113,0.380363297,0.178668884,0.025534480,-0.008282814,5.000000000,0.000000000,5.000000000,straight_acceleration,0.702500000,0.697500000
0.548498225,0.654530460,0.185359535,0.020793409,-0.026292476,5.000000000,0.000000000,5.000000000,straight_acceleration,0.657500000,0.692500000
0.822747338,0.928738251,0.190073112,0.012886596,-0.031369955,5.000000000,0.000000000,5.000000000,straight_acceleration,0.612500000,0.687500000
1.096996451,1.202976480,0.192427528,0.004844044,-0.027282427,5.000000000,0.000000000,5.000000000,straight_acceleration,0.612500000,0.637500000
1.371245564,1.477224924,0.192730026,-0.001908174,-0.021959657,5.000000000,0.000000000,5.000000000,straight_acceleration,0.617500000,0.582500000
1.645494676,1.751470362,0.191380905,-0.007587818,-0.019460283,5.000000000,0.000000000,5.000000000,straight_acceleration,0.562500000,0.537500000
1.919743789,2.025704764,0.188568181,-0.012495374,-0.016328974,5.000000000,0.000000000,5.000000000,straight_acceleration,0.562500000,0.587500000
2.193992902,2.299923947,0.184527415,-0.016070630,-0.009744181,5.000000000,0.000000000,5.000000000,straight_acceleration,0.607500000,0.592500000
2.468242015,2.574131488,0.179753859,-0.017451008,-0.000322439,5.000000000,0.000000000,5.000000000,straight_acceleration,0.602500000,0.597500000
2.742491127,2.848338611,0.174956055,-0.016156712,0.009761297,5.000000000,0.000000000,5.000000000,straight_acceleration,0.597500000,0.602500000
3.016740240,3.122557415,0.170892328,-0.011727729,0.022537943,5.000000000,0.000000000,5.000000000,straight_acceleration,0.592500000,0.607500000
3.290989353,3.396795464,0.168523607,-0.003050253,0.040745342,5.000000000,0.000000000,5.000000000,straight_acceleration,0.592500000,0.607500000
3.565238465,3.671041547,0.169219308,0.010276881,0.056449284,5.000000000,0.000000000,5.000000000,straight_acceleration,0.542500000,0.607500000
3.839487578,3.945243038,0.174160135,0.025844202,0.057084191,5.000000000,0.000000000,5.000000000,straight_acceleration,0.547500000,0.602500000
4.113736691,4.219334601,0.183392660,0.038557173,0.035631241,5.000000000,0.000000000,5.000000000,straight_acceleration,0.557500000,0.592500000
4.387985804,4.493324621,0.195303090,0.043997353,0.004043022,5.000000000,0.000000000,5.000000000,straight_acceleration,0.567500000,0.582500000
4.662234916,4.767301523,0.207517323,0.042237803,-0.016874882,5.000000000,0.000000000,5.000000000,straight_acceleration,0.532500000,0.572500000
4.936484029,5.041331718,0.218463480,0.037165004,-0.020119436,5.000000000,0.000000000,5.000000000,straight_acceleration,0.542500000,0.557500000
5.210733142,5.315418274,0.227897468,0.032514623,-0.013794322,5.000000000,0.000000000,5.000000000,straight_acceleration,0.552500000,0.547500000
5.484982255,5.589538689,0.236294508,0.028628262,-0.014547634,5.000000000,0.000000000,5.000000000,straight_acceleration,0.557500000,0.542500000
5.759231367,5.863690182,0.243597829,0.022681486,-0.028820612,5.000000000,-2.806283044,5.000000000,straight_acceleration,0.567500000,0.532500000
6.033480480,6.137889990,0.248734063,0.012969596,-0.042006527,4.843630738,-4.000000000,5.000000000,straight_acceleration,0.522500000,0.527500000
6.307729593,6.412130358,0.250711276,0.002288450,-0.035889358,4.611590379,-4.000000000,5.000000000,straight_acceleration,0.472500000,0.527500000
6.581978705,6.686378032,0.249989253,-0.002966247,-0.002432191,4.367238593,-4.000000000,5.000000000,straight_acceleration,0.522500000,0.577500000
6.856227818,6.960625186,0.249084300,0.003662639,0.050777328,4.108379245,-4.000000000,5.000000000,straight_acceleration,0.572500000,0.577500000
7.130476931,7.234853323,0.251998129,0.024861965,0.103846380,3.832073475,-4.000000000,5.000000000,straight_acceleration,0.572500000,0.527500000
7.404726044,7.508879688,0.262717793,0.058545379,0.141870164,3.534231772,-4.000000000,5.000000000,straight_acceleration,0.537500000,0.567500000
7.678975156,7.782273518,0.284083718,0.103230943,0.184180842,3.208862933,-4.000000000,5.000000000,straight_acceleration,0.557500000,0.597500000
7.953224269,8.054224081,0.319215042,0.164684535,0.264467295,2.846543240,-4.000000000,5.000000000,straight_acceleration,0.547500000,0.617500000
8.227473382,8.322867631,0.373924875,0.264227819,0.463924419,2.430805528,-4.000000000,5.000000000,straight_acceleration,0.612500000,0.677500000
8.501722495,8.582203946,0.462061936,0.446717987,0.882531200,1.927387509,-2.572575652,3.200000000,standard,0.702500000,0.737500000
8.775971607,8.812737287,0.608579109,0.743541134,1.336457761,1.517817325,-0.183785928,3.200000000,standard,0.992500000,0.782500000
9.050220720,8.977582657,0.825653826,1.105245342,1.385961727,1.484238248,2.117188057,3.200000000,standard,1.122500000,0.777500000
9.324469833,9.053551058,1.087923543,1.416561734,0.945252167,1.834185669,2.400000000,3.200000000,standard,0.942500000,0.782500000
9.598718946,9.060925416,1.361725829,1.605502500,0.451052535,2.163477019,2.400000000,3.200000000,standard,0.822500000,0.677500000
9.872968058,9.034570160,1.634606573,1.706437123,0.287444577,2.448883123,2.400000000,3.200000000,standard,0.752500000,0.607500000
10.147217171,8.986831964,1.904619224,1.774241127,0.207661188,2.704334353,2.400000000,3.200000000,standard,0.657500000,0.667500000
10.421466284,8.923809679,2.171499775,1.824760710,0.161012061,2.937655534,2.400000000,3.200000000,standard,0.682500000,0.712500000
10.695715396,8.849070383,2.435351082,1.861812239,0.109295734,3.153762162,0.535615639,3.200000000,standard,0.667500000,0.722500000
10.969964509,8.766455331,2.696855711,1.881694623,0.035727119,3.200000000,0.000000000,3.200000000,standard,0.697500000,0.717500000
11.244213622,8.681280631,2.957542856,1.880225405,-0.046442984,3.200000000,0.000000000,3.200000000,standard,0.682500000,0.732500000
11.518462735,8.599434981,3.219287161,1.855480708,-0.134063962,3.200000000,0.000000000,3.200000000,standard,0.657500000,0.747500000
11.792711847,8.527268095,3.483842267,1.806208973,-0.225529109,3.200000000,-0.209822412,3.200000000,standard,0.622500000,0.767500000
12.066960960,8.471583029,3.752314451,1.732606884,-0.312018500,3.181966810,-3.104508036,3.200000000,standard,0.567500000,0.747500000
12.341210073,8.439009485,4.024517626,1.638942560,-0.372566711,2.902084704,-0.615161747,3.200000000,standard,0.542500000,0.807500000
12.615459186,8.434298136,4.298597909,1.534632741,-0.390177646,2.843357259,0.877248102,3.200000000,standard,0.497500000,0.852500000
12.889708298,8.458803419,4.571623360,1.430649943,-0.370169509,2.926747261,2.213899263,3.200000000,standard,0.527500000,0.782500000
13.163957411,8.510786437,4.840794383,1.335417880,-0.325914143,3.127326230,0.838344834,3.200000000,standard,0.537500000,0.802500000
13.438206524,8.586549960,5.104291498,1.253859565,-0.269880457,3.200000000,0.000000000,3.200000000,standard,0.627500000,0.742500000
13.712455636,8.681574283,5.361499828,1.188490507,-0.207373485,3.200000000,0.000000000,3.200000000,standard,0.647500000,0.752500000
13.986704749,8.791062659,5.612917128,1.141091125,-0.138515698,3.200000000,0.000000000,3.200000000,standard,0.687500000,0.752500000
14.260953862,8.910024500,5.860011785,1.113636728,-0.061757816,3.200000000,0.000000000,3.200000000,standard,0.692500000,0.757500000
14.535202975,9.033157604,6.105063951,1.108459606,0.023997823,3.200000000,0.000000000,3.200000000,standard,0.732500000,0.782500000
14.809452087,9.154673622,6.350917783,1.127730644,0.116573740,3.200000000,0.000000000,3.200000000,standard,0.752500000,0.742500000
15.083701200,9.268263214,6.600512220,1.172164259,0.207671597,3.200000000,0.000000000,3.200000000,standard,0.827500000,0.797500000
15.357950313,9.367461863,6.856134994,1.239423593,0.283425779,3.200000000,-1.344823549,3.200000000,standard,0.807500000,0.777500000
15.632199426,9.446533566,7.118650553,1.323582578,0.331415628,3.082590902,-0.695217471,3.200000000,standard,0.862500000,0.737500000
15.906448538,9.501498084,7.387232096,1.416277081,0.346012141,3.020106144,0.893200597,3.200000000,standard,0.892500000,0.677500000
16.180697651,9.530824777,7.659808319,1.508794630,0.330120385,3.100154845,1.146840421,3.200000000,standard,0.852500000,0.647500000
16.454946764,9.535438067,7.933934568,1.594238591,0.294137621,3.200000000,0.000000000,3.200000000,standard,0.797500000,0.702500000
16.729195876,9.517981783,8.207564345,1.668341584,0.247029066,3.200000000,0.000000000,3.200000000,standard,0.767500000,0.737500000
17.003444989,9.482060224,8.479408936,1.728515403,0.192216354,3.200000000,0.000000000,3.200000000,standard,0.757500000,0.757500000
17.277694102,9.431871323,8.749003387,1.773291039,0.134499200,3.200000000,0.000000000,3.200000000,standard,0.717500000,0.852500000
17.551943215,9.371774980,9.016577158,1.803341820,0.084710262,3.200000000,0.000000000,3.200000000,standard,0.732500000,0.862500000
17.826192327,9.305478647,9.282688595,1.824800178,0.071797713,3.200000000,-0.138467795,3.200000000,standard,0.752500000,0.852500000
18.100441440,9.233956774,9.547441006,1.851217394,0.120898344,3.188110829,-4.000000000,3.200000000,standard,0.777500000,0.937500000
18.374690553,9.153705164,9.809661074,1.902918738,0.256540219,2.823129072,-4.000000000,3.200000000,standard,0.822500000,0.922500000
18.648939666,9.055273491,10.065516712,2.009396142,0.523242638,2.403344514,-4.000000000,3.200000000,standard,0.857500000,0.962500000
18.923188778,8.921587076,10.304507312,2.198441539,0.870633491,1.892636245,-1.259957509,3.200000000,standard,1.062500000,0.972500000
19.197437891,8.736157140,10.505365182,2.457721806,1.052226734,1.700290416,1.100106961,3.200000000,standard,1.317500000,0.957500000
19.471687004,8.502014673,10.646493910,2.720215500,0.895209592,1.869329884,2.400000000,3.200000000,standard,0.912500000,0.952500000
19.745936116,8.240494731,10.727533643,2.918753429,0.569457706,2.193351306,2.400000000,3.200000000,standard,0.767500000,0.922500000
20.020185229,7.969269312,10.767215354,3.036939154,0.296684558,2.475315272,2.400000000,3.200000000,standard,0.662500000,0.792500000
20.294434342,7.695621249,10.784765654,3.099747040,0.161979228,2.728292770,2.400000000,3.200000000,standard,0.642500000,0.707500000
