s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,speed_limit_mps,speed_zone,w_tr_right_m,w_tr_left_m
0.000000000,0.106211745,0.171355458,0.024766031,0.011406290,4.000000000,0.000000000,4.000000000,straight_acceleration,0.692500000,0.657500000
0.070198658,0.176388464,0.173115510,0.025292665,0.003597747,4.000000000,0.000000000,4.000000000,straight_acceleration,0.696626466,0.664699040
0.140397316,0.246564613,0.174893283,0.025271145,-0.004210878,4.000000000,0.000000000,4.000000000,straight_acceleration,0.701007036,0.676772349
0.210595974,0.316741214,0.176650309,0.024701469,-0.012019525,4.000000000,0.000000000,4.000000000,straight_acceleration,0.703413974,0.689473335
0.280794631,0.386919288,0.178348128,0.023585433,-0.019279943,4.000000000,0.000000000,4.000000000,straight_acceleration,0.701620080,0.698556353
0.350993289,0.457099632,0.179954566,0.022164277,-0.021209564,4.000000000,0.000000000,4.000000000,straight_acceleration,0.694260006,0.701295599
0.421191947,0.527282349,0.181456513,0.020607659,-0.023139320,4.000000000,0.000000000,4.000000000,straight_acceleration,0.682580529,0.699571652
0.491390605,0.597467413,0.182844456,0.018915570,-0.025069184,4.000000000,0.000000000,4.000000000,straight_acceleration,0.668321430,0.696134480
0.561589263,0.667654798,0.184108899,0.017091470,-0.026469893,4.000000000,0.000000000,4.000000000,straight_acceleration,0.653221544,0.693728600
0.631787921,0.737844403,0.185244175,0.015265153,-0.025562844,4.000000000,0.000000000,4.000000000,straight_acceleration,0.638780577,0.693717298
0.701986578,0.808035947,0.186253495,0.013502506,-0.024655893,4.000000000,0.000000000,4.000000000,straight_acceleration,0.625944127,0.694263291
0.772185236,0.878229126,0.187141325,0.011803521,-0.023749063,4.000000000,0.000000000,4.000000000,straight_acceleration,0.615579522,0.693077201
0.842383894,0.948423636,0.187912178,0.010175453,-0.022103574,4.000000000,0.000000000,4.000000000,straight_acceleration,0.608548661,0.687884661
0.912582552,1.018619198,0.188574922,0.008748245,-0.018558369,4.000000000,0.000000000,4.000000000,straight_acceleration,0.605216735,0.677785573
0.982781210,1.088815579,0.189146216,0.007569906,-0.015013150,4.000000000,0.000000000,4.000000000,straight_acceleration,0.605060154,0.664338871
1.052979868,1.159012549,0.189643530,0.006640436,-0.011467968,4.000000000,0.000000000,4.000000000,straight_acceleration,0.607463062,0.649358760
1.123178526,1.229209880,0.190084362,0.005963197,-0.007666130,4.000000000,0.000000000,4.000000000,straight_acceleration,0.611794406,0.634634949
1.193377183,1.299407395,0.190487556,0.005573598,-0.003433786,4.000000000,0.000000000,4.000000000,straight_acceleration,0.616728351,0.620837287
1.263575841,1.369604984,0.190873828,0.005481103,0.000798567,4.000000000,0.000000000,4.000000000,straight_acceleration,0.619971283,0.607075753
1.333774499,1.439802543,0.191264036,0.005685714,0.005030922,4.000000000,0.000000000,4.000000000,straight_acceleration,0.619157908,0.592344789
1.403973157,1.509999969,0.191678683,0.006155250,0.007299707,4.000000000,0.000000000,4.000000000,straight_acceleration,0.612024092,0.575717939
1.474171815,1.580197193,0.192128779,0.006668632,0.007326845,4.000000000,0.000000000,4.000000000,straight_acceleration,0.599037838,0.558405184
1.544370473,1.650394184,0.192614979,0.007183919,0.007353989,4.000000000,0.000000000,4.000000000,straight_acceleration,0.583645485,0.543945458
1.614569130,1.720590913,0.193137418,0.007701113,0.007381139,4.000000000,0.000000000,4.000000000,straight_acceleration,0.569443893,0.535995396
1.684767788,1.790787352,0.193695886,0.008194024,0.006075706,4.000000000,0.000000000,4.000000000,straight_acceleration,0.559911177,0.537956605
1.754966446,1.860983544,0.194284126,0.008537943,0.003722733,4.000000000,0.000000000,4.000000000,straight_acceleration,0.556432403,0.548735404
1.825165104,1.931179582,0.194890710,0.008716686,0.001369759,4.000000000,0.000000000,4.000000000,straight_acceleration,0.558602578,0.563393570
