s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,speed_limit_mps,speed_zone,w_tr_right_m,w_tr_left_m
0.000000000,0.106211745,0.171355458,0.025378934,0.019148077,4.000000000,0.000000000,6.000000000,straight_acceleration,0.652719937,0.632064345
0.274249083,0.380363297,0.178668884,0.026627214,-0.010044903,4.000000000,0.000000000,6.000000000,straight_acceleration,0.627569646,0.649188624
0.548497872,0.654530460,0.185359535,0.021319075,-0.028665491,4.000000000,0.000000000,6.000000000,straight_acceleration,0.600144767,0.621763745
0.822746173,0.928738251,0.190073112,0.012856870,-0.033046897,4.000000000,0.000000000,6.000000000,straight_acceleration,0.572719937,0.594338915
1.096994508,1.202976480,0.192427528,0.004573028,-0.027364599,4.000000000,0.000000000,6.000000000,straight_acceleration,0.572719937,0.566914082
1.371243119,1.477224924,0.192730026,-0.002084681,-0.021187796,4.000000000,0.000000000,6.000000000,straight_acceleration,0.550144813,0.539489221
1.645491875,1.751470362,0.191380905,-0.007683334,-0.019641249,4.000000000,0.000000000,6.000000000,straight_acceleration,0.522719937,0.512064345
1.919740702,2.025704764,0.188568181,-0.012708886,-0.017008381,4.000000000,0.000000000,6.000000000,straight_acceleration,0.522719937,0.539489228
2.193989654,2.299923947,0.184527415,-0.016453365,-0.010298790,4.000000000,0.000000000,6.000000000,straight_acceleration,0.550144832,0.566914123
2.468238743,2.574131488,0.179753859,-0.017901431,-0.000261425,4.000000000,0.000000000,6.000000000,straight_acceleration,0.562719937,0.572064345
2.742487836,2.848338611,0.174956055,-0.016646957,0.009409846,4.000000000,0.000000000,6.000000000,straight_acceleration,0.557719937,0.577064345
3.016736749,3.122557415,0.170892328,-0.012451013,0.021189618,4.000000000,0.000000000,6.000000000,straight_acceleration,0.552719937,0.582064345
3.290985028,3.396795464,0.168523607,-0.003915314,0.041058199,4.000000000,0.000000000,6.000000000,straight_acceleration,0.530144634,0.582064345
3.565231993,3.671041547,0.169219308,0.009811002,0.059044489,4.000000000,0.000000000,6.000000000,straight_acceleration,0.502719937,0.582064345
3.839477995,3.945243038,0.174160135,0.026332885,0.061447845,4.000000000,0.000000000,6.000000000,straight_acceleration,0.507719937,0.577064345
4.113725008,4.219334601,0.183392660,0.039922389,0.037657480,4.000000000,0.000000000,6.000000000,straight_acceleration,0.517719937,0.567064345
4.387973781,4.493324621,0.195303090,0.045320272,0.001706926,4.000000000,0.000000000,6.000000000,straight_acceleration,0.520144840,0.557064345
4.662222811,4.767301523,0.207517323,0.042780645,-0.020227506,4.000000000,0.000000000,6.000000000,straight_acceleration,0.492719937,0.547064345
4.936471541,5.041331718,0.218463480,0.036983933,-0.022046087,4.000000000,0.000000000,6.000000000,straight_acceleration,0.502719937,0.532064345
5.210720407,5.315418274,0.227897468,0.032273665,-0.012304259,4.000000000,0.000000000,6.000000000,straight_acceleration,0.512719937,0.522064345
5.484969404,5.589538689,0.236294508,0.029009168,-0.011502510,4.000000000,0.000000000,6.000000000,straight_acceleration,0.514994353,0.517064345
5.759218159,5.863690182,0.243597829,0.023459223,-0.028971147,4.000000000,0.000000000,6.000000000,straight_acceleration,0.487569478,0.507064345
6.033466068,6.137889990,0.248734063,0.013242727,-0.045534850,4.000000000,0.000000000,6.000000000,straight_acceleration,0.460144687,0.502064345
6.307713563,6.412130358,0.250711276,0.001387336,-0.040924141,4.000000000,0.000000000,6.000000000,straight_acceleration,0.432719937,0.502064345
6.581962188,6.686378032,0.249989253,-0.005061152,-0.006102360,4.000000000,0.000000000,6.000000000,straight_acceleration,0.460144800,0.529489208
6.856210835,6.960625186,0.249084300,0.001059758,0.050738095,4.000000000,-2.393140302,6.000000000,straight_acceleration,0.487569664,0.529488707
7.130454452,7.234853323,0.251998129,0.022799110,0.107802681,3.832413482,-4.000000000,6.000000000,straight_acceleration,0.514994026,0.502064345
7.404690409,7.508879688,0.262717793,0.056918968,0.141045411,3.534615317,-4.000000000,6.000000000,straight_acceleration,0.497719937,0.529487941
7.678917849,7.782273518,0.284083718,0.100801210,0.179007657,3.209312375,-4.000000000,6.000000000,straight_acceleration,0.517719937,0.556910685
