s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,speed_limit_mps,speed_zone,w_tr_right_m,w_tr_left_m
0.000000000,0.106211745,0.171355458,0.025378934,0.019148077,4.000000000,0.000000000,6.000000000,straight_acceleration,0.692500000,0.657500000
0.070063185,0.176251362,0.173174280,0.026459249,0.011690145,4.000000000,0.000000000,6.000000000,straight_acceleration,0.696679751,0.664616852
0.140126371,0.246289396,0.175050465,0.027017030,0.004232101,4.000000000,0.000000000,6.000000000,straight_acceleration,0.701156557,0.676557696
0.210189556,0.316326878,0.176947417,0.027052277,-0.003225954,4.000000000,0.000000000,6.000000000,straight_acceleration,0.703717208,0.689098853
0.280252742,0.386364839,0.178828543,0.026565684,-0.010452523,4.000000000,0.000000000,6.000000000,straight_acceleration,0.702148907,0.698017372
0.350315927,0.456404184,0.180660066,0.025666701,-0.015209525,4.000000000,0.000000000,6.000000000,straight_acceleration,0.695075228,0.700574327
0.420379113,0.526445433,0.182416953,0.024434424,-0.019966609,4.000000000,0.000000000,6.000000000,straight_acceleration,0.683711524,0.698629493
0.490442298,0.596489027,0.184075854,0.022868848,-0.024723730,4.000000000,0.000000000,6.000000000,straight_acceleration,0.669773664,0.694930744
0.560505484,0.666535409,0.185613437,0.020973719,-0.028857246,4.000000000,0.000000000,6.000000000,straight_acceleration,0.654976794,0.692221745
0.630568669,0.736584829,0.187011089,0.018912683,-0.029976279,4.000000000,0.000000000,6.000000000,straight_acceleration,0.640807567,0.691919890
0.700631855,0.806637077,0.188261619,0.016773233,-0.031095569,4.000000000,0.000000000,6.000000000,straight_acceleration,0.628199976,0.692234712
0.770695040,0.876691871,0.189359526,0.014555355,-0.032215079,4.000000000,0.000000000,6.000000000,straight_acceleration,0.618006112,0.690900332
0.840758226,0.946748930,0.190299345,0.012264988,-0.032673635,4.000000000,0.000000000,6.000000000,straight_acceleration,0.611073886,0.685662419
0.910821411,1.016807937,0.191079647,0.010026625,-0.031221768,4.000000000,0.000000000,6.000000000,straight_acceleration,0.607779778,0.675571122
0.980884597,1.086868509,0.191706694,0.007889980,-0.029770025,4.000000000,0.000000000,6.000000000,straight_acceleration,0.607602277,0.662161338
1.050947782,1.156930253,0.192187608,0.005855042,-0.028318467,4.000000000,0.000000000,6.000000000,straight_acceleration,0.609919121,0.647246757
1.121010968,1.226992777,0.192529516,0.003922321,-0.026823672,4.000000000,0.000000000,6.000000000,straight_acceleration,0.614096348,0.632622268
1.191074153,1.297055765,0.192739781,0.002098248,-0.025245609,4.000000000,0.000000000,6.000000000,straight_acceleration,0.618843648,0.619027774
1.261137338,1.367119008,0.192826118,0.000384739,-0.023667569,4.000000000,0.000000000,6.000000000,straight_acceleration,0.621878692,0.605608655
1.331200524,1.437182311,0.192796275,-0.001218210,-0.022089597,4.000000000,0.000000000,6.000000000,straight_acceleration,0.620836711,0.591377778
1.401263709,1.507245477,0.192657920,-0.002718211,-0.021018481,4.000000000,0.000000000,6.000000000,straight_acceleration,0.613430858,0.575408615
1.471326895,1.577308338,0.192416209,-0.004176993,-0.020623345,4.000000000,0.000000000,6.000000000,straight_acceleration,0.599949935,0.558777947
1.541390080,1.647370766,0.192073261,-0.005608090,-0.020228238,4.000000000,0.000000000,6.000000000,straight_acceleration,0.583787564,0.544977439
1.611453266,1.717432633,0.191631018,-0.007011506,-0.019833169,4.000000000,0.000000000,6.000000000,straight_acceleration,0.568522281,0.537642582
1.681516451,1.787493813,0.191091449,-0.008384673,-0.019295375,4.000000000,0.000000000,6.000000000,straight_acceleration,0.557641481,0.540212065
1.751579637,1.857554198,0.190457191,-0.009713005,-0.018622711,4.000000000,0.000000000,6.000000000,straight_acceleration,0.552669460,0.551885720
1.821642822,1.927613698,0.189731522,-0.010994209,-0.017950081,4.000000000,0.000000000,6.000000000,straight_acceleration,0.553238677,0.567778387
1.891706008,1.997672226,0.188917743,-0.012228288,-0.017277493,4.000000000,0.000000000,6.000000000,straight_acceleration,0.558904704,0.582838894
1.961769193,2.067729698,0.188019342,-0.013402115,-0.015980134,4.000000000,0.000000000,6.000000000,straight_acceleration,0.569138326,0.592289998
2.031832379,2.137786109,0.187042559,-0.014461686,-0.014266000,4.000000000,0.000000000,6.000000000,straight_acceleration,0.582140956,0.595455489
2.101895564,2.207841515,0.185995753,-0.015401159,-0.012551875,4.000000000,0.000000000,6.000000000,straight_acceleration,0.595136499,0.594817253
2.171958750,2.277895973,0.184887339,-0.016220536,-0.010837773,4.000000000,0.000000000,6.000000000,straight_acceleration,0.605323691,0.592938479
2.242021935,2.347949549,0.183725955,-0.016905820,-0.008540842,4.000000000,0.000000000,6.000000000,straight_acceleration,0.610166910,0.592207137
2.312085120,2.418002402,0.182522674,-0.017414388,-0.005976567,4.000000000,0.000000000,6.000000000,straight_acceleration,0.610016107,0.593107865
2.382148306,2.488054747,0.181290059,-0.017743295,-0.003412290,4.000000000,0.000000000,6.000000000,straight_acceleration,0.606991053,0.594957917
2.452211491,2.558106801,0.180040696,-0.017892540,-0.000848014,4.000000000,0.000000000,6.000000000,straight_acceleration,0.603237151,0.597057641
2.522274677,2.628158781,0.178787136,-0.017864073,0.001644129,4.000000000,0.000000000,6.000000000,straight_acceleration,0.600676269,0.598778880
2.592337862,2.698210900,0.177541644,-0.017662326,0.004114878,4.000000000,0.000000000,6.000000000,straight_acceleration,0.599416684,0.600073525
2.662401048,2.768263370,0.176316349,-0.017287470,0.006585627,4.000000000,0.000000000,6.000000000,straight_acceleration,0.598686013,0.601175131
2.732464233,2.838316403,0.175123377,-0.016739506,0.009056370,4.000000000,0.000000000,6.000000000,straight_acceleration,0.597706040,0.602319119
2.802527419,2.908370204,0.173975131,-0.016004576,0.011988720,4.000000000,0.000000000,6.000000000,straight_acceleration,0.595881636,0.603690835
2.872590604,2.978424952,0.172885731,-0.015059182,0.014998156,4.000000000,0.000000000,6.000000000,straight_acceleration,0.593748281,0.605166396
2.942653790,3.048480811,0.171869946,-0.013902938,0.018007588,4.000000000,0.000000000,6.000000000,straight_acceleration,0.592272584,0.606504001
3.012716975,3.118537946,0.170942548,-0.012535843,0.021016963,4.000000000,0.000000000,6.000000000,straight_acceleration,0.592422008,0.607461619
3.082780161,3.188596489,0.170119726,-0.010893581,0.025974153,4.000000000,0.000000000,6.000000000,straight_acceleration,0.594667213,0.607863457
