s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,speed_limit_mps,speed_zone,w_tr_right_m,w_tr_left_m
0.000000000,0.106211745,0.171355458,0.025378934,0.019148077,4.000000000,0.000000000,6.000000000,straight_acceleration,0.689906153,0.653209121
0.069433481,0.175621878,0.173157622,0.026451866,0.011757175,4.000000000,0.000000000,6.000000000,straight_acceleration,0.685424457,0.660152470
0.138866961,0.245030447,0.175016447,0.027011616,0.004366162,4.000000000,0.000000000,6.000000000,straight_acceleration,0.678481109,0.667095818
0.208300442,0.314438455,0.176896313,0.027058181,-0.003024863,4.000000000,0.000000000,6.000000000,straight_acceleration,0.671537761,0.673026584
0.277733922,0.383846906,0.178761603,0.026591797,-0.010281507,4.000000000,0.000000000,6.000000000,straight_acceleration,0.664594413,0.666083236
0.347167403,0.453256694,0.180579188,0.025714252,-0.014995752,4.000000000,0.000000000,6.000000000,straight_acceleration,0.657651064,0.659139888
0.416600884,0.522668331,0.182324501,0.024509378,-0.019710077,4.000000000,0.000000000,6.000000000,straight_acceleration,0.650707716,0.652196539
0.486034364,0.592082248,0.183974819,0.022977169,-0.024424443,4.000000000,0.000000000,6.000000000,straight_acceleration,0.643764368,0.645253191
0.555467845,0.661498876,0.185507420,0.021118889,-0.028776796,4.000000000,0.000000000,6.000000000,straight_acceleration,0.636821020,0.638309843
0.624901325,0.730918490,0.186903430,0.019082313,-0.029885751,4.000000000,0.000000000,6.000000000,straight_acceleration,0.629877672,0.631366495
0.694334806,0.800340903,0.188155386,0.016968728,-0.030994962,4.000000000,0.000000000,6.000000000,straight_acceleration,0.622934324,0.624423147
0.763768287,0.869765841,0.189257936,0.014778118,-0.032104391,4.000000000,0.000000000,6.000000000,straight_acceleration,0.615990976,0.617479799
0.833201767,0.939193032,0.190205733,0.012512477,-0.032830227,4.000000000,0.000000000,6.000000000,straight_acceleration,0.609047628,0.610536451
0.902635248,1.008622174,0.190996521,0.010282906,-0.031391398,4.000000000,0.000000000,6.000000000,straight_acceleration,0.605398063,0.603593103
0.972068728,1.078052897,0.191635978,0.008153234,-0.029952685,4.000000000,0.000000000,6.000000000,straight_acceleration,0.604880739,0.596649755
1.041502209,1.147484820,0.192131037,0.006123451,-0.028514146,4.000000000,0.000000000,6.000000000,straight_acceleration,0.606890022,0.589706407
1.110935690,1.216917560,0.192488632,0.004193721,-0.027050600,4.000000000,0.000000000,6.000000000,straight_acceleration,0.610817985,0.582763059
1.180369170,1.286350791,0.192715868,0.002369793,-0.025486722,4.000000000,0.000000000,6.000000000,straight_acceleration,0.605493140,0.575819711
1.249802651,1.355784302,0.192820231,0.000654450,-0.023922858,4.000000000,0.000000000,6.000000000,straight_acceleration,0.598549791,0.568876363
1.319236132,1.425217903,0.192809262,-0.000952309,-0.022359054,4.000000000,0.000000000,6.000000000,straight_acceleration,0.591606443,0.561933015
1.388669612,1.494651402,0.192690485,-0.002453055,-0.021089511,4.000000000,0.000000000,6.000000000,straight_acceleration,0.584663095,0.554989667
1.458103093,1.564084627,0.192469639,-0.003903780,-0.020697921,4.000000000,0.000000000,6.000000000,straight_acceleration,0.577719747,0.548046319
1.527536573,1.633517450,0.192149009,-0.005327317,-0.020306359,4.000000000,0.000000000,6.000000000,straight_acceleration,0.570776399,0.541102971
1.596970054,1.702949746,0.191730483,-0.006723667,-0.019914833,4.000000000,0.000000000,6.000000000,straight_acceleration,0.563833051,0.534159622
1.666403535,1.772381393,0.191215955,-0.008091967,-0.019440474,4.000000000,0.000000000,6.000000000,straight_acceleration,0.556889703,0.534445458
1.735837015,1.841812279,0.190607783,-0.009418645,-0.018773851,4.000000000,0.000000000,6.000000000,straight_acceleration,0.550694326,0.541388806
1.805270496,1.911242317,0.189909106,-0.010699038,-0.018107257,4.000000000,0.000000000,6.000000000,straight_acceleration,0.550039100,0.548332155
1.874703976,1.980671419,0.189123139,-0.011933148,-0.017440703,4.000000000,0.000000000,6.000000000,straight_acceleration,0.554491475,0.555275503
1.944137457,2.050099502,0.188253131,-0.013116554,-0.016411504,4.000000000,0.000000000,6.000000000,straight_acceleration,0.561434823,0.562218851
2.013570938,2.119526533,0.187304237,-0.014197088,-0.014712776,4.000000000,0.000000000,6.000000000,straight_acceleration,0.568378171,0.569162199
2.083004418,2.188952563,0.186284420,-0.015159674,-0.013014053,4.000000000,0.000000000,6.000000000,straight_acceleration,0.575321519,0.576105547
2.152437899,2.258377646,0.185201869,-0.016004312,-0.011315350,4.000000000,0.000000000,6.000000000,straight_acceleration,0.582264867,0.583048895
2.221871379,2.327801841,0.184064817,-0.016726287,-0.009278339,4.000000000,0.000000000,6.000000000,straight_acceleration,0.589208215,0.587931767
2.291304860,2.397225269,0.182883186,-0.017282291,-0.006737114,4.000000000,0.000000000,6.000000000,straight_acceleration,0.596151563,0.588419267
2.360738341,2.466648135,0.181669080,-0.017661850,-0.004195883,4.000000000,0.000000000,6.000000000,straight_acceleration,0.603094912,0.590042901
2.430171821,2.536070651,0.180434749,-0.017864961,-0.001654654,4.000000000,0.000000000,6.000000000,straight_acceleration,0.601772797,0.592121714
2.499605302,2.605493027,0.179192435,-0.017892283,0.000844703,4.000000000,0.000000000,6.000000000,straight_acceleration,0.598732281,0.593988734
2.569038782,2.674915472,0.177954181,-0.017748627,0.003293246,4.000000000,0.000000000,6.000000000,straight_acceleration,0.597144644,0.595385148
2.638472263,2.744338193,0.176731801,-0.017434960,0.005741789,4.000000000,0.000000000,6.000000000,straight_acceleration,0.596330615,0.596515091
2.707905744,2.813761394,0.175537098,-0.016951282,0.008190329,4.000000000,0.000000000,6.000000000,straight_acceleration,0.595532775,0.597607692
2.777339224,2.883185283,0.174381929,-0.016292925,0.010906812,4.000000000,0.000000000,6.000000000,straight_acceleration,0.594029512,0.598882288
2.846772705,2.952610042,0.173279388,-0.015432088,0.013889194,4.000000000,0.000000000,6.000000000,straight_acceleration,0.591915392,0.600334986
2.916206185,3.022035832,0.172243798,-0.014364173,0.016871584,4.000000000,0.000000000,6.000000000,straight_acceleration,0.590097037,0.601739789
2.985639666,3.091462814,0.171289538,-0.013089181,0.019853942,4.000000000,0.000000000,6.000000000,straight_acceleration,0.589516057,0.602861132
3.055073147,3.160891142,0.170431262,-0.011585442,0.023966881,4.000000000,0.000000000,6.000000000,straight_acceleration,0.591016892,0.603476406
3.124506627,3.230320854,0.169688671,-0.009746699,0.028997154,4.000000000,0.000000000,6.000000000,straight_acceleration,0.584597930,0.603599004
3.193940108,3.299751885,0.169085870,-0.007558680,0.034027585,4.000000000,0.000000000,6.000000000,straight_acceleration,0.577654582,0.603448295
3.263373589,3.369184168,0.168647112,-0.005021380,0.039057918,4.000000000,0.000000000,6.000000000,straight_acceleration,0.570711234,0.603250562
3.332807069,3.438617605,0.168396567,-0.002140826,0.043800240,4.000000000,0.000000000,6.000000000,straight_acceleration,0.563767886,0.603217192
3.402240550,3.508051638,0.168357161,0.001058473,0.048353511,4.000000000,0.000000000,6.000000000,straight_acceleration,0.556824538,0.603338722
3.471674030,3.577485362,0.168550872,0.004573954,0.052907635,4.000000000,0.000000000,6.000000000,straight_acceleration,0.549881190,0.603436723
3.541107511,3.646917861,0.168999652,0.008405659,0.057462101,4.000000000,0.000000000,6.000000000,straight_acceleration,0.542937842,0.603328477
3.610540992,3.716348194,0.169724572,0.012495230,0.059439781,4.000000000,0.000000000,6.000000000,straight_acceleration,0.536534959,0.602840550
3.679974472,3.785775134,0.170735904,0.016643462,0.060046956,4.000000000,0.000000000,6.000000000,straight_acceleration,0.536124096,0.601913141
3.749407953,3.855197253,0.172036691,0.020833911,0.060655773,4.000000000,0.000000000,6.000000000,straight_acceleration,0.539328030,0.600562573
3.818841433,3.924613125,0.173629840,0.025066678,0.061266146,4.000000000,0.000000000,6.000000000,straight_acceleration,0.543726108,0.598806570
3.888274914,3.994021408,0.175516411,0.029228078,0.057214263,4.000000000,0.000000000,6.000000000,straight_acceleration,0.547096860,0.596668300
3.957708395,4.063421649,0.177678558,0.032991552,0.051190210,4.000000000,0.000000000,6.000000000,straight_acceleration,0.549255153,0.594226588
4.027141875,4.132813917,0.180087368,0.036336779,0.045166862,4.000000000,0.000000000,6.000000000,straight_acceleration,0.551208190,0.591592847
4.096575356,4.202198286,0.182713789,0.039263820,0.039144709,4.000000000,0.000000000,6.000000000,straight_acceleration,0.553978235,0.588878902
4.166008836,4.271574960,0.185527715,0.041712113,0.030804085,4.000000000,0.000000000,6.000000000,straight_acceleration,0.558361437,0.586190175
4.235442317,4.340945243,0.188489974,0.043534962,0.021702174,4.000000000,0.000000000,6.000000000,straight_acceleration,0.563205498,0.583576908
4.304875798,4.410311004,0.191556762,0.044725827,0.012600150,4.000000000,0.000000000,6.000000000,straight_acceleration,0.565394229,0.581061166
4.374309278,4.479674117,0.194684237,0.045284709,0.003498187,4.000000000,0.000000000,6.000000000,straight_acceleration,0.558450881,0.578664788
4.443742759,4.549036396,0.197830036,0.045291090,-0.002753466,4.000000000,0.000000000,6.000000000,straight_acceleration,0.551507533,0.576390525
4.513176239,4.618399222,0.200962593,0.044907115,-0.008306764,4.000000000,0.000000000,6.000000000,straight_acceleration,0.544564185,0.574101497
4.582609720,4.687763784,0.204055140,0.044137554,-0.013860080,4.000000000,0.000000000,6.000000000,straight_acceleration,0.537620837,0.571598800
4.652043201,4.757131271,0.207080933,0.042982409,-0.019413354,4.000000000,0.000000000,6.000000000,straight_acceleration,0.530677489,0.568683249
4.721476681,4.826502736,0.210015763,0.041570449,-0.020620292,4.000000000,0.000000000,6.000000000,straight_acceleration,0.527886745,0.565206130
4.790910162,4.895878398,0.212851284,0.040122727,-0.021080655,4.000000000,0.000000000,6.000000000,straight_acceleration,0.529715133,0.561333845
4.860343642,4.965258151,0.215585258,0.038643035,-0.021541119,4.000000000,0.000000000,6.000000000,straight_acceleration,0.534215161,0.557354188
4.929777123,5.034641889,0.218215457,0.037131370,-0.022001678,4.000000000,0.000000000,6.000000000,straight_acceleration,0.539436626,0.553555210
4.999210604,5.104029457,0.220741391,0.035670691,-0.019817465,4.000000000,0.000000000,6.000000000,straight_acceleration,0.543693954,0.550192084
5.068644084,5.173420434,0.223171848,0.034380322,-0.017351028,4.000000000,0.000000000,6.000000000,straight_acceleration,0.546717328,0.547344109
5.138077565,5.242814312,0.225518706,0.033261204,-0.014884619,4.000000000,0.000000000,6.000000000,straight_acceleration,0.548708425,0.545032009
5.207511046,5.312210583,0.227793845,0.032313336,-0.012418258,4.000000000,0.000000000,6.000000000,straight_acceleration,0.549869242,0.543276467
5.276944526,5.381608804,0.230007567,0.031465235,-0.012110673,4.000000000,0.000000000,6.000000000,straight_acceleration,0.550467336,0.542041560
5.346378007,5.451008837,0.232162933,0.030631396,-0.011907693,4.000000000,0.000000000,6.000000000,straight_acceleration,0.551071565,0.541031196
5.415811487,5.520410632,0.234260918,0.029811650,-0.011704703,4.000000000,0.000000000,6.000000000,straight_acceleration,0.552337287,0.539874595
5.485244968,5.589814138,0.236302500,0.029005996,-0.011520062,4.000000000,0.000000000,6.000000000,straight_acceleration,0.549712064,0.538200969
5.554678449,5.659219393,0.238284898,0.028052577,-0.015942724,4.000000000,0.000000000,6.000000000,straight_acceleration,0.542768716,0.535784503
