s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,speed_limit_mps,speed_zone,w_tr_right_m,w_tr_left_m
0.000000000,0.106211745,0.171355458,0.025378934,0.019148077,5.000000000,0.000000000,5.000000000,straight_acceleration,0.688569315,0.653549149
0.069534934,0.175723296,0.173160306,0.026453058,0.011746376,5.000000000,0.000000000,5.000000000,straight_acceleration,0.684104800,0.660502643
0.139069868,0.245233280,0.175021927,0.027012500,0.004344563,5.000000000,0.000000000,5.000000000,straight_acceleration,0.677151307,0.667456136
0.208604803,0.314742704,0.176904547,0.027057256,-0.003057261,5.000000000,0.000000000,5.000000000,straight_acceleration,0.670197814,0.673411514
0.278139737,0.384252577,0.178772392,0.026587619,-0.010309060,5.000000000,0.000000000,5.000000000,straight_acceleration,0.663244320,0.666458020
0.347674671,0.453763795,0.180592228,0.025706636,-0.015030193,5.000000000,0.000000000,5.000000000,straight_acceleration,0.656290827,0.659504527
0.417209605,0.523276870,0.182339415,0.024497367,-0.019751408,5.000000000,0.000000000,5.000000000,straight_acceleration,0.649337333,0.652551033
0.486744539,0.592792236,0.183991129,0.022959807,-0.024472662,5.000000000,0.000000000,5.000000000,straight_acceleration,0.642383840,0.645597540
0.556279473,0.662310325,0.185524550,0.021095528,-0.028789758,5.000000000,0.000000000,5.000000000,straight_acceleration,0.635430347,0.638644047
0.625814408,0.731831409,0.186920840,0.019055018,-0.029900336,5.000000000,0.000000000,5.000000000,straight_acceleration,0.628476853,0.631690553
0.695349342,0.801355296,0.188172585,0.016937274,-0.031011171,5.000000000,0.000000000,5.000000000,straight_acceleration,0.621523360,0.624737060
0.764884276,0.870881712,0.189274408,0.014742280,-0.032122224,5.000000000,0.000000000,5.000000000,straight_acceleration,0.614569866,0.617783566
0.834419210,0.940410383,0.190220941,0.012472523,-0.032804998,5.000000000,0.000000000,5.000000000,straight_acceleration,0.607616373,0.610830073
0.903954144,1.009941005,0.191010055,0.010241522,-0.031364068,5.000000000,0.000000000,5.000000000,straight_acceleration,0.604024131,0.603876580
0.973489079,1.079473205,0.191647528,0.008110712,-0.029923256,5.000000000,0.000000000,5.000000000,straight_acceleration,0.603561754,0.596923086
1.043024013,1.149006600,0.192140323,0.006080082,-0.028482620,5.000000000,0.000000000,5.000000000,straight_acceleration,0.605620946,0.589969593
1.112558947,1.218540807,0.192495404,0.004149840,-0.027014039,5.000000000,0.000000000,5.000000000,straight_acceleration,0.609590229,0.583016099
1.182093881,1.288075500,0.192719917,0.002325869,-0.025447875,5.000000000,0.000000000,5.000000000,straight_acceleration,0.603911533,0.576062606
1.251628815,1.357610470,0.192821387,0.000610801,-0.023881727,5.000000000,0.000000000,5.000000000,straight_acceleration,0.596958039,0.569109112
1.321163750,1.427145524,0.192807385,-0.000995367,-0.022315641,5.000000000,0.000000000,5.000000000,straight_acceleration,0.590004546,0.562155619
1.390698684,1.496680470,0.192685464,-0.002495835,-0.021078067,5.000000000,0.000000000,5.000000000,straight_acceleration,0.583051052,0.555202126
1.460233618,1.566215138,0.192461275,-0.003947865,-0.020685906,5.000000000,0.000000000,5.000000000,straight_acceleration,0.576097559,0.548248632
1.529768552,1.635749399,0.192137068,-0.005372626,-0.020293773,5.000000000,0.000000000,5.000000000,straight_acceleration,0.569144066,0.541295139
1.599303486,1.705283128,0.191714740,-0.006770121,-0.019901675,5.000000000,0.000000000,5.000000000,straight_acceleration,0.562190572,0.534341645
1.668838420,1.774816202,0.191196195,-0.008139274,-0.019417097,5.000000000,0.000000000,5.000000000,straight_acceleration,0.555237079,0.534991997
1.738373355,1.844348509,0.190583834,-0.009466231,-0.018749500,5.000000000,0.000000000,5.000000000,straight_acceleration,0.549238691,0.541945491
1.807908289,1.913879961,0.189880822,-0.010746768,-0.018081934,5.000000000,0.000000000,5.000000000,straight_acceleration,0.548780810,0.548898984
1.877443223,1.983410473,0.189090386,-0.011980887,-0.017414408,5.000000000,0.000000000,5.000000000,straight_acceleration,0.553428986,0.555852478
1.946978157,2.052939958,0.188215806,-0.013163076,-0.016342004,5.000000000,0.000000000,5.000000000,straight_acceleration,0.560382479,0.562805971
2.016513091,2.122468391,0.187262405,-0.014240270,-0.014640794,5.000000000,0.000000000,5.000000000,straight_acceleration,0.567335973,0.569759464
2.086048026,2.191995821,0.186238221,-0.015199170,-0.012939590,5.000000000,0.000000000,5.000000000,straight_acceleration,0.574289466,0.576712958
2.155582960,2.261522305,0.185151480,-0.016039779,-0.011238406,5.000000000,0.000000000,5.000000000,straight_acceleration,0.581242960,0.583666451
2.225117894,2.331047901,0.184010469,-0.016756216,-0.009159519,5.000000000,0.000000000,5.000000000,straight_acceleration,0.588196453,0.588259390
2.294652828,2.400572736,0.182825291,-0.017304642,-0.006614580,5.000000000,0.000000000,5.000000000,straight_acceleration,0.595149946,0.588816973
2.364187762,2.470097019,0.181608136,-0.017676105,-0.004069636,5.000000000,0.000000000,5.000000000,straight_acceleration,0.602103440,0.590481083
2.433722696,2.539620960,0.180371306,-0.017870606,-0.001524694,5.000000000,0.000000000,5.000000000,straight_acceleration,0.600247277,0.592567775
2.503257631,2.609144772,0.179127096,-0.017888963,0.000973501,5.000000000,0.000000000,5.000000000,straight_acceleration,0.597280403,0.594412562
2.572792565,2.678668664,0.177887584,-0.017736016,0.003425621,5.000000000,0.000000000,5.000000000,straight_acceleration,0.595750820,0.595791019
2.642327499,2.748192843,0.176664632,-0.017412562,0.005877742,5.000000000,0.000000000,5.000000000,straight_acceleration,0.594956041,0.596914650
2.711862433,2.817717517,0.175470095,-0.016918600,0.008329859,5.000000000,0.000000000,5.000000000,straight_acceleration,0.594135319,0.598013589
2.781397367,2.887242891,0.174315903,-0.016248310,0.011081121,5.000000000,0.000000000,5.000000000,straight_acceleration,0.592577741,0.599304344
2.850932302,2.956769147,0.173215319,-0.015373943,0.014067862,5.000000000,0.000000000,5.000000000,straight_acceleration,0.590451924,0.600762865
2.920467236,3.026296447,0.172182748,-0.014291893,0.017054609,5.000000000,0.000000000,5.000000000,straight_acceleration,0.588679312,0.602159197
2.990002170,3.095824953,0.171232628,-0.013002160,0.020041321,5.000000000,0.000000000,5.000000000,straight_acceleration,0.588205648,0.603256742
3.059537104,3.165354816,0.170379786,-0.011477733,0.024290275,5.000000000,0.000000000,5.000000000,straight_acceleration,0.589555767,0.603836928
3.129072038,3.234886064,0.169644477,-0.009613560,0.029327914,5.000000000,0.000000000,5.000000000,straight_acceleration,0.582602273,0.603935048
3.198606972,3.304418631,0.169050966,-0.007399089,0.034365698,5.000000000,0.000000000,5.000000000,straight_acceleration,0.575648780,0.603773983
3.268141907,3.373952448,0.168623614,-0.004834315,0.039403361,5.000000000,0.000000000,5.000000000,straight_acceleration,0.568695286,0.603581011
3.337676841,3.443487406,0.168386662,-0.001926750,0.044119552,5.000000000,0.000000000,5.000000000,straight_acceleration,0.561741793,0.603562678
3.407211775,3.513022902,0.168363022,0.001299661,0.048679549,5.000000000,0.000000000,5.000000000,straight_acceleration,0.554788300,0.603688718
3.476746709,3.582558022,0.168574757,0.004843183,0.053240372,5.000000000,0.000000000,5.000000000,straight_acceleration,0.547834806,0.603778040
3.546281643,3.652091845,0.169043915,0.008703856,0.057801492,5.000000000,0.000000000,5.000000000,straight_acceleration,0.540881313,0.603647123
3.615816578,3.721623420,0.169791318,0.012808934,0.059485855,5.000000000,0.000000000,5.000000000,straight_acceleration,0.534985513,0.603125367
3.685351512,3.791151484,0.170826262,0.016966468,0.060094046,5.000000000,0.000000000,5.000000000,straight_acceleration,0.534937303,0.602163468
3.754886446,3.860674603,0.172151733,0.021166349,0.060703877,5.000000000,0.000000000,5.000000000,straight_acceleration,0.538326453,0.600778549
3.824421380,3.930191343,0.173770651,0.025408680,0.061315263,5.000000000,0.000000000,5.000000000,straight_acceleration,0.542721686,0.598988412
3.893956314,3.999700390,0.175683365,0.029551737,0.056721337,5.000000000,0.000000000,5.000000000,straight_acceleration,0.545968888,0.596818434
3.963491249,4.069201374,0.177870162,0.033286129,0.050688512,5.000000000,0.000000000,5.000000000,straight_acceleration,0.548074720,0.594353051
4.033026183,4.138694368,0.180301918,0.036601055,0.044656450,5.000000000,0.000000000,5.000000000,straight_acceleration,0.550060085,0.591704417
4.102561117,4.208179446,0.182949452,0.039496579,0.038625611,5.000000000,0.000000000,5.000000000,straight_acceleration,0.552951735,0.588984850
4.172096051,4.277656862,0.185782118,0.041897196,0.030006138,5.000000000,0.000000000,5.000000000,straight_acceleration,0.557461777,0.586297755
4.241630985,4.347128031,0.188759723,0.043666759,0.020890903,5.000000000,0.000000000,5.000000000,straight_acceleration,0.562250322,0.583688425
4.311165919,4.416594832,0.191838243,0.044802490,0.011775582,5.000000000,0.000000000,5.000000000,straight_acceleration,0.563578573,0.581178857
4.380700854,4.486059147,0.194973645,0.045304391,0.002660324,5.000000000,0.000000000,5.000000000,straight_acceleration,0.556625079,0.578790987
4.450235788,4.555522776,0.198123950,0.045271526,-0.003272778,5.000000000,0.000000000,5.000000000,straight_acceleration,0.549671586,0.576520187
4.519770722,4.624987065,0.201258448,0.044850597,-0.008834193,5.000000000,0.000000000,5.000000000,straight_acceleration,0.542718093,0.574216137
4.589305656,4.694453209,0.204350272,0.044042955,-0.014395623,5.000000000,0.000000000,5.000000000,straight_acceleration,0.535764599,0.571678821
4.658840590,4.763922402,0.207372558,0.042848601,-0.019957001,5.000000000,0.000000000,5.000000000,straight_acceleration,0.528811106,0.568708178
4.728375525,4.833395649,0.210301978,0.041428035,-0.020666028,5.000000000,0.000000000,5.000000000,straight_acceleration,0.526556753,0.565174381
