s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
0.000000000,12.513475286,-2.025345333,1.569637607,0.916248802,1.868823468,-0.217641643,0.561734714,0.638265286
0.083673440,12.510369358,-1.941728606,1.646613038,0.925904626,1.859053390,0.067626164,0.560845616,0.639154384
0.167346880,12.500809086,-1.858602135,1.723865019,0.922882621,1.862094663,0.506787544,0.558532395,0.641467605
0.251020320,12.484872362,-1.776459331,1.800072547,0.900848695,1.884729648,0.848146480,0.555035889,0.644964111
0.334693760,12.462802175,-1.695747968,1.873918448,0.866236676,1.922014702,1.091375849,0.550595098,0.649404902
0.418367200,12.434951199,-1.616844633,1.944619160,0.825427531,1.968953747,0.736321723,0.545444884,0.654555116
0.502040640,12.401726607,-1.540049252,2.011875198,0.783657231,2.000000000,0.000000000,0.539815632,0.660184368
0.585714080,12.363545794,-1.465593778,2.075759244,0.744613280,2.000000000,0.000000000,0.533934266,0.666065734
0.669387520,12.320806769,-1.393657996,2.136595586,0.710634008,2.000000000,0.000000000,0.528025793,0.671974207
0.753060960,12.273871461,-1.324387222,2.194844801,0.682638085,2.000000000,0.000000000,0.522315593,0.677684407
0.836734400,12.223060748,-1.257906911,2.251063368,0.661998727,2.000000000,0.000000000,0.517029424,0.682970576
0.920407840,12.168649683,-1.194339799,2.305529782,0.640678818,2.000000000,0.000000000,0.512401674,0.687598326
1.004081279,12.110912755,-1.133777751,2.357379314,0.599345374,2.000000000,0.000000000,0.508620967,0.691379033
1.087754719,12.050214475,-1.076184909,2.405033124,0.540229344,2.000000000,0.000000000,0.505698482,0.694301518
1.171428159,11.986975653,-1.021391542,2.450077694,0.536902919,2.000000000,0.000000000,0.503487050,0.696512950
1.255101599,11.921341929,-0.969493104,2.494466355,0.524530142,2.000000000,0.000000000,0.502199306,0.697800694
1.338775039,11.853496206,-0.920523817,2.532734154,0.390453018,2.000000000,0.000000000,0.501958142,0.698041858
1.422448479,11.784084915,-0.873794617,2.562243367,0.315030789,2.000000000,0.000000000,0.502011397,0.697988603
1.506121919,11.713468497,-0.828912254,2.588221046,0.305978336,2.000000000,0.000000000,0.501997084,0.698002916
1.589795359,11.641725328,-0.785851437,2.612919163,0.284446294,2.000000000,0.000000000,0.502000107,0.697999893
1.673468799,11.568978392,-0.744510311,2.635918652,0.265356221,2.000000000,0.000000000,0.502002510,0.697997490
1.757142239,11.495331186,-0.704794046,2.658114511,0.265234723,2.000000000,0.000000000,0.501989885,0.698010115
1.840815679,11.420821212,-0.666721905,2.680295586,0.265001334,2.000000000,0.000000000,0.502068589,0.697931411
1.924489119,11.345485586,-0.630311003,2.700735742,0.223611463,2.000000000,0.000000000,0.502333658,0.697666342
2.008162559,11.269481519,-0.595315634,2.718345396,0.197330788,2.000000000,0.000000000,0.502582675,0.697417325
2.091835999,11.192910461,-0.561580019,2.734674778,0.193002264,2.000000000,0.000000000,0.502710773,0.697289227
2.175509439,11.115804444,-0.529085157,2.750479695,0.184794029,2.000000000,0.000000000,0.502759501,0.697240499
2.259182879,11.038205318,-0.497786344,2.765686399,0.178700815,2.000000000,0.000000000,0.502736794,0.697263206
2.342856319,10.960146882,-0.467651223,2.780401364,0.173038826,2.000000000,0.000000000,0.502659651,0.697340349
2.426529759,10.881660357,-0.438649366,2.794670437,0.168041402,2.000000000,0.000000000,0.502542944,0.697457056
2.510203199,10.802773817,-0.410753855,2.808560402,0.163976220,2.000000000,0.000000000,0.502401592,0.697598408
2.593876639,10.723512034,-0.383943267,2.822077589,0.159129835,2.000000000,0.000000000,0.502252901,0.697747099
2.677550079,10.643900234,-0.358190323,2.835487625,0.161415030,2.000000000,0.000000000,0.502104977,0.697895023
2.761223519,10.563947998,-0.333514936,2.848912741,0.159490100,2.000000000,0.000000000,0.502012485,0.697987515
2.844896958,10.483673569,-0.309908631,2.861705057,0.146288120,2.000000000,0.000000000,0.501997565,0.698002435
2.928570398,10.403116177,-0.287286622,2.873633140,0.138830779,2.000000000,0.000000000,0.502000638,0.697999362
3.012243838,10.322301495,-0.265601896,2.885110925,0.135523878,2.000000000,0.000000000,0.501999833,0.698000167
3.095917278,10.241246096,-0.244834931,2.896287667,0.131634613,2.000000000,0.000000000,0.502000043,0.697999957
3.179590718,10.159966900,-0.224961958,2.907160023,0.128247732,2.000000000,0.000000000,0.501999990,0.698000010
3.263264158,10.078479133,-0.205962291,2.917757380,0.125060994,2.000000000,0.000000000,0.501999996,0.698000004
3.346937598,9.996797020,-0.187816342,2.928097112,0.122089427,2.000000000,0.000000000,0.502000023,0.697999977
3.430611038,9.914933798,-0.170505740,2.938202113,0.119450009,2.000000000,0.000000000,0.501999911,0.698000089
3.514284478,9.832901668,-0.154014181,2.948075794,0.116559916,2.000000000,0.000000000,0.502000328,0.697999672
3.597957918,9.750712580,-0.138323430,2.957820686,0.116371520,2.000000000,0.000000000,0.501998793,0.698001207
3.681631358,9.668374640,-0.123433691,2.967421800,0.113123007,2.000000000,0.000000000,0.502010454,0.697989546
3.765304798,9.585899432,-0.109323951,2.976724563,0.109239848,2.000000000,0.000000000,0.502027829,0.697972171
3.848978238,9.503298711,-0.095968639,2.985788385,0.107411389,2.000000000,0.000000000,0.502037874,0.697962126
3.932651678,9.420581299,-0.083356217,2.994714068,0.105937833,2.000000000,0.000000000,0.502040880,0.697959120
4.016325118,9.337755341,-0.071477491,3.003520019,0.104549377,2.000000000,0.000000000,0.502038640,0.697961360
4.099998558,9.254828640,-0.060323760,3.012215522,0.103297717,2.000000000,0.000000000,0.502032615,0.697967385
