s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
0.000000000,11.147991817,-3.643326911,0.021645502,0.341383799,1.850000000,0.000000000,0.504739347,0.695260653
0.085054399,11.232991608,-3.640251889,0.064349198,0.663263140,1.850000000,0.000000000,0.505334123,0.694665877
0.170108798,11.317682388,-3.632392362,0.120893478,0.667200575,1.850000000,0.000000000,0.505925385,0.694074615
0.255163197,11.401793425,-3.619744848,0.177368855,0.661657721,1.850000000,0.000000000,0.506510276,0.693489724
0.340217596,11.485058992,-3.602389679,0.233635699,0.662265652,1.850000000,0.000000000,0.507077187,0.692922813
0.425271995,11.567217052,-3.580377057,0.289833264,0.660041060,1.850000000,0.000000000,0.507613885,0.692386115
0.510326394,11.648011117,-3.553792269,0.345886868,0.658866045,1.850000000,0.000000000,0.508108380,0.691891620
0.595380793,11.727190588,-3.522726712,0.401823756,0.657294971,1.850000000,0.000000000,0.508548555,0.691451445
0.680435192,11.804511707,-3.487288182,0.457631095,0.655812658,1.850000000,0.000000000,0.508922309,0.691077691
0.765489591,11.879738256,-3.447596707,0.513309495,0.654257894,1.850000000,0.000000000,0.509217517,0.690782483
0.850543990,11.952642290,-3.403785229,0.568854695,0.652674492,1.850000000,0.000000000,0.509422058,0.690577942
0.935598389,12.023004831,-3.355998664,0.624263500,0.651044708,1.850000000,0.000000000,0.509523814,0.690476186
1.020652788,12.090616510,-3.304393409,0.679531862,0.649365814,1.850000000,0.000000000,0.509510693,0.690489307
1.105707187,12.155278204,-3.249136673,0.734655851,0.647643615,1.850000000,0.000000000,0.509370620,0.690629380
1.190761586,12.216801536,-3.190405769,0.789630160,0.645839335,1.850000000,0.000000000,0.509091628,0.690908372
1.275815985,12.275009629,-3.128387529,0.844452501,0.644064107,1.850000000,0.000000000,0.508661614,0.691338386
1.360870384,12.329736854,-3.063277131,0.899110627,0.641969434,1.850000000,0.000000000,0.508069200,0.691930800
1.445924783,12.380831442,-2.995278599,0.953689111,0.642189287,1.850000000,0.000000000,0.507301227,0.692698773
1.530979182,12.428139805,-2.924593694,1.008641266,0.650770327,1.850000000,0.000000000,0.506361840,0.693638160
1.616033581,12.471467846,-2.851401183,1.064466691,0.662764015,1.850000000,0.000000000,0.505316060,0.694683940
1.701087980,12.510606054,-2.775885233,1.121291938,0.674325014,1.850000000,0.000000000,0.504253838,0.695746162
1.786142379,12.545354130,-2.698251200,1.179059855,0.684973182,1.850000000,0.000000000,0.503261964,0.696738036
1.871196778,12.575526152,-2.618726531,1.238961817,0.724613769,1.850000000,0.000000000,0.502420386,0.697579614
1.956251177,12.600746665,-2.537495514,1.300233568,0.717267601,1.850000000,0.000000000,0.502017593,0.697982407
2.041305576,12.620971088,-2.454880754,1.358779986,0.660355358,1.850000000,0.000000000,0.502001940,0.697998060
2.126359975,12.636529668,-2.371257245,1.417969956,0.732490041,1.850000000,0.000000000,0.501962595,0.698037405
2.211414374,12.646855118,-2.286832525,1.481883982,0.771631797,1.850000000,0.000000000,0.502420167,0.697579833
2.296468773,12.651626565,-2.201909620,1.547087952,0.762946625,1.850000000,0.000000000,0.503656078,0.696343922
2.381523173,12.650885724,-2.116856672,1.612272296,0.771143566,1.850000000,0.000000000,0.505603903,0.694396097
2.466577572,12.644576809,-2.032035026,1.678455083,0.786491595,1.850000000,0.000000000,0.508317553,0.691682447
2.551631971,12.632617229,-1.947823870,1.745887899,0.800621548,1.850000000,0.000000000,0.511900165,0.688099835
2.636686370,12.614960688,-1.864620610,1.814580938,0.816209451,1.850000000,0.000000000,0.516443830,0.683556170
2.721740769,12.591580773,-1.782841053,1.884609337,0.832114367,1.850000000,0.000000000,0.522048599,0.677951401
2.806795168,12.562481979,-1.702917260,1.956092998,0.850542606,1.850000000,0.000000000,0.528813939,0.671186061
2.891849567,12.527688704,-1.625303587,2.028852826,0.862217960,1.850000000,0.000000000,0.536854380,0.663145620
2.976903966,12.487308307,-1.550444607,2.101525429,0.848489304,1.850000000,0.000000000,0.546232522,0.653767478
3.061958365,12.441640763,-1.478688481,2.172361052,0.818891434,1.850000000,0.000000000,0.556824828,0.643175172
3.147012764,12.391095236,-1.410281473,2.240741936,0.790593338,1.850000000,0.000000000,0.568390168,0.631609832
3.232067163,12.336071663,-1.345422036,2.306669840,0.761057167,1.850000000,0.000000000,0.580692769,0.619307231
3.317121562,12.276971474,-1.284254601,2.370046203,0.730442473,1.850000000,0.000000000,0.593484075,0.606515925
3.402175961,12.214190612,-1.226871586,2.430752380,0.698123022,1.850000000,0.000000000,0.606504030,0.593495970
3.487230360,12.148117594,-1.173312599,2.488625306,0.663677333,1.850000000,0.000000000,0.619476722,0.580523278
3.572284759,12.079130107,-1.123564183,2.543465440,0.626669871,1.850000000,0.000000000,0.632107649,0.567892351
3.657339158,12.007591785,-1.077559578,2.595040329,0.586762863,1.850000000,0.000000000,0.644081067,0.555918933
3.742393557,11.933848726,-1.035179124,2.643095262,0.543772575,1.850000000,0.000000000,0.655058381,0.544941619
3.827447956,11.858225954,-0.996251835,2.687370016,0.497755635,1.850000000,0.000000000,0.664678134,0.535321866
3.912502355,11.781023942,-0.960558802,2.727626348,0.449175451,1.850000000,0.000000000,0.672558446,0.527441554
3.997556754,11.702515294,-0.927839590,2.763677891,0.398791057,1.850000000,0.000000000,0.678303414,0.521696586
4.082611153,11.622942355,-0.897800912,2.795456221,0.348619476,1.850000000,0.000000000,0.681512616,0.518487384
4.167665552,11.542513871,-0.870134074,2.822978683,0.298661035,1.850000000,0.000000000,0.681801784,0.518198216
4.252719951,11.461408806,-0.844518769,2.847375041,0.275075146,1.850000000,0.000000000,0.678806769,0.521193231
4.337774350,11.379725945,-0.820807412,2.873243780,0.333306275,1.850000000,0.000000000,0.672387105,0.527612895
4.422828749,11.297405752,-0.799420987,2.904624643,0.404741686,1.850000000,0.000000000,0.662995656,0.537004344
4.507883148,11.214395461,-0.780879189,2.942859184,0.494620140,1.850000000,0.000000000,0.651257867,0.548742133
4.592937547,11.130682491,-0.765844290,2.967282496,0.079852054,1.850000000,0.000000000,0.637885873,0.562114127
4.677991946,11.046866678,-0.751377823,2.966013702,-0.109686570,1.850000000,0.000000000,0.623434406,0.576565594
4.763046345,10.963190390,-0.736130232,2.958690390,-0.062517841,1.850000000,0.000000000,0.608182001,0.591817999
4.848100744,10.879596053,-0.720437861,2.955905192,-0.002974869,1.850000000,0.000000000,0.592490949,0.607509051
4.933155143,10.796005779,-0.704724357,2.958130561,0.055303263,1.850000000,0.000000000,0.576777199,0.623222801
5.018209542,10.712342509,-0.689404212,2.965326133,0.113898454,1.850000000,0.000000000,0.561456612,0.638543388
5.103263941,10.628534702,-0.674895242,2.977409950,0.170254542,1.850000000,0.000000000,0.546949717,0.653050283
5.188318340,10.544525668,-0.661601321,2.991675041,0.165194215,1.850000000,0.000000000,0.533661951,0.666338049
5.273372739,10.460338169,-0.649488996,3.002902548,0.098821733,1.850000000,0.000000000,0.521989292,0.678010708
5.358427138,10.376051784,-0.638084687,3.009013701,0.044879787,1.850000000,0.000000000,0.512404114,0.687595886
5.443481537,10.291722496,-0.627002200,3.011625865,0.016543719,1.850000000,0.000000000,0.505488055,0.694511945
5.528535936,10.207377692,-0.616038386,3.012888560,0.013147748,1.850000000,0.000000000,0.501899043,0.698100957
5.613590335,10.123020696,-0.605168900,3.013838792,0.009196369,1.850000000,0.000000000,0.502273481,0.697726519
5.698644734,10.038655185,-0.594365397,3.011185095,-0.071596966,1.850000000,0.000000000,0.506943292,0.693056708
5.783699133,9.954357100,-0.583048355,3.002469353,-0.133352355,1.850000000,0.000000000,0.515339467,0.684660533
5.868753532,9.870192810,-0.570775965,2.990029555,-0.159171401,1.850000000,0.000000000,0.526722553,0.673277447
5.953807931,9.786202354,-0.557365341,2.976697748,-0.154329336,1.850000000,0.000000000,0.540388079,0.659611921
6.038862330,9.702395123,-0.542853447,2.964743492,-0.126776070,1.850000000,0.000000000,0.555714045,0.644285955
6.123916729,9.618749214,-0.527438750,2.955814258,-0.083193149,1.850000000,0.000000000,0.572165506,0.627834494
6.208971128,9.535214459,-0.511432574,2.951096221,-0.027749374,1.850000000,0.000000000,0.589278297,0.610721703
6.294025527,9.451717707,-0.495229283,2.951529443,0.037936344,1.850000000,0.000000000,0.606635206,0.593364794
6.379079926,9.368169098,-0.479295488,2.957996818,0.114142125,1.850000000,0.000000000,0.623841342,0.576158658
6.464134325,9.284469733,-0.464173528,2.971444639,0.202089476,1.850000000,0.000000000,0.640499016,0.559500984
6.549188724,9.200522876,-0.450492325,2.992893905,0.302330877,1.850000000,0.000000000,0.656179215,0.543820785
6.634243123,9.116252198,-0.438973784,3.023266689,0.412016274,1.850000000,0.000000000,0.670384244,0.529615756
6.719297522,9.031630325,-0.430414158,3.062864750,0.519431905,1.850000000,0.000000000,0.682498288,0.517501712
6.804351921,8.946713640,-0.425598724,3.110531831,0.601993147,1.850000000,0.000000000,0.691728166,0.508271834
6.889406320,8.861663377,-0.425133146,-3.120452757,0.626194753,1.850000000,0.000000000,0.697099785,0.502900215
6.974460719,8.776707870,-0.429193164,-3.065347786,0.670431396,1.850000000,0.000000000,0.697580095,0.502419905
7.059515119,8.692122562,-0.438084870,-3.006383029,0.717133148,1.850000000,0.000000000,0.693092619,0.506907381
7.144569518,8.608235514,-0.452112083,-2.946675948,0.687924649,1.850000000,0.000000000,0.684536661,0.515463339
7.229623917,8.525310550,-0.471017442,-2.891562087,0.608899610,1.850000000,0.000000000,0.672910697,0.527089303
7.314678316,8.443473900,-0.494187995,-2.843810628,0.514504422,1.850000000,0.000000000,0.659062463,0.540937537
7.399732715,8.362728283,-0.520915192,-2.803864714,0.425124358,1.850000000,0.000000000,0.643658778,0.556341222
7.484787114,8.283001130,-0.550543234,-2.770970277,0.348548366,1.850000000,0.000000000,0.627231601,0.572768399
7.569841513,8.204186968,-0.582521072,-2.743999198,0.285758457,1.850000000,0.000000000,0.610230181,0.589769819
7.654895912,8.126173110,-0.616404631,-2.721859721,0.234891765,1.850000000,0.000000000,0.593060404,0.606939596
7.739950311,8.048851673,-0.651839797,-2.703656336,0.193179486,1.850000000,0.000000000,0.576111949,0.623888051
7.825004710,7.972122846,-0.688540501,-2.688724004,0.157961531,1.850000000,0.000000000,0.559777914,0.640222086
7.910059109,7.895894023,-0.726268686,-2.676650234,0.125954347,1.850000000,0.000000000,0.544472736,0.655527264
7.995113508,7.820073707,-0.764811324,-2.667181435,0.096702898,1.850000000,0.000000000,0.530644466,0.669355534
8.080167907,7.744573050,-0.803976218,-2.660572424,0.058705331,1.850000000,0.000000000,0.518808397,0.681191603
8.165222306,7.669268693,-0.843517709,-2.656067048,0.047236382,1.850000000,0.000000000,0.509503131,0.690496869
8.250276705,7.594124181,-0.883361228,-2.655051423,-0.023354457,1.850000000,0.000000000,0.503586233,0.696413767
8.335331104,7.518900112,-0.923055698,-2.667579567,-0.271271744,1.850000000,0.000000000,0.501647590,0.698352410
8.420385503,7.442782021,-0.961003513,-2.697604914,-0.434904523,1.850000000,0.000000000,0.503157328,0.696842672
8.505439902,7.365311031,-0.996112076,-2.744956662,-0.679183008,1.850000000,0.000000000,0.508303107,0.691696893
8.590494301,7.285948663,-1.026690576,-2.812980493,-0.922046361,1.850000000,-2.376207947,0.516637167,0.683362833
8.675548700,7.204436786,-1.050966162,-2.897148978,-1.060204325,1.737321537,-0.515477911,0.527382073,0.672617927
8.760603099,7.121073254,-1.067815722,-2.988509654,-1.091927017,1.711899178,1.133509944,0.539870600,0.660129400
8.845657498,7.036506318,-1.076876174,-3.078360680,-1.024518387,1.767319668,1.758175914,0.553445739,0.646554261
8.930711897,6.951470289,-1.078554368,3.123107785,-0.899759791,1.850000000,0.000000000,0.567575550,0.632424450
9.015766296,6.866553264,-1.073734256,3.052720398,-0.757122820,1.850000000,0.000000000,0.581848695,0.618151305
9.100820695,6.782121328,-1.063464194,2.994178102,-0.620480262,1.850000000,0.000000000,0.595931302,0.604068698
9.185875094,6.698348074,-1.048757175,2.946562516,-0.499718205,1.850000000,0.000000000,0.609521215,0.590478785
9.270929493,6.615275077,-1.030505199,2.908449944,-0.396756456,1.850000000,0.000000000,0.622315988,0.577684012
9.355983892,6.532865052,-1.009461441,2.878397227,-0.310052890,1.850000000,0.000000000,0.633992928,0.566007072
9.441038291,6.451038495,-0.986252305,2.855110316,-0.237589166,1.850000000,0.000000000,0.644197075,0.555802925
9.526092690,6.369697608,-0.961394617,2.837528981,-0.175853215,1.850000000,0.000000000,0.652531004,0.547468996
9.611147089,6.288737583,-0.935323188,2.826120654,-0.092415762,1.850000000,0.000000000,0.658562821,0.541437179
9.696201488,6.207984914,-0.908616180,2.823644864,0.034197988,1.850000000,0.000000000,0.662058085,0.537941915
9.781255887,6.127154951,-0.882144184,2.831627850,0.153522479,1.850000000,0.000000000,0.663154563,0.536845437
9.866310286,6.045986308,-0.856729857,2.849038448,0.255908000,1.850000000,0.000000000,0.662037693,0.537962307
9.951364685,5.964283941,-0.833087993,2.874015268,0.331487673,1.850000000,0.000000000,0.658928427,0.541071573
10.036419084,5.881947773,-0.811758413,2.903927241,0.372008069,1.850000000,0.000000000,0.654076751,0.545923249
10.121473483,5.798978186,-0.793043713,2.935602572,0.372975417,1.850000000,0.000000000,0.647752635,0.552247365
10.206527882,5.715456776,-0.776969468,2.965743813,0.335913983,1.850000000,0.000000000,0.640229499,0.559770501
10.291582281,5.631510212,-0.763287313,2.991376568,0.266910673,1.850000000,0.000000000,0.631768692,0.568231308
10.376636680,5.547274586,-0.751514043,3.010217807,0.176166348,1.850000000,0.000000000,0.622609958,0.577390042
10.461691079,5.462872000,-0.741004148,3.020617092,0.068374908,1.850000000,0.000000000,0.612969595,0.587030405
10.546745478,5.378409693,-0.730985273,3.023590085,0.001533582,1.850000000,0.000000000,0.603044755,0.596955245
10.631799877,5.293946148,-0.720977423,3.024248343,0.013944946,1.850000000,0.000000000,0.593028224,0.606971776
10.716854276,5.209470748,-0.711069755,3.026785500,0.045714855,1.850000000,0.000000000,0.583123604,0.616876396
10.801908675,5.124957548,-0.701490631,3.031821451,0.072702874,1.850000000,0.000000000,0.573541298,0.626458702
