s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
0.000000000,11.150979040,-3.661439596,0.048116444,0.356815069,1.850000000,0.000000000,0.517874549,0.682125451
0.084561588,11.235372371,-3.656098824,0.091995293,0.681517579,1.850000000,0.000000000,0.520740602,0.679259398
0.169123176,11.319318073,-3.645909361,0.149458515,0.678488902,1.850000000,0.000000000,0.523648153,0.676351847
0.253684764,11.402542916,-3.630926048,0.206249041,0.665585114,1.850000000,0.000000000,0.526551267,0.673448733
0.338246352,11.484792934,-3.611288017,0.262085136,0.655859551,1.850000000,0.000000000,0.529365608,0.670634392
0.422807940,11.565829141,-3.587123624,0.317028810,0.644447079,1.850000000,0.000000000,0.532004200,0.667995800
0.507369528,11.645429552,-3.558583921,0.371022709,0.633351213,1.850000000,0.000000000,0.534379628,0.665620372
0.591931116,11.723389118,-3.525826460,0.424061968,0.621830758,1.850000000,0.000000000,0.536403284,0.663596716
0.676492704,11.799520273,-3.489019131,0.476119839,0.610099972,1.850000000,0.000000000,0.537986014,0.662013986
0.761054292,11.873653184,-3.448336943,0.527180533,0.598207815,1.850000000,0.000000000,0.539038173,0.660961827
0.845615880,11.945635377,-3.403960289,0.577214034,0.585767407,1.850000000,0.000000000,0.539470967,0.660529033
0.930177468,12.015333189,-3.356075793,0.626371250,0.577448964,1.850000000,0.000000000,0.539193967,0.660806033
1.014739056,12.082612095,-3.304847833,0.675563141,0.586590887,1.850000000,0.000000000,0.538148905,0.661851095
1.099300644,12.147269420,-3.250348787,0.725823895,0.602765292,1.850000000,0.000000000,0.536405097,0.663594903
1.183862232,12.209067814,-3.192627887,0.777417844,0.618175245,1.850000000,0.000000000,0.534084611,0.665915389
1.268423820,12.267767677,-3.131758574,0.830304564,0.633391357,1.850000000,0.000000000,0.531305972,0.668694028
1.352985408,12.323126802,-3.067835739,0.884459945,0.648233679,1.850000000,0.000000000,0.528187713,0.671812287
1.437546996,12.374902870,-3.000977582,0.939855772,0.662783163,1.850000000,0.000000000,0.524846577,0.675153423
1.522108584,12.422855035,-2.931325745,0.996467928,0.677056426,1.850000000,0.000000000,0.521397650,0.678602350
1.606670172,12.466745869,-2.859045735,1.054277284,0.691155100,1.850000000,0.000000000,0.517954073,0.682045927
1.691231760,12.506342838,-2.784326952,1.113265643,0.704998634,1.850000000,0.000000000,0.514627415,0.685372585
1.775793349,12.541421081,-2.707383081,1.173436720,0.719189386,1.850000000,0.000000000,0.511526760,0.688473240
1.860354937,12.571761585,-2.628450865,1.234724205,0.731461506,1.850000000,0.000000000,0.508762725,0.691237275
1.944916525,12.597168881,-2.547795245,1.296754991,0.736811723,1.850000000,0.000000000,0.506431029,0.693568971
2.029478113,12.617508840,-2.465715218,1.358940962,0.735134288,1.850000000,0.000000000,0.504576681,0.695423319
2.114039701,12.632714546,-2.382530269,1.421221931,0.739073371,1.850000000,0.000000000,0.503193071,0.696806929
2.198601289,12.642699193,-2.298559502,1.483842424,0.743170604,1.850000000,0.000000000,0.502312355,0.697687645
2.283162877,12.647394905,-2.214126771,1.545927962,0.726401174,1.850000000,0.000000000,0.501966296,0.698033704
2.367724465,12.646902672,-2.129565190,1.607489581,0.730745707,1.850000000,0.000000000,0.502036223,0.697963777
2.452286053,12.641193488,-2.045195617,1.670004463,0.748997729,1.850000000,0.000000000,0.502553011,0.697446989
2.536847641,12.630159924,-1.961355370,1.732908782,0.739986233,1.850000000,0.000000000,0.503645287,0.696354713
2.621409229,12.613909339,-1.878368735,1.795541434,0.742550458,1.850000000,0.000000000,0.505245653,0.694754347
2.705970817,12.592487492,-1.796564226,1.858364372,0.744501132,1.850000000,0.000000000,0.507367776,0.692632224
2.790532405,12.565965477,-1.716268181,1.921367596,0.746825266,1.850000000,0.000000000,0.510019430,0.689980570
2.875093993,12.534432865,-1.637804493,1.984177267,0.739913437,1.850000000,0.000000000,0.513209495,0.686790505
2.959655581,12.498059709,-1.561464297,2.045952127,0.722293108,1.850000000,0.000000000,0.516879412,0.683120588
3.044217169,12.457098027,-1.487484810,2.106185975,0.703384541,1.850000000,0.000000000,0.520892674,0.679107326
3.128778757,12.411814294,-1.416069265,2.164825032,0.684492244,1.850000000,0.000000000,0.525102201,0.674897799
3.213340345,12.362477838,-1.347391067,2.221853054,0.665204172,1.850000000,0.000000000,0.529359978,0.670640022
3.297901933,12.309360732,-1.281593386,2.277237107,0.645535037,1.850000000,0.000000000,0.533514506,0.666485494
3.382463521,12.252734968,-1.218789977,2.330940303,0.625377264,1.850000000,0.000000000,0.537411370,0.662588630
3.467025109,12.192870563,-1.159065733,2.382922082,0.604751730,1.850000000,0.000000000,0.540892994,0.659107006
3.551586697,12.130033163,-1.102477957,2.433135981,0.583496660,1.850000000,0.000000000,0.543799415,0.656200585
3.636148285,12.064482553,-1.049056634,2.481557075,0.562287549,1.850000000,0.000000000,0.545967819,0.654032181
3.720709873,11.996468244,-0.998809953,2.528118299,0.539443657,1.850000000,0.000000000,0.547238203,0.652761797
3.805271461,11.926234035,-0.951715437,2.573515817,0.534730166,1.850000000,0.000000000,0.547442264,0.652557736
3.889833049,11.853943815,-0.907842509,2.619483670,0.552948914,1.850000000,0.000000000,0.546545483,0.653454517
3.974394637,11.779682850,-0.867394929,2.667185172,0.575789942,1.850000000,0.000000000,0.544681675,0.655318325
4.058956225,11.703542053,-0.830607727,2.716756025,0.597226891,1.850000000,0.000000000,0.542021349,0.657978651
4.143517813,11.625642090,-0.797708995,2.768131674,0.618543120,1.850000000,0.000000000,0.538727985,0.661272015
4.228079401,11.546129560,-0.768925615,2.821266427,0.638898909,1.850000000,0.000000000,0.534965350,0.665034650
4.312640989,11.465179081,-0.744475151,2.876157547,0.660167012,1.850000000,0.000000000,0.530894439,0.669105561
4.397202577,11.382992122,-0.724576742,2.932613438,0.675954060,1.850000000,0.000000000,0.526672504,0.673327496
4.481764165,11.299800547,-0.709402413,2.991140139,0.709290500,1.850000000,0.000000000,0.522456882,0.677543118
4.566325753,11.215853774,-0.699238886,3.048884033,0.657367503,1.850000000,0.000000000,0.518388257,0.681611743
4.650887341,11.131470702,-0.693751921,3.089735920,0.309311353,1.850000000,0.000000000,0.514558017,0.685441983
4.735448929,11.046971023,-0.690473319,3.104892592,0.049210982,1.850000000,0.000000000,0.511111812,0.688888188
4.820010517,10.962460861,-0.687546463,3.110826203,0.091127235,1.850000000,0.000000000,0.508233582,0.691766418
4.904572105,10.877929598,-0.685270873,3.117773150,0.073180420,1.850000000,0.000000000,0.505945060,0.694054940
4.989133693,10.793386281,-0.683518429,3.123807243,0.069535145,1.850000000,0.000000000,0.504196028,0.695803972
5.073695281,10.708833997,-0.682263121,3.129586538,0.067154259,1.850000000,0.000000000,0.502939824,0.697060176
5.158256869,10.624275887,-0.681487972,3.135878094,0.081651255,1.850000000,0.000000000,0.502164910,0.697835090
5.242818458,10.539714678,-0.681296668,3.140606043,0.030172132,1.850000000,0.000000000,0.501973544,0.698026456
5.327380046,10.455153056,-0.681321114,-3.140972230,0.007836578,1.850000000,0.000000000,0.501998006,0.698001994
5.411941634,10.370591453,-0.681401596,-3.138157158,0.058744210,1.850000000,0.000000000,0.502078484,0.697921516
5.496503222,10.286031468,-0.681902132,-3.133786492,0.044628527,1.850000000,0.000000000,0.502579022,0.697420978
5.581064810,10.201473783,-0.682721783,-3.130886684,0.023956201,1.850000000,0.000000000,0.503398672,0.696601328
5.665626398,10.116918027,-0.683712725,-3.128915433,0.022666666,1.850000000,0.000000000,0.504389614,0.695610386
5.750187986,10.032364292,-0.684865736,-3.127183483,0.018296406,1.850000000,0.000000000,0.505542625,0.694457375
