#timestamp x y z qx qy qz qw
1786354091.23860240 -0.00947358 0.00607064 0.00798257 -0.00223017 -0.00015892 -0.00157554 0.99999626
1786354094.93855691 0.99011713 -0.37609685 0.01836773 0.00064769 -0.00042359 -0.25051494 0.96811242
1786354096.53842926 2.01183528 -0.71103988 0.02985636 -0.00078736 0.00104265 -0.09684643 0.99529848
1786354097.73852181 3.04243869 -0.75134806 0.04145461 -0.00339524 0.00254996 0.03201813 0.99947827
1786354099.33840132 4.08325301 -0.57348281 0.05043076 -0.00460575 0.00347579 0.14765485 0.98902212
1786354100.63843179 5.06625149 -0.25176056 0.04054002 -0.00497867 0.00760142 0.15778340 0.98743194
1786354101.83857250 6.06924265 -0.19137482 0.04587360 -0.00166821 0.00693510 0.01891398 0.99979567
1786354103.13831091 7.11850324 -0.11584479 0.04892461 -0.00357052 0.00179550 0.03606177 0.99934157
1786354104.13842750 8.16838493 -0.20537815 0.05625712 -0.01332665 0.00393336 -0.10009165 0.99488119
1786354105.23851967 9.16104012 -0.51248944 0.06869587 -0.00595586 0.00221958 -0.14848129 0.98889479
1786354106.43853951 9.92656050 -1.25933817 0.09373074 -0.00177758 0.00522410 -0.46360756 0.88602346
1786354107.53839827 10.18254604 -2.33734536 0.11772792 -0.00177374 0.00075073 -0.62502097 0.78060558
1786354108.63849926 9.84839132 -3.36777170 0.13984777 0.00679688 -0.00105208 -0.88690935 0.46189231
1786354109.63848495 8.86330805 -3.64444640 0.13766787 0.00844480 -0.01337441 -0.99608872 0.08693148
1786354110.63857913 7.82082924 -3.65928077 0.13266898 -0.01388700 0.00941699 0.99697083 0.07594500
1786354111.63846827 6.83306893 -3.39377605 0.11883013 -0.00796841 0.01879045 0.99192899 0.12514111
1786354112.73855281 5.76514568 -3.06438780 0.11056578 -0.00538885 0.01492778 0.98897283 0.14724424
1786354113.73847628 5.05795948 -2.23522306 0.09325251 -0.01505325 0.01937851 0.89477124 0.44585008
1786354114.73842025 5.21558126 -1.16509512 0.06571499 -0.02213975 0.01094869 0.46885852 0.88292788
1786354115.53851199 6.23264281 -0.90646377 0.06039002 -0.00841626 0.00661851 0.09594744 0.99532882
1786354116.33837342 7.25294747 -1.27965736 0.07684234 -0.00598752 0.00082380 -0.30485366 0.95238003
1786354117.13842010 8.08929691 -1.94154708 0.10590818 -0.00374640 -0.00430126 -0.31808692 0.94804440
1786354117.93848133 8.54951423 -2.85529803 0.12672572 -0.00872740 0.00277346 -0.64399359 0.76497607
1786354118.73858309 7.77127429 -3.60118100 0.12691192 0.01777078 0.00442949 -0.99198514 0.12502020
1786354119.33836961 6.76508048 -3.45783720 0.11634908 -0.00739705 0.01724474 0.99825713 0.05595172
1786354119.93837881 5.84384735 -2.95967389 0.10860154 -0.01143435 0.01357638 0.92783347 0.37257212
1786354120.53858972 5.06032148 -2.17835292 0.08740660 -0.01017296 0.02907307 0.94170426 0.33502889
1786354121.13859177 4.13849771 -1.62461831 0.06607882 -0.00890288 0.01912678 0.96325711 0.26775108
1786354121.73839092 3.24994345 -1.14268452 0.05214911 -0.00453015 0.02205780 0.98307742 0.18180131
1786354122.43835092 2.10230388 -0.95685871 0.04115969 -0.00992244 0.01893637 0.99698875 0.07454120
1786354123.13854337 0.98612082 -0.93978769 0.02913214 0.01274263 -0.02342923 -0.99475951 0.09870266
1786354123.93856454 0.08595947 -1.52005087 0.03183379 0.01167112 -0.02182593 -0.90934866 0.41529800
1786354124.73840666 0.04481158 -2.54442903 0.05851620 0.00775403 -0.00986894 -0.59856515 0.80097581
1786354125.63823819 0.27870583 -3.63663978 0.09298718 -0.00263614 -0.01916541 -0.65679357 0.75382222
1786354126.53852105 0.45927618 -4.67093977 0.11383892 0.00822509 -0.01394507 -0.56918779 0.82204814
