s_m,x_m,y_m,psi_rad,kappa_radpm,w_tr_right_m,w_tr_left_m,right_boundary_x_m,right_boundary_y_m,left_boundary_x_m,left_boundary_y_m
0.000000000,12.635996556,-2.023998333,1.570796327,1.193627264,0.600000000,0.600000000,13.235996556,-2.023998333,12.035996556,-2.023998333
0.081673568,12.632027859,-1.942451972,1.667504005,1.180016947,0.600000000,0.600000000,13.229203162,-1.884299962,12.034852556,-2.000603984
0.163347136,12.620248257,-1.861661956,1.762083225,1.141156805,0.600000000,0.600000000,13.209227047,-1.747189333,12.031269466,-1.976134581
0.245020704,12.601016126,-1.782312618,1.852696172,1.082279571,0.600000000,0.600000000,13.177182162,-1.614882937,12.024850090,-1.949742300
0.326694272,12.574866417,-1.704963412,1.937993626,1.010248329,0.600000000,0.600000000,13.134645495,-1.488983359,12.015087339,-1.920943466
0.408367840,12.542439843,-1.630024947,2.017178252,0.931838239,0.600000000,0.600000000,13.083368614,-1.370417426,12.001511073,-1.889632469
0.490041407,12.504415694,-1.557761892,2.089951638,0.852575284,0.600000000,0.600000000,13.025042336,-1.259520545,11.983789053,-1.856003239
0.571714975,12.461460140,-1.488313492,2.156396957,0.776315860,0.600000000,0.600000000,12.961155481,-1.156192180,11.961764797,-1.820434802
0.653388543,12.414193259,-1.421721378,2.216848462,0.705356701,0.600000000,0.600000000,12.892940290,-1.060056782,11.935446228,-1.783385974
0.735062111,12.363172323,-1.357957195,2.271779206,0.640786637,0.600000000,0.600000000,12.821375555,-0.970594577,11.904969091,-1.745319813
0.816735679,12.308886677,-1.296946104,2.321718672,0.582878821,0.600000000,0.600000000,12.747218743,-0.887232788,11.870554611,-1.706659420
0.898409247,12.251759741,-1.238584965,2.367199241,0.531411416,0.600000000,0.600000000,12.671047228,-0.809402014,11.832472255,-1.667767915
0.980082815,12.192154710,-1.182755485,2.408725222,0.485902165,0.600000000,0.600000000,12.593297942,-0.736567064,11.791011477,-1.628943907
1.061756383,12.130381728,-1.129333255,2.446757520,0.445757377,0.600000000,0.600000000,12.514301030,-0.668241106,11.746462425,-1.590425405
1.143429951,12.066705234,-1.078193664,2.481708073,0.410361840,0.600000000,0.600000000,12.434306563,-0.603989845,11.699103904,-1.552397484
1.225103519,12.001350830,-1.029215603,2.513940001,0.379128149,0.600000000,0.600000000,12.353504989,-0.543430209,11.649196670,-1.515000996
1.306777087,11.934511360,-0.982283619,2.543770736,0.351519694,0.600000000,0.600000000,12.272042407,-0.486226370,11.596980314,-1.478340866
1.388450654,11.866352147,-0.937289054,2.571476518,0.327060701,0.600000000,0.600000000,12.190031873,-0.432084704,11.542672421,-1.442493405
1.470124222,11.797015420,-0.894130515,2.597297222,0.305333737,0.600000000,0.600000000,12.107561711,-0.380748590,11.486469128,-1.407512440
1.551797790,11.726624019,-0.852713913,2.621441062,0.285979020,0.600000000,0.600000000,12.024701626,-0.331993507,11.428546413,-1.373434318
1.633471358,11.655284475,-0.812952255,2.644088974,0.268686904,0.600000000,0.600000000,11.941507196,-0.285622610,11.369061754,-1.340281900
1.715144926,11.583089559,-0.774765291,2.665398416,0.253191194,0.600000000,0.600000000,11.858023205,-0.241462851,11.308155914,-1.308067729
1.796818494,11.510120407,-0.738079078,2.685506743,0.239264949,0.600000000,0.600000000,11.774286116,-0.199361639,11.245954699,-1.276796516
1.878492062,11.436448270,-0.702825523,2.704534096,0.226713066,0.600000000,0.600000000,11.690325922,-0.159183970,11.182570619,-1.246467076
1.960165630,11.362135980,-0.668941920,2.722585869,0.215369129,0.600000000,0.600000000,11.606167543,-0.120810005,11.118104417,-1.217073835
2.041839198,11.287239160,-0.636370504,2.739754802,0.205089362,0.600000000,0.600000000,11.521831887,-0.084133007,11.052646433,-1.188608000
2.123512766,11.211807249,-0.605058030,2.756122740,0.195750491,0.600000000,0.600000000,11.437336660,-0.049057594,10.986277837,-1.161058465
2.205186334,11.135884350,-0.574955383,2.771762166,0.187246412,0.600000000,0.600000000,11.352696988,-0.015498254,10.919071711,-1.134412512
2.286859901,11.059509952,-0.546017217,2.786737482,0.179485093,0.600000000,0.600000000,11.267925912,0.016621911,10.851093992,-1.108656344
2.368533469,10.982719536,-0.518201629,2.801106056,0.172386351,0.600000000,0.600000000,11.183034759,0.047372249,10.782404312,-1.083775507
2.450207037,10.905545089,-0.491469859,2.814919183,0.165881456,0.600000000,0.600000000,11.098033448,0.076815486,10.713056732,-1.059755202
2.531880605,10.828015547,-0.465786019,2.828222874,0.159909750,0.600000000,0.600000000,11.012930728,0.105008493,10.643100368,-1.036580532
2.613554173,10.750157164,-0.441116854,2.841058495,0.154418026,0.600000000,0.600000000,10.927734366,0.132002974,10.572579961,-1.014236683
2.695227741,10.671993836,-0.417431518,2.853463368,0.149360480,0.600000000,0.600000000,10.842451310,0.157846023,10.501536363,-0.992709060
2.776901309,10.593547381,-0.394701376,2.865471258,0.144695754,0.600000000,0.600000000,10.757087803,0.182580644,10.430006958,-0.971983396
2.858574877,10.514837772,-0.372899828,2.877112802,0.140388559,0.600000000,0.600000000,10.671649496,0.206246167,10.358026049,-0.952045823
2.940248445,10.435883352,-0.352002146,2.888415873,0.136406530,0.600000000,0.600000000,10.586141524,0.228878635,10.285625180,-0.932882927
3.021922013,10.356701005,-0.331985326,2.899405913,0.132722449,0.600000000,0.600000000,10.500568582,0.250511129,10.212833428,-0.914481782
3.103595581,10.277306321,-0.312827967,2.910106201,0.129310542,0.600000000,0.600000000,10.414934979,0.271174047,10.139677662,-0.896829981
3.185269148,10.197713733,-0.294510141,2.920538060,0.126148717,0.600000000,0.600000000,10.329244697,0.290895364,10.066182769,-0.879915646
3.266942716,10.117936633,-0.277013293,2.930721140,0.123218018,0.600000000,0.600000000,10.243501415,0.309700850,9.992371851,-0.863727436
3.348616284,10.037987484,-0.260320144,2.940673554,0.120499795,0.600000000,0.600000000,10.157708562,0.327614261,9.918266406,-0.848254547
3.430289852,9.957877913,-0.244414601,2.950412037,0.117978999,0.600000000,0.600000000,10.071869336,0.344657513,9.843886490,-0.833486715
3.511963420,9.877618793,-0.229281682,2.959952115,0.115640949,0.600000000,0.600000000,9.985986736,0.360850837,9.769250852,-0.819414200
3.593636988,9.797220321,-0.214907440,2.969308227,0.113473798,0.600000000,0.600000000,9.900063579,0.376212906,9.694377062,-0.806027788
3.675310556,9.716692079,-0.201278906,2.978493814,0.111464947,0.600000000,0.600000000,9.814102527,0.390760961,9.619281631,-0.793318774
3.756984124,9.636043100,-0.188384019,2.987521444,0.109605535,0.600000000,0.600000000,9.728106096,0.404510916,9.543980104,-0.781278955
3.838657692,9.555281914,-0.176211584,2.996402893,0.107885080,0.600000000,0.600000000,9.642076674,0.417477452,9.468487154,-0.769900618
3.920331260,9.474416605,-0.164751213,3.005149229,0.106296751,0.600000000,0.600000000,9.556016539,0.429674098,9.392816670,-0.759176525
4.002004828,9.393454844,-0.153993295,3.013770876,0.104831582,0.600000000,0.600000000,9.469927862,0.441113316,9.316981827,-0.749099905
4.083678395,9.312403939,-0.143928941,3.022277676,0.103484233,0.600000000,0.600000000,9.383812723,0.451806558,9.240995156,-0.739664441
4.165351963,9.231270864,-0.134549963,3.030678960,0.102247610,0.600000000,0.600000000,9.297673122,0.461764333,9.164868605,-0.730864259
4.247025531,9.150062291,-0.125848829,3.038983594,0.101117370,0.600000000,0.600000000,9.211510982,0.470996258,9.088613600,-0.722693917
4.328699099,9.068784626,-0.117818643,3.047200036,0.100087875,0.600000000,0.600000000,9.125328162,0.479511106,9.012241092,-0.715148392
4.410372667,8.987444032,-0.110453114,3.055336353,0.099155211,0.600000000,0.600000000,9.039126458,0.487316848,8.935761608,-0.708223075
4.492046235,8.906046455,-0.103746533,3.063400284,0.098315219,0.600000000,0.600000000,8.952907615,0.494420694,8.859185294,-0.701913761
4.573719803,8.824597648,-0.097693755,3.071399292,0.097565322,0.600000000,0.600000000,8.866673332,0.500829125,8.782521963,-0.696216634
4.655393371,8.743103193,-0.092290177,3.079340563,0.096901283,0.600000000,0.600000000,8.780425264,0.506547919,8.705781121,-0.691128270
4.737066939,8.661568524,-0.087531720,3.087231050,0.096321701,0.600000000,0.600000000,8.694165032,0.511582182,8.628972016,-0.686645622
4.818740507,8.579998943,-0.083414823,3.095077521,0.095823386,0.600000000,0.600000000,8.607894222,0.515936371,8.552103663,-0.682766017
4.900414075,8.498399638,-0.079936419,3.102886571,0.095405298,0.600000000,0.600000000,8.521614396,0.519614308,8.475184883,-0.679487148
4.982087642,8.416775707,-0.077093935,3.110664657,0.095065117,0.600000000,0.600000000,8.435327087,0.522619202,8.398224327,-0.676807072
5.063761210,8.335132165,-0.074885273,3.118418098,0.094801764,0.600000000,0.600000000,8.349033818,0.524953659,8.321230511,-0.674724205
5.145434778,8.253473968,-0.073308812,3.126153134,0.094614393,0.600000000,0.600000000,8.262736090,0.526619695,8.244211845,-0.673237318
5.227108346,8.171806027,-0.072363395,3.133875940,0.094502292,0.600000000,0.600000000,8.176435397,0.527618745,8.167176658,-0.672345536
5.308781914,8.090133222,-0.072048333,-3.141592654,0.094465174,0.600000000,0.600000000,8.090133222,0.527951667,8.090133222,-0.672048333
5.390455482,8.008460417,-0.072363395,-3.133875940,0.094502292,0.600000000,0.600000000,8.003831047,0.527618745,8.013089786,-0.672345536
5.472129050,7.926792476,-0.073308812,-3.126153134,0.094614393,0.600000000,0.600000000,7.917530353,0.526619695,7.936054598,-0.673237318
5.553802618,7.845134279,-0.074885273,-3.118418098,0.094801760,0.600000000,0.600000000,7.831232625,0.524953659,7.859035932,-0.674724205
5.635476186,7.763490737,-0.077093935,-3.110664658,0.095065118,0.600000000,0.600000000,7.744939356,0.522619202,7.782042118,-0.676807072
5.717149754,7.681866805,-0.079936419,-3.102886571,0.095405309,0.600000000,0.600000000,7.658652050,0.519614308,7.705081562,-0.679487148
5.798823322,7.600267501,-0.083414823,-3.095077521,0.095823373,0.600000000,0.600000000,7.572372221,0.515936371,7.628162780,-0.682766017
5.880496889,7.518697920,-0.087531720,-3.087231050,0.096321711,0.600000000,0.600000000,7.486101412,0.511582181,7.551294428,-0.686645622
5.962170457,7.437163251,-0.092290177,-3.079340563,0.096901271,0.600000000,0.600000000,7.399841179,0.506547918,7.474485322,-0.691128270
6.043844025,7.355668796,-0.097693755,-3.071399292,0.097565334,0.600000000,0.600000000,7.313593112,0.500829125,7.397744481,-0.696216634
6.125517593,7.274219989,-0.103746534,-3.063400284,0.098315203,0.600000000,0.600000000,7.227358829,0.494420694,7.321081149,-0.701913761
6.207191161,7.192822412,-0.110453114,-3.055336353,0.099155223,0.600000000,0.600000000,7.141139987,0.487316848,7.244504837,-0.708223075
6.288864729,7.111481818,-0.117818643,-3.047200036,0.100087875,0.600000000,0.600000000,7.054938283,0.479511106,7.168025353,-0.715148392
6.370538297,7.030204153,-0.125848829,-3.038983594,0.101117370,0.600000000,0.600000000,6.968755462,0.470996258,7.091652845,-0.722693917
6.452211865,6.948995580,-0.134549963,-3.030678960,0.102247609,0.600000000,0.600000000,6.882593322,0.461764333,7.015397839,-0.730864259
6.533885433,6.867862505,-0.143928941,-3.022277675,0.103484250,0.600000000,0.600000000,6.796453720,0.451806558,6.939271289,-0.739664441
6.615559001,6.786811600,-0.153993295,-3.013770876,0.104831551,0.600000000,0.600000000,6.710338583,0.441113316,6.863284617,-0.749099905
6.697232568,6.705849839,-0.164751213,-3.005149229,0.106296765,0.600000000,0.600000000,6.624249905,0.429674098,6.787449774,-0.759176525
6.778906136,6.624984530,-0.176211584,-2.996402893,0.107885078,0.600000000,0.600000000,6.538189770,0.417477452,6.711779290,-0.769900618
6.860579704,6.544223344,-0.188384019,-2.987521443,0.109605565,0.600000000,0.600000000,6.452160348,0.404510916,6.636286340,-0.781278955
6.942253272,6.463574365,-0.201278907,-2.978493813,0.111464921,0.600000000,0.600000000,6.366163916,0.390760960,6.560984812,-0.793318774
7.023926840,6.383046123,-0.214907441,-2.969308227,0.113473775,0.600000000,0.600000000,6.280202864,0.376212906,6.485889382,-0.806027788
7.105600408,6.302647650,-0.229281682,-2.959952115,0.115640977,0.600000000,0.600000000,6.194279708,0.360850837,6.411015593,-0.819414200
7.187273976,6.222388531,-0.244414601,-2.950412037,0.117978996,0.600000000,0.600000000,6.108397108,0.344657513,6.336379954,-0.833486715
7.268947544,6.142278960,-0.260320144,-2.940673554,0.120499770,0.600000000,0.600000000,6.022557883,0.327614260,6.262000038,-0.848254548
7.350621112,6.062329811,-0.277013293,-2.930721141,0.123218042,0.600000000,0.600000000,5.936765030,0.309700850,6.187894594,-0.863727436
7.432294680,5.982552711,-0.294510141,-2.920538059,0.126148744,0.600000000,0.600000000,5.851021748,0.290895364,6.114083675,-0.879915646
7.513968248,5.902960123,-0.312827967,-2.910106199,0.129310514,0.600000000,0.600000000,5.765331463,0.271174047,6.040588781,-0.896829981
7.595641815,5.823565439,-0.331985326,-2.899405914,0.132722410,0.600000000,0.600000000,5.679697862,0.250511129,5.967433015,-0.914481782
7.677315383,5.744383092,-0.352002146,-2.888415873,0.136406591,0.600000000,0.600000000,5.594124921,0.228878635,5.894641265,-0.932882927
7.758988951,5.665428671,-0.372899828,-2.877112802,0.140388511,0.600000000,0.600000000,5.508616948,0.206246167,5.822240395,-0.952045823
7.840662519,5.586719063,-0.394701377,-2.865471259,0.144695780,0.600000000,0.600000000,5.423178641,0.182580643,5.750259487,-0.971983396
7.922336087,5.508272608,-0.417431518,-2.853463368,0.149360478,0.600000000,0.600000000,5.337815134,0.157846023,5.678730082,-0.992709060
8.004009655,5.430109280,-0.441116854,-2.841058495,0.154418025,0.600000000,0.600000000,5.252532078,0.132002974,5.607686482,-1.014236683
8.085683223,5.352250897,-0.465786019,-2.828222874,0.159909773,0.600000000,0.600000000,5.167335717,0.105008493,5.537166076,-1.036580532
8.167356791,5.274721355,-0.491469859,-2.814919181,0.165881461,0.600000000,0.600000000,5.082232996,0.076815485,5.467209713,-1.059755202
8.249030359,5.197546908,-0.518201630,-2.801106055,0.172386315,0.600000000,0.600000000,4.997231685,0.047372249,5.397862131,-1.083775507
8.330703927,5.120756492,-0.546017217,-2.786737481,0.179485115,0.600000000,0.600000000,4.912340532,0.016621910,5.329172453,-1.108656345
8.412377495,5.044382094,-0.574955383,-2.771762168,0.187246360,0.600000000,0.600000000,4.827569455,-0.015498254,5.261194732,-1.134412512
8.494051062,4.968459195,-0.605058030,-2.756122739,0.195750577,0.600000000,0.600000000,4.742929784,-0.049057594,5.193988606,-1.161058465
8.575724630,4.893027284,-0.636370504,-2.739754800,0.205089317,0.600000000,0.600000000,4.658434556,-0.084133007,5.127620011,-1.188608000
8.657398198,4.818130464,-0.668941920,-2.722585871,0.215369066,0.600000000,0.600000000,4.574098900,-0.120810005,5.062162027,-1.217073835
8.739071766,4.743818173,-0.702825523,-2.704534098,0.226713150,0.600000000,0.600000000,4.489940523,-0.159183970,4.997695825,-1.246467076
8.820745334,4.670146037,-0.738079078,-2.685506740,0.239264986,0.600000000,0.600000000,4.405980328,-0.199361639,4.934311745,-1.276796516
8.902418902,4.597176885,-0.774765291,-2.665398414,0.253191122,0.600000000,0.600000000,4.322243239,-0.241462852,4.872110529,-1.308067730
8.984092470,4.524981969,-0.812952255,-2.644088977,0.268686856,0.600000000,0.600000000,4.238759247,-0.285622611,4.811204690,-1.340281900
9.065766038,4.453642425,-0.852713913,-2.621441064,0.285979105,0.600000000,0.600000000,4.155564819,-0.331993507,4.751720032,-1.373434318
9.147439606,4.383251024,-0.894130515,-2.597297221,0.305333719,0.600000000,0.600000000,4.072704733,-0.380748590,4.693797316,-1.407512441
9.229113174,4.313914297,-0.937289054,-2.571476520,0.327060650,0.600000000,0.600000000,3.990234571,-0.432084704,4.637594024,-1.442493405
9.310786742,4.245755084,-0.982283619,-2.543770734,0.351519829,0.600000000,0.600000000,3.908224037,-0.486226370,4.583286132,-1.478340866
9.392460309,4.178915614,-1.029215603,-2.513939997,0.379128083,0.600000000,0.600000000,3.826761455,-0.543430209,4.531069773,-1.515000996
9.474133877,4.113561211,-1.078193665,-2.481708076,0.410361716,0.600000000,0.600000000,3.745959881,-0.603989845,4.481162540,-1.552397485
9.555807445,4.049884716,-1.129333255,-2.446757520,0.445757595,0.600000000,0.600000000,3.665965414,-0.668241106,4.433804019,-1.590425405
9.637481013,3.988111734,-1.182755486,-2.408725219,0.485902000,0.600000000,0.600000000,3.586968501,-0.736567065,4.389254966,-1.628943907
9.719154581,3.928506703,-1.238584965,-2.367199245,0.531411408,0.600000000,0.600000000,3.509219216,-0.809402015,4.347794190,-1.667767915
9.800828149,3.871379767,-1.296946104,-2.321718670,0.582878992,0.600000000,0.600000000,3.433047701,-0.887232789,4.309711834,-1.706659420
9.882501717,3.817094122,-1.357957196,-2.271779201,0.640786531,0.600000000,0.600000000,3.358890889,-0.970594577,4.275297354,-1.745319814
9.964175285,3.766073185,-1.421721379,-2.216848461,0.705356703,0.600000000,0.600000000,3.287326153,-1.060056783,4.244820217,-1.783385975
10.045848853,3.718806305,-1.488313492,-2.156396956,0.776315864,0.600000000,0.600000000,3.219110962,-1.156192181,4.218501647,-1.820434802
10.127522421,3.675850750,-1.557761893,-2.089951642,0.852575153,0.600000000,0.600000000,3.155224109,-1.259520546,4.196477392,-1.856003240
10.209195989,3.637826601,-1.630024947,-2.017178257,0.931838351,0.600000000,0.600000000,3.096897830,-1.370417427,4.178755372,-1.889632469
10.290869556,3.605400027,-1.704963413,-1.937993619,1.010248515,0.600000000,0.600000000,3.045620949,-1.488983359,4.165179105,-1.920943466
10.372543124,3.579250319,-1.782312619,-1.852696172,1.082279212,0.600000000,0.600000000,3.003084282,-1.614882938,4.155416355,-1.949742300
10.454216692,3.560018187,-1.861661957,-1.762083227,1.141157120,0.600000000,0.600000000,2.971039396,-1.747189333,4.148996978,-1.976134581
10.535890260,3.548238585,-1.942451973,-1.667503998,1.180016856,0.600000000,0.600000000,2.951063282,-1.884299963,4.145413888,-2.000603984
10.617563828,3.544269889,-2.023998334,-1.570796327,1.193627191,0.600000000,0.600000000,2.944269889,-2.023998334,4.144269889,-2.023998333
10.699237396,3.548238585,-2.105544694,-1.474088655,1.180016889,0.600000000,0.600000000,2.951063282,-2.163696704,4.145413888,-2.047392683
10.780910964,3.560018187,-2.186334710,-1.379509425,1.141157100,0.600000000,0.600000000,2.971039397,-2.300807335,4.148996978,-2.071862086
10.862584532,3.579250319,-2.265684049,-1.288896482,1.082279164,0.600000000,0.600000000,3.003084283,-2.433113731,4.155416355,-2.098254367
10.944258100,3.605400027,-2.343033254,-1.203599035,1.010248565,0.600000000,0.600000000,3.045620950,-2.559013307,4.165179105,-2.127053201
11.025931668,3.637826601,-2.417971720,-1.124414394,0.931838394,0.600000000,0.600000000,3.096897830,-2.677579241,4.178755372,-2.158364199
11.107605236,3.675850751,-2.490234774,-1.051641012,0.852575007,0.600000000,0.600000000,3.155224109,-2.788476122,4.196477392,-2.191993427
11.189278803,3.718806305,-2.559683175,-0.985195700,0.776315956,0.600000000,0.600000000,3.219110962,-2.891804486,4.218501647,-2.227561864
11.270952371,3.766073185,-2.626275288,-0.924744192,0.705356705,0.600000000,0.600000000,3.287326153,-2.987939883,4.244820217,-2.264610692
11.352625939,3.817094122,-2.690039471,-0.869813449,0.640786605,0.600000000,0.600000000,3.358890890,-3.077402090,4.275297354,-2.302676853
11.434299507,3.871379768,-2.751050563,-0.819873981,0.582878889,0.600000000,0.600000000,3.433047702,-3.160763878,4.309711834,-2.341337247
11.515973075,3.928506703,-2.809411702,-0.774393411,0.531411372,0.600000000,0.600000000,3.509219217,-3.238594652,4.347794190,-2.380228751
