s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
0.000000000,12.782589542,-2.023998333,1.570796268,0.971462940,1.814938321,0.081006458,0.453407014,0.746592986
0.085405670,12.779052108,-1.938659570,1.653479268,0.967399270,1.818746252,0.357644875,0.453245034,0.746754966
0.170811340,12.768493431,-1.853903103,1.735243159,0.949857122,1.835463901,0.313634150,0.452788151,0.747211849
0.256217010,12.751110246,-1.770279724,1.814952599,0.919109693,1.850000000,0.000000000,0.452078691,0.747921309
0.341622680,12.727231196,-1.688275389,1.891620128,0.878369385,1.850000000,0.000000000,0.451158409,0.748841591
0.427028350,12.697280261,-1.608289508,1.964544497,0.831166773,1.850000000,0.000000000,0.450069796,0.749930204
0.512434020,12.661737457,-1.530627503,2.033315396,0.780816634,1.850000000,0.000000000,0.448857184,0.751142816
0.597839690,12.621103270,-1.455504711,2.097783547,0.730142348,1.850000000,0.000000000,0.447567384,0.752432616
0.683245360,12.575870449,-1.383058517,2.158004923,0.681135259,1.850000000,0.000000000,0.446250337,0.753749663
0.768651030,12.526505047,-1.313362972,2.214193613,0.635519636,1.850000000,0.000000000,0.444958322,0.755041678
0.854056700,12.473434067,-1.246447128,2.266637141,0.593266910,1.850000000,0.000000000,0.443748277,0.756251723
0.939462370,12.417043214,-1.182302857,2.316723713,0.580253972,1.850000000,0.000000000,0.442675017,0.757324983
1.024868040,12.357547101,-1.121030784,2.366527703,0.586620921,1.850000000,0.000000000,0.441977114,0.758022886
1.110273710,12.295057383,-1.062812341,2.410580730,0.445441210,1.850000000,0.000000000,0.442003700,0.757996300
1.195679380,12.230400243,-1.007012916,2.447376268,0.416459828,1.850000000,0.000000000,0.441999591,0.758000409
1.281085050,12.163800038,-0.953547243,2.481610100,0.385412314,1.850000000,0.000000000,0.441999977,0.758000023
1.366490720,12.095476784,-0.902301928,2.513356692,0.358173749,1.850000000,0.000000000,0.442000034,0.757999966
1.451896389,12.025618480,-0.853169895,2.542897844,0.333736154,1.850000000,0.000000000,0.441999986,0.758000014
1.537302059,11.954388574,-0.806048385,2.570458892,0.311780988,1.850000000,0.000000000,0.442000000,0.758000000
1.622707729,11.881929524,-0.760839787,2.596240739,0.292052921,1.850000000,0.000000000,0.442000019,0.757999981
1.708113399,11.808365638,-0.717452174,2.620427043,0.274402699,1.850000000,0.000000000,0.441999923,0.758000077
1.793519069,11.733805368,-0.675800140,2.643166485,0.258159075,1.850000000,0.000000000,0.442000276,0.757999724
1.878924739,11.658345022,-0.635801847,2.665063980,0.254680113,1.850000000,0.000000000,0.441999071,0.758000929
1.964330409,11.582032673,-0.597454072,2.686344410,0.243704747,1.850000000,0.000000000,0.442076024,0.757923976
2.049736079,11.504938845,-0.560702704,2.705757123,0.210931655,1.850000000,0.000000000,0.442246100,0.757753900
2.135141749,11.427195511,-0.525345942,2.723343852,0.200934932,1.850000000,0.000000000,0.442356359,0.757643641
2.220547419,11.348856947,-0.491328397,2.740141082,0.192439942,1.850000000,0.000000000,0.442412041,0.757587959
2.305953089,11.269969924,-0.458602845,2.756246999,0.184743292,1.850000000,0.000000000,0.442422305,0.757577695
2.391358759,11.190576419,-0.427125938,2.771729247,0.177832806,1.850000000,0.000000000,0.442395852,0.757604148
2.476764429,11.110714044,-0.396858380,2.786651357,0.171624243,1.850000000,0.000000000,0.442341497,0.757658503
2.562170099,11.030416629,-0.367764576,2.801070989,0.166064384,1.850000000,0.000000000,0.442268141,0.757731859
2.647575769,10.949714691,-0.339812457,2.815035485,0.160964655,1.850000000,0.000000000,0.442184892,0.757815108
2.732981439,10.868636129,-0.312972331,2.828608210,0.156888996,1.850000000,0.000000000,0.442100142,0.757899858
2.818387109,10.787205252,-0.287220935,2.841992639,0.156554627,1.850000000,0.000000000,0.442026070,0.757973930
2.903792779,10.705437350,-0.262560547,2.855049057,0.149206963,1.850000000,0.000000000,0.441998817,0.758001183
2.989198449,10.623361847,-0.238944074,2.867419507,0.140489232,1.850000000,0.000000000,0.442000350,0.757999650
3.074604119,10.541008918,-0.216314040,2.879255274,0.136684753,1.850000000,0.000000000,0.441999898,0.758000102
3.160009789,10.458397427,-0.194646855,2.890760086,0.132738408,1.850000000,0.000000000,0.442000029,0.757999971
3.245415459,10.375545627,-0.173917553,2.901945776,0.129211038,1.850000000,0.000000000,0.441999992,0.758000008
3.330821129,10.292470125,-0.154103769,2.912839928,0.125910779,1.850000000,0.000000000,0.442000001,0.757999999
3.416226799,10.209186368,-0.135184444,2.923462630,0.122853829,1.850000000,0.000000000,0.442000007,0.757999993
3.501632469,10.125708691,-0.117139971,2.933835412,0.120057853,1.850000000,0.000000000,0.441999970,0.758000030
3.587038139,10.042050393,-0.099952362,2.943971378,0.117307745,1.850000000,0.000000000,0.442000121,0.757999879
3.672443809,9.958224090,-0.083603733,2.953911074,0.115461439,1.850000000,0.000000000,0.441999515,0.758000485
3.757849479,9.874240672,-0.068082488,2.963692461,0.113600238,1.850000000,0.000000000,0.442002402,0.757997598
3.843255149,9.790110604,-0.053376757,2.973248556,0.110185368,1.850000000,0.000000000,0.442011619,0.757988381
3.928660819,9.705845886,-0.039463355,2.982570182,0.108109181,1.850000000,0.000000000,0.442017455,0.757982545
4.014066489,9.621456298,-0.026328548,2.991734759,0.106507457,1.850000000,0.000000000,0.442018832,0.757981168
4.099472159,9.536950726,-0.013961897,3.000766285,0.104993285,1.850000000,0.000000000,0.442017067,0.757982933
4.184877828,9.452337662,-0.002353483,3.009675245,0.103637094,1.850000000,0.000000000,0.442013115,0.757986885
4.270283498,9.367625168,0.008505572,3.018470772,0.102336825,1.850000000,0.000000000,0.442008144,0.757991856
4.355689168,9.282820999,0.018623833,3.027173302,0.101459225,1.850000000,0.000000000,0.442002836,0.757997164
4.441094838,9.197932343,0.028006891,3.035789086,0.100305326,1.850000000,0.000000000,0.442000116,0.757999884
4.526500508,9.112966422,0.036662414,3.044291899,0.098813608,1.850000000,0.000000000,0.442000085,0.757999915
4.611906178,9.027930477,0.044600601,3.052717041,0.098486362,1.850000000,0.000000000,0.441999621,0.758000379
4.697311848,8.942830779,0.051823263,3.061099137,0.097805528,1.850000000,0.000000000,0.442003357,0.757996643
