side,index,s_m,x_m,y_m,width_from_center_m
left,0,0.000000000,12.035996556,-2.023998333,0.600000000
left,1,0.017034640,12.035947342,-2.019156368,0.600000000
left,2,0.034075018,12.035799331,-2.014302464,0.600000000
left,3,0.051126861,12.035551412,-2.009424758,0.600000000
left,4,0.068195885,12.035201744,-2.004511523,0.600000000
left,5,0.085287782,12.034747776,-1.999551247,0.600000000
left,6,0.102408213,12.034186268,-1.994532691,0.600000000
left,7,0.119562803,12.033513317,-1.989444959,0.600000000
left,8,0.136757135,12.032724398,-1.984277548,0.600000000
left,9,0.153996738,12.031814400,-1.979020409,0.600000000
left,10,0.171287086,12.030777668,-1.973663995,0.600000000
left,11,0.188633589,12.029608054,-1.968199298,0.600000000
left,12,0.206041587,12.028298965,-1.962617892,0.600000000
left,13,0.223516347,12.026843415,-1.956911963,0.600000000
left,14,0.241063054,12.025234079,-1.951074330,0.600000000
left,15,0.258686807,12.023463347,-1.945098468,0.600000000
left,16,0.276392617,12.021523381,-1.938978516,0.600000000
left,17,0.294185399,12.019406162,-1.932709288,0.600000000
left,18,0.312069973,12.017103550,-1.926286270,0.600000000
left,19,0.330051054,12.014607329,-1.919705617,0.600000000
left,20,0.348133253,12.011909257,-1.912964143,0.600000000
left,21,0.366321077,12.009001114,-1.906059311,0.600000000
left,22,0.384618918,12.005874741,-1.898989209,0.600000000
left,23,0.403031060,12.002522082,-1.891752536,0.600000000
left,24,0.421561671,11.998935219,-1.884348571,0.600000000
left,25,0.440214804,11.995106409,-1.876777153,0.600000000
left,26,0.458994398,11.991028107,-1.869038649,0.600000000
left,27,0.477904272,11.986692996,-1.861133926,0.600000000
left,28,0.496948128,11.982094009,-1.853064315,0.600000000
left,29,0.516129552,11.977224348,-1.844831590,0.600000000
left,30,0.535452010,11.972077499,-1.836437923,0.600000000
left,31,0.554918850,11.966647247,-1.827885862,0.600000000
left,32,0.574533304,11.960927684,-1.819178295,0.600000000
left,33,0.594298487,11.954913216,-1.810318421,0.600000000
left,34,0.614217395,11.948598571,-1.801309715,0.600000000
left,35,0.634292914,11.941978797,-1.792155905,0.600000000
left,36,0.654527811,11.935049266,-1.782860941,0.600000000
left,37,0.674924743,11.927805672,-1.773428966,0.600000000
left,38,0.695486255,11.920244026,-1.763864293,0.600000000
left,39,0.716214782,11.912360656,-1.754171380,0.600000000
left,40,0.737112648,11.904152195,-1.744354808,0.600000000
left,41,0.758182073,11.895615579,-1.734419259,0.600000000
left,42,0.779425170,11.886748040,-1.724369494,0.600000000
left,43,0.800843949,11.877547093,-1.714210338,0.600000000
left,44,0.822440318,11.868010532,-1.703946661,0.600000000
left,45,0.844216085,11.858136416,-1.693583365,0.600000000
left,46,0.866172960,11.847923064,-1.683125365,0.600000000
left,47,0.888312554,11.837369042,-1.672577579,0.600000000
left,48,0.910636388,11.826473154,-1.661944918,0.600000000
left,49,0.933145886,11.815234430,-1.651232272,0.600000000
left,50,0.955842383,11.803652119,-1.640444501,0.600000000
left,51,0.978727126,11.791725677,-1.629586429,0.600000000
left,52,1.001801273,11.779454759,-1.618662834,0.600000000
left,53,1.025065898,11.766839205,-1.607678444,0.600000000
left,54,1.048521990,11.753879035,-1.596637927,0.600000000
left,55,1.072170459,11.740574440,-1.585545890,0.600000000
left,56,1.096012132,11.726925769,-1.574406875,0.600000000
left,57,1.120047760,11.712933523,-1.563225353,0.600000000
left,58,1.144278018,11.698598348,-1.552005720,0.600000000
left,59,1.168703503,11.683921025,-1.540752299,0.600000000
left,60,1.193324744,11.668902462,-1.529469334,0.600000000
left,61,1.218142194,11.653543689,-1.518160991,0.600000000
left,62,1.243156238,11.637845851,-1.506831357,0.600000000
left,63,1.268367195,11.621810196,-1.495484436,0.600000000
left,64,1.293775313,11.605438078,-1.484124152,0.600000000
left,65,1.319380779,11.588730943,-1.472754348,0.600000000
left,66,1.345183713,11.571690326,-1.461378787,0.600000000
left,67,1.371184175,11.554317850,-1.450001149,0.600000000
left,68,1.397382164,11.536615212,-1.438625035,0.600000000
left,69,1.423777617,11.518584186,-1.427253967,0.600000000
left,70,1.450370417,11.500226617,-1.415891390,0.600000000
left,71,1.477160388,11.481544413,-1.404540668,0.600000000
left,72,1.504147296,11.462539546,-1.393205092,0.600000000
