side,index,s_m,x_m,y_m,width_from_center_m
right,0,0.000000000,13.235996556,-2.023998333,0.600000000
right,1,0.017034640,13.235699584,-1.994772777,0.600000000
right,2,0.034075018,13.234809066,-1.965561753,0.600000000
right,3,0.051126861,13.233326192,-1.936379721,0.600000000
right,4,0.068195885,13.231252933,-1.907240998,0.600000000
right,5,0.085287782,13.228592025,-1.878159694,0.600000000
right,6,0.102408213,13.225346948,-1.849149636,0.600000000
right,7,0.119562803,13.221521891,-1.820224315,0.600000000
right,8,0.136757135,13.217121724,-1.791396821,0.600000000
right,9,0.153996738,13.212151952,-1.762679793,0.600000000
right,10,0.171287086,13.206618678,-1.734085368,0.600000000
right,11,0.188633589,13.200528551,-1.705625136,0.600000000
right,12,0.206041587,13.193888716,-1.677310107,0.600000000
right,13,0.223516347,13.186706765,-1.649150678,0.600000000
right,14,0.241063054,13.178990680,-1.621156607,0.600000000
right,15,0.258686807,13.170748782,-1.593336997,0.600000000
right,16,0.276392617,13.161989671,-1.565700282,0.600000000
right,17,0.294185399,13.152722181,-1.538254218,0.600000000
right,18,0.312069973,13.142955319,-1.511005889,0.600000000
right,19,0.330051054,13.132698220,-1.483961701,0.600000000
right,20,0.348133253,13.121960097,-1.457127403,0.600000000
right,21,0.366321077,13.110750194,-1.430508088,0.600000000
right,22,0.384618918,13.099077744,-1.404108220,0.600000000
right,23,0.403031060,13.086951931,-1.377931652,0.600000000
right,24,0.421561671,13.074381851,-1.351981646,0.600000000
right,25,0.440214804,13.061376478,-1.326260904,0.600000000
right,26,0.458994398,13.047944639,-1.300771596,0.600000000
right,27,0.477904272,13.034094984,-1.275515385,0.600000000
right,28,0.496948128,13.019835965,-1.250493463,0.600000000
right,29,0.516129552,13.005175816,-1.225706579,0.600000000
right,30,0.535452010,12.990122538,-1.201155074,0.600000000
right,31,0.554918850,12.974683885,-1.176838908,0.600000000
right,32,0.574533304,12.958867355,-1.152757698,0.600000000
right,33,0.594298487,12.942680180,-1.128910742,0.600000000
