index,s_m,center_x_m,center_y_m,w_left_m,w_right_m,left_boundary_x_m,left_boundary_y_m,right_boundary_x_m,right_boundary_y_m
0,0.000000000,12.635996556,-2.023998333,0.600000000,0.600000000,12.035996556,-2.023998333,13.235996556,-2.023998333
1,0.017034640,12.635823463,-2.006964572,0.600000000,0.600000000,12.035947342,-2.019156368,13.235699584,-1.994772777
2,0.034075018,12.635304199,-1.989932109,0.600000000,0.600000000,12.035799331,-2.014302464,13.234809066,-1.965561753
3,0.051126861,12.634438802,-1.972902239,0.600000000,0.600000000,12.035551412,-2.009424758,13.233326192,-1.936379721
4,0.068195885,12.633227338,-1.955876261,0.600000000,0.600000000,12.035201744,-2.004511523,13.231252933,-1.907240998
5,0.085287782,12.631669901,-1.938855470,0.600000000,0.600000000,12.034747776,-1.999551247,13.228592025,-1.878159694
6,0.102408213,12.629766608,-1.921841164,0.600000000,0.600000000,12.034186268,-1.994532691,13.225346948,-1.849149636
7,0.119562803,12.627517604,-1.904834637,0.600000000,0.600000000,12.033513317,-1.989444959,13.221521891,-1.820224315
8,0.136757135,12.624923061,-1.887837184,0.600000000,0.600000000,12.032724398,-1.984277548,13.217121724,-1.791396821
9,0.153996738,12.621983176,-1.870850101,0.600000000,0.600000000,12.031814400,-1.979020409,13.212151952,-1.762679793
10,0.171287086,12.618698173,-1.853874681,0.600000000,0.600000000,12.030777668,-1.973663995,13.206618678,-1.734085368
11,0.188633589,12.615068303,-1.836912217,0.600000000,0.600000000,12.029608054,-1.968199298,13.200528551,-1.705625136
12,0.206041587,12.611093841,-1.819963999,0.600000000,0.600000000,12.028298965,-1.962617892,13.193888716,-1.677310107
13,0.223516347,12.606775090,-1.803031320,0.600000000,0.600000000,12.026843415,-1.956911963,13.186706765,-1.649150678
14,0.241063054,12.602112380,-1.786115468,0.600000000,0.600000000,12.025234079,-1.951074330,13.178990680,-1.621156607
15,0.258686807,12.597106065,-1.769217732,0.600000000,0.600000000,12.023463347,-1.945098468,13.170748782,-1.593336997
16,0.276392617,12.591756526,-1.752339399,0.600000000,0.600000000,12.021523381,-1.938978516,13.161989671,-1.565700282
17,0.294185399,12.586064172,-1.735481753,0.600000000,0.600000000,12.019406162,-1.932709288,13.152722181,-1.538254218
18,0.312069973,12.580029434,-1.718646079,0.600000000,0.600000000,12.017103550,-1.926286270,13.142955319,-1.511005889
19,0.330051054,12.573652774,-1.701833659,0.600000000,0.600000000,12.014607329,-1.919705617,13.132698220,-1.483961701
20,0.348133253,12.566934677,-1.685045773,0.600000000,0.600000000,12.011909257,-1.912964143,13.121960097,-1.457127403
21,0.366321077,12.559875654,-1.668283699,0.600000000,0.600000000,12.009001114,-1.906059311,13.110750194,-1.430508088
