s_m,x_m,y_m,psi_rad,kappa_radpm,w_tr_right_m,w_tr_left_m,right_boundary_x_m,right_boundary_y_m,left_boundary_x_m,left_boundary_y_m
0.000000000,11.117523727,-3.536665000,0.014933255,0.357237926,0.600000000,0.600000000,11.120085618,-4.136659531,11.114961837,-2.936670469
0.083642941,11.201117932,-3.534167240,0.059745683,0.714974847,0.600000000,0.600000000,11.236936195,-4.133096821,11.165299669,-2.935237658
0.167285883,11.284413831,-3.526682156,0.119492438,0.714897909,0.600000000,0.600000000,11.355938162,-4.122403793,11.212889501,-2.930960517
0.250928824,11.367114186,-3.514236995,0.179237053,0.714923365,0.600000000,0.600000000,11.474081526,-4.104624993,11.260146846,-2.923848997
0.334571765,11.448923881,-3.496875990,0.238982733,0.714923575,0.600000000,0.600000000,11.590952518,-4.079823558,11.306895244,-2.913928424
0.418214707,11.529550980,-3.474661092,0.298728419,0.714923499,0.600000000,0.600000000,11.706134088,-4.048087989,11.352967872,-2.901234195
0.501857648,11.608707765,-3.447671575,0.358474104,0.714923559,0.600000000,0.600000000,11.819215210,-4.009531536,11.398200320,-2.885811615
0.585500590,11.686111767,-3.416003751,0.418219784,0.714923379,0.600000000,0.600000000,11.929792357,-3.964291787,11.442431179,-2.867715714
0.669143531,11.761486772,-3.379770626,0.477965472,0.714923725,0.600000000,0.600000000,12.037470935,-3.912530180,11.485502610,-2.847011072
0.752786472,11.834563804,-3.339101496,0.537711157,0.714923328,0.600000000,0.600000000,12.141866694,-3.854431423,11.527260914,-2.823771569
0.836429414,11.905082090,-3.294141490,0.597456835,0.714923566,0.600000000,0.600000000,12.242607102,-3.790202844,11.567557078,-2.798080137
0.920072355,11.972789985,-3.245051047,0.657202521,0.714923513,0.600000000,0.600000000,12.339332666,-3.720073639,11.606247303,-2.770028455
1.003715296,12.037445875,-3.192005344,0.716948207,0.714923563,0.600000000,0.600000000,12.431698224,-3.644294064,11.643193525,-2.739716625
