s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
0.000000000,11.119872387,-3.693930441,0.018222314,0.336278784,1.850000000,0.000000000,0.442717022,0.757282978
0.085857683,11.205685744,-3.691127135,0.060162822,0.641157657,1.850000000,0.000000000,0.443028752,0.756971248
0.171715366,11.291214155,-3.683609581,0.115443401,0.647352108,1.850000000,0.000000000,0.443343113,0.756656887
0.257573049,11.376196188,-3.671354915,0.170675667,0.640055838,1.850000000,0.000000000,0.443659438,0.756340562
0.343430732,11.460375012,-3.654454288,0.225691419,0.642267143,1.850000000,0.000000000,0.443970689,0.756029311
0.429288415,11.543496415,-3.632942260,0.280708060,0.640099416,1.850000000,0.000000000,0.444268686,0.755731314
0.515146098,11.625310946,-3.606899780,0.335609897,0.639576118,1.850000000,0.000000000,0.444545764,0.755454236
0.601003781,11.705574050,-3.576408759,0.390442086,0.638479332,1.850000000,0.000000000,0.444794045,0.755205955
0.686861464,11.784047022,-3.541568489,0.445187240,0.637543036,1.850000000,0.000000000,0.445005715,0.754994285
0.772719147,11.860497634,-3.502489604,0.499849098,0.636536262,1.850000000,0.000000000,0.445172932,0.754827068
0.858576830,11.934700849,-3.459295444,0.554424375,0.635522328,1.850000000,0.000000000,0.445287862,0.754712138
0.944434513,12.006439469,-3.412121062,0.608911548,0.634480330,1.850000000,0.000000000,0.445342667,0.754657333
1.030292196,12.075504772,-3.361112876,0.663308339,0.633413146,1.850000000,0.000000000,0.445329518,0.754670482
1.116149879,12.141697099,-3.306428092,0.717612348,0.632315172,1.850000000,0.000000000,0.445240601,0.754759399
1.202007561,12.204826443,-3.248234149,0.771820607,0.631178629,1.850000000,0.000000000,0.445068113,0.754931887
1.287865244,12.264713011,-3.186708142,0.825932113,0.630057807,1.850000000,0.000000000,0.444804230,0.755195770
1.373722927,12.321187347,-3.122035980,0.879934618,0.628633168,1.850000000,0.000000000,0.444441539,0.755558461
1.459580610,12.374092865,-3.054412871,0.933875217,0.628618784,1.850000000,0.000000000,0.443970672,0.756029328
1.545438293,12.423275211,-2.984036346,0.987765368,0.627442125,1.850000000,0.000000000,0.443393035,0.756606965
1.631295976,12.468599956,-2.911113718,1.043026319,0.660624822,1.850000000,0.000000000,0.442701746,0.757298254
1.717153659,12.509720066,-2.835741454,1.101195313,0.695312935,1.850000000,0.000000000,0.442142854,0.757857146
1.803011342,12.546273018,-2.758052512,1.159769322,0.670066701,1.850000000,0.000000000,0.441973330,0.758026670
1.888869025,12.578302505,-2.678389144,1.215805505,0.636099268,1.850000000,0.000000000,0.442007792,0.757992208
1.974726708,12.605937627,-2.597099010,1.270774124,0.645130246,1.850000000,0.000000000,0.441996268,0.758003732
2.060584391,12.629032888,-2.514404501,1.325863220,0.638914020,1.850000000,0.000000000,0.442005439,0.757994561
2.146442074,12.647562538,-2.430567123,1.381056655,0.647577277,1.850000000,0.000000000,0.441989328,0.758010672
2.232299757,12.661407304,-2.345831558,1.440804849,0.745221380,1.850000000,0.000000000,0.442011812,0.757988188
2.318157440,12.669810466,-2.260383097,1.505935403,0.773265278,1.850000000,0.000000000,0.442790852,0.757209148
2.404015123,12.672531318,-2.174566490,1.570497150,0.731914764,1.850000000,0.000000000,0.444530574,0.755469426
2.489872806,12.669861815,-2.088747073,1.633550904,0.738066379,1.850000000,0.000000000,0.446922496,0.753077504
2.575730489,12.661767542,-2.003269936,1.697474853,0.752217810,1.850000000,0.000000000,0.450005365,0.749994635
2.661588172,12.648178006,-1.918491737,1.762479489,0.763320821,1.850000000,0.000000000,0.453875082,0.746124918
2.747445855,12.629070345,-1.834784848,1.828527618,0.776581310,1.850000000,0.000000000,0.458602886,0.741397114
2.833303538,12.604432982,-1.752535504,1.895702910,0.789651623,1.850000000,0.000000000,0.464273840,0.735726160
2.919161221,12.574285163,-1.672142126,1.964105678,0.805260612,1.850000000,0.000000000,0.470969034,0.729030966
3.005018904,12.538661014,-1.594021608,2.033527048,0.813448051,1.850000000,0.000000000,0.478785580,0.721214420
3.090876587,12.497677416,-1.518574783,2.102712181,0.799745281,1.850000000,0.000000000,0.487763304,0.712236696
3.176734270,12.451618659,-1.446114521,2.170172017,0.773149064,1.850000000,0.000000000,0.497778527,0.702221473
3.262591953,12.400859367,-1.376866473,2.235407860,0.747797699,1.850000000,0.000000000,0.508609971,0.691390029
3.348449636,12.345765385,-1.311015005,2.298422748,0.721289203,1.850000000,0.000000000,0.520042056,0.679957944
