side,index,s_m,x_m,y_m,width_from_center_m
left,0,0.000000000,11.114961837,-2.936670469,0.600000000
left,1,0.023903132,11.131182162,-2.936548396,0.600000000
left,2,0.047806264,11.144836615,-2.936198618,0.600000000
left,3,0.071709396,11.158483107,-2.935615768,0.600000000
left,4,0.095612528,11.172117658,-2.934800015,0.600000000
left,5,0.119515660,11.185736295,-2.933751599,0.600000000
left,6,0.143418792,11.199335046,-2.932470823,0.600000000
left,7,0.167321924,11.212909950,-2.930958062,0.600000000
left,8,0.191225056,11.226457047,-2.929213757,0.600000000
left,9,0.215128188,11.239972388,-2.927238416,0.600000000
left,10,0.239031320,11.253452035,-2.925032614,0.600000000
left,11,0.262934452,11.266892058,-2.922596996,0.600000000
left,12,0.286837584,11.280288538,-2.919932270,0.600000000
left,13,0.310740716,11.293637570,-2.917039214,0.600000000
left,14,0.334643848,11.306935264,-2.913918672,0.600000000
left,15,0.358546980,11.320177742,-2.910571551,0.600000000
left,16,0.382450112,11.333361144,-2.906998830,0.600000000
left,17,0.406353244,11.346481628,-2.903201548,0.600000000
left,18,0.430256376,11.359535368,-2.899180813,0.600000000
left,19,0.454159508,11.372518559,-2.894937798,0.600000000
left,20,0.478062640,11.385427417,-2.890473738,0.600000000
left,21,0.501965772,11.398258178,-2.885789935,0.600000000
left,22,0.525868904,11.411007102,-2.880887755,0.600000000
left,23,0.549772036,11.423670473,-2.875768626,0.600000000
left,24,0.573675169,11.436244599,-2.870434041,0.600000000
left,25,0.597578301,11.448725815,-2.864885555,0.600000000
left,26,0.621481433,11.461110482,-2.859124786,0.600000000
left,27,0.645384565,11.473394990,-2.853153412,0.600000000
left,28,0.669287697,11.485575757,-2.846973175,0.600000000
left,29,0.693190829,11.497649234,-2.840585875,0.600000000
left,30,0.717093961,11.509611901,-2.833993376,0.600000000
left,31,0.740997093,11.521460270,-2.827197598,0.600000000
left,32,0.764900225,11.533190887,-2.820200524,0.600000000
left,33,0.788803357,11.544800334,-2.813004191,0.600000000
left,34,0.812706489,11.556285224,-2.805610699,0.600000000
left,35,0.836609621,11.567642212,-2.798022203,0.600000000
left,36,0.860512753,11.578867985,-2.790240914,0.600000000
left,37,0.884415885,11.589959272,-2.782269102,0.600000000
left,38,0.908319017,11.600912839,-2.774109089,0.600000000
left,39,0.932222149,11.611725493,-2.765763255,0.600000000
left,40,0.956125281,11.622394083,-2.757234033,0.600000000
left,41,0.980028413,11.632915497,-2.748523908,0.600000000
left,42,1.003931545,11.643286670,-2.739635420,0.600000000
left,43,1.027834677,11.653504578,-2.730571161,0.600000000
left,44,1.051737809,11.663566242,-2.721333771,0.600000000
left,45,1.075640941,11.673468729,-2.711925945,0.600000000
left,46,1.099544073,11.683209152,-2.702350425,0.600000000
left,47,1.123447205,11.692784673,-2.692610002,0.600000000
left,48,1.147350337,11.702192499,-2.682707515,0.600000000
left,49,1.171253469,11.711429888,-2.672645851,0.600000000
left,50,1.195156601,11.720494148,-2.662427943,0.600000000
left,51,1.219059733,11.729382635,-2.652056770,0.600000000
left,52,1.242962865,11.738092760,-2.641535355,0.600000000
left,53,1.266865997,11.746621982,-2.630866766,0.600000000
left,54,1.290769129,11.754967816,-2.620054112,0.600000000
left,55,1.314672261,11.763127829,-2.609100545,0.600000000
left,56,1.338575393,11.771099642,-2.598009258,0.600000000
left,57,1.362478525,11.778880930,-2.586783484,0.600000000
left,58,1.386381657,11.786469427,-2.575426497,0.600000000
left,59,1.410284789,11.793862919,-2.563941606,0.600000000
left,60,1.434187921,11.801059251,-2.552332160,0.600000000
left,61,1.458091053,11.808056326,-2.540601543,0.600000000
left,62,1.481994185,11.814852103,-2.528753174,0.600000000
left,63,1.505897317,11.821444603,-2.516790507,0.600000000
left,64,1.529800449,11.827831902,-2.504717030,0.600000000
left,65,1.553703581,11.834012139,-2.492536262,0.600000000
left,66,1.577606713,11.839983513,-2.480251754,0.600000000
left,67,1.601509845,11.845744283,-2.467867088,0.600000000
left,68,1.625412977,11.851292768,-2.455385872,0.600000000
left,69,1.649316109,11.856627353,-2.442811746,0.600000000
left,70,1.673219241,11.861746482,-2.430148375,0.600000000
left,71,1.697122374,11.866648662,-2.417399451,0.600000000
left,72,1.721025506,11.871332465,-2.404568690,0.600000000
left,73,1.744928638,11.875796525,-2.391659832,0.600000000
left,74,1.768831770,11.880039541,-2.378676641,0.600000000
left,75,1.792734902,11.884060275,-2.365622901,0.600000000
left,76,1.816638034,11.887857557,-2.352502417,0.600000000
left,77,1.840541166,11.891430279,-2.339319014,0.600000000
left,78,1.864444298,11.894777399,-2.326076536,0.600000000
left,79,1.888347430,11.897897942,-2.312778843,0.600000000
left,80,1.912250562,11.900790997,-2.299429810,0.600000000
left,81,1.936153694,11.903455723,-2.286033330,0.600000000
left,82,1.960056826,11.905891341,-2.272593308,0.600000000
left,83,1.983959958,11.908097143,-2.259113661,0.600000000
left,84,2.007863090,11.910072484,-2.245598319,0.600000000
left,85,2.031766222,11.911816789,-2.232051222,0.600000000
left,86,2.055669354,11.913329550,-2.218476319,0.600000000
left,87,2.079572486,11.914610326,-2.204877567,0.600000000
left,88,2.103475618,11.915658743,-2.191258931,0.600000000
left,89,2.127378750,11.916474495,-2.177624379,0.600000000
left,90,2.151281882,11.917057345,-2.163977888,0.600000000
left,91,2.175185014,11.917407123,-2.150323435,0.600000000
left,92,2.199088146,11.917523727,-2.136665000,0.600000000
left,93,2.222991278,11.917407123,-2.123006565,0.600000000
left,94,2.246894410,11.917057345,-2.109352112,0.600000000
left,95,2.270797542,11.916474495,-2.095705621,0.600000000
left,96,2.294700674,11.915658743,-2.082071069,0.600000000
left,97,2.318603806,11.914610326,-2.068452433,0.600000000
left,98,2.342506938,11.913329550,-2.054853681,0.600000000
left,99,2.366410070,11.911816789,-2.041278778,0.600000000
left,100,2.390313202,11.910072484,-2.027731681,0.600000000
left,101,2.414216334,11.908097143,-2.014216339,0.600000000
