side,index,s_m,x_m,y_m,width_from_center_m
right,0,0.000000000,11.120085618,-4.136659531,0.600000000
right,1,0.023903132,11.151669814,-4.136373490,0.600000000
right,2,0.047806264,11.185805948,-4.135499045,0.600000000
right,3,0.071709396,11.219922176,-4.134041919,0.600000000
right,4,0.095612528,11.254008554,-4.132002538,0.600000000
right,5,0.119515660,11.288055145,-4.129381497,0.600000000
right,6,0.143418792,11.322052025,-4.126179558,0.600000000
right,7,0.167321924,11.355989283,-4.122397655,0.600000000
right,8,0.191225056,11.389857025,-4.118036892,0.600000000
right,9,0.215128188,11.423645380,-4.113098539,0.600000000
right,10,0.239031320,11.457344497,-4.107584035,0.600000000
right,11,0.262934452,11.490944553,-4.101494989,0.600000000
right,12,0.286837584,11.524435753,-4.094833175,0.600000000
right,13,0.310740716,11.557808334,-4.087600536,0.600000000
right,14,0.334643848,11.591052568,-4.079799179,0.600000000
right,15,0.358546980,11.624158764,-4.071431379,0.600000000
right,16,0.382450112,11.657117270,-4.062499575,0.600000000
right,17,0.406353244,11.689918479,-4.053006371,0.600000000
right,18,0.430256376,11.722552829,-4.042954534,0.600000000
right,19,0.454159508,11.755010807,-4.032346994,0.600000000
right,20,0.478062640,11.787282952,-4.021186844,0.600000000
right,21,0.501965772,11.819359854,-4.009477337,0.600000000
right,22,0.525868904,11.851232165,-3.997221887,0.600000000
right,23,0.549772036,11.882890592,-3.984424065,0.600000000
right,24,0.573675169,11.914325907,-3.971087603,0.600000000
right,25,0.597578301,11.945528946,-3.957216388,0.600000000
right,26,0.621481433,11.976490613,-3.942814465,0.600000000
right,27,0.645384565,12.007201883,-3.927886030,0.600000000
right,28,0.669287697,12.037653803,-3.912435437,0.600000000
right,29,0.693190829,12.067837495,-3.896467188,0.600000000
right,30,0.717093961,12.097744162,-3.879985940,0.600000000
right,31,0.740997093,12.127365084,-3.862996496,0.600000000
right,32,0.764900225,12.156691627,-3.845503809,0.600000000
right,33,0.788803357,12.185715243,-3.827512978,0.600000000
right,34,0.812706489,12.214427470,-3.809029249,0.600000000
right,35,0.836609621,12.242819938,-3.790058008,0.600000000
right,36,0.860512753,12.270884372,-3.770604786,0.600000000
right,37,0.884415885,12.298612589,-3.750675255,0.600000000
right,38,0.908319017,12.325996506,-3.730275223,0.600000000
right,39,0.932222149,12.353028142,-3.709410638,0.600000000
right,40,0.956125281,12.379699616,-3.688087581,0.600000000
right,41,0.980028413,12.406003153,-3.666312270,0.600000000
right,42,1.003931545,12.431931085,-3.644091051,0.600000000
right,43,1.027834677,12.457475854,-3.621430402,0.600000000
right,44,1.051737809,12.482630014,-3.598336929,0.600000000
right,45,1.075640941,12.507386231,-3.574817363,0.600000000
right,46,1.099544073,12.531737290,-3.550878562,0.600000000
right,47,1.123447205,12.555676091,-3.526527504,0.600000000
right,48,1.147350337,12.579195656,-3.501771286,0.600000000
right,49,1.171253469,12.602289129,-3.476617127,0.600000000
right,50,1.195156601,12.624949778,-3.451072358,0.600000000
right,51,1.219059733,12.647170997,-3.425144426,0.600000000
right,52,1.242962865,12.668946309,-3.398840889,0.600000000
right,53,1.266865997,12.690269365,-3.372169415,0.600000000
right,54,1.290769129,12.711133950,-3.345137779,0.600000000
right,55,1.314672261,12.731533982,-3.317753861,0.600000000
right,56,1.338575393,12.751463513,-3.290025644,0.600000000
right,57,1.362478525,12.770916735,-3.261961211,0.600000000
right,58,1.386381657,12.789887976,-3.233568742,0.600000000
right,59,1.410284789,12.808371706,-3.204856516,0.600000000
right,60,1.434187921,12.826362536,-3.175832900,0.600000000
right,61,1.458091053,12.843855223,-3.146506357,0.600000000
right,62,1.481994185,12.860844667,-3.116885434,0.600000000
right,63,1.505897317,12.877325916,-3.086978768,0.600000000
right,64,1.529800449,12.893294164,-3.056795075,0.600000000
right,65,1.553703581,12.908744757,-3.026343156,0.600000000
right,66,1.577606713,12.923673192,-2.995631886,0.600000000
right,67,1.601509845,12.938075116,-2.964670219,0.600000000
right,68,1.625412977,12.951946330,-2.933467180,0.600000000
right,69,1.649316109,12.965282792,-2.902031865,0.600000000
right,70,1.673219241,12.978080614,-2.870373438,0.600000000
right,71,1.697122374,12.990336065,-2.838501127,0.600000000
right,72,1.721025506,13.002045572,-2.806424224,0.600000000
right,73,1.744928638,13.013205721,-2.774152080,0.600000000
right,74,1.768831770,13.023813261,-2.741694102,0.600000000
right,75,1.792734902,13.033865098,-2.709059751,0.600000000
right,76,1.816638034,13.043358302,-2.676258542,0.600000000
right,77,1.840541166,13.052290106,-2.643300036,0.600000000
right,78,1.864444298,13.060657906,-2.610193841,0.600000000
right,79,1.888347430,13.068459263,-2.576949607,0.600000000
right,80,1.912250562,13.075691903,-2.543577026,0.600000000
right,81,1.936153694,13.082353717,-2.510085826,0.600000000
right,82,1.960056826,13.088442763,-2.476485770,0.600000000
right,83,1.983959958,13.093957266,-2.442786653,0.600000000
right,84,2.007863090,13.098895619,-2.408998298,0.600000000
right,85,2.031766222,13.103256383,-2.375130556,0.600000000
right,86,2.055669354,13.107038285,-2.341193298,0.600000000
right,87,2.079572486,13.110240224,-2.307196418,0.600000000
right,88,2.103475618,13.112861266,-2.273149827,0.600000000
right,89,2.127378750,13.114900647,-2.239063449,0.600000000
right,90,2.151281882,13.116357772,-2.204947220,0.600000000
right,91,2.175185014,13.117232217,-2.170811087,0.600000000
right,92,2.199088146,13.117523727,-2.136665000,0.600000000
right,93,2.222991278,13.117232217,-2.102518913,0.600000000
right,94,2.246894410,13.116357772,-2.068382780,0.600000000
right,95,2.270797542,13.114900647,-2.034266551,0.600000000
right,96,2.294700674,13.112861266,-2.000180173,0.600000000
right,97,2.318603806,13.110240224,-1.966133582,0.600000000
right,98,2.342506938,13.107038285,-1.932136702,0.600000000
right,99,2.366410070,13.103256383,-1.898199444,0.600000000
right,100,2.390313202,13.098895619,-1.864331702,0.600000000
right,101,2.414216334,13.093957266,-1.830543347,0.600000000
right,102,2.438119466,13.088442763,-1.796844230,0.600000000
right,103,2.462022598,13.082353717,-1.763244174,0.600000000
right,104,2.485925730,13.075691903,-1.729752974,0.600000000
right,105,2.509828862,13.068459263,-1.696380393,0.600000000
right,106,2.533731994,13.060657906,-1.663136159,0.600000000
right,107,2.557635126,13.052290106,-1.630029964,0.600000000
right,108,2.581538258,13.043358302,-1.597071458,0.600000000
right,109,2.605441390,13.033865098,-1.564270249,0.600000000
right,110,2.629344522,13.023813261,-1.531635898,0.600000000
right,111,2.653247654,13.013205721,-1.499177920,0.600000000
right,112,2.677150786,13.002045572,-1.466905776,0.600000000
right,113,2.701053918,12.990336065,-1.434828873,0.600000000
right,114,2.724957050,12.978080614,-1.402956562,0.600000000
right,115,2.748860182,12.965282792,-1.371298135,0.600000000
right,116,2.772763314,12.951946330,-1.339862820,0.600000000
right,117,2.796666446,12.938075116,-1.308659781,0.600000000
right,118,2.820569579,12.923673192,-1.277698114,0.600000000
right,119,2.844472711,12.908744757,-1.246986844,0.600000000
right,120,2.868375843,12.893294164,-1.216534925,0.600000000
right,121,2.892278975,12.877325916,-1.186351232,0.600000000
right,122,2.916182107,12.860844667,-1.156444566,0.600000000
right,123,2.940085239,12.843855223,-1.126823643,0.600000000
right,124,2.963988371,12.826362536,-1.097497100,0.600000000
