index,s_m,center_x_m,center_y_m,w_left_m,w_right_m,left_boundary_x_m,left_boundary_y_m,right_boundary_x_m,right_boundary_y_m
0,0.000000000,11.117523727,-3.536665000,0.600000000,0.600000000,11.114961837,-2.936670469,11.120085618,-4.136659531
1,0.023903132,11.141425988,-3.536460943,0.600000000,0.600000000,11.131182162,-2.936548396,11.151669814,-4.136373490
2,0.047806264,11.165321282,-3.535848831,0.600000000,0.600000000,11.144836615,-2.936198618,11.185805948,-4.135499045
3,0.071709396,11.189202641,-3.534828844,0.600000000,0.600000000,11.158483107,-2.935615768,11.219922176,-4.134041919
4,0.095612528,11.213063106,-3.533401277,0.600000000,0.600000000,11.172117658,-2.934800015,11.254008554,-4.132002538
5,0.119515660,11.236895720,-3.531566548,0.600000000,0.600000000,11.185736295,-2.933751599,11.288055145,-4.129381497
6,0.143418792,11.260693536,-3.529325190,0.600000000,0.600000000,11.199335046,-2.932470823,11.322052025,-4.126179558
7,0.167321924,11.284449616,-3.526677859,0.600000000,0.600000000,11.212909950,-2.930958062,11.355989283,-4.122397655
8,0.191225056,11.308157036,-3.523625324,0.600000000,0.600000000,11.226457047,-2.929213757,11.389857025,-4.118036892
9,0.215128188,11.331808884,-3.520168477,0.600000000,0.600000000,11.239972388,-2.927238416,11.423645380,-4.113098539
10,0.239031320,11.355398266,-3.516308325,0.600000000,0.600000000,11.253452035,-2.925032614,11.457344497,-4.107584035
11,0.262934452,11.378918306,-3.512045992,0.600000000,0.600000000,11.266892058,-2.922596996,11.490944553,-4.101494989
12,0.286837584,11.402362146,-3.507382723,0.600000000,0.600000000,11.280288538,-2.919932270,11.524435753,-4.094833175
13,0.310740716,11.425722952,-3.502319875,0.600000000,0.600000000,11.293637570,-2.917039214,11.557808334,-4.087600536
14,0.334643848,11.448993916,-3.496858925,0.600000000,0.600000000,11.306935264,-2.913918672,11.591052568,-4.079799179
15,0.358546980,11.472168253,-3.491001465,0.600000000,0.600000000,11.320177742,-2.910571551,11.624158764,-4.071431379
16,0.382450112,11.495239207,-3.484749202,0.600000000,0.600000000,11.333361144,-2.906998830,11.657117270,-4.062499575
17,0.406353244,11.518200053,-3.478103959,0.600000000,0.600000000,11.346481628,-2.903201548,11.689918479,-4.053006371
18,0.430256376,11.541044099,-3.471067674,0.600000000,0.600000000,11.359535368,-2.899180813,11.722552829,-4.042954534
19,0.454159508,11.563764683,-3.463642396,0.600000000,0.600000000,11.372518559,-2.894937798,11.755010807,-4.032346994
20,0.478062640,11.586355184,-3.455830291,0.600000000,0.600000000,11.385427417,-2.890473738,11.787282952,-4.021186844
21,0.501965772,11.608809016,-3.447633636,0.600000000,0.600000000,11.398258178,-2.885789935,11.819359854,-4.009477337
22,0.525868904,11.631119634,-3.439054821,0.600000000,0.600000000,11.411007102,-2.880887755,11.851232165,-3.997221887
23,0.549772036,11.653280533,-3.430096346,0.600000000,0.600000000,11.423670473,-2.875768626,11.882890592,-3.984424065
24,0.573675169,11.675285253,-3.420760822,0.600000000,0.600000000,11.436244599,-2.870434041,11.914325907,-3.971087603
25,0.597578301,11.697127380,-3.411050972,0.600000000,0.600000000,11.448725815,-2.864885555,11.945528946,-3.957216388
26,0.621481433,11.718800548,-3.400969625,0.600000000,0.600000000,11.461110482,-2.859124786,11.976490613,-3.942814465
27,0.645384565,11.740298436,-3.390519721,0.600000000,0.600000000,11.473394990,-2.853153412,12.007201883,-3.927886030
28,0.669287697,11.761614780,-3.379704306,0.600000000,0.600000000,11.485575757,-2.846973175,12.037653803,-3.912435437
29,0.693190829,11.782743365,-3.368526532,0.600000000,0.600000000,11.497649234,-2.840585875,12.067837495,-3.896467188
30,0.717093961,11.803678031,-3.356989658,0.600000000,0.600000000,11.509611901,-2.833993376,12.097744162,-3.879985940
31,0.740997093,11.824412677,-3.345097047,0.600000000,0.600000000,11.521460270,-2.827197598,12.127365084,-3.862996496
32,0.764900225,11.844941257,-3.332852166,0.600000000,0.600000000,11.533190887,-2.820200524,12.156691627,-3.845503809
33,0.788803357,11.865257788,-3.320258585,0.600000000,0.600000000,11.544800334,-2.813004191,12.185715243,-3.827512978
34,0.812706489,11.885356347,-3.307319974,0.600000000,0.600000000,11.556285224,-2.805610699,12.214427470,-3.809029249
35,0.836609621,11.905231075,-3.294040105,0.600000000,0.600000000,11.567642212,-2.798022203,12.242819938,-3.790058008
36,0.860512753,11.924876178,-3.280422850,0.600000000,0.600000000,11.578867985,-2.790240914,12.270884372,-3.770604786
37,0.884415885,11.944285930,-3.266472178,0.600000000,0.600000000,11.589959272,-2.782269102,12.298612589,-3.750675255
38,0.908319017,11.963454673,-3.252192156,0.600000000,0.600000000,11.600912839,-2.774109089,12.325996506,-3.730275223
39,0.932222149,11.982376818,-3.237586946,0.600000000,0.600000000,11.611725493,-2.765763255,12.353028142,-3.709410638
40,0.956125281,12.001046849,-3.222660807,0.600000000,0.600000000,11.622394083,-2.757234033,12.379699616,-3.688087581
41,0.980028413,12.019459325,-3.207418089,0.600000000,0.600000000,11.632915497,-2.748523908,12.406003153,-3.666312270
