s_m,x_m,y_m,psi_rad,kappa_radpm,w_tr_right_m,w_tr_left_m,right_boundary_x_m,right_boundary_y_m,left_boundary_x_m,left_boundary_y_m
0.000000000,10.656487667,-3.843834697,0.013054207,0.318134447,0.600000000,0.600000000,10.659304254,-4.443828086,10.653671080,-3.243841308
0.082051761,10.738503382,-3.841693264,0.052197456,0.636445967,0.600000000,0.600000000,10.769822901,-4.440875800,10.707183863,-3.242510728
0.164103523,10.820295691,-3.835276561,0.104392463,0.636647916,0.600000000,0.600000000,10.882818471,-4.432010038,10.757772912,-3.238543084
0.246155284,10.901641792,-3.824600708,0.156592754,0.636575387,0.600000000,0.600000000,10.995213885,-4.417259350,10.808069699,-3.231942067
0.328207045,10.982320101,-3.809695274,0.208790205,0.636578282,0.600000000,0.600000000,11.106686023,-4.396664709,10.857954179,-3.222725839
0.410258806,11.062110854,-3.790600842,0.260987764,0.636578041,0.600000000,0.600000000,11.216931848,-4.370282186,10.907289859,-3.210919499
0.492310568,11.140796703,-3.767369425,0.313185317,0.636578131,0.600000000,0.600000000,11.325651044,-4.338183643,10.955942363,-3.196555206
0.574362329,11.218163311,-3.740064305,0.365382870,0.636578032,0.600000000,0.600000000,11.432547460,-4.300456521,11.003779162,-3.179672088
0.656414090,11.293999933,-3.708759860,0.417580418,0.636578020,0.600000000,0.600000000,11.537329915,-4.257203585,11.050669950,-3.160316135
0.738465851,11.368099994,-3.673541363,0.469777975,0.636578237,0.600000000,0.600000000,11.639712988,-4.208542653,11.096486999,-3.138540072
0.820517613,11.440261647,-3.634504746,0.521975534,0.636578090,0.600000000,0.600000000,11.739417787,-4.154606277,11.141105506,-3.114403213
0.902569374,11.510288325,-3.591756345,0.574173079,0.636577896,0.600000000,0.600000000,11.836172722,-4.095541378,11.184403929,-3.087971311
0.984621135,11.577989281,-3.545412605,0.626370628,0.636578180,0.600000000,0.600000000,11.929714235,-4.031508847,11.226264328,-3.059316363
1.066672897,11.643180097,-3.495599765,0.678568186,0.636578091,0.600000000,0.600000000,12.019787521,-3.962683107,11.266572673,-3.028516423
1.148724658,11.705683197,-3.442453513,0.730765743,0.636578192,0.600000000,0.600000000,12.106147225,-3.889251635,11.305219168,-2.995655392
1.230776419,11.765328323,-3.386118618,0.782963296,0.636577976,0.600000000,0.600000000,12.188558106,-3.811414457,11.342098541,-2.960822779
1.312828180,11.821953006,-3.326748533,0.835160843,0.636578062,0.600000000,0.600000000,12.266795680,-3.729383598,11.377110332,-2.924113469
1.394879942,11.875403001,-3.264504983,0.887358394,0.636578051,0.600000000,0.600000000,12.340646830,-3.643382509,11.410159172,-2.885627457
1.476931703,11.925532712,-3.199557514,0.939555948,0.636578149,0.600000000,0.600000000,12.409910386,-3.553645453,11.441155036,-2.845469576
1.558983464,11.972205587,-3.132083043,0.991753504,0.636578102,0.600000000,0.600000000,12.474397680,-3.460416869,11.470013494,-2.803749217
1.641035225,12.015294491,-3.062265367,1.043951055,0.636578012,0.600000000,0.600000000,12.533933048,-3.363950711,11.496655935,-2.760580022
1.723086987,12.054682052,-2.990294667,1.096148602,0.636578004,0.600000000,0.600000000,12.588354319,-3.264509751,11.521009785,-2.716079585
1.805138748,12.090260980,-2.916366990,1.148346161,0.636578323,0.600000000,0.600000000,12.637513252,-3.162364858,11.543008708,-2.670369122
1.887190509,12.121934357,-2.840683711,1.200543717,0.636577907,0.600000000,0.600000000,12.681275937,-3.057794273,11.562592777,-2.623573147
1.969242271,12.149615907,-2.763450989,1.252741269,0.636578250,0.600000000,0.600000000,12.719523168,-2.951082846,11.579708646,-2.575819132
2.051294032,12.173230227,-2.684879203,1.304938821,0.636577906,0.600000000,0.600000000,12.752150760,-2.842521252,11.594309693,-2.527237156
2.133345793,12.192712992,-2.605182381,1.357136365,0.636578040,0.600000000,0.600000000,12.779069840,-2.732405208,11.606356145,-2.477959554
2.215397554,12.208011132,-2.524577614,1.409333921,0.636578193,0.600000000,0.600000000,12.800207076,-2.621034671,11.615815187,-2.428120559
2.297449316,12.219082974,-2.443284466,1.461531480,0.636578146,0.600000000,0.600000000,12.815504893,-2.508713006,11.622661054,-2.377855928
2.379501077,12.225898360,-2.361524378,1.513729035,0.636578057,0.600000000,0.600000000,12.824921621,-2.395746174,11.626875097,-2.327302582
2.461552838,12.228438724,-2.279520060,1.565926580,0.636577917,0.600000000,0.600000000,12.828431610,-2.282441895,11.628445839,-2.276598225
2.543604599,12.226697148,-2.197494890,1.618124131,0.636578211,0.600000000,0.600000000,12.826025297,-2.169108805,11.627368999,-2.225880975
2.625656361,12.220678374,-2.115672302,1.670321691,0.636578147,0.600000000,0.600000000,12.817709237,-2.056055619,11.623647511,-2.175288984
2.707708122,12.210398798,-2.034275178,1.722519245,0.636578026,0.600000000,0.600000000,12.803506082,-1.943590291,11.617291513,-2.124960064
2.789759883,12.195886421,-1.953525240,1.774716792,0.636578013,0.600000000,0.600000000,12.783454524,-1.832019172,11.608318317,-2.075031307
2.871811645,12.177180774,-1.873642449,1.826914341,0.636578048,0.600000000,0.600000000,12.757609179,-1.721646179,11.596752369,-2.025638718
2.953863406,12.154332812,-1.794844402,1.879111902,0.636578322,0.600000000,0.600000000,12.726040452,-1.612771962,11.582625170,-1.976916842
3.035915167,12.127404768,-1.717345743,1.931309455,0.636577854,0.600000000,0.600000000,12.688834333,-1.505693092,11.565975205,-1.928998395
3.117966928,12.096469998,-1.641357576,1.983507002,0.636578174,0.600000000,0.600000000,12.646092170,-1.400701248,11.546847826,-1.882013903
3.200018690,12.061612765,-1.567086890,2.035704557,0.636578040,0.600000000,0.600000000,12.597930393,-1.298082426,11.525295137,-1.836091354
3.282070451,12.022928019,-1.494735995,2.087902108,0.636578099,0.600000000,0.600000000,12.544480192,-1.198116153,11.501375846,-1.791355837
3.364122212,11.980521136,-1.424501973,2.140099665,0.636578159,0.600000000,0.600000000,12.485887163,-1.101074735,11.475155108,-1.747929210
3.446173973,11.934507631,-1.356576139,2.192297219,0.636578041,0.600000000,0.600000000,12.422310913,-1.007222511,11.446704348,-1.705929767
3.528225735,11.885012842,-1.291143521,2.244494764,0.636577931,0.600000000,0.600000000,12.353924621,-0.916815129,11.416101064,-1.665471912
3.610277496,11.832171594,-1.228382354,2.296692320,0.636578311,0.600000000,0.600000000,12.280914568,-0.830098858,11.383428621,-1.626665851
3.692329257,11.776127822,-1.168463600,2.348889876,0.636577934,0.600000000,0.600000000,12.203479630,-0.747309908,11.348776013,-1.589617291
3.774381019,11.717034188,-1.111550472,2.401087425,0.636578139,0.600000000,0.600000000,12.121830740,-0.668673795,11.312237636,-1.554427150
3.856432780,11.655051662,-1.057798003,2.453284979,0.636578055,0.600000000,0.600000000,12.036190304,-0.594404719,11.273913019,-1.521191286
3.938484541,11.590349082,-1.007352610,2.505482533,0.636578141,0.600000000,0.600000000,11.946791607,-0.524704989,11.233906557,-1.490000230
4.020536302,11.523102695,-0.960351706,2.557680083,0.636577969,0.600000000,0.600000000,11.853878167,-0.459764463,11.192327224,-1.460938949
4.102588064,11.453495678,-0.916923319,2.609877637,0.636578215,0.600000000,0.600000000,11.757703073,-0.399760037,11.149288283,-1.434086602
4.184639825,11.381717638,-0.877185748,2.662075193,0.636578032,0.600000000,0.600000000,11.658528307,-0.344855161,11.104906969,-1.409516335
4.266691586,11.307964097,-0.841247235,2.714272742,0.636578044,0.600000000,0.600000000,11.556624015,-0.295199395,11.059304177,-1.387295076
4.348743348,11.232435956,-0.809205677,2.766470293,0.636578086,0.600000000,0.600000000,11.452267785,-0.250927997,11.012604127,-1.367483356
4.430795109,11.155338951,-0.781148352,2.818667850,0.636578173,0.600000000,0.600000000,11.345743875,-0.212161565,10.964934028,-1.350135140
4.512846870,11.076883092,-0.757151690,2.870865404,0.636578012,0.600000000,0.600000000,11.237342455,-0.179005693,10.916423730,-1.335297686
4.594898631,10.997282091,-0.737281054,2.923062956,0.636578158,0.600000000,0.600000000,11.127358806,-0.151550700,10.867205376,-1.323011408
4.676950393,10.916752777,-0.721590573,2.975260517,0.636578198,0.600000000,0.600000000,11.016092525,-0.129871370,10.817413030,-1.313309776
4.759002154,10.835514510,-0.710122988,3.027456533,0.636540273,0.600000000,0.600000000,10.903846746,-0.114026761,10.767182275,-1.306219216
4.841053915,10.753788581,-0.702909281,3.079731512,0.638509838,0.600000000,0.600000000,10.790918279,-0.104059614,10.716658882,-1.301758948
4.923105676,10.671797572,-0.699982333,3.123216194,0.421955839,0.600000000,0.600000000,10.678391791,-0.100019363,10.665203352,-1.299945303
5.005157438,10.589745858,-0.699894417,3.141062327,0.013190252,0.600000000,0.600000000,10.589776451,-0.099894297,10.589715266,-1.299894537
5.087209199,10.507694100,-0.699895304,-3.141587251,-0.000131930,0.600000000,0.600000000,10.507694050,-0.099895305,10.507694149,-1.299895304
5.169260960,10.425642338,-0.699895304,3.141592645,0.000000033,0.600000000,0.600000000,10.425642318,-0.099895304,10.425642359,-1.299895304
5.251312722,10.343590577,-0.699895303,3.141592650,0.000000095,0.600000000,0.600000000,10.343590578,-0.099895303,10.343590576,-1.299895303
5.333364483,10.261538816,-0.699895303,-3.141592653,-0.000000004,0.600000000,0.600000000,10.261538816,-0.099895303,10.261538816,-1.299895303
5.415416244,10.179487055,-0.699895303,3.141592654,0.000000000,0.600000000,0.600000000,10.179487055,-0.099895303,10.179487055,-1.299895303
5.497468005,10.097435293,-0.699895303,-3.141592654,-0.000000000,0.600000000,0.600000000,10.097435293,-0.099895303,10.097435293,-1.299895303
5.579519767,10.015383532,-0.699895303,-3.141592654,-0.000000000,0.600000000,0.600000000,10.015383532,-0.099895303,10.015383532,-1.299895303
5.661571528,9.933331771,-0.699895303,3.141592654,-0.000000000,0.600000000,0.600000000,9.933331771,-0.099895303,9.933331771,-1.299895303
5.743623289,9.851280009,-0.699895303,3.141592654,-0.000000000,0.600000000,0.600000000,9.851280009,-0.099895303,9.851280009,-1.299895303
5.825675050,9.769228248,-0.699895303,3.141592654,0.000000000,0.600000000,0.600000000,9.769228248,-0.099895303,9.769228248,-1.299895303
5.907726812,9.687176487,-0.699895303,3.141592654,-0.000000000,0.600000000,0.600000000,9.687176487,-0.099895303,9.687176487,-1.299895303
5.989778573,9.605124726,-0.699895303,3.141592654,-0.000000000,0.600000000,0.600000000,9.605124726,-0.099895303,9.605124726,-1.299895303
6.071830334,9.523072964,-0.699895303,3.141592654,-0.000000000,0.600000000,0.600000000,9.523072964,-0.099895303,9.523072964,-1.299895303
6.153882096,9.441021203,-0.699895303,3.141592654,-0.000000000,0.600000000,0.600000000,9.441021203,-0.099895303,9.441021203,-1.299895303
6.235933857,9.358969442,-0.699895303,3.141592654,0.000000000,0.600000000,0.600000000,9.358969442,-0.099895303,9.358969442,-1.299895303
6.317985618,9.276917681,-0.699895303,3.141592654,-0.000000000,0.600000000,0.600000000,9.276917681,-0.099895303,9.276917681,-1.299895303
6.400037379,9.194865919,-0.699895303,3.141592654,0.000000000,0.600000000,0.600000000,9.194865919,-0.099895303,9.194865919,-1.299895303
6.482089141,9.112814158,-0.699895303,3.141592654,-0.000000000,0.600000000,0.600000000,9.112814158,-0.099895303,9.112814158,-1.299895303
6.564140902,9.030762397,-0.699895303,3.141592654,-0.000000000,0.600000000,0.600000000,9.030762397,-0.099895303,9.030762397,-1.299895303
6.646192663,8.948710635,-0.699895303,3.141592654,-0.000000000,0.600000000,0.600000000,8.948710635,-0.099895303,8.948710635,-1.299895303
6.728244424,8.866658874,-0.699895303,3.141592654,0.000000000,0.600000000,0.600000000,8.866658874,-0.099895303,8.866658874,-1.299895303
6.810296186,8.784607113,-0.699895303,3.141592654,-0.000000000,0.600000000,0.600000000,8.784607113,-0.099895303,8.784607113,-1.299895303
6.892347947,8.702555352,-0.699895303,3.141592654,-0.000000000,0.600000000,0.600000000,8.702555352,-0.099895303,8.702555352,-1.299895303
6.974399708,8.620503590,-0.699895303,3.141592654,0.000000000,0.600000000,0.600000000,8.620503590,-0.099895303,8.620503590,-1.299895303
7.056451470,8.538451829,-0.699895303,3.141592654,-0.000000000,0.600000000,0.600000000,8.538451829,-0.099895303,8.538451829,-1.299895303
7.138503231,8.456400068,-0.699895303,3.141592654,-0.000000000,0.600000000,0.600000000,8.456400068,-0.099895303,8.456400068,-1.299895303
7.220554992,8.374348306,-0.699895303,3.141592654,-0.000000000,0.600000000,0.600000000,8.374348306,-0.099895303,8.374348306,-1.299895303
7.302606753,8.292296545,-0.699895303,3.141592654,-0.000000000,0.600000000,0.600000000,8.292296545,-0.099895303,8.292296545,-1.299895303
7.384658515,8.210244784,-0.699895303,3.141592654,-0.000000000,0.600000000,0.600000000,8.210244784,-0.099895303,8.210244784,-1.299895303
7.466710276,8.128193023,-0.699895303,3.141592654,0.000000000,0.600000000,0.600000000,8.128193023,-0.099895303,8.128193023,-1.299895303
7.548762037,8.046141261,-0.699895303,3.141592654,-0.000000000,0.600000000,0.600000000,8.046141261,-0.099895303,8.046141261,-1.299895303
7.630813798,7.964089500,-0.699895303,3.141592654,0.000000000,0.600000000,0.600000000,7.964089500,-0.099895303,7.964089500,-1.299895303
7.712865560,7.882037739,-0.699895303,3.141592654,-0.000000000,0.600000000,0.600000000,7.882037739,-0.099895303,7.882037739,-1.299895303
7.794917321,7.799985978,-0.699895303,3.141592654,0.000000000,0.600000000,0.600000000,7.799985978,-0.099895303,7.799985978,-1.299895303
7.876969082,7.717934216,-0.699895303,3.141592654,-0.000000000,0.600000000,0.600000000,7.717934216,-0.099895303,7.717934216,-1.299895303
7.959020844,7.635882455,-0.699895303,3.141592654,-0.000000000,0.600000000,0.600000000,7.635882455,-0.099895303,7.635882455,-1.299895303
8.041072605,7.553830694,-0.699895303,3.141592654,-0.000000000,0.600000000,0.600000000,7.553830694,-0.099895303,7.553830694,-1.299895303
8.123124366,7.471778932,-0.699895303,3.141592654,0.000000000,0.600000000,0.600000000,7.471778932,-0.099895303,7.471778932,-1.299895303
8.205176127,7.389727171,-0.699895303,3.141592654,-0.000000000,0.600000000,0.600000000,7.389727171,-0.099895303,7.389727171,-1.299895303
8.287227889,7.307675410,-0.699895303,3.141592654,-0.000000000,0.600000000,0.600000000,7.307675410,-0.099895303,7.307675410,-1.299895303
8.369279650,7.225623649,-0.699895303,3.141592654,-0.000000000,0.600000000,0.600000000,7.225623649,-0.099895303,7.225623649,-1.299895303
8.451331411,7.143571887,-0.699895303,3.141592654,0.000000000,0.600000000,0.600000000,7.143571887,-0.099895303,7.143571887,-1.299895303
8.533383172,7.061520126,-0.699895303,3.141592654,-0.000000000,0.600000000,0.600000000,7.061520126,-0.099895303,7.061520126,-1.299895303
8.615434934,6.979468365,-0.699895303,3.141592654,0.000000000,0.600000000,0.600000000,6.979468365,-0.099895303,6.979468365,-1.299895303
8.697486695,6.897416604,-0.699895303,3.141592654,0.000000000,0.600000000,0.600000000,6.897416604,-0.099895303,6.897416604,-1.299895303
8.779538456,6.815364842,-0.699895303,3.141592654,0.000000000,0.600000000,0.600000000,6.815364842,-0.099895303,6.815364842,-1.299895303
8.861590218,6.733313081,-0.699895303,3.141592654,-0.000000000,0.600000000,0.600000000,6.733313081,-0.099895303,6.733313081,-1.299895303
8.943641979,6.651261320,-0.699895303,3.141592654,-0.000000000,0.600000000,0.600000000,6.651261320,-0.099895303,6.651261320,-1.299895303
9.025693740,6.569209558,-0.699895303,3.141592654,-0.000000000,0.600000000,0.600000000,6.569209558,-0.099895303,6.569209558,-1.299895303
9.107745501,6.487157797,-0.699895303,3.141592654,-0.000000000,0.600000000,0.600000000,6.487157797,-0.099895303,6.487157797,-1.299895303
9.189797263,6.405106036,-0.699895303,3.141592654,-0.000000000,0.600000000,0.600000000,6.405106036,-0.099895303,6.405106036,-1.299895303
9.271849024,6.323054275,-0.699895303,3.141592654,0.000000000,0.600000000,0.600000000,6.323054275,-0.099895303,6.323054275,-1.299895303
9.353900785,6.241002513,-0.699895303,3.141592654,-0.000000000,0.600000000,0.600000000,6.241002513,-0.099895303,6.241002513,-1.299895303
9.435952546,6.158950752,-0.699895303,3.141592654,-0.000000000,0.600000000,0.600000000,6.158950752,-0.099895303,6.158950752,-1.299895303
9.518004308,6.076898991,-0.699895303,3.141592654,-0.000000000,0.600000000,0.600000000,6.076898991,-0.099895303,6.076898991,-1.299895303
9.600056069,5.994847230,-0.699895303,3.141592654,-0.000000000,0.600000000,0.600000000,5.994847230,-0.099895303,5.994847230,-1.299895303
9.682107830,5.912795468,-0.699895303,3.141592654,0.000000000,0.600000000,0.600000000,5.912795468,-0.099895303,5.912795468,-1.299895303
9.764159592,5.830743707,-0.699895303,3.141592654,-0.000000000,0.600000000,0.600000000,5.830743707,-0.099895303,5.830743707,-1.299895303
9.846211353,5.748691946,-0.699895303,3.141592654,0.000000000,0.600000000,0.600000000,5.748691946,-0.099895303,5.748691946,-1.299895303
9.928263114,5.666640184,-0.699895303,3.141592654,0.000000000,0.600000000,0.600000000,5.666640184,-0.099895303,5.666640184,-1.299895303
10.010314875,5.584588423,-0.699895303,-3.141592654,0.000000000,0.600000000,0.600000000,5.584588423,-0.099895303,5.584588423,-1.299895303
10.092366637,5.502536662,-0.699895303,3.141592654,-0.000000000,0.600000000,0.600000000,5.502536662,-0.099895303,5.502536662,-1.299895303
10.174418398,5.420484901,-0.699895303,-3.141592654,0.000000000,0.600000000,0.600000000,5.420484901,-0.099895303,5.420484901,-1.299895303
10.256470159,5.338433139,-0.699895303,-3.141592654,0.000000000,0.600000000,0.600000000,5.338433139,-0.099895303,5.338433139,-1.299895303
10.338521920,5.256381378,-0.699895303,3.141592651,-0.000000052,0.600000000,0.600000000,5.256381378,-0.099895303,5.256381378,-1.299895303
10.420573682,5.174329617,-0.699895303,-3.141592550,0.000002633,0.600000000,0.600000000,5.174329605,-0.099895303,5.174329629,-1.299895303
10.502625443,5.092277856,-0.699895320,3.141589855,-0.000073370,0.600000000,0.600000000,5.092278443,-0.099895322,5.092277268,-1.299895318
10.584677204,5.010226096,-0.699894843,3.141592550,0.000139050,0.600000000,0.600000000,5.010210226,-0.099894781,5.010241965,-1.299894906
10.666728966,4.928174333,-0.699895303,-3.128538446,0.318134447,0.600000000,0.600000000,4.925357746,-0.099901914,4.930990920,-1.299888692
10.748780727,4.846158618,-0.702036736,-3.089395197,0.636445967,0.600000000,0.600000000,4.814839099,-0.102854200,4.877478137,-1.301219272
10.830832488,4.764366309,-0.708453439,-3.037200191,0.636647916,0.600000000,0.600000000,4.701843529,-0.111719962,4.826889088,-1.305186916
10.912884249,4.683020208,-0.719129292,-2.984999900,0.636575387,0.600000000,0.600000000,4.589448115,-0.126470650,4.776592301,-1.311787933
10.994936011,4.602341899,-0.734034726,-2.932802449,0.636578282,0.600000000,0.600000000,4.477975977,-0.147065291,4.726707821,-1.321004161
11.076987772,4.522551146,-0.753129158,-2.880604889,0.636578041,0.600000000,0.600000000,4.367730152,-0.173447814,4.677372141,-1.332810501
11.159039533,4.443865297,-0.776360575,-2.828407336,0.636578131,0.600000000,0.600000000,4.259010956,-0.205546357,4.628719637,-1.347174794
11.241091294,4.366498689,-0.803665695,-2.776209784,0.636578032,0.600000000,0.600000000,4.152114540,-0.243273479,4.580882838,-1.364057912
11.323143056,4.290662067,-0.834970140,-2.724012235,0.636578020,0.600000000,0.600000000,4.047332085,-0.286526415,4.533992050,-1.383413865
11.405194817,4.216562006,-0.870188637,-2.671814679,0.636578237,0.600000000,0.600000000,3.944949012,-0.335187347,4.488175001,-1.405189928
11.487246578,4.144400353,-0.909225254,-2.619617120,0.636578090,0.600000000,0.600000000,3.845244213,-0.389123723,4.443556494,-1.429326787
11.569298340,4.074373675,-0.951973655,-2.567419574,0.636577896,0.600000000,0.600000000,3.748489278,-0.448188622,4.400258071,-1.455758689
11.651350101,4.006672719,-0.998317395,-2.515222025,0.636578180,0.600000000,0.600000000,3.654947765,-0.512221153,4.358397672,-1.484413637
11.733401862,3.941481903,-1.048130235,-2.463024468,0.636578091,0.600000000,0.600000000,3.564874479,-0.581046893,4.318089327,-1.515213577
11.815453623,3.878978803,-1.101276487,-2.410826910,0.636578192,0.600000000,0.600000000,3.478514775,-0.654478365,4.279442832,-1.548074608
11.897505385,3.819333677,-1.157611382,-2.358629358,0.636577976,0.600000000,0.600000000,3.396103894,-0.732315543,4.242563459,-1.582907221
11.979557146,3.762708994,-1.216981467,-2.306431810,0.636578062,0.600000000,0.600000000,3.317866320,-0.814346402,4.207551668,-1.619616531
12.061608907,3.709258999,-1.279225017,-2.254234260,0.636578051,0.600000000,0.600000000,3.244015170,-0.900347491,4.174502828,-1.658102543
12.143660668,3.659129288,-1.344172486,-2.202036705,0.636578149,0.600000000,0.600000000,3.174751614,-0.990084547,4.143506964,-1.698260424
12.225712430,3.612456413,-1.411646957,-2.149839149,0.636578102,0.600000000,0.600000000,3.110264320,-1.083313131,4.114648506,-1.739980783
12.307764191,3.569367509,-1.481464633,-2.097641598,0.636578012,0.600000000,0.600000000,3.050728952,-1.179779289,4.088006065,-1.783149978
12.389815952,3.529979948,-1.553435333,-2.045444052,0.636578004,0.600000000,0.600000000,2.996307681,-1.279220249,4.063652215,-1.827650415
12.471867714,3.494401020,-1.627363010,-1.993246492,0.636578323,0.600000000,0.600000000,2.947148748,-1.381365142,4.041653292,-1.873360878
12.553919475,3.462727643,-1.703046289,-1.941048937,0.636577907,0.600000000,0.600000000,2.903386063,-1.485935727,4.022069223,-1.920156853
12.635971236,3.435046093,-1.780279011,-1.888851385,0.636578250,0.600000000,0.600000000,2.865138832,-1.592647154,4.004953354,-1.967910868
12.718022997,3.411431773,-1.858850797,-1.836653832,0.636577906,0.600000000,0.600000000,2.832511240,-1.701208748,3.990352307,-2.016492844
12.800074759,3.391949008,-1.938547619,-1.784456289,0.636578040,0.600000000,0.600000000,2.805592160,-1.811324792,3.978305855,-2.065770446
12.882126520,3.376650868,-2.019152386,-1.732258733,0.636578193,0.600000000,0.600000000,2.784454924,-1.922695329,3.968846813,-2.115609441
12.964178281,3.365579026,-2.100445534,-1.680061173,0.636578146,0.600000000,0.600000000,2.769157107,-2.035016994,3.962000946,-2.165874072
13.046230043,3.358763640,-2.182205622,-1.627863619,0.636578057,0.600000000,0.600000000,2.759740379,-2.147983826,3.957786903,-2.216427418
