s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
0.000000000,10.658342519,-3.985915041,0.042213997,0.297608788,1.850000000,0.000000000,0.457907549,0.742092451
0.085541318,10.743755249,-3.981217636,0.079648728,0.577966614,1.850000000,0.000000000,0.460386403,0.739613597
0.171082636,10.828831513,-3.972307021,0.129062951,0.577939466,1.850000000,0.000000000,0.462819503,0.737180497
0.256623954,10.913364758,-3.959204972,0.177996039,0.566707829,1.850000000,0.000000000,0.465187040,0.734812960
0.342165272,10.997163323,-3.942024135,0.226118157,0.558941561,1.850000000,0.000000000,0.467420026,0.732579974
0.427706590,11.080045859,-3.920859585,0.273500067,0.549384409,1.850000000,0.000000000,0.469446462,0.730553538
0.513247908,11.161842912,-3.895826576,0.320086531,0.540314993,1.850000000,0.000000000,0.471194885,0.728805115
0.598789226,11.242396648,-3.867042661,0.365882647,0.530883165,1.850000000,0.000000000,0.472592980,0.727407020
0.684330544,11.321561197,-3.834633082,0.410868748,0.521351909,1.850000000,0.000000000,0.473568412,0.726431588
0.769871862,11.399202785,-3.798727802,0.455038091,0.511763923,1.850000000,0.000000000,0.474048663,0.725951337
0.855413180,11.475199314,-3.759460415,0.498367655,0.501694500,1.850000000,0.000000000,0.473962348,0.726037652
0.940954498,11.549441837,-3.716969984,0.540955313,0.494396385,1.850000000,0.000000000,0.473236156,0.726763844
1.026495816,11.621822473,-3.671379640,0.583552203,0.501912503,1.850000000,0.000000000,0.471818944,0.728181056
1.112037134,11.692180192,-3.622725945,0.627177069,0.518456287,1.850000000,0.000000000,0.469769829,0.730230171
1.197578452,11.760312751,-3.571001890,0.672181328,0.534204258,1.850000000,0.000000000,0.467215592,0.732784408
1.283119770,11.826012483,-3.516220762,0.718528485,0.549893024,1.850000000,0.000000000,0.464278375,0.735721625
1.368661088,11.889064950,-3.458412241,0.766200603,0.565224221,1.850000000,0.000000000,0.461080687,0.738919313
1.454202406,11.949251264,-3.397625182,0.815178904,0.580476490,1.850000000,0.000000000,0.457742815,0.742257185
1.539743724,12.006347830,-3.333927204,0.865432105,0.595073945,1.850000000,0.000000000,0.454384571,0.745615429
1.625285042,12.060131441,-3.267407703,0.916988462,0.610998894,1.850000000,0.000000000,0.451120720,0.748879280
1.710826360,12.110368159,-3.198171252,0.969713358,0.622429195,1.850000000,0.000000000,0.448075308,0.751924692
1.796367678,12.156851908,-3.126359808,1.023949662,0.646407316,1.850000000,0.000000000,0.445338828,0.754661172
1.881908996,12.199298186,-3.052090942,1.082872642,0.732232705,1.850000000,0.000000000,0.443092302,0.756907698
1.967450314,12.237015858,-2.975313424,1.145677423,0.737351880,1.850000000,0.000000000,0.441967099,0.758032901
2.052991632,12.269823758,-2.896311272,1.201700948,0.573393325,1.850000000,0.000000000,0.442002506,0.757997494
2.138532950,12.298720248,-2.815797523,1.250932806,0.578234775,1.850000000,0.000000000,0.442001368,0.757998632
2.224074268,12.323602532,-2.733954347,1.300400236,0.578914432,1.850000000,0.000000000,0.441999005,0.758000995
2.309615586,12.344405194,-2.650979766,1.349862456,0.578116945,1.850000000,0.000000000,0.442000454,0.757999546
2.395156904,12.361082747,-2.567079092,1.399308420,0.578528698,1.850000000,0.000000000,0.441999809,0.758000191
2.480698222,12.373591605,-2.482456266,1.448761607,0.578288748,1.850000000,0.000000000,0.442000142,0.757999858
2.566239540,12.381902875,-2.397318624,1.498221390,0.578683597,1.850000000,0.000000000,0.441999653,0.758000347
2.651780858,12.385993357,-2.311874370,1.547641638,0.577358299,1.850000000,0.000000000,0.442001272,0.757998728
2.737322175,12.385862733,-2.226331664,1.597245452,0.582992881,1.850000000,0.000000000,0.441995262,0.758004738
2.822863493,12.381470260,-2.140903060,1.646723804,0.574403031,1.850000000,0.000000000,0.442022855,0.757977145
2.908404811,12.372889086,-2.055791215,1.695863889,0.575093867,1.850000000,0.000000000,0.442021197,0.757978803
2.993946129,12.360135291,-1.971205874,1.745361157,0.582744911,1.850000000,0.000000000,0.441995337,0.758004663
3.079487447,12.343184460,-1.887359332,1.794954938,0.577371495,1.850000000,0.000000000,0.442001269,0.757998731
3.165028765,12.322117078,-1.804452066,1.844375110,0.578668241,1.850000000,0.000000000,0.441999671,0.758000329
3.250570083,12.296975191,-1.722687844,1.893836583,0.578344511,1.850000000,0.000000000,0.442000061,0.757999939
3.336111401,12.267822678,-1.642266403,1.943285212,0.578364380,1.850000000,0.000000000,0.442000055,0.757999945
3.421652719,12.234730568,-1.563384120,1.992741781,0.578533244,1.850000000,0.000000000,0.441999791,0.758000209
3.507194037,12.197778820,-1.486234751,2.042186297,0.578077892,1.850000000,0.000000000,0.442000539,0.757999461
3.592735355,12.157060411,-1.411004768,2.091646488,0.578906075,1.850000000,0.000000000,0.441998901,0.758001099
3.678276673,12.112670136,-1.337881985,2.141137825,0.578804990,1.850000000,0.000000000,0.442001016,0.757998984
3.763817991,12.064717149,-1.267044684,2.190233328,0.569623575,1.850000000,0.000000000,0.442006079,0.757993921
3.849359309,12.013370772,-1.198623792,2.248391481,0.791176627,1.850000000,0.000000000,0.441947050,0.758052950
3.934900627,11.957521178,-1.133830957,2.315601527,0.781663545,1.850000000,0.000000000,0.443441406,0.756558594
4.020441945,11.897469724,-1.072909470,2.377276999,0.661493536,1.850000000,0.000000000,0.446417421,0.753582579
4.105983263,11.834070799,-1.015479130,2.432307809,0.625953493,1.850000000,0.000000000,0.449991870,0.750008130
4.191524581,11.767692100,-0.961523162,2.485095333,0.608939393,1.850000000,0.000000000,0.453897785,0.746102215
4.277065899,11.698594919,-0.911093932,2.536147350,0.585325067,1.850000000,0.000000000,0.458001931,0.741998069
4.362607217,11.627062093,-0.864184595,2.585257828,0.563467621,1.850000000,0.000000000,0.462122064,0.737877936
4.448148535,11.553353129,-0.820774542,2.632456544,0.540567491,1.850000000,0.000000000,0.466088326,0.733911674
4.533689853,11.477717291,-0.780816582,2.677689681,0.517450346,1.850000000,0.000000000,0.469723075,0.730276925
4.619231171,11.400388168,-0.744243228,2.720922054,0.493732587,1.850000000,0.000000000,0.472847480,0.727152520
4.704772489,11.321584312,-0.710966259,2.762127173,0.470001599,1.850000000,0.000000000,0.475279242,0.724720758
4.790313807,11.241507279,-0.680882632,2.801249674,0.444988537,1.850000000,0.000000000,0.476837562,0.723162438
4.875855125,11.160343255,-0.653867121,2.838963179,0.437031673,1.850000000,0.000000000,0.477334787,0.722665213
4.961396443,11.078226929,-0.629903292,2.877150809,0.456080016,1.850000000,0.000000000,0.476710730,0.723289270
5.046937761,10.995238366,-0.609159460,2.917210314,0.480843751,1.850000000,0.000000000,0.475107997,0.724892003
5.132479079,10.911467643,-0.591844579,2.959238107,0.502139220,1.850000000,0.000000000,0.472707853,0.727292147
5.218020397,10.827029741,-0.578141271,3.003421394,0.531313184,1.850000000,0.000000000,0.469688698,0.730311302
5.303561715,10.742058556,-0.568287006,3.048545276,0.524144051,1.850000000,0.000000000,0.466221880,0.733778120
5.389103033,10.656730250,-0.562249460,3.082881485,0.278909263,1.850000000,0.000000000,0.462408079,0.737591921
5.474644351,10.571282170,-0.558248989,3.094119663,-0.016122870,1.850000000,0.000000000,0.458325344,0.741674656
5.560185669,10.485840131,-0.554130695,3.095552608,0.049626076,1.850000000,0.000000000,0.454243683,0.745756317
5.645726987,10.400381231,-0.550375138,3.100667364,0.069960310,1.850000000,0.000000000,0.450477504,0.749522496
5.731268305,10.314901471,-0.547131073,3.108043270,0.102494396,1.850000000,0.000000000,0.447236410,0.752763590
5.816809623,10.229396634,-0.544636557,3.117250724,0.112784381,1.850000000,0.000000000,0.444741082,0.755258918
5.902350941,10.143871542,-0.542967052,3.126638979,0.106722199,1.850000000,0.000000000,0.443071794,0.756928206
5.987892259,10.058334972,-0.542078366,3.135011895,0.089043662,1.850000000,0.000000000,0.442183051,0.757816949
6.073433577,9.972793920,-0.541841215,-3.141566081,0.065440783,1.850000000,0.000000000,0.441945915,0.758054085
6.158974895,9.887252956,-0.542082912,-3.136023476,0.064148985,1.850000000,0.000000000,0.442187608,0.757812392
6.244516213,9.801714631,-0.542793996,-3.131104497,0.050859862,1.850000000,0.000000000,0.442898693,0.757101307
6.330057531,9.716180153,-0.543877216,-3.127492689,0.033586353,1.850000000,0.000000000,0.443981913,0.756018087
6.415598849,9.630649167,-0.545206173,-3.125167709,0.020772949,1.850000000,0.000000000,0.445310870,0.754689130
6.501140167,9.545120667,-0.546687111,-3.123978282,0.007036472,1.850000000,0.000000000,0.446791808,0.753208192
6.586681485,9.459593077,-0.548219530,-3.123959940,-0.006607631,1.850000000,0.000000000,0.448324227,0.751675773
6.672222803,9.374064633,-0.549703606,-3.124994543,-0.017581930,1.850000000,0.000000000,0.449808303,0.750191697
6.757764121,9.288534057,-0.551059047,-3.126548625,-0.018753311,1.850000000,0.000000000,0.451163744,0.748836256
6.843305439,9.203001414,-0.552277280,-3.128077120,-0.016983723,1.850000000,0.000000000,0.452381977,0.747618023
6.928846757,9.117467092,-0.553371249,-3.129458523,-0.015314197,1.850000000,0.000000000,0.453475946,0.746524054
