side,index,s_m,x_m,y_m,width_from_center_m
left,0,0.000000000,10.653671080,-3.243841308,0.600000000
left,1,0.029571351,10.674771216,-3.243662717,0.600000000
left,2,0.059142702,10.693048295,-3.243146840,0.600000000
left,3,0.088714053,10.711312437,-3.242287246,0.600000000
left,4,0.118285404,10.729557177,-3.241084242,0.600000000
left,5,0.147856755,10.747776059,-3.239538251,0.600000000
left,6,0.177428107,10.765962636,-3.237649822,0.600000000
left,7,0.206999458,10.784110473,-3.235419623,0.600000000
left,8,0.236570809,10.802213146,-3.232848442,0.600000000
left,9,0.266142160,10.820264251,-3.229937191,0.600000000
left,10,0.295713511,10.838257398,-3.226686898,0.600000000
left,11,0.325284862,10.856186221,-3.223098714,0.600000000
left,12,0.354856213,10.874044375,-3.219173910,0.600000000
left,13,0.384427564,10.891825541,-3.214913873,0.600000000
left,14,0.413998915,10.909523425,-3.210320112,0.600000000
left,15,0.443570266,10.927131766,-3.205394251,0.600000000
left,16,0.473141617,10.944644331,-3.200138035,0.600000000
left,17,0.502712969,10.962054925,-3.194553324,0.600000000
left,18,0.532284320,10.979357384,-3.188642093,0.600000000
left,19,0.561855671,10.996545587,-3.182406434,0.600000000
left,20,0.591427022,11.013613451,-3.175848554,0.600000000
left,21,0.620998373,11.030554935,-3.168970774,0.600000000
left,22,0.650569724,11.047364046,-3.161775528,0.600000000
left,23,0.680141075,11.064034833,-3.154265362,0.600000000
left,24,0.709712426,11.080561399,-3.146442933,0.600000000
left,25,0.739283777,11.096937894,-3.138311011,0.600000000
left,26,0.768855128,11.113158523,-3.129872471,0.600000000
left,27,0.798426479,11.129217546,-3.121130302,0.600000000
left,28,0.827997831,11.145109281,-3.112087595,0.600000000
left,29,0.857569182,11.160828103,-3.102747553,0.600000000
left,30,0.887140533,11.176368449,-3.093113479,0.600000000
left,31,0.916711884,11.191724821,-3.083188782,0.600000000
left,32,0.946283235,11.206891785,-3.072976976,0.600000000
left,33,0.975854586,11.221863972,-3.062481674,0.600000000
left,34,1.005425937,11.236636085,-3.051706590,0.600000000
left,35,1.034997288,11.251202895,-3.040655536,0.600000000
left,36,1.064568639,11.265559249,-3.029332424,0.600000000
left,37,1.094139990,11.279700066,-3.017741261,0.600000000
left,38,1.123711341,11.293620341,-3.005886149,0.600000000
left,39,1.153282693,11.307315149,-2.993771282,0.600000000
left,40,1.182854044,11.320779643,-2.981400948,0.600000000
left,41,1.212425395,11.334009059,-2.968779525,0.600000000
left,42,1.241996746,11.346998714,-2.955911479,0.600000000
left,43,1.271568097,11.359744012,-2.942801364,0.600000000
left,44,1.301139448,11.372240444,-2.929453818,0.600000000
left,45,1.330710799,11.384483586,-2.915873567,0.600000000
left,46,1.360282150,11.396469105,-2.902065414,0.600000000
left,47,1.389853501,11.408192762,-2.888034248,0.600000000
left,48,1.419424852,11.419650406,-2.873785032,0.600000000
left,49,1.448996203,11.430837984,-2.859322810,0.600000000
left,50,1.478567555,11.441751535,-2.844652699,0.600000000
left,51,1.508138906,11.452387199,-2.829779891,0.600000000
left,52,1.537710257,11.462741211,-2.814709650,0.600000000
left,53,1.567281608,11.472809908,-2.799447307,0.600000000
left,54,1.596852959,11.482589726,-2.783998264,0.600000000
left,55,1.626424310,11.492077204,-2.768367988,0.600000000
left,56,1.655995661,11.501268985,-2.752562011,0.600000000
left,57,1.685567012,11.510161816,-2.736585925,0.600000000
left,58,1.715138363,11.518752550,-2.720445385,0.600000000
left,59,1.744709714,11.527038148,-2.704146102,0.600000000
left,60,1.774281065,11.535015677,-2.687693844,0.600000000
left,61,1.803852417,11.542682313,-2.671094433,0.600000000
left,62,1.833423768,11.550035345,-2.654353744,0.600000000
left,63,1.862995119,11.557072169,-2.637477699,0.600000000
left,64,1.892566470,11.563790296,-2.620472273,0.600000000
left,65,1.922137821,11.570187348,-2.603343482,0.600000000
left,66,1.951709172,11.576261062,-2.586097388,0.600000000
left,67,1.981280523,11.582009287,-2.568740094,0.600000000
left,68,2.010851874,11.587429991,-2.551277742,0.600000000
left,69,2.040423225,11.592521254,-2.533716512,0.600000000
left,70,2.069994576,11.597281276,-2.516062619,0.600000000
left,71,2.099565927,11.601708371,-2.498322309,0.600000000
left,72,2.129137279,11.605800972,-2.480501861,0.600000000
left,73,2.158708630,11.609557632,-2.462607581,0.600000000
left,74,2.188279981,11.612977022,-2.444645801,0.600000000
left,75,2.217851332,11.616057930,-2.426622878,0.600000000
left,76,2.247422683,11.618799268,-2.408545189,0.600000000
left,77,2.276994034,11.621200064,-2.390419132,0.600000000
left,78,2.306565385,11.623259469,-2.372251122,0.600000000
left,79,2.336136736,11.624976755,-2.354047587,0.600000000
left,80,2.365708087,11.626351313,-2.335814969,0.600000000
left,81,2.395279438,11.627382658,-2.317559721,0.600000000
left,82,2.424850789,11.628070424,-2.299288302,0.600000000
left,83,2.454422141,11.628414368,-2.281007179,0.600000000
left,84,2.483993492,11.628414368,-2.262722821,0.600000000
left,85,2.513564843,11.628070424,-2.244441698,0.600000000
left,86,2.543136194,11.627382658,-2.226170279,0.600000000
left,87,2.572707545,11.626351313,-2.207915031,0.600000000
left,88,2.602278896,11.624976755,-2.189682413,0.600000000
left,89,2.631850247,11.623259469,-2.171478878,0.600000000
left,90,2.661421598,11.621200064,-2.153310868,0.600000000
left,91,2.690992949,11.618799268,-2.135184811,0.600000000
left,92,2.720564300,11.616057930,-2.117107122,0.600000000
left,93,2.750135651,11.612977022,-2.099084199,0.600000000
left,94,2.779707003,11.609557632,-2.081122419,0.600000000
left,95,2.809278354,11.605800972,-2.063228139,0.600000000
left,96,2.838849705,11.601708371,-2.045407691,0.600000000
left,97,2.868421056,11.597281276,-2.027667381,0.600000000
left,98,2.897992407,11.592521254,-2.010013488,0.600000000
left,99,2.927563758,11.587429991,-1.992452258,0.600000000
left,100,2.957135109,11.582009287,-1.974989906,0.600000000
left,101,2.986706460,11.576261062,-1.957632612,0.600000000
left,102,3.016277811,11.570187348,-1.940386518,0.600000000
left,103,3.045849162,11.563790296,-1.923257727,0.600000000
left,104,3.075420513,11.557072169,-1.906252301,0.600000000
