side,index,s_m,x_m,y_m,width_from_center_m
right,0,0.000000000,10.659304254,-4.443828086,0.600000000
right,1,0.029571351,10.697344203,-4.443450390,0.600000000
right,2,0.059142702,10.738186281,-4.442297607,0.600000000
right,3,0.088714053,10.778999448,-4.440376754,0.600000000
right,4,0.118285404,10.819769261,-4.437688512,0.600000000
right,5,0.147856755,10.860481292,-4.434233832,0.600000000
right,6,0.177428107,10.901121134,-4.430013936,0.600000000
right,7,0.206999458,10.941674405,-4.425030319,0.600000000
right,8,0.236570809,10.982126755,-4.419284742,0.600000000
right,9,0.266142160,11.022463868,-4.412779240,0.600000000
right,10,0.295713511,11.062671470,-4.405516115,0.600000000
right,11,0.325284862,11.102735333,-4.397497937,0.600000000
right,12,0.354856213,11.142641278,-4.388727544,0.600000000
right,13,0.384427564,11.182375184,-4.379208039,0.600000000
right,14,0.413998915,11.221922990,-4.368942791,0.600000000
right,15,0.443570266,11.261270701,-4.357935432,0.600000000
right,16,0.473141617,11.300404391,-4.346189858,0.600000000
right,17,0.502712969,11.339310214,-4.333710225,0.600000000
right,18,0.532284320,11.377974401,-4.320500950,0.600000000
right,19,0.561855671,11.416383269,-4.306566708,0.600000000
right,20,0.591427022,11.454523226,-4.291912428,0.600000000
right,21,0.620998373,11.492380776,-4.276543297,0.600000000
right,22,0.650569724,11.529942521,-4.260464754,0.600000000
right,23,0.680141075,11.567195170,-4.243682488,0.600000000
right,24,0.709712426,11.604125539,-4.226202439,0.600000000
right,25,0.739283777,11.640720560,-4.208030793,0.600000000
right,26,0.768855128,11.676967281,-4.189173979,0.600000000
right,27,0.798426479,11.712852877,-4.169638671,0.600000000
right,28,0.827997831,11.748364649,-4.149431782,0.600000000
right,29,0.857569182,11.783490028,-4.128560463,0.600000000
right,30,0.887140533,11.818216586,-4.107032099,0.600000000
right,31,0.916711884,11.852532034,-4.084854310,0.600000000
right,32,0.946283235,11.886424227,-4.062034943,0.600000000
right,33,0.975854586,11.919881172,-4.038582073,0.600000000
right,34,1.005425937,11.952891029,-4.014504001,0.600000000
right,35,1.034997288,11.985442118,-3.989809246,0.600000000
right,36,1.064568639,12.017522918,-3.964506548,0.600000000
right,37,1.094139990,12.049122077,-3.938604861,0.600000000
right,38,1.123711341,12.080228413,-3.912113350,0.600000000
right,39,1.153282693,12.110830918,-3.885041392,0.600000000
right,40,1.182854044,12.140918763,-3.857398565,0.600000000
right,41,1.212425395,12.170481299,-3.829194652,0.600000000
right,42,1.241996746,12.199508066,-3.800439634,0.600000000
right,43,1.271568097,12.227988792,-3.771143686,0.600000000
right,44,1.301139448,12.255913397,-3.741317176,0.600000000
right,45,1.330710799,12.283272000,-3.710970659,0.600000000
right,46,1.360282150,12.310054919,-3.680114874,0.600000000
right,47,1.389853501,12.336252677,-3.648760739,0.600000000
right,48,1.419424852,12.361856002,-3.616919351,0.600000000
right,49,1.448996203,12.386855834,-3.584601977,0.600000000
right,50,1.478567555,12.411243326,-3.551820054,0.600000000
right,51,1.508138906,12.435009849,-3.518585182,0.600000000
right,52,1.537710257,12.458146991,-3.484909123,0.600000000
right,53,1.567281608,12.480646564,-3.450803795,0.600000000
right,54,1.596852959,12.502500607,-3.416281265,0.600000000
right,55,1.626424310,12.523701387,-3.381353751,0.600000000
right,56,1.655995661,12.544241399,-3.346033613,0.600000000
right,57,1.685567012,12.564113377,-3.310333350,0.600000000
right,58,1.715138363,12.583310287,-3.274265596,0.600000000
right,59,1.744709714,12.601825336,-3.237843113,0.600000000
right,60,1.774281065,12.619651973,-3.201078792,0.600000000
right,61,1.803852417,12.636783888,-3.163985643,0.600000000
right,62,1.833423768,12.653215019,-3.126576791,0.600000000
right,63,1.862995119,12.668939551,-3.088865475,0.600000000
right,64,1.892566470,12.683951921,-3.050865040,0.600000000
right,65,1.922137821,12.698246814,-3.012588935,0.600000000
right,66,1.951709172,12.711819174,-2.974050702,0.600000000
right,67,1.981280523,12.724664196,-2.935263982,0.600000000
right,68,2.010851874,12.736777335,-2.896242499,0.600000000
right,69,2.040423225,12.748154304,-2.857000063,0.600000000
right,70,2.069994576,12.758791078,-2.817550559,0.600000000
right,71,2.099565927,12.768683893,-2.777907950,0.600000000
right,72,2.129137279,12.777829247,-2.738086263,0.600000000
right,73,2.158708630,12.786223904,-2.698099590,0.600000000
right,74,2.188279981,12.793864893,-2.657962082,0.600000000
right,75,2.217851332,12.800749511,-2.617687943,0.600000000
right,76,2.247422683,12.806875321,-2.577291424,0.600000000
right,77,2.276994034,12.812240155,-2.536786822,0.600000000
right,78,2.306565385,12.816842116,-2.496188469,0.600000000
right,79,2.336136736,12.820679573,-2.455510733,0.600000000
right,80,2.365708087,12.823751170,-2.414768009,0.600000000
right,81,2.395279438,12.826055820,-2.373974715,0.600000000
right,82,2.424850789,12.827592706,-2.333145286,0.600000000
right,83,2.454422141,12.828361285,-2.292294172,0.600000000
right,84,2.483993492,12.828361285,-2.251435828,0.600000000
right,85,2.513564843,12.827592706,-2.210584714,0.600000000
right,86,2.543136194,12.826055820,-2.169755285,0.600000000
right,87,2.572707545,12.823751170,-2.128961991,0.600000000
right,88,2.602278896,12.820679573,-2.088219267,0.600000000
right,89,2.631850247,12.816842116,-2.047541531,0.600000000
right,90,2.661421598,12.812240155,-2.006943178,0.600000000
right,91,2.690992949,12.806875321,-1.966438576,0.600000000
right,92,2.720564300,12.800749511,-1.926042057,0.600000000
right,93,2.750135651,12.793864893,-1.885767918,0.600000000
right,94,2.779707003,12.786223904,-1.845630410,0.600000000
right,95,2.809278354,12.777829247,-1.805643737,0.600000000
right,96,2.838849705,12.768683893,-1.765822050,0.600000000
right,97,2.868421056,12.758791078,-1.726179441,0.600000000
right,98,2.897992407,12.748154304,-1.686729937,0.600000000
right,99,2.927563758,12.736777335,-1.647487501,0.600000000
right,100,2.957135109,12.724664196,-1.608466018,0.600000000
right,101,2.986706460,12.711819174,-1.569679298,0.600000000
right,102,3.016277811,12.698246814,-1.531141065,0.600000000
right,103,3.045849162,12.683951921,-1.492864960,0.600000000
right,104,3.075420513,12.668939551,-1.454864525,0.600000000
right,105,3.104991865,12.653215019,-1.417153209,0.600000000
right,106,3.134563216,12.636783888,-1.379744357,0.600000000
right,107,3.164134567,12.619651973,-1.342651208,0.600000000
right,108,3.193705918,12.601825336,-1.305886887,0.600000000
right,109,3.223277269,12.583310287,-1.269464404,0.600000000
right,110,3.252848620,12.564113377,-1.233396650,0.600000000
right,111,3.282419971,12.544241399,-1.197696387,0.600000000
right,112,3.311991322,12.523701387,-1.162376249,0.600000000
