index,s_m,center_x_m,center_y_m,w_left_m,w_right_m,left_boundary_x_m,left_boundary_y_m,right_boundary_x_m,right_boundary_y_m
0,0.000000000,10.656487667,-3.843834697,0.600000000,0.600000000,10.653671080,-3.243841308,10.659304254,-4.443828086
1,0.029571351,10.686057710,-3.843556554,0.600000000,0.600000000,10.674771216,-3.243662717,10.697344203,-4.443450390
2,0.059142702,10.715617288,-3.842722223,0.600000000,0.600000000,10.693048295,-3.243146840,10.738186281,-4.442297607
3,0.088714053,10.745155943,-3.841332000,0.600000000,0.600000000,10.711312437,-3.242287246,10.778999448,-4.440376754
4,0.118285404,10.774663219,-3.839386377,0.600000000,0.600000000,10.729557177,-3.241084242,10.819769261,-4.437688512
5,0.147856755,10.804128675,-3.836886042,0.600000000,0.600000000,10.747776059,-3.239538251,10.860481292,-4.434233832
6,0.177428107,10.833541885,-3.833831879,0.600000000,0.600000000,10.765962636,-3.237649822,10.901121134,-4.430013936
7,0.206999458,10.862892439,-3.830224971,0.600000000,0.600000000,10.784110473,-3.235419623,10.941674405,-4.425030319
8,0.236570809,10.892169951,-3.826066592,0.600000000,0.600000000,10.802213146,-3.232848442,10.982126755,-4.419284742
9,0.266142160,10.921364059,-3.821358215,0.600000000,0.600000000,10.820264251,-3.229937191,11.022463868,-4.412779240
10,0.295713511,10.950464434,-3.816101507,0.600000000,0.600000000,10.838257398,-3.226686898,11.062671470,-4.405516115
11,0.325284862,10.979460777,-3.810298326,0.600000000,0.600000000,10.856186221,-3.223098714,11.102735333,-4.397497937
12,0.354856213,11.008342827,-3.803950727,0.600000000,0.600000000,10.874044375,-3.219173910,11.142641278,-4.388727544
13,0.384427564,11.037100363,-3.797060956,0.600000000,0.600000000,10.891825541,-3.214913873,11.182375184,-4.379208039
14,0.413998915,11.065723208,-3.789631451,0.600000000,0.600000000,10.909523425,-3.210320112,11.221922990,-4.368942791
15,0.443570266,11.094201233,-3.781664842,0.600000000,0.600000000,10.927131766,-3.205394251,11.261270701,-4.357935432
16,0.473141617,11.122524361,-3.773163947,0.600000000,0.600000000,10.944644331,-3.200138035,11.300404391,-4.346189858
17,0.502712969,11.150682569,-3.764131775,0.600000000,0.600000000,10.962054925,-3.194553324,11.339310214,-4.333710225
18,0.532284320,11.178665892,-3.754571521,0.600000000,0.600000000,10.979357384,-3.188642093,11.377974401,-4.320500950
19,0.561855671,11.206464428,-3.744486571,0.600000000,0.600000000,10.996545587,-3.182406434,11.416383269,-4.306566708
20,0.591427022,11.234068338,-3.733880491,0.600000000,0.600000000,11.013613451,-3.175848554,11.454523226,-4.291912428
21,0.620998373,11.261467856,-3.722757036,0.600000000,0.600000000,11.030554935,-3.168970774,11.492380776,-4.276543297
22,0.650569724,11.288653284,-3.711120141,0.600000000,0.600000000,11.047364046,-3.161775528,11.529942521,-4.260464754
23,0.680141075,11.315615002,-3.698973925,0.600000000,0.600000000,11.064034833,-3.154265362,11.567195170,-4.243682488
24,0.709712426,11.342343469,-3.686322686,0.600000000,0.600000000,11.080561399,-3.146442933,11.604125539,-4.226202439
25,0.739283777,11.368829227,-3.673170902,0.600000000,0.600000000,11.096937894,-3.138311011,11.640720560,-4.208030793
26,0.768855128,11.395062902,-3.659523225,0.600000000,0.600000000,11.113158523,-3.129872471,11.676967281,-4.189173979
27,0.798426479,11.421035212,-3.645384486,0.600000000,0.600000000,11.129217546,-3.121130302,11.712852877,-4.169638671
28,0.827997831,11.446736965,-3.630759689,0.600000000,0.600000000,11.145109281,-3.112087595,11.748364649,-4.149431782
29,0.857569182,11.472159066,-3.615654008,0.600000000,0.600000000,11.160828103,-3.102747553,11.783490028,-4.128560463
30,0.887140533,11.497292518,-3.600072789,0.600000000,0.600000000,11.176368449,-3.093113479,11.818216586,-4.107032099
31,0.916711884,11.522128427,-3.584021546,0.600000000,0.600000000,11.191724821,-3.083188782,11.852532034,-4.084854310
32,0.946283235,11.546658006,-3.567505959,0.600000000,0.600000000,11.206891785,-3.072976976,11.886424227,-4.062034943
33,0.975854586,11.570872572,-3.550531874,0.600000000,0.600000000,11.221863972,-3.062481674,11.919881172,-4.038582073
34,1.005425937,11.594763557,-3.533105295,0.600000000,0.600000000,11.236636085,-3.051706590,11.952891029,-4.014504001
35,1.034997288,11.618322506,-3.515232391,0.600000000,0.600000000,11.251202895,-3.040655536,11.985442118,-3.989809246
36,1.064568639,11.641541084,-3.496919486,0.600000000,0.600000000,11.265559249,-3.029332424,12.017522918,-3.964506548
37,1.094139990,11.664411072,-3.478173061,0.600000000,0.600000000,11.279700066,-3.017741261,12.049122077,-3.938604861
38,1.123711341,11.686924377,-3.458999750,0.600000000,0.600000000,11.293620341,-3.005886149,12.080228413,-3.912113350
39,1.153282693,11.709073034,-3.439406337,0.600000000,0.600000000,11.307315149,-2.993771282,12.110830918,-3.885041392
40,1.182854044,11.730849203,-3.419399757,0.600000000,0.600000000,11.320779643,-2.981400948,12.140918763,-3.857398565
41,1.212425395,11.752245179,-3.398987089,0.600000000,0.600000000,11.334009059,-2.968779525,12.170481299,-3.829194652
42,1.241996746,11.773253390,-3.378175556,0.600000000,0.600000000,11.346998714,-2.955911479,12.199508066,-3.800439634
43,1.271568097,11.793866402,-3.356972525,0.600000000,0.600000000,11.359744012,-2.942801364,12.227988792,-3.771143686
44,1.301139448,11.814076920,-3.335385497,0.600000000,0.600000000,11.372240444,-2.929453818,12.255913397,-3.741317176
45,1.330710799,11.833877793,-3.313422113,0.600000000,0.600000000,11.384483586,-2.915873567,12.283272000,-3.710970659
46,1.360282150,11.853262012,-3.291090144,0.600000000,0.600000000,11.396469105,-2.902065414,12.310054919,-3.680114874
47,1.389853501,11.872222719,-3.268397493,0.600000000,0.600000000,11.408192762,-2.888034248,12.336252677,-3.648760739
48,1.419424852,11.890753204,-3.245352191,0.600000000,0.600000000,11.419650406,-2.873785032,12.361856002,-3.616919351
49,1.448996203,11.908846909,-3.221962393,0.600000000,0.600000000,11.430837984,-2.859322810,12.386855834,-3.584601977
50,1.478567555,11.926497431,-3.198236376,0.600000000,0.600000000,11.441751535,-2.844652699,12.411243326,-3.551820054
51,1.508138906,11.943698524,-3.174182537,0.600000000,0.600000000,11.452387199,-2.829779891,12.435009849,-3.518585182
52,1.537710257,11.960444101,-3.149809386,0.600000000,0.600000000,11.462741211,-2.814709650,12.458146991,-3.484909123
53,1.567281608,11.976728236,-3.125125551,0.600000000,0.600000000,11.472809908,-2.799447307,12.480646564,-3.450803795
54,1.596852959,11.992545167,-3.100139764,0.600000000,0.600000000,11.482589726,-2.783998264,12.502500607,-3.416281265
55,1.626424310,12.007889295,-3.074860870,0.600000000,0.600000000,11.492077204,-2.768367988,12.523701387,-3.381353751
56,1.655995661,12.022755192,-3.049297812,0.600000000,0.600000000,11.501268985,-2.752562011,12.544241399,-3.346033613
57,1.685567012,12.037137596,-3.023459638,0.600000000,0.600000000,11.510161816,-2.736585925,12.564113377,-3.310333350
58,1.715138363,12.051031419,-2.997355490,0.600000000,0.600000000,11.518752550,-2.720445385,12.583310287,-3.274265596
59,1.744709714,12.064431742,-2.970994608,0.600000000,0.600000000,11.527038148,-2.704146102,12.601825336,-3.237843113
60,1.774281065,12.077333825,-2.944386318,0.600000000,0.600000000,11.535015677,-2.687693844,12.619651973,-3.201078792
61,1.803852417,12.089733101,-2.917540038,0.600000000,0.600000000,11.542682313,-2.671094433,12.636783888,-3.163985643
62,1.833423768,12.101625182,-2.890465267,0.600000000,0.600000000,11.550035345,-2.654353744,12.653215019,-3.126576791
63,1.862995119,12.113005860,-2.863171587,0.600000000,0.600000000,11.557072169,-2.637477699,12.668939551,-3.088865475
64,1.892566470,12.123871108,-2.835668657,0.600000000,0.600000000,11.563790296,-2.620472273,12.683951921,-3.050865040
65,1.922137821,12.134217081,-2.807966208,0.600000000,0.600000000,11.570187348,-2.603343482,12.698246814,-3.012588935
66,1.951709172,12.144040118,-2.780074045,0.600000000,0.600000000,11.576261062,-2.586097388,12.711819174,-2.974050702
67,1.981280523,12.153336742,-2.752002038,0.600000000,0.600000000,11.582009287,-2.568740094,12.724664196,-2.935263982
68,2.010851874,12.162103663,-2.723760121,0.600000000,0.600000000,11.587429991,-2.551277742,12.736777335,-2.896242499
69,2.040423225,12.170337779,-2.695358287,0.600000000,0.600000000,11.592521254,-2.533716512,12.748154304,-2.857000063
70,2.069994576,12.178036177,-2.666806589,0.600000000,0.600000000,11.597281276,-2.516062619,12.758791078,-2.817550559
71,2.099565927,12.185196132,-2.638115129,0.600000000,0.600000000,11.601708371,-2.498322309,12.768683893,-2.777907950
72,2.129137279,12.191815109,-2.609294062,0.600000000,0.600000000,11.605800972,-2.480501861,12.777829247,-2.738086263
73,2.158708630,12.197890768,-2.580353585,0.600000000,0.600000000,11.609557632,-2.462607581,12.786223904,-2.698099590
74,2.188279981,12.203420957,-2.551303941,0.600000000,0.600000000,11.612977022,-2.444645801,12.793864893,-2.657962082
75,2.217851332,12.208403721,-2.522155410,0.600000000,0.600000000,11.616057930,-2.426622878,12.800749511,-2.617687943
76,2.247422683,12.212837294,-2.492918307,0.600000000,0.600000000,11.618799268,-2.408545189,12.806875321,-2.577291424
77,2.276994034,12.216720110,-2.463602977,0.600000000,0.600000000,11.621200064,-2.390419132,12.812240155,-2.536786822
78,2.306565385,12.220050793,-2.434219795,0.600000000,0.600000000,11.623259469,-2.372251122,12.816842116,-2.496188469
79,2.336136736,12.222828164,-2.404779160,0.600000000,0.600000000,11.624976755,-2.354047587,12.820679573,-2.455510733
80,2.365708087,12.225051242,-2.375291489,0.600000000,0.600000000,11.626351313,-2.335814969,12.823751170,-2.414768009
81,2.395279438,12.226719239,-2.345767218,0.600000000,0.600000000,11.627382658,-2.317559721,12.826055820,-2.373974715
82,2.424850789,12.227831565,-2.316216794,0.600000000,0.600000000,11.628070424,-2.299288302,12.827592706,-2.333145286
83,2.454422141,12.228387826,-2.286650676,0.600000000,0.600000000,11.628414368,-2.281007179,12.828361285,-2.292294172
84,2.483993492,12.228387826,-2.257079324,0.600000000,0.600000000,11.628414368,-2.262722821,12.828361285,-2.251435828
85,2.513564843,12.227831565,-2.227513206,0.600000000,0.600000000,11.628070424,-2.244441698,12.827592706,-2.210584714
86,2.543136194,12.226719239,-2.197962782,0.600000000,0.600000000,11.627382658,-2.226170279,12.826055820,-2.169755285
87,2.572707545,12.225051242,-2.168438511,0.600000000,0.600000000,11.626351313,-2.207915031,12.823751170,-2.128961991
88,2.602278896,12.222828164,-2.138950840,0.600000000,0.600000000,11.624976755,-2.189682413,12.820679573,-2.088219267
89,2.631850247,12.220050793,-2.109510205,0.600000000,0.600000000,11.623259469,-2.171478878,12.816842116,-2.047541531
90,2.661421598,12.216720110,-2.080127023,0.600000000,0.600000000,11.621200064,-2.153310868,12.812240155,-2.006943178
91,2.690992949,12.212837294,-2.050811693,0.600000000,0.600000000,11.618799268,-2.135184811,12.806875321,-1.966438576
92,2.720564300,12.208403721,-2.021574590,0.600000000,0.600000000,11.616057930,-2.117107122,12.800749511,-1.926042057
93,2.750135651,12.203420957,-1.992426059,0.600000000,0.600000000,11.612977022,-2.099084199,12.793864893,-1.885767918
94,2.779707003,12.197890768,-1.963376415,0.600000000,0.600000000,11.609557632,-2.081122419,12.786223904,-1.845630410
95,2.809278354,12.191815109,-1.934435938,0.600000000,0.600000000,11.605800972,-2.063228139,12.777829247,-1.805643737
96,2.838849705,12.185196132,-1.905614871,0.600000000,0.600000000,11.601708371,-2.045407691,12.768683893,-1.765822050
97,2.868421056,12.178036177,-1.876923411,0.600000000,0.600000000,11.597281276,-2.027667381,12.758791078,-1.726179441
98,2.897992407,12.170337779,-1.848371713,0.600000000,0.600000000,11.592521254,-2.010013488,12.748154304,-1.686729937
99,2.927563758,12.162103663,-1.819969879,0.600000000,0.600000000,11.587429991,-1.992452258,12.736777335,-1.647487501
100,2.957135109,12.153336742,-1.791727962,0.600000000,0.600000000,11.582009287,-1.974989906,12.724664196,-1.608466018
101,2.986706460,12.144040118,-1.763655955,0.600000000,0.600000000,11.576261062,-1.957632612,12.711819174,-1.569679298
102,3.016277811,12.134217081,-1.735763792,0.600000000,0.600000000,11.570187348,-1.940386518,12.698246814,-1.531141065
103,3.045849162,12.123871108,-1.708061343,0.600000000,0.600000000,11.563790296,-1.923257727,12.683951921,-1.492864960
104,3.075420513,12.113005860,-1.680558413,0.600000000,0.600000000,11.557072169,-1.906252301,12.668939551,-1.454864525
105,3.104991865,12.101625182,-1.653264733,0.600000000,0.600000000,11.550035345,-1.889376256,12.653215019,-1.417153209
106,3.134563216,12.089733101,-1.626189962,0.600000000,0.600000000,11.542682313,-1.872635567,12.636783888,-1.379744357
107,3.164134567,12.077333825,-1.599343682,0.600000000,0.600000000,11.535015677,-1.856036156,12.619651973,-1.342651208
108,3.193705918,12.064431742,-1.572735392,0.600000000,0.600000000,11.527038148,-1.839583898,12.601825336,-1.305886887
109,3.223277269,12.051031419,-1.546374510,0.600000000,0.600000000,11.518752550,-1.823284615,12.583310287,-1.269464404
110,3.252848620,12.037137596,-1.520270362,0.600000000,0.600000000,11.510161816,-1.807144075,12.564113377,-1.233396650
111,3.282419971,12.022755192,-1.494432188,0.600000000,0.600000000,11.501268985,-1.791167989,12.544241399,-1.197696387
112,3.311991322,12.007889295,-1.468869130,0.600000000,0.600000000,11.492077204,-1.775362012,12.523701387,-1.162376249
113,3.341562673,11.992545167,-1.443590236,0.600000000,0.600000000,11.482589726,-1.759731736,12.502500607,-1.127448735
114,3.371134024,11.976728236,-1.418604449,0.600000000,0.600000000,11.472809908,-1.744282693,12.480646564,-1.092926205
115,3.400705375,11.960444101,-1.393920614,0.600000000,0.600000000,11.462741211,-1.729020350,12.458146991,-1.058820877
116,3.430276727,11.943698524,-1.369547463,0.600000000,0.600000000,11.452387199,-1.713950109,12.435009849,-1.025144818
117,3.459848078,11.926497431,-1.345493624,0.600000000,0.600000000,11.441751535,-1.699077301,12.411243326,-0.991909946
118,3.489419429,11.908846909,-1.321767607,0.600000000,0.600000000,11.430837984,-1.684407190,12.386855834,-0.959128023
119,3.518990780,11.890753204,-1.298377809,0.600000000,0.600000000,11.419650406,-1.669944968,12.361856002,-0.926810649
120,3.548562131,11.872222719,-1.275332507,0.600000000,0.600000000,11.408192762,-1.655695752,12.336252677,-0.894969261
121,3.578133482,11.853262012,-1.252639856,0.600000000,0.600000000,11.396469105,-1.641664586,12.310054919,-0.863615126
122,3.607704833,11.833877793,-1.230307887,0.600000000,0.600000000,11.384483586,-1.627856433,12.283272000,-0.832759341
123,3.637276184,11.814076920,-1.208344503,0.600000000,0.600000000,11.372240444,-1.614276182,12.255913397,-0.802412824
124,3.666847535,11.793866402,-1.186757475,0.600000000,0.600000000,11.359744012,-1.600928636,12.227988792,-0.772586314
125,3.696418886,11.773253390,-1.165554444,0.600000000,0.600000000,11.346998714,-1.587818521,12.199508066,-0.743290366
126,3.725990237,11.752245179,-1.144742911,0.600000000,0.600000000,11.334009059,-1.574950475,12.170481299,-0.714535348
127,3.755561589,11.730849203,-1.124330243,0.600000000,0.600000000,11.320779643,-1.562329052,12.140918763,-0.686331435
128,3.785132940,11.709073034,-1.104323663,0.600000000,0.600000000,11.307315149,-1.549958718,12.110830918,-0.658688608
129,3.814704291,11.686924377,-1.084730250,0.600000000,0.600000000,11.293620341,-1.537843851,12.080228413,-0.631616650
130,3.844275642,11.664411072,-1.065556939,0.600000000,0.600000000,11.279700066,-1.525988739,12.049122077,-0.605125139
131,3.873846993,11.641541084,-1.046810514,0.600000000,0.600000000,11.265559249,-1.514397576,12.017522918,-0.579223452
132,3.903418344,11.618322506,-1.028497609,0.600000000,0.600000000,11.251202895,-1.503074464,11.985442118,-0.553920754
133,3.932989695,11.594763557,-1.010624705,0.600000000,0.600000000,11.236636085,-1.492023410,11.952891029,-0.529225999
134,3.962561046,11.570872572,-0.993198126,0.600000000,0.600000000,11.221863972,-1.481248326,11.919881172,-0.505147927
135,3.992132397,11.546658006,-0.976224041,0.600000000,0.600000000,11.206891785,-1.470753024,11.886424227,-0.481695057
136,4.021703748,11.522128427,-0.959708454,0.600000000,0.600000000,11.191724821,-1.460541218,11.852532034,-0.458875690
137,4.051275099,11.497292518,-0.943657211,0.600000000,0.600000000,11.176368449,-1.450616521,11.818216586,-0.436697901
138,4.080846451,11.472159066,-0.928075992,0.600000000,0.600000000,11.160828103,-1.440982447,11.783490028,-0.415169537
139,4.110417802,11.446736965,-0.912970311,0.600000000,0.600000000,11.145109281,-1.431642405,11.748364649,-0.394298218
140,4.139989153,11.421035212,-0.898345514,0.600000000,0.600000000,11.129217546,-1.422599698,11.712852877,-0.374091329
141,4.169560504,11.395062902,-0.884206775,0.600000000,0.600000000,11.113158523,-1.413857529,11.676967281,-0.354556021
142,4.199131855,11.368829227,-0.870559098,0.600000000,0.600000000,11.096937894,-1.405418989,11.640720560,-0.335699207
143,4.228703206,11.342343469,-0.857407314,0.600000000,0.600000000,11.080561399,-1.397287067,11.604125539,-0.317527561
144,4.258274557,11.315615002,-0.844756075,0.600000000,0.600000000,11.064034833,-1.389464638,11.567195170,-0.300047512
145,4.287845908,11.288653284,-0.832609859,0.600000000,0.600000000,11.047364046,-1.381954472,11.529942521,-0.283265246
146,4.317417259,11.261467856,-0.820972964,0.600000000,0.600000000,11.030554935,-1.374759226,11.492380776,-0.267186703
147,4.346988610,11.234068338,-0.809849509,0.600000000,0.600000000,11.013613451,-1.367881446,11.454523226,-0.251817572
148,4.376559961,11.206464428,-0.799243429,0.600000000,0.600000000,10.996545587,-1.361323566,11.416383269,-0.237163292
149,4.406131313,11.178665892,-0.789158479,0.600000000,0.600000000,10.979357384,-1.355087907,11.377974401,-0.223229050
150,4.435702664,11.150682569,-0.779598225,0.600000000,0.600000000,10.962054925,-1.349176676,11.339310214,-0.210019775
151,4.465274015,11.122524361,-0.770566053,0.600000000,0.600000000,10.944644331,-1.343591965,11.300404391,-0.197540142
152,4.494845366,11.094201233,-0.762065158,0.600000000,0.600000000,10.927131766,-1.338335749,11.261270701,-0.185794568
153,4.524416717,11.065723208,-0.754098549,0.600000000,0.600000000,10.909523425,-1.333409888,11.221922990,-0.174787209
154,4.553988068,11.037100363,-0.746669044,0.600000000,0.600000000,10.891825541,-1.328816127,11.182375184,-0.164521961
155,4.583559419,11.008342827,-0.739779273,0.600000000,0.600000000,10.874044375,-1.324556090,11.142641278,-0.155002456
156,4.613130770,10.979460777,-0.733431674,0.600000000,0.600000000,10.856186221,-1.320631286,11.102735333,-0.146232063
157,4.642702121,10.950464434,-0.727628493,0.600000000,0.600000000,10.838257398,-1.317043102,11.062671470,-0.138213885
158,4.672273472,10.921364059,-0.722371785,0.600000000,0.600000000,10.820264251,-1.313792809,11.022463868,-0.130950760
159,4.701844823,10.892169951,-0.717663408,0.600000000,0.600000000,10.802213146,-1.310881558,10.982126755,-0.124445258
160,4.731416175,10.862892439,-0.713505029,0.600000000,0.600000000,10.784110473,-1.308310377,10.941674405,-0.118699681
161,4.760987526,10.833541885,-0.709898121,0.600000000,0.600000000,10.765962636,-1.306080178,10.901121134,-0.113716064
162,4.790558877,10.804128675,-0.706843958,0.600000000,0.600000000,10.747776059,-1.304191749,10.860481292,-0.109496168
163,4.820130228,10.774663219,-0.704343623,0.600000000,0.600000000,10.729557177,-1.302645758,10.819769261,-0.106041488
164,4.849701579,10.745155943,-0.702398000,0.600000000,0.600000000,10.711312437,-1.301442754,10.778999448,-0.103353246
165,4.879272930,10.715617288,-0.701007777,0.600000000,0.600000000,10.693048295,-1.300583160,10.738186281,-0.101432393
166,4.908844281,10.686057710,-0.700173446,0.600000000,0.600000000,10.674771216,-1.300067283,10.697344203,-0.100279610
167,4.938415632,10.656487667,-0.699895303,0.600000000,0.600000000,10.653671080,-1.299888692,10.659304254,-0.099901914
168,4.968096012,10.626807287,-0.699895303,0.600000000,0.600000000,10.626807287,-1.299895303,10.626807287,-0.099895303
169,4.997776392,10.597126907,-0.699895303,0.600000000,0.600000000,10.597126907,-1.299895303,10.597126907,-0.099895303
170,5.027456772,10.567446527,-0.699895303,0.600000000,0.600000000,10.567446527,-1.299895303,10.567446527,-0.099895303
171,5.057137152,10.537766147,-0.699895303,0.600000000,0.600000000,10.537766147,-1.299895303,10.537766147,-0.099895303
172,5.086817532,10.508085767,-0.699895303,0.600000000,0.600000000,10.508085767,-1.299895303,10.508085767,-0.099895303
173,5.116497912,10.478405387,-0.699895303,0.600000000,0.600000000,10.478405387,-1.299895303,10.478405387,-0.099895303
174,5.146178292,10.448725007,-0.699895303,0.600000000,0.600000000,10.448725007,-1.299895303,10.448725007,-0.099895303
175,5.175858672,10.419044627,-0.699895303,0.600000000,0.600000000,10.419044627,-1.299895303,10.419044627,-0.099895303
176,5.205539052,10.389364247,-0.699895303,0.600000000,0.600000000,10.389364247,-1.299895303,10.389364247,-0.099895303
177,5.235219432,10.359683867,-0.699895303,0.600000000,0.600000000,10.359683867,-1.299895303,10.359683867,-0.099895303
178,5.264899812,10.330003487,-0.699895303,0.600000000,0.600000000,10.330003487,-1.299895303,10.330003487,-0.099895303
179,5.294580192,10.300323107,-0.699895303,0.600000000,0.600000000,10.300323107,-1.299895303,10.300323107,-0.099895303
180,5.324260572,10.270642727,-0.699895303,0.600000000,0.600000000,10.270642727,-1.299895303,10.270642727,-0.099895303
181,5.353940952,10.240962347,-0.699895303,0.600000000,0.600000000,10.240962347,-1.299895303,10.240962347,-0.099895303
182,5.383621332,10.211281967,-0.699895303,0.600000000,0.600000000,10.211281967,-1.299895303,10.211281967,-0.099895303
183,5.413301712,10.181601587,-0.699895303,0.600000000,0.600000000,10.181601587,-1.299895303,10.181601587,-0.099895303
184,5.442982092,10.151921207,-0.699895303,0.600000000,0.600000000,10.151921207,-1.299895303,10.151921207,-0.099895303
185,5.472662472,10.122240827,-0.699895303,0.600000000,0.600000000,10.122240827,-1.299895303,10.122240827,-0.099895303
186,5.502342852,10.092560447,-0.699895303,0.600000000,0.600000000,10.092560447,-1.299895303,10.092560447,-0.099895303
