#timestamp x y z qx qy qz qw
1787220057.97505260 -0.00148719 -0.00277697 -0.00039990 -0.00420192 0.01043758 0.00055616 0.99993654
1787220062.17504787 1.06993957 -0.07031316 0.00933670 -0.00154980 0.01255283 -0.02481980 0.99961193
1787220063.57506967 2.12292491 -0.01779669 0.01983207 -0.00261202 0.00615517 0.04939428 0.99875698
1787220065.17501307 3.14730941 0.16474324 0.02672303 -0.00632679 0.00793260 0.08696149 0.99616000
1787220068.07489586 4.21223706 0.28766151 0.03284637 -0.00758660 0.01365435 0.06811734 0.99755503
1787220069.87497592 5.26795159 0.30994259 0.04437618 -0.00758609 0.00961294 0.00581246 0.99990812
1787220070.87503767 6.30060170 0.28558598 0.04263883 -0.00507333 0.01340480 0.00228067 0.99989468
1787220072.07496405 7.38203639 0.45642658 0.04591249 -0.01003386 0.00969498 0.09641878 0.99524306
1787220073.07490778 8.46221095 0.60691280 0.05267518 -0.00581520 0.01787131 0.07840332 0.99674456
1787220073.87496376 9.45730189 1.09165363 0.04560252 -0.00440305 0.02674500 0.37356077 0.92720961
1787220075.07487464 9.27416723 2.15523477 0.00740980 -0.01041257 0.02858009 0.85504846 0.51765519
1787220075.87489152 8.76401532 3.05554396 -0.01817978 -0.01193987 0.02923943 0.86154165 0.50670355
1787220077.27489638 8.21139409 4.91682357 -0.03791567 -0.01547653 0.02056555 0.68639208 0.72677606
1787220078.47485161 9.08519265 7.03216187 -0.10730481 -0.01509725 0.02054782 0.45600635 0.88961119
1787220080.17489910 9.38866118 9.35734469 -0.16141710 -0.00848881 0.02654761 0.81954257 0.57234006
1787220082.57459331 8.71585532 10.94956369 -0.19336822 -0.01384815 0.02746862 0.91001838 0.41342502
1787220084.27435756 7.17408077 10.85593708 -0.21599239 0.02051572 -0.02500460 -0.98978528 0.13884872
1787220086.17487025 5.67868633 9.53224805 -0.19037404 0.01764147 -0.01482890 -0.77801001 0.62782904
1787220087.87464428 5.37024430 7.53131954 -0.14392715 0.01379820 -0.01125252 -0.77874580 0.62708689
1787220089.67489934 5.09962133 5.56489868 -0.08280668 0.01107194 -0.00918391 -0.75126218 0.65984711
1787220090.77475238 4.87307818 4.52059720 -0.05905282 0.01535440 -0.01072551 -0.77086615 0.63672175
