corner_id,name_cn,name_en,direction,classification,entry_s_m,apex_s_m,exit_s_m,length_m,turn_angle_deg,entry_x_m,entry_y_m,apex_x_m,apex_y_m,exit_x_m,exit_y_m,apex_kappa_1pm,minimum_radius_m,mean_abs_kappa_1pm,minimum_speed_mps,mean_speed_mps,estimated_segment_time_s,minimum_left_width_m,minimum_right_width_m,optimization_priority
C01,右下急左弯,lower_right_sharp_left,left,corner,6.723547085,8.734901301,10.641682527,3.918135442,91.631473136,7.919616097,-0.606433353,9.839105474,-0.117341147,10.153739203,1.720748301,1.482345662,0.674606487,0.436888735,1.469265381,2.404700674,1.706481278,0.551546327,0.378765524,high
C02,右侧缓右过渡,right_side_gentle_right_transition,right,gentle_transition,11.984201989,12.886881976,14.141350218,2.157148229,-23.947652131,10.029713034,3.057317609,10.060741274,3.958253900,10.375899946,5.169423264,-0.219263658,4.560719314,0.191655460,3.000000000,3.000000000,0.719049410,0.651096442,0.299948507,low
C03,右侧缓左过渡,right_side_gentle_left_transition,left,kink,15.205755743,15.584687422,16.633414867,1.427659124,15.893006864,10.782669223,6.152932882,10.903639030,6.511950051,11.088584315,7.542448191,0.224283417,4.458644395,0.191552844,3.000000000,3.000000000,0.475886375,0.506417673,0.874691201,low
C04,右上左回头弯,upper_right_left_hairpin,left,hairpin,17.745438913,22.294211109,23.649411790,5.903972877,171.639796158,11.111442798,8.653620373,7.612040427,9.540639499,7.186290802,8.279704021,1.105112437,0.904885301,0.500938676,1.701655947,2.368923553,2.570694578,0.611249055,0.554331208,high
C05,右中右回头弯,right_middle_right_hairpin,right,hairpin,26.661892677,30.077007325,32.645608543,5.983715866,-184.982912262,7.070180793,5.270369868,5.152758191,3.321229694,4.736644233,5.750617010,-1.251718041,0.798901963,0.532215335,1.598901586,2.382086803,2.654838010,0.414525811,0.554336119,high
C06,中上左回头弯,upper_middle_left_hairpin,left,hairpin,33.891863299,38.828768404,39.936320445,6.044457146,177.494314647,4.978319782,6.973025190,2.527819510,9.536011538,2.109474364,8.523649186,1.064523999,0.939386995,0.523458090,1.733793062,2.386728341,2.588312225,0.485127803,0.618160231,high
C07,中下右回头弯,lower_middle_right_hairpin,right,hairpin,41.315615984,47.122870695,48.175477377,6.859861393,-185.860397650,1.887964611,7.162965524,-0.947276920,3.789619093,-1.091223222,4.796401427,-1.286569435,0.777260809,0.485667939,1.577096886,2.406744834,2.999574556,0.629877789,0.495611338,high
C08,中部轻微右折,middle_minor_right_kink,right,kink,49.386514960,49.645910137,49.907012407,0.520497447,-9.858755610,-0.813915110,5.975109858,-0.732783835,6.221438440,-0.629412903,6.461129191,-0.366496932,2.728535801,0.323979737,2.904142188,2.970744087,0.174942975,0.807405864,0.736491279,low
C09,中左复合左弯,middle_left_compound_left,left,compound,50.313831502,52.833557697,55.978643049,5.664811547,112.494231968,-0.436187354,6.819080267,-0.371787083,9.272194668,-2.981472527,10.771001117,0.707003998,1.414419159,0.347747587,2.127472986,2.697393961,2.120447948,0.657755555,0.392350384,medium
C10,左上紧左回头弯,upper_left_tight_left_hairpin,left,hairpin,59.276202114,60.765792586,63.213355885,3.937153771,178.996449705,-6.273204976,10.941682815,-7.586003384,10.406067497,-6.155163514,9.057008834,1.368704155,0.730618079,0.760483229,1.529044751,2.061653270,2.023378822,0.549374937,0.373377247,high
C11,左侧紧右回头弯,left_tight_right_hairpin,right,hairpin,65.417502288,67.670173284,69.095541175,3.678038887,-181.895372499,-3.956313468,9.201059566,-2.518122628,7.998819405,-3.758963643,7.498941828,-1.439935750,0.694475431,0.821726673,1.490745243,2.026395460,1.941065376,0.374843747,0.466949925,high
C12,左下长左圆弧,lower_left_long_left_arc,left,long_arc,70.192738594,72.111334103,81.297932048,11.105193454,173.550503766,-4.854002104,7.566382535,-6.702912974,7.176043506,-4.649393550,0.433123812,0.401536026,2.490436562,0.270985293,2.823012043,3.426188764,3.273731485,0.366002354,0.476661832,medium
