s_m,x_m,y_m
0.000000000,1.260470556,0.669395221
0.021939929,1.282034318,0.666916222
0.043879858,1.303634663,0.664413669
0.065819786,1.325271411,0.661887864
0.087759715,1.346944373,0.659339101
0.109699644,1.368653348,0.656767671
0.131639573,1.390398128,0.654173863
0.153579502,1.412178502,0.651558109
0.175519431,1.433994259,0.648921007
0.197459359,1.455845181,0.646263159
0.219399288,1.477731044,0.643585162
0.241339217,1.499651620,0.640887609
0.263279146,1.521606676,0.638171135
0.285219075,1.543594381,0.635436748
0.307159003,1.565604889,0.632686121
0.329098932,1.587636472,0.629920747
0.351038861,1.609689019,0.627142048
0.372978790,1.631762418,0.624351446
0.394918719,1.653856567,0.621550505
0.416858648,1.675971379,0.618741005
0.438798576,1.698106772,0.615924745
0.460738505,1.720262666,0.613103521
0.482678434,1.742438991,0.610279127
0.504618363,1.764635681,0.607453354
0.526558292,1.786852679,0.604627998
0.548498220,1.809089935,0.601804855
0.570438149,1.831339011,0.598986253
0.592378078,1.853591576,0.596174902
0.614318007,1.875847749,0.593373165
0.636257936,1.898107651,0.590583224
0.658197865,1.920371384,0.587806873
0.680137793,1.942639059,0.585045861
0.702077722,1.964910789,0.582301935
0.724017651,1.987186696,0.579576842
0.745957580,2.009466905,0.576872268
0.767897509,2.031751507,0.574189215
0.789837437,2.054040573,0.571528241
0.811777366,2.076334176,0.568889896
0.833717295,2.098630947,0.566274827
0.855657224,2.120922333,0.563684314
0.877597153,2.143207038,0.561119076
0.899537082,2.165485157,0.558578836
0.921477010,2.187756770,0.556063154
0.943416939,2.210021952,0.553571591
0.965356868,2.232280777,0.551103705
0.987296797,2.254533308,0.548659026
1.009236726,2.276779571,0.546236531
1.031176654,2.299019554,0.543834724
1.053116583,2.321253237,0.541452089
1.075056512,2.343480593,0.539087114
1.096996441,2.365701590,0.536738285
1.118936370,2.387915907,0.534404051
1.140876299,2.410123206,0.532082639
1.162816227,2.432323421,0.529772200
1.184756156,2.454516479,0.527470884
1.206696085,2.476702299,0.525176842
1.228636014,2.498880798,0.522888232
1.250575943,2.521051898,0.520603402
1.272515871,2.543215534,0.518320920
1.294455800,2.565371638,0.516039368
1.316395729,2.587520135,0.513757327
1.338335658,2.609660949,0.511473376
1.360275587,2.631794008,0.509186211
1.382215516,2.653919925,0.506895099
1.404155444,2.676042534,0.504599195
1.426095373,2.698162435,0.502297810
1.448035302,2.720279587,0.499990300
1.469975231,2.742393945,0.497676027
1.491915160,2.764505496,0.495354751
1.513855088,2.786614274,0.493026850
1.535795017,2.808720318,0.490692754
1.557734946,2.830823667,0.488352894
1.579674875,2.852924362,0.486007700
1.601614804,2.875022447,0.483657666
1.623554732,2.897118013,0.481303801
1.645494661,2.919211167,0.478947358
