s_m,x_m,y_m
0.000000000,1.192835757,-0.733968607
0.021939929,1.215010613,-0.735271793
0.043879858,1.237150070,-0.736579214
0.065819786,1.259254140,-0.737890130
0.087759715,1.281322830,-0.739203794
0.109699644,1.303356142,-0.740519455
0.131639573,1.325354074,-0.741836351
0.153579502,1.347316627,-0.743153608
0.175519431,1.369243804,-0.744470219
0.197459359,1.391135610,-0.745785167
0.219399288,1.412992047,-0.747097426
0.241339217,1.434813121,-0.748405967
0.263279146,1.456598841,-0.749709728
0.285219075,1.478350830,-0.751007563
0.307159003,1.500078755,-0.752298454
0.329098932,1.521784276,-0.753580813
0.351038861,1.543467456,-0.754852967
0.372978790,1.565128362,-0.756113241
0.394918719,1.586767067,-0.757359989
0.416858648,1.608383648,-0.758591609
0.438798576,1.629978194,-0.759806500
0.460738505,1.651550798,-0.761003060
0.482678434,1.673101566,-0.762179687
0.504618363,1.694630611,-0.763334822
0.526558292,1.716138039,-0.764467271
0.548498220,1.737623957,-0.765576018
0.570438149,1.759097153,-0.766660410
0.592378078,1.780566434,-0.767719453
0.614318007,1.802031946,-0.768751613
0.636257936,1.823493828,-0.769755677
0.658197865,1.844952184,-0.770731098
0.680137793,1.866407119,-0.771677414
0.702077722,1.887858741,-0.772594163
0.724017651,1.909307162,-0.773480884
0.745957580,1.930752494,-0.774337180
0.767897509,1.952194808,-0.775163394
0.789837437,1.973634150,-0.775960354
0.811777366,1.995070563,-0.776728891
0.833717295,2.016505616,-0.777469923
0.855657224,2.037948486,-0.778184658
0.877597153,2.059400714,-0.778873932
0.899537082,2.080862262,-0.779539251
0.921477010,2.102333078,-0.780182255
0.943416939,2.123813102,-0.780804585
0.965356868,2.145302267,-0.781407879
0.987296797,2.166800498,-0.781993798
1.009236726,2.188307685,-0.782564402
1.031176654,2.209823689,-0.783122092
1.053116583,2.231348361,-0.783669279
1.075056512,2.252881545,-0.784208377
1.096996441,2.274423074,-0.784741794
1.118936370,2.295973072,-0.785272003
1.140876299,2.317531642,-0.785801634
1.162816227,2.339098585,-0.786333335
1.184756156,2.360673693,-0.786869756
1.206696085,2.382256750,-0.787413545
1.228636014,2.403847536,-0.787967344
1.250575943,2.425445829,-0.788533691
1.272515871,2.447051414,-0.789114999
1.294455800,2.468664067,-0.789713675
1.316395729,2.490283563,-0.790332125
1.338335658,2.511909669,-0.790972752
1.360275587,2.533542155,-0.791637888
1.382215516,2.555180140,-0.792329401
1.404155444,2.576819373,-0.793048841
1.426095373,2.598458989,-0.793798096
1.448035302,2.620098800,-0.794579111
1.469975231,2.641738613,-0.795393821
1.491915160,2.663378258,-0.796243838
1.513855088,2.685017604,-0.797130262
1.535795017,2.706656519,-0.798054152
1.557734946,2.728294872,-0.799016565
1.579674875,2.749932528,-0.800018559
1.601614804,2.771569360,-0.801061113
1.623554732,2.793205286,-0.802144591
1.645494661,2.814840250,-0.803269060
1.667434590,2.836474822,-0.804434631
1.689374519,2.858109575,-0.805641389
1.711314448,2.879744453,-0.806889356
1.733254377,2.901379427,-0.808178272
1.755194305,2.923014519,-0.809507274
1.777134234,2.944649759,-0.810875422
1.799074163,2.966285180,-0.812281779
1.821014092,2.987920816,-0.813725406
1.842954021,3.009556707,-0.815205324
1.864893949,3.031192937,-0.816720074
1.886833878,3.052829618,-0.818267890
1.908773807,3.074466866,-0.819847001
1.930713736,3.096105384,-0.821455680
1.952653665,3.117748794,-0.823092383
1.974593594,3.139397827,-0.824755100
1.996533522,3.161052670,-0.826441361
