#timestamp x y z qx qy qz qw
1787393407.25655127 -0.00443527 -0.00516339 0.00614195 0.00160097 0.01303908 -0.00037693 0.99991363
1787393410.35666108 1.12692693 -0.02303106 0.00658731 -0.00146071 0.01570492 0.00869711 0.99983778
1787393411.15655541 2.15058743 -0.05733137 0.02212923 -0.00547986 0.01905087 0.00168609 0.99980208
1787393412.05651236 3.20591147 -0.12293478 0.03286690 -0.00067772 0.00911337 -0.02298353 0.99969408
1787393412.85648346 4.23918356 -0.21095701 0.03770297 0.00049638 0.01247721 -0.02931730 0.99949216
1787393413.55652428 5.26117901 -0.30573565 0.04844291 -0.00393532 0.01538597 -0.02937648 0.99944225
1787393414.85658765 6.27701234 -0.40910620 0.06021938 -0.00448899 0.01201875 -0.03597509 0.99927033
1787393416.05660772 7.35378727 -0.52032804 0.07822399 -0.00530552 0.01822255 -0.03378366 0.99924895
1787393416.95657563 8.41278578 -0.49903997 0.08383699 -0.00412896 0.01820736 0.02334240 0.99955319
1787393417.85663748 9.48915860 -0.35223111 0.08412363 -0.00598902 0.02326212 0.15477438 0.98765778
1787393418.85647011 10.15797708 0.46098833 0.06991810 -0.01346789 0.03395105 0.55813584 0.82894531
1787393420.05645370 10.04083601 1.47879755 0.02966773 -0.01409175 0.02621872 0.75375697 0.65647881
1787393421.55649877 9.90771156 2.49963452 0.01549444 -0.01371416 0.02869015 0.76280826 0.64584236
1787393422.95623446 9.78093481 3.52451877 0.00026476 -0.01946244 0.02580466 0.75411070 0.65595151
1787393424.35643816 9.93570424 4.55036838 -0.02216384 -0.01668579 0.02654413 0.60972688 0.79199124
1787393425.85648680 10.40700080 5.50503869 -0.04930005 -0.01836238 0.02675850 0.51257570 0.85802853
1787393427.05653858 10.98297897 6.42635540 -0.07356525 -0.01115657 0.02692449 0.48405355 0.87455289
1787393428.25648093 11.30176993 7.41730433 -0.10959534 -0.01539662 0.02846780 0.61906927 0.78466921
1787393429.15654111 11.34214849 8.45055547 -0.12717063 -0.01307793 0.03172480 0.74841227 0.66234551
1787393430.05648756 10.95882442 9.39396821 -0.15155012 -0.02143551 0.03044052 0.85802246 0.51226102
1787393431.15642357 10.38877276 10.23940229 -0.16969535 -0.01988896 0.02774927 0.89373199 0.44730028
1787393432.85641360 9.44991213 10.65261759 -0.19235330 -0.02191749 0.02822063 0.99647692 0.07587470
1787393434.45640397 8.52068354 10.13513579 -0.17750792 0.01942174 -0.01579555 -0.93902346 0.34294058
1787393435.65636492 7.82617670 9.34672804 -0.16454165 0.02204831 -0.01391962 -0.87822107 0.47754358
1787393436.75635099 7.51444818 8.34491337 -0.14556624 0.01247601 -0.01208280 -0.80227476 0.59670225
1787393437.65598202 7.28916215 7.24132620 -0.12933285 0.01482270 -0.00621045 -0.74832884 0.66313322
1787393438.55643630 7.22078795 6.17787866 -0.09279837 0.01066967 -0.00419311 -0.70298955 0.71110778
1787393439.45646381 7.23815189 5.05092056 -0.06024060 0.01244061 -0.00564391 -0.70660182 0.70747950
1787393440.35641980 6.99918247 3.97781476 -0.02419718 0.01643199 -0.01073010 -0.81686847 0.57649003
1787393441.45645881 6.13199667 3.38553367 -0.02180503 0.02707616 -0.01382590 -0.97871805 0.20294507
1787393442.65643072 5.09965821 3.70043105 -0.03073759 -0.02469729 0.01869475 0.96953035 0.24300505
1787393443.55642772 4.75321204 4.68124112 -0.05672889 -0.01509512 0.02788360 0.76867418 0.63885417
1787393444.45627761 4.79911194 5.73543808 -0.09248624 -0.01677777 0.02686810 0.68558332 0.72730469
