#timestamp x y z qx qy qz qw
1787393155.25577855 0.00172959 0.00122898 -0.00359171 0.01336124 0.02354744 0.00007270 0.99963343
1787393164.65632629 1.09595445 -0.00938637 0.01281657 0.00238977 0.02601180 0.02770798 0.99927471
1787393165.65625930 2.19456899 0.00207950 0.03087748 0.00519090 0.01408478 0.01890083 0.99970867
1787393166.55618000 3.26017412 -0.04533177 0.04417636 0.00714513 0.01853548 0.00192012 0.99980083
1787393167.35627556 4.30388212 -0.08749358 0.04833938 -0.00051520 0.02158316 0.00015383 0.99976691
1787393168.15525603 5.33808639 -0.18439768 0.06220834 -0.00053057 0.01769883 -0.02489503 0.99953324
1787393168.95617175 6.41218216 -0.29575032 0.07739677 -0.00055578 0.02126687 -0.03371263 0.99920512
1787393169.75624394 7.45985698 -0.30353687 0.09095238 -0.00007028 0.01913411 0.03967366 0.99902947
1787393170.65620470 8.48731682 -0.11569648 0.08785452 -0.00017536 0.03011309 0.15444080 0.98754302
1787393171.55527449 9.25300991 0.53049842 0.06710852 -0.01103171 0.03615992 0.46807774 0.88287824
1787393172.75632071 9.16746333 1.57573409 0.03711361 -0.01476044 0.03347380 0.75709931 0.65227469
1787393173.95628619 8.79719075 2.58042663 0.01600987 -0.01712120 0.03498349 0.84209445 0.53792189
1787393175.25633717 8.64256322 3.70574392 -0.00468716 -0.01640085 0.02986769 0.71991912 0.69322103
1787393176.45619869 9.28938544 5.32113275 -0.04007013 -0.01476033 0.03626975 0.55075504 0.83374788
1787393178.35524058 10.10962836 7.01450528 -0.08403292 -0.01452080 0.03683714 0.56904811 0.82135037
1787393180.85627890 10.23708864 8.62000674 -0.12835546 -0.01605926 0.03662351 0.78392750 0.61956315
1787393182.05627322 9.33613070 10.22206265 -0.16893204 -0.02169247 0.03283586 0.91284490 0.40640550
1787393183.85619807 8.36884715 10.61134557 -0.18968748 -0.02750380 0.02939068 0.99863004 0.03343297
1787393186.35618353 6.81647545 9.73056581 -0.17686952 0.02831598 -0.01730376 -0.92020372 0.39003065
1787393188.35626006 6.41484511 7.64529534 -0.12552801 0.02457176 -0.00284711 -0.70671840 0.70706239
1787393190.25616837 5.97329833 4.60645006 -0.04373508 0.01613376 -0.00855523 -0.77190245 0.63547865
1787393192.15350461 3.93106808 3.45044591 -0.03970619 -0.02957171 0.01947411 0.93481349 0.35336951
1787393194.05619359 4.12193585 6.42948977 -0.10963997 -0.02061987 0.03060070 0.70352938 0.70970756
1787393195.75627494 4.10281800 9.14919411 -0.18365497 -0.02228333 0.02931433 0.73751650 0.67432450
1787393197.75633693 1.94752593 10.35240768 -0.24247773 0.02471623 -0.02289972 -0.99239031 0.11843218
1787393199.55661678 1.04768419 8.23227029 -0.18653198 0.01531956 -0.00200625 -0.63766484 0.77015897
1787393201.45620537 1.11629771 5.20595454 -0.11013822 0.01835663 -0.00399966 -0.71988105 0.69384314
1787393202.55632424 -0.45587903 3.58022022 -0.08666362 -0.02756998 0.01310350 0.98635698 0.16176555
1787393205.25631022 -2.57630557 5.10288655 -0.15181656 -0.02417244 0.02290002 0.84194118 0.53854093
1787393207.25660896 -1.84219284 6.70771467 -0.17543992 -0.02105885 0.02627703 0.52813419 0.84849297
1787393209.05709004 -1.44529051 8.59095361 -0.22606055 -0.02447347 0.02917048 0.71796063 0.69504148
1787393210.05617404 -2.44320055 10.16008031 -0.26608331 -0.02442243 0.02842371 0.93914311 0.34147600
1787393212.65617800 -4.40855631 10.35654457 -0.29470800 0.02431804 -0.01955496 -0.99489207 0.09600002
1787393213.75619268 -6.43697489 10.44025250 -0.32173164 -0.02622864 0.02368867 0.99926366 0.01493460
1787393216.35666752 -8.45354814 10.43116009 -0.33421934 0.02078495 -0.02862398 -0.98619024 0.16179454
1787393218.25614381 -7.94845011 9.13452856 -0.30039128 0.00457097 0.00719598 -0.15922906 0.98720486
1787393219.25628805 -6.21554978 9.02668345 -0.29802115 -0.00232138 0.01561537 -0.05995342 0.99807633
1787393221.75617433 -4.47216417 8.75052140 -0.25625149 -0.00569464 0.01114640 -0.05731185 0.99827786
1787393223.55623412 -3.46385786 7.68313063 -0.21591893 0.01398277 -0.00112012 -0.69283837 0.72095646
1787393230.65628839 -4.50432630 7.78216771 -0.23138555 -0.02358987 0.01602103 0.99714294 0.06994851
