#timestamp x y z qx qy qz qw
1786354091.23860240 -0.00947358 0.00607064 0.00798257 -0.00223017 -0.00015892 -0.00157554 0.99999626
1786354094.93855691 0.99011713 -0.37609685 0.01836773 0.00064769 -0.00042359 -0.25051494 0.96811242
1786354096.53842926 2.01183528 -0.71103988 0.02985636 -0.00078736 0.00104265 -0.09684643 0.99529848
1786354097.73852181 3.04266894 -0.75159469 0.04142863 -0.00339454 0.00254907 0.03201871 0.99947825
1786354099.33840132 4.08397294 -0.57410550 0.05052089 -0.00460424 0.00347375 0.14765849 0.98902159
1786354100.63843179 5.06710157 -0.25260227 0.04084565 -0.00497671 0.00759971 0.15779118 0.98743072
1786354101.83857250 6.06995384 -0.19268102 0.04609282 -0.00166806 0.00693437 0.01892892 0.99979539
1786354103.13831091 7.11912757 -0.11702614 0.04880869 -0.00357290 0.00179312 0.03608304 0.99934080
1786354104.13842750 8.16892844 -0.20642126 0.05580999 -0.01333108 0.00392668 -0.10006468 0.99488387
1786354105.23851967 9.16151558 -0.51338492 0.06792675 -0.00596234 0.00220733 -0.14844896 0.98889963
1786354106.43853951 9.92699977 -1.26008957 0.09265393 -0.00178086 0.00520282 -0.46357371 0.88604129
1786354107.53839827 10.18298246 -2.33798306 0.11635046 -0.00177333 0.00072002 -0.62498654 0.78063318
1786354108.63849926 9.84883310 -3.36834460 0.13815625 0.00681156 -0.00108953 -0.88688572 0.46193737
1786354109.63848495 8.86369338 -3.64502567 0.13559456 0.00847739 -0.01341202 -0.99608293 0.08698875
1786354110.63857913 7.82113205 -3.65988714 0.13018704 -0.01392866 0.00945673 0.99697484 0.07587975
1786354111.63846827 6.83325358 -3.39441895 0.11591356 -0.00801496 0.01883623 0.99193685 0.12506894
1786354112.73855281 5.76519826 -3.06509415 0.10719514 -0.00543676 0.01498017 0.98898371 0.14716407
1786354113.73847628 5.05779396 -2.23595299 0.08939279 -0.01511681 0.01941920 0.89480935 0.44576969
1786354114.73842025 5.21514152 -1.16570696 0.06139054 -0.02221863 0.01094816 0.46894283 0.88288113
1786354115.53851199 6.23233892 -0.90653111 0.05606447 -0.00848979 0.00659034 0.09604768 0.99531871
1786354116.33837342 7.25210620 -1.27910599 0.07286717 -0.00605956 0.00078314 -0.30477496 0.95240479
1786354117.13842010 8.08863308 -1.94102096 0.10227920 -0.00381744 -0.00433803 -0.31800347 0.94807194
1786354117.93848133 8.55002949 -2.85554285 0.12344401 -0.00876072 0.00271353 -0.64390193 0.76505306
1786354118.73858309 7.77210154 -3.60183934 0.12389817 0.01778321 0.00437035 -0.99196936 0.12514569
1786354119.33836961 6.76600475 -3.45897535 0.11348775 -0.00742073 0.01729819 0.99826327 0.05582252
1786354119.93837881 5.84477558 -2.96127753 0.10586182 -0.01147155 0.01361701 0.92788196 0.37244871
1786354120.53858972 5.06117574 -2.18039291 0.08476907 -0.01020937 0.02911305 0.94174802 0.33490127
1786354121.13859177 4.13933514 -1.62713659 0.06356600 -0.00893501 0.01916717 0.96329291 0.26761831
1786354121.73839092 3.25113859 -1.14582612 0.04967335 -0.00456002 0.02209959 0.98310136 0.18166598
1786354122.43835092 2.10367852 -0.96056437 0.03859779 -0.00994780 0.01897932 0.99699789 0.07440448
1786354123.13854337 0.98749126 -0.94380036 0.02652549 0.01276061 -0.02347505 -0.99474465 0.09883911
1786354123.93856454 0.08748887 -1.52430999 0.02924548 0.01167270 -0.02187412 -0.90929051 0.41542273
1786354124.73840666 0.04662071 -2.54869694 0.05602033 0.00773023 -0.00991089 -0.59845477 0.80105799
1786354125.63823819 0.28081296 -3.64084037 0.09060064 -0.00265537 -0.01921054 -0.65668943 0.75391173
1786354126.53852105 0.46166597 -4.67508891 0.11155433 0.00820031 -0.01398602 -0.56907433 0.82212624
