s_m,x_m,y_m,psi_rad,kappa_radpm,w_tr_right_m,w_tr_left_m,right_boundary_x_m,right_boundary_y_m,left_boundary_x_m,left_boundary_y_m
0.000000000,12.475210000,-2.025345333,1.570796327,1.196202893,0.600000000,0.600000000,13.075210000,-2.025345333,11.875210000,-2.025345333
0.081811313,12.471219409,-1.943662423,1.667869697,1.182447250,0.600000000,0.600000000,13.068373143,-1.885289356,11.874065673,-2.002035490
0.163622627,12.459375858,-1.862742811,1.762788959,1.143186957,0.600000000,0.600000000,13.048272806,-1.747849897,11.870478909,-1.977635725
0.245433940,12.440042484,-1.783276540,1.853696302,1.083747316,0.600000000,0.600000000,13.016039144,-1.615265092,11.864045824,-1.951287989
0.327245253,12.413760877,-1.705826762,1.939231519,1.011101947,0.600000000,0.600000000,12.973269998,-1.489148330,11.854251755,-1.922505195
0.409056567,12.381178956,-1.630805649,2.018595189,0.932112706,0.600000000,0.600000000,12.921736956,-1.370426986,11.840620955,-1.891184312
0.490867880,12.342982749,-1.558477681,2.091493363,0.852359444,0.600000000,0.600000000,12.863146660,-1.259430015,11.822818839,-1.857525348
0.572679194,12.299844112,-1.488980746,2.158017298,0.775717609,0.600000000,0.600000000,12.798998605,-1.156047129,11.800689621,-1.821914362
0.654490507,12.252387577,-1.422354513,2.218510424,0.704480724,0.600000000,0.600000000,12.730531178,-1.059892521,11.774243975,-1.784816506
0.736301820,12.201173702,-1.358568471,2.273454466,0.639722031,0.600000000,0.600000000,12.658726025,-0.970437215,11.743621378,-1.746699725
0.818113134,12.146694159,-1.297545693,2.323386301,0.581696316,0.600000000,0.600000000,12.584341360,-0.887100901,11.709046958,-1.707990486
0.899924447,12.089373942,-1.239181159,2.368844281,0.530164766,0.600000000,0.600000000,12.507954112,-0.809308337,11.670793772,-1.669053981
0.981735760,12.029577265,-1.183354949,2.410337305,0.484629268,0.600000000,0.600000000,12.430000182,-0.736519983,11.629154348,-1.630189916
1.063547074,11.967614900,-1.129941284,2.448329715,0.444485483,0.600000000,0.600000000,12.350808474,-0.668245836,11.584421326,-1.591636730
1.145358387,11.903751637,-1.078814421,2.483235979,0.409108609,0.600000000,0.600000000,12.270627802,-0.604049344,11.536875471,-1.553579499
1.227169701,11.838213245,-1.029852325,2.515421043,0.377905568,0.600000000,0.600000000,12.189647449,-0.543545837,11.486779039,-1.516158813
1.308981014,11.771192608,-0.982938793,2.545203650,0.350334763,0.600000000,0.600000000,12.108012476,-0.486398385,11.434372740,-1.479479202
1.390792327,11.702855013,-0.937964559,2.572860947,0.325917126,0.600000000,0.600000000,12.025835039,-0.432312601,11.379874988,-1.443616519
1.472603641,11.633342603,-0.894827738,2.598633436,0.304233300,0.600000000,0.600000000,11.943202693,-0.381031353,11.323482513,-1.408624122
1.554414954,11.562778099,-0.853433844,2.622729766,0.284921892,0.600000000,0.600000000,11.860184491,-0.332329786,11.265371708,-1.374537901
1.636226267,11.491267899,-0.813695563,2.645331157,0.267672475,0.600000000,0.600000000,11.776835462,-0.286010841,11.205700336,-1.341380287
1.718037581,11.418904637,-0.775532390,2.666595243,0.252217754,0.600000000,0.600000000,11.693199928,-0.241901344,11.144609345,-1.309163435
1.799848894,11.345769306,-0.738870171,2.686659474,0.238330921,0.600000000,0.600000000,11.609313961,-0.199848635,11.082224652,-1.277891706
1.881660208,11.271933022,-0.703640645,2.705644048,0.225816468,0.600000000,0.600000000,11.525207221,-0.159717690,11.018658823,-1.247563599
1.963471521,11.197458483,-0.669780968,2.723654367,0.214507743,0.600000000,0.600000000,11.440904351,-0.121388673,10.954012616,-1.218173264
2.045282834,11.122401189,-0.637233267,2.740783151,0.204261092,0.600000000,0.600000000,11.356426018,-0.084754869,10.888376361,-1.189711665
2.127094148,11.046810459,-0.605944207,2.757112222,0.194953544,0.600000000,0.600000000,11.271789722,-0.049720932,10.821831196,-1.162167482
2.208905461,10.970730286,-0.575864601,2.772714019,0.186478419,0.600000000,0.600000000,11.187010418,-0.016201395,10.754450154,-1.135527807
2.290716774,10.894200056,-0.546949044,2.787652884,0.178744394,0.600000000,0.600000000,11.102100993,0.015880592,10.686299119,-1.109778682
2.372528088,10.817255152,-0.519155588,2.801986143,0.171671152,0.600000000,0.600000000,11.017072644,0.046594329,10.617437660,-1.084905506
2.454339401,10.739927474,-0.492445434,2.815765030,0.165189950,0.600000000,0.600000000,10.931935176,0.076002491,10.547919772,-1.060893358
2.536150714,10.662245872,-0.466782665,2.829035501,0.159240491,0.600000000,0.600000000,10.846697238,0.104161897,10.477794504,-1.037727228
2.617962028,10.584236523,-0.442134002,2.841838865,0.153769376,0.600000000,0.600000000,10.761366514,0.131124200,10.407106533,-1.015392205
2.699773341,10.505923254,-0.418468581,2.854212388,0.148731192,0.600000000,0.600000000,10.675949867,0.156936451,10.335896639,-0.993873613
2.781584655,10.427327812,-0.395757752,2.866189786,0.144084430,0.600000000,0.600000000,10.590453478,0.181641604,10.264202146,-0.973157109
2.863395968,10.348470112,-0.373974904,2.877801640,0.139794004,0.600000000,0.600000000,10.504882934,0.205278951,10.192057291,-0.953228760
2.945207281,10.269368435,-0.353095301,2.889075779,0.135827694,0.600000000,0.600000000,10.419243316,0.227884492,10.119493554,-0.934075094
3.027018595,10.190039614,-0.333095935,2.900037600,0.132158245,0.600000000,0.600000000,10.333539271,0.249491267,10.046539956,-0.915683137
3.108829908,10.110499188,-0.313955398,2.910710334,0.128759922,0.600000000,0.600000000,10.247775067,0.270129641,9.973223309,-0.898040437
3.190641221,10.030761540,-0.295653762,2.921115267,0.125610885,0.600000000,0.600000000,10.161954640,0.289827554,9.899568441,-0.881135077
3.272452535,9.950840022,-0.278172468,2.931272006,0.122692013,0.600000000,0.600000000,10.076081637,0.308610744,9.825598406,-0.864955680
3.354263848,9.870747052,-0.261494240,2.941198628,0.119984908,0.600000000,0.600000000,9.990159454,0.326502936,9.751334650,-0.849491414
3.436075162,9.790494221,-0.245602984,2.950911835,0.117474384,0.600000000,0.600000000,9.904191260,0.343526021,9.676797181,-0.834731988
3.517886475,9.710092363,-0.230483719,2.960427116,0.115145992,0.600000000,0.600000000,9.818180023,0.359700200,9.602004703,-0.820667637
3.599697788,9.629551641,-0.216122501,2.969758880,0.112987746,0.600000000,0.600000000,9.732128540,0.375044124,9.526974741,-0.807289127
3.681509102,9.548881604,-0.202506361,2.978920538,0.110987216,0.600000000,0.600000000,9.646039444,0.389575013,9.451723765,-0.794587736
3.763320415,9.468091254,-0.189623242,2.987924629,0.109135586,0.600000000,0.600000000,9.559915232,0.403308759,9.376267276,-0.782555242
3.845131728,9.387189093,-0.177461950,2.996782903,0.107422266,0.600000000,0.600000000,9.473758272,0.416260020,9.300619914,-0.771183919
3.926943042,9.306183175,-0.166012101,3.005506401,0.105840613,0.600000000,0.600000000,9.387570823,0.428442312,9.224795527,-0.760466516
4.008754355,9.225081147,-0.155264086,3.014105524,0.104381561,0.600000000,0.600000000,9.301355038,0.439868079,9.148807256,-0.750396251
4.090565669,9.143890289,-0.145209021,3.022590087,0.103039879,0.600000000,0.600000000,9.215112982,0.450548755,9.072667598,-0.740966797
4.172376982,9.062617551,-0.135838717,3.030969402,0.101808480,0.600000000,0.600000000,9.128846636,0.460494839,8.996388465,-0.732172271
4.254188295,8.981269583,-0.127145646,3.039252312,0.100682997,0.600000000,0.600000000,9.042557911,0.469715931,8.919981254,-0.724007222
4.335999609,8.899852768,-0.119122914,3.047447254,0.099657857,0.600000000,0.600000000,8.956248651,0.478220792,8.843456885,-0.716466622
4.417810922,8.818373246,-0.111764234,3.055562276,0.098729156,0.600000000,0.600000000,8.869920638,0.486017387,8.766825853,-0.709545855
4.499622235,8.736836943,-0.105063900,3.063605097,0.097892695,0.600000000,0.600000000,8.783575607,0.493112912,8.690098279,-0.703240710
4.581433549,8.655249592,-0.099016765,3.071583161,0.097146005,0.600000000,0.600000000,8.697215241,0.499513839,8.613283943,-0.697547369
4.663244862,8.573616756,-0.093618231,3.079503636,0.096484775,0.600000000,0.600000000,8.610841185,0.505225940,8.536392326,-0.692462403
4.745056176,8.491943848,-0.088864222,3.087373458,0.095907669,0.600000000,0.600000000,8.524455048,0.510254315,8.459432648,-0.687982759
4.826867489,8.410236151,-0.084751176,3.095199377,0.095411461,0.600000000,0.600000000,8.438058406,0.514603413,8.382413897,-0.684105763
4.908678802,8.328498838,-0.081276028,3.102987972,0.094995164,0.600000000,0.600000000,8.351652807,0.518277050,8.305344869,-0.680829106
4.990490116,8.246736984,-0.078436205,3.110745683,0.094656435,0.600000000,0.600000000,8.265239778,0.521278432,8.228234189,-0.678150843
5.072301429,8.164955590,-0.076229613,3.118478812,0.094394199,0.600000000,0.600000000,8.178820829,0.523610161,8.151090349,-0.676069387
5.154112742,8.083159593,-0.074654630,3.126193583,0.094207625,0.600000000,0.600000000,8.092397452,0.525274251,8.073921734,-0.674583510
5.235924056,8.001353887,-0.073710100,3.133896157,0.094096007,0.600000000,0.600000000,8.005971127,0.526272134,7.996736645,-0.673692334
5.317735369,7.919543333,-0.073395333,-3.141592654,0.094059045,0.600000000,0.600000000,7.919543333,0.526604667,7.919543333,-0.673395333
5.399546682,7.837732779,-0.073710100,-3.133896157,0.094096007,0.600000000,0.600000000,7.833115538,0.526272134,7.842350021,-0.673692334
5.481357996,7.755927073,-0.074654630,-3.126193583,0.094207626,0.600000000,0.600000000,7.746689214,0.525274251,7.765164931,-0.674583510
5.563169309,7.674131077,-0.076229613,-3.118478812,0.094394197,0.600000000,0.600000000,7.660265837,0.523610161,7.687996316,-0.676069387
5.644980623,7.592349682,-0.078436205,-3.110745683,0.094656431,0.600000000,0.600000000,7.573846888,0.521278432,7.610852478,-0.678150843
5.726791936,7.510587828,-0.081276028,-3.102987972,0.094995175,0.600000000,0.600000000,7.487433860,0.518277050,7.533741798,-0.680829106
5.808603249,7.428850515,-0.084751176,-3.095199377,0.095411451,0.600000000,0.600000000,7.401028260,0.514603413,7.456672769,-0.684105764
5.890414563,7.347142818,-0.088864222,-3.087373458,0.095907673,0.600000000,0.600000000,7.314631618,0.510254315,7.379654019,-0.687982759
5.972225876,7.265469910,-0.093618232,-3.079503636,0.096484772,0.600000000,0.600000000,7.228245481,0.505225940,7.302694341,-0.692462403
6.054037189,7.183837074,-0.099016765,-3.071583161,0.097146004,0.600000000,0.600000000,7.141871425,0.499513839,7.225802723,-0.697547370
6.135848503,7.102249723,-0.105063900,-3.063605097,0.097892703,0.600000000,0.600000000,7.055511059,0.493112912,7.148988386,-0.703240710
6.217659816,7.020713420,-0.111764234,-3.055562276,0.098729154,0.600000000,0.600000000,6.969166028,0.486017386,7.072260812,-0.709545855
