s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
0.000000000,12.617729821,-2.025345333,1.571148897,0.964034695,1.821917289,0.064158917,0.457480179,0.742519821
0.085519116,12.614179918,-1.939893816,1.653346326,0.960858171,1.824926364,0.340716565,0.457298694,0.742701306
0.171038232,12.603637544,-1.855021253,1.734704536,0.944333936,1.840823673,0.198015412,0.456731193,0.743268807
0.256557347,12.586291630,-1.771274489,1.814077380,0.914255841,1.850000000,0.000000000,0.455832495,0.744167505
0.342076463,12.562465515,-1.689136814,1.890455234,0.874043463,1.850000000,0.000000000,0.454656676,0.745343324
0.427595579,12.532578963,-1.609005912,1.963132426,0.827428259,1.850000000,0.000000000,0.453258669,0.746741331
0.513114695,12.497107589,-1.531186686,2.031707776,0.777832074,1.850000000,0.000000000,0.451695683,0.748304317
0.598633810,12.456546700,-1.455895478,2.096053593,0.728255655,1.850000000,0.000000000,0.450027790,0.749972210
0.684152926,12.411382238,-1.383273092,2.156243295,0.680407851,1.850000000,0.000000000,0.448319395,0.751680605
0.769672042,12.362073761,-1.313398373,2.212534644,0.636905912,1.850000000,0.000000000,0.446636242,0.753363758
0.855191158,12.309037106,-1.246310587,2.265184087,0.595076987,1.850000000,0.000000000,0.445054280,0.754945720
0.940710274,12.252657844,-1.182005654,2.314751188,0.564715458,1.850000000,0.000000000,0.443633923,0.756366077
1.026229389,12.193242117,-1.120496796,2.363398247,0.573522008,1.850000000,0.000000000,0.442488948,0.757511052
1.111748505,12.130883470,-1.061973228,2.410059172,0.518211548,1.850000000,0.000000000,0.441988172,0.758011828
1.197267621,12.065994310,-1.006268611,2.449814259,0.411838917,1.850000000,0.000000000,0.442001971,0.757998029
1.282786737,11.999184715,-0.952883158,2.483838737,0.384066956,1.850000000,0.000000000,0.441999747,0.758000253
1.368305853,11.930658330,-0.901719917,2.515498775,0.356507922,1.850000000,0.000000000,0.442000008,0.757999992
1.453824968,11.860604496,-0.852669006,2.544940875,0.332166319,1.850000000,0.000000000,0.442000010,0.757999990
1.539344084,11.789185995,-0.805627283,2.572408576,0.310310358,1.850000000,0.000000000,0.441999993,0.758000007
1.624863200,11.716544611,-0.760496896,2.598102414,0.290663496,1.850000000,0.000000000,0.442000013,0.757999987
1.710382316,11.642804113,-0.717185703,2.622203948,0.273057434,1.850000000,0.000000000,0.441999956,0.758000044
1.795901431,11.568072551,-0.675607933,2.644867219,0.257015959,1.850000000,0.000000000,0.442000152,0.757999848
1.881420547,11.492445331,-0.635682489,2.666733535,0.254413513,1.850000000,0.000000000,0.441999543,0.758000457
1.966939663,11.415967501,-0.597411641,2.688018372,0.243413277,1.850000000,0.000000000,0.442083977,0.757916023
2.052458779,11.338709711,-0.560740829,2.707350646,0.208738503,1.850000000,0.000000000,0.442267823,0.757732177
2.137977895,11.260809687,-0.525454831,2.724797795,0.199316743,1.850000000,0.000000000,0.442383403,0.757616597
2.223497010,11.182319579,-0.491501648,2.741484448,0.190949861,1.850000000,0.000000000,0.442439787,0.757560213
2.309016126,11.103285545,-0.458834599,2.757494850,0.183498863,1.850000000,0.000000000,0.442446736,0.757553264
2.394535242,11.023748653,-0.427411710,2.772900300,0.176799935,1.850000000,0.000000000,0.442414442,0.757585558
2.480054358,10.943745787,-0.397194889,2.787763195,0.170808505,1.850000000,0.000000000,0.442352987,0.757647013
2.565573474,10.863310100,-0.368149830,2.802141544,0.165466573,1.850000000,0.000000000,0.442272602,0.757727398
2.651092589,10.782471498,-0.340245805,2.816082009,0.160566555,1.850000000,0.000000000,0.442183758,0.757816242
2.736611705,10.701257366,-0.313454362,2.829649759,0.156749079,1.850000000,0.000000000,0.442096086,0.757903914
2.822130821,10.619691437,-0.287753940,2.843021935,0.155992145,1.850000000,0.000000000,0.442023467,0.757976533
2.907649937,10.537789919,-0.263143840,2.856026566,0.148152593,1.850000000,0.000000000,0.441998842,0.758001158
2.993169052,10.455583181,-0.239573334,2.868340408,0.139835316,1.850000000,0.000000000,0.442000343,0.757999657
3.078688168,10.373100478,-0.216987540,2.880137821,0.136073931,1.850000000,0.000000000,0.441999873,0.758000127
3.164207284,10.290360537,-0.195363070,2.891600796,0.132013314,1.850000000,0.000000000,0.442000156,0.757999844
3.249726400,10.207381740,-0.174674037,2.902767023,0.129133450,1.850000000,0.000000000,0.441999457,0.758000543
3.335245516,10.124179548,-0.154902592,2.913777505,0.128370677,1.850000000,0.000000000,0.442002582,0.757997418
3.420764631,10.040765327,-0.136045703,2.924582308,0.124322976,1.850000000,0.000000000,0.442027914,0.757972086
3.506283747,9.957155323,-0.118076698,2.934987135,0.119015936,1.850000000,0.000000000,0.442068043,0.757931957
3.591802863,9.873366783,-0.100959587,2.945045047,0.116209278,1.850000000,0.000000000,0.442104722,0.757895278
3.677321979,9.789412265,-0.084675989,2.954853627,0.113184543,1.850000000,0.000000000,0.442136486,0.757863514
3.762841094,9.705304071,-0.069205758,2.964424157,0.110641784,1.850000000,0.000000000,0.442158877,0.757841123
