side,index,s_m,x_m,y_m,width_from_center_m
left,0,0.000000000,11.875210000,-2.025345333,0.600000000
left,1,0.017034644,11.875160948,-2.020529649,0.600000000
left,2,0.034075056,11.875013418,-2.015701933,0.600000000
left,3,0.051126994,11.874766288,-2.010850227,0.600000000
left,4,0.068196204,11.874417700,-2.005962716,0.600000000
left,5,0.085288406,11.873965077,-2.001027796,0.600000000
left,6,0.102409294,11.873405149,-1.996034145,0.600000000
left,7,0.119564521,11.872733975,-1.990970784,0.600000000
left,8,0.136759698,11.871946989,-1.985827135,0.600000000
left,9,0.154000383,11.871039030,-1.980593077,0.600000000
left,10,0.171292078,11.870004393,-1.975258996,0.600000000
left,11,0.188640221,11.868836872,-1.969815826,0.600000000
left,12,0.206050179,11.867529815,-1.964255088,0.600000000
left,13,0.223527243,11.866076175,-1.958568919,0.600000000
left,14,0.241076624,11.864468564,-1.952750101,0.600000000
left,15,0.258703447,11.862699308,-1.946792073,0.600000000
left,16,0.276412746,11.860760502,-1.940688951,0.600000000
left,17,0.294209460,11.858644063,-1.934435527,0.600000000
left,18,0.312098429,11.856341788,-1.928027274,0.600000000
left,19,0.330084391,11.853845396,-1.921460340,0.600000000
left,20,0.348171978,11.851146586,-1.914731538,0.600000000
left,21,0.366365715,11.848237077,-1.907838334,0.600000000
left,22,0.384670015,11.845108654,-1.900778827,0.600000000
left,23,0.403089179,11.841753208,-1.893551727,0.600000000
left,24,0.421627391,11.838162770,-1.886156334,0.600000000
left,25,0.440288723,11.834329547,-1.878592507,0.600000000
left,26,0.459077126,11.830245953,-1.870860639,0.600000000
left,27,0.477996436,11.825904628,-1.862961623,0.600000000
left,28,0.497050368,11.821298470,-1.854896825,0.600000000
left,29,0.516242521,11.816420646,-1.846668046,0.600000000
left,30,0.535576373,11.811264612,-1.838277498,0.600000000
left,31,0.555055284,11.805824127,-1.829727761,0.600000000
left,32,0.574682496,11.800093259,-1.821021760,0.600000000
left,33,0.594461133,11.794066395,-1.812162732,0.600000000
left,34,0.614394204,11.787738245,-1.803154189,0.600000000
left,35,0.634484598,11.781103844,-1.793999897,0.600000000
left,36,0.654735095,11.774158554,-1.784703843,0.600000000
left,37,0.675148356,11.766898060,-1.775270207,0.600000000
left,38,0.695726933,11.759318367,-1.765703338,0.600000000
left,39,0.716473267,11.751415800,-1.756007732,0.600000000
left,40,0.737389689,11.743186990,-1.746188003,0.600000000
left,41,0.758478422,11.734628876,-1.736248867,0.600000000
left,42,0.779741584,11.725738690,-1.726195117,0.600000000
left,43,0.801181190,11.716513953,-1.716031612,0.600000000
left,44,0.822799150,11.706952463,-1.705763251,0.600000000
left,45,0.844597275,11.697052288,-1.695394965,0.600000000
left,46,0.866577276,11.686811754,-1.684931697,0.600000000
left,47,0.888740770,11.676229437,-1.674378392,0.600000000
left,48,0.911089275,11.665304151,-1.663739986,0.600000000
left,49,0.933624219,11.654034937,-1.653021392,0.600000000
left,50,0.956346939,11.642421056,-1.642227495,0.600000000
left,51,0.979258679,11.630461977,-1.631363138,0.600000000
left,52,1.002360600,11.618157366,-1.620433122,0.600000000
left,53,1.025653774,11.605507077,-1.609442190,0.600000000
left,54,1.049139192,11.592511145,-1.598395031,0.600000000
left,55,1.072817760,11.579169773,-1.587296269,0.600000000
left,56,1.096690307,11.565483324,-1.576150460,0.600000000
left,57,1.120757581,11.551452315,-1.564962088,0.600000000
left,58,1.145020255,11.537077404,-1.553735566,0.600000000
left,59,1.169478927,11.522359387,-1.542475227,0.600000000
left,60,1.194134121,11.507299186,-1.531185328,0.600000000
left,61,1.218986289,11.491897846,-1.519870046,0.600000000
left,62,1.244035815,11.476156524,-1.508533476,0.600000000
left,63,1.269283013,11.460076484,-1.497179632,0.600000000
left,64,1.294728130,11.443659092,-1.485812448,0.600000000
left,65,1.320371349,11.426905809,-1.474435773,0.600000000
left,66,1.346212787,11.409818184,-1.463053377,0.600000000
left,67,1.372252502,11.392397850,-1.451668947,0.600000000
left,68,1.398490488,11.374646520,-1.440286090,0.600000000
left,69,1.424926680,11.356565981,-1.428908334,0.600000000
left,70,1.451560955,11.338158088,-1.417539126,0.600000000
left,71,1.478393134,11.319424764,-1.406181837,0.600000000
left,72,1.505422982,11.300367991,-1.394839762,0.600000000
left,73,1.532650208,11.280989812,-1.383516117,0.600000000
left,74,1.560074469,11.261292320,-1.372214047,0.600000000
left,75,1.587695370,11.241277663,-1.360936624,0.600000000
left,76,1.615512465,11.220948035,-1.349686848,0.600000000
left,77,1.643525258,11.200305677,-1.338467649,0.600000000
left,78,1.671733205,11.179352870,-1.327281889,0.600000000
left,79,1.700135714,11.158091938,-1.316132364,0.600000000
left,80,1.728732146,11.136525240,-1.305021804,0.600000000
left,81,1.757521816,11.114655172,-1.293952875,0.600000000
left,82,1.786503997,11.092484164,-1.282928181,0.600000000
left,83,1.815677915,11.070014677,-1.271950266,0.600000000
left,84,1.845042755,11.047249202,-1.261021613,0.600000000
left,85,1.874597661,11.024190258,-1.250144650,0.600000000
left,86,1.904341734,11.000840393,-1.239321746,0.600000000
left,87,1.934274037,10.977202176,-1.228555218,0.600000000
left,88,1.964393592,10.953278205,-1.217847326,0.600000000
left,89,1.994699384,10.929071097,-1.207200282,0.600000000
left,90,2.025190360,10.904583494,-1.196616244,0.600000000
left,91,2.055865430,10.879818055,-1.186097323,0.600000000
left,92,2.086723467,10.854777462,-1.175645580,0.600000000
left,93,2.117763311,10.829464415,-1.165263031,0.600000000
left,94,2.148983765,10.803881630,-1.154951644,0.600000000
left,95,2.180383600,10.778031842,-1.144713346,0.600000000
left,96,2.211961552,10.751917803,-1.134550016,0.600000000
left,97,2.243716326,10.725542279,-1.124463496,0.600000000
left,98,2.275646594,10.698908053,-1.114455584,0.600000000
left,99,2.307750998,10.672017920,-1.104528037,0.600000000
left,100,2.340028147,10.644874691,-1.094682576,0.600000000
left,101,2.372476623,10.617481190,-1.084920881,0.600000000
left,102,2.405094977,10.589840254,-1.075244597,0.600000000
left,103,2.437881731,10.561954734,-1.065655331,0.600000000
left,104,2.470835379,10.533827490,-1.056154656,0.600000000
left,105,2.503954388,10.505461396,-1.046744111,0.600000000
left,106,2.537237196,10.476859337,-1.037425199,0.600000000
left,107,2.570682217,10.448024210,-1.028199392,0.600000000
left,108,2.604287837,10.418958922,-1.019068129,0.600000000
left,109,2.638052417,10.389666389,-1.010032818,0.600000000
left,110,2.671974293,10.360149541,-1.001094838,0.600000000
left,111,2.706051776,10.330411313,-0.992255534,0.600000000
left,112,2.740283154,10.300454655,-0.983516224,0.600000000
left,113,2.774666692,10.270282522,-0.974878199,0.600000000
left,114,2.809200628,10.239897882,-0.966342718,0.600000000
left,115,2.843883182,10.209303710,-0.957911016,0.600000000
left,116,2.878712550,10.178502990,-0.949584298,0.600000000
left,117,2.913686905,10.147498714,-0.941363745,0.600000000
left,118,2.948804401,10.116293885,-0.933250511,0.600000000
left,119,2.984063170,10.084891513,-0.925245724,0.600000000
left,120,3.019461323,10.053294616,-0.917350488,0.600000000
left,121,3.054996952,10.021506220,-0.909565882,0.600000000
left,122,3.090668129,9.989529359,-0.901892960,0.600000000
left,123,3.126472907,9.957367075,-0.894332754,0.600000000
left,124,3.162409321,9.925022418,-0.886886273,0.600000000
left,125,3.198475385,9.892498444,-0.879554500,0.600000000
left,126,3.234669099,9.859798219,-0.872338399,0.600000000
left,127,3.270988442,9.826924814,-0.865238910,0.600000000
left,128,3.307431378,9.793881308,-0.858256952,0.600000000
left,129,3.343995852,9.760670786,-0.851393421,0.600000000
left,130,3.380679795,9.727296341,-0.844649194,0.600000000
left,131,3.417481120,9.693761072,-0.838025126,0.600000000
left,132,3.454397726,9.660068086,-0.831522051,0.600000000
left,133,3.491427495,9.626220495,-0.825140782,0.600000000
left,134,3.528568296,9.592221417,-0.818882115,0.600000000
left,135,3.565817981,9.558073977,-0.812746823,0.600000000
left,136,3.603174389,9.523781308,-0.806735661,0.600000000
left,137,3.640635347,9.489346546,-0.800849364,0.600000000
left,138,3.678198664,9.454772834,-0.795088649,0.600000000
left,139,3.715862140,9.420063320,-0.789454213,0.600000000
left,140,3.753623560,9.385221161,-0.783946733,0.600000000
left,141,3.791480697,9.350249515,-0.778566871,0.600000000
left,142,3.829431312,9.315151549,-0.773315269,0.600000000
left,143,3.867473153,9.279930433,-0.768192549,0.600000000
left,144,3.905603958,9.244589343,-0.763199317,0.600000000
left,145,3.943821453,9.209131460,-0.758336162,0.600000000
left,146,3.982123353,9.173559970,-0.753603653,0.600000000
left,147,4.020507363,9.137878065,-0.749002342,0.600000000
left,148,4.058971177,9.102088939,-0.744532766,0.600000000
left,149,4.097512480,9.066195793,-0.740195443,0.600000000
left,150,4.136128948,9.030201830,-0.735990872,0.600000000
left,151,4.174818244,8.994110261,-0.731919539,0.600000000
left,152,4.213578027,8.957924298,-0.727981910,0.600000000
left,153,4.252405945,8.921647158,-0.724178435,0.600000000
left,154,4.291299636,8.885282063,-0.720509548,0.600000000
left,155,4.330256733,8.848832236,-0.716975667,0.600000000
left,156,4.369274860,8.812300907,-0.713577191,0.600000000
left,157,4.408351633,8.775691307,-0.710314505,0.600000000
left,158,4.447484662,8.739006672,-0.707187977,0.600000000
left,159,4.486671549,8.702250241,-0.704197959,0.600000000
left,160,4.525909890,8.665425255,-0.701344786,0.600000000
left,161,4.565197276,8.628534960,-0.698628778,0.600000000
left,162,4.604531290,8.591582602,-0.696050239,0.600000000
left,163,4.643909511,8.554571433,-0.693609455,0.600000000
left,164,4.683329512,8.517504705,-0.691306699,0.600000000
left,165,4.722788862,8.480385674,-0.689142227,0.600000000
left,166,4.762285123,8.443217597,-0.687116278,0.600000000
left,167,4.801815854,8.406003734,-0.685229078,0.600000000
left,168,4.841378611,8.368747348,-0.683480835,0.600000000
left,169,4.880970945,8.331451701,-0.681871742,0.600000000
left,170,4.920590403,8.294120061,-0.680401977,0.600000000
left,171,4.960234530,8.256755693,-0.679071702,0.600000000
left,172,4.999900867,8.219361866,-0.677881063,0.600000000
left,173,5.039586952,8.181941851,-0.676830191,0.600000000
left,174,5.079290324,8.144498917,-0.675919202,0.600000000
left,175,5.119008515,8.107036338,-0.675148196,0.600000000
left,176,5.158739059,8.069557386,-0.674517258,0.600000000
left,177,5.198479487,8.032065336,-0.674026456,0.600000000
left,178,5.238227328,7.994563460,-0.673675845,0.600000000
left,179,5.277980113,7.957055034,-0.673465463,0.600000000
left,180,5.317735369,7.919543333,-0.673395333,0.600000000
left,181,5.357490626,7.882031632,-0.673465463,0.600000000
left,182,5.397243410,7.844523207,-0.673675845,0.600000000
left,183,5.436991252,7.807021331,-0.674026456,0.600000000
left,184,5.476731679,7.769529280,-0.674517258,0.600000000
left,185,5.516462223,7.732050328,-0.675148196,0.600000000
left,186,5.556180415,7.694587749,-0.675919202,0.600000000
left,187,5.595883786,7.657144816,-0.676830191,0.600000000
left,188,5.635569872,7.619724801,-0.677881063,0.600000000
left,189,5.675236209,7.582330974,-0.679071702,0.600000000
left,190,5.714880335,7.544966606,-0.680401977,0.600000000
left,191,5.754499793,7.507634965,-0.681871742,0.600000000
