side,index,s_m,x_m,y_m,width_from_center_m
right,0,0.000000000,13.075210000,-2.025345333,0.600000000
right,1,0.017034644,13.074912120,-1.996093496,0.600000000
right,2,0.034075056,13.074018882,-1.966856284,0.600000000
right,3,0.051126994,13.072531486,-1.937648251,0.600000000
right,4,0.068196204,13.070451922,-1.908483806,0.600000000
right,5,0.085288406,13.067782952,-1.879377144,0.600000000
right,6,0.102409294,13.064528086,-1.850342182,0.600000000
right,7,0.119564521,13.060691551,-1.821392489,0.600000000
right,8,0.136759698,13.056278261,-1.792541234,0.600000000
right,9,0.154000383,13.051293770,-1.763801126,0.600000000
right,10,0.171292078,13.045744233,-1.735184366,0.600000000
right,11,0.188640221,13.039636357,-1.706702607,0.600000000
right,12,0.206050179,13.032977348,-1.678366911,0.600000000
right,13,0.223527243,13.025774859,-1.650187721,0.600000000
right,14,0.241076624,13.018036939,-1.622174836,0.600000000
right,15,0.258703447,13.009771972,-1.594337392,0.600000000
right,16,0.276412746,13.000988629,-1.566683847,0.600000000
right,17,0.294209460,12.991695806,-1.539221980,0.600000000
right,18,0.312098429,12.981902579,-1.511958885,0.600000000
right,19,0.330084391,12.971618148,-1.484900979,0.600000000
right,20,0.348171978,12.960851787,-1.458054008,0.600000000
right,21,0.366365715,12.949612804,-1.431423065,0.600000000
right,22,0.384670015,12.937910490,-1.405012603,0.600000000
right,23,0.403089179,12.925754084,-1.378826461,0.600000000
right,24,0.421627391,12.913152736,-1.352867883,0.600000000
right,25,0.440288723,12.900115472,-1.327139551,0.600000000
right,26,0.459077126,12.886651164,-1.301643607,0.600000000
right,27,0.477996436,12.872768506,-1.276381688,0.600000000
right,28,0.497050368,12.858475991,-1.251354954,0.600000000
right,29,0.516242521,12.843781888,-1.226564122,0.600000000
right,30,0.535576373,12.828694233,-1.202009499,0.600000000
right,31,0.555055284,12.813220809,-1.177691010,0.600000000
right,32,0.574682496,12.797369140,-1.153608233,0.600000000
right,33,0.594461133,12.781146483,-1.129760431,0.600000000
right,34,0.614394204,12.764559822,-1.106146580,0.600000000
right,35,0.634484598,12.747615866,-1.082765399,0.600000000
right,36,0.654735095,12.730321051,-1.059615380,0.600000000
right,37,0.675148356,12.712681537,-1.036694812,0.600000000
right,38,0.695726933,12.694703214,-1.014001810,0.600000000
right,39,0.716473267,12.676391706,-0.991534337,0.600000000
right,40,0.737389689,12.657752375,-0.969290226,0.600000000
right,41,0.758478422,12.638790331,-0.947267204,0.600000000
right,42,0.779741584,12.619510436,-0.925462911,0.600000000
right,43,0.801181190,12.599917315,-0.903874916,0.600000000
