index,s_m,center_x_m,center_y_m,w_left_m,w_right_m,left_boundary_x_m,left_boundary_y_m,right_boundary_x_m,right_boundary_y_m
0,0.000000000,12.475210000,-2.025345333,0.600000000,0.600000000,11.875210000,-2.025345333,13.075210000,-2.025345333
1,0.017034644,12.475036534,-2.008311572,0.600000000,0.600000000,11.875160948,-2.020529649,13.074912120,-1.996093496
2,0.034075056,12.474516150,-1.991279109,0.600000000,0.600000000,11.875013418,-2.015701933,13.074018882,-1.966856284
3,0.051126994,12.473648887,-1.974249239,0.600000000,0.600000000,11.874766288,-2.010850227,13.072531486,-1.937648251
4,0.068196204,12.472434811,-1.957223261,0.600000000,0.600000000,11.874417700,-2.005962716,13.070451922,-1.908483806
5,0.085288406,12.470874015,-1.940202470,0.600000000,0.600000000,11.873965077,-2.001027796,13.067782952,-1.879377144
6,0.102409294,12.468966617,-1.923188164,0.600000000,0.600000000,11.873405149,-1.996034145,13.064528086,-1.850342182
7,0.119564521,12.466712763,-1.906181637,0.600000000,0.600000000,11.872733975,-1.990970784,13.060691551,-1.821392489
8,0.136759698,12.464112625,-1.889184184,0.600000000,0.600000000,11.871946989,-1.985827135,13.056278261,-1.792541234
9,0.154000383,12.461166400,-1.872197101,0.600000000,0.600000000,11.871039030,-1.980593077,13.051293770,-1.763801126
10,0.171292078,12.457874313,-1.855221681,0.600000000,0.600000000,11.870004393,-1.975258996,13.045744233,-1.735184366
11,0.188640221,12.454236614,-1.838259217,0.600000000,0.600000000,11.868836872,-1.969815826,13.039636357,-1.706702607
12,0.206050179,12.450253581,-1.821310999,0.600000000,0.600000000,11.867529815,-1.964255088,13.032977348,-1.678366911
13,0.223527243,12.445925517,-1.804378320,0.600000000,0.600000000,11.866076175,-1.958568919,13.025774859,-1.650187721
14,0.241076624,12.441252751,-1.787462468,0.600000000,0.600000000,11.864468564,-1.952750101,13.018036939,-1.622174836
15,0.258703447,12.436235640,-1.770564732,0.600000000,0.600000000,11.862699308,-1.946792073,13.009771972,-1.594337392
16,0.276412746,12.430874565,-1.753686399,0.600000000,0.600000000,11.860760502,-1.940688951,13.000988629,-1.566683847
17,0.294209460,12.425169935,-1.736828753,0.600000000,0.600000000,11.858644063,-1.934435527,12.991695806,-1.539221980
18,0.312098429,12.419122184,-1.719993079,0.600000000,0.600000000,11.856341788,-1.928027274,12.981902579,-1.511958885
19,0.330084391,12.412731772,-1.703180659,0.600000000,0.600000000,11.853845396,-1.921460340,12.971618148,-1.484900979
20,0.348171978,12.405999187,-1.686392773,0.600000000,0.600000000,11.851146586,-1.914731538,12.960851787,-1.458054008
21,0.366365715,12.398924941,-1.669630699,0.600000000,0.600000000,11.848237077,-1.907838334,12.949612804,-1.431423065
22,0.384670015,12.391509572,-1.652895715,0.600000000,0.600000000,11.845108654,-1.900778827,12.937910490,-1.405012603
23,0.403089179,12.383753646,-1.636189094,0.600000000,0.600000000,11.841753208,-1.893551727,12.925754084,-1.378826461
24,0.421627391,12.375657753,-1.619512108,0.600000000,0.600000000,11.838162770,-1.886156334,12.913152736,-1.352867883
25,0.440288723,12.367222510,-1.602866029,0.600000000,0.600000000,11.834329547,-1.878592507,12.900115472,-1.327139551
26,0.459077126,12.358448558,-1.586252123,0.600000000,0.600000000,11.830245953,-1.870860639,12.886651164,-1.301643607
27,0.477996436,12.349336567,-1.569671655,0.600000000,0.600000000,11.825904628,-1.862961623,12.872768506,-1.276381688
28,0.497050368,12.339887230,-1.553125889,0.600000000,0.600000000,11.821298470,-1.854896825,12.858475991,-1.251354954
29,0.516242521,12.330101267,-1.536616084,0.600000000,0.600000000,11.816420646,-1.846668046,12.843781888,-1.226564122
30,0.535576373,12.319979423,-1.520143498,0.600000000,0.600000000,11.811264612,-1.838277498,12.828694233,-1.202009499
31,0.555055284,12.309522468,-1.503709385,0.600000000,0.600000000,11.805824127,-1.829727761,12.813220809,-1.177691010
32,0.574682496,12.298731199,-1.487314997,0.600000000,0.600000000,11.800093259,-1.821021760,12.797369140,-1.153608233
33,0.594461133,12.287606439,-1.470961581,0.600000000,0.600000000,11.794066395,-1.812162732,12.781146483,-1.129760431
34,0.614394204,12.276149033,-1.454650384,0.600000000,0.600000000,11.787738245,-1.803154189,12.764559822,-1.106146580
35,0.634484598,12.264359855,-1.438382648,0.600000000,0.600000000,11.781103844,-1.793999897,12.747615866,-1.082765399
36,0.654735095,12.252239803,-1.422159611,0.600000000,0.600000000,11.774158554,-1.784703843,12.730321051,-1.059615380
37,0.675148356,12.239789799,-1.405982509,0.600000000,0.600000000,11.766898060,-1.775270207,12.712681537,-1.036694812
38,0.695726933,12.227010791,-1.389852574,0.600000000,0.600000000,11.759318367,-1.765703338,12.694703214,-1.014001810
39,0.716473267,12.213903753,-1.373771034,0.600000000,0.600000000,11.751415800,-1.756007732,12.676391706,-0.991534337
40,0.737389689,12.200469683,-1.357739115,0.600000000,0.600000000,11.743186990,-1.746188003,12.657752375,-0.969290226
41,0.758478422,12.186709603,-1.341758035,0.600000000,0.600000000,11.734628876,-1.736248867,12.638790331,-0.947267204
42,0.779741584,12.172624563,-1.325829014,0.600000000,0.600000000,11.725738690,-1.726195117,12.619510436,-0.925462911
43,0.801181190,12.158215634,-1.309953264,0.600000000,0.600000000,11.716513953,-1.716031612,12.599917315,-0.903874916
44,0.822799150,12.143483913,-1.294131993,0.600000000,0.600000000,11.706952463,-1.705763251,12.580015364,-0.882500735
45,0.844597275,12.128430524,-1.278366408,0.600000000,0.600000000,11.697052288,-1.695394965,12.559808760,-0.861337850
46,0.866577276,12.113056611,-1.262657707,0.600000000,0.600000000,11.686811754,-1.684931697,12.539301467,-0.840383718
47,0.888740770,12.097363346,-1.247007088,0.600000000,0.600000000,11.676229437,-1.674378392,12.518497254,-0.819635785
48,0.911089275,12.081351923,-1.231415743,0.600000000,0.600000000,11.665304151,-1.663739986,12.497399696,-0.799091500
49,0.933624219,12.065023563,-1.215884858,0.600000000,0.600000000,11.654034937,-1.653021392,12.476012189,-0.778748325
50,0.956346939,12.048379508,-1.200415617,0.600000000,0.600000000,11.642421056,-1.642227495,12.454337961,-0.758603740
51,0.979258679,12.031421027,-1.185009198,0.600000000,0.600000000,11.630461977,-1.631363138,12.432380077,-0.738655258
52,1.002360600,12.014149410,-1.169666773,0.600000000,0.600000000,11.618157366,-1.620433122,12.410141455,-0.718900425
53,1.025653774,11.996565973,-1.154389512,0.600000000,0.600000000,11.605507077,-1.609442190,12.387624869,-0.699336834
54,1.049139192,11.978672055,-1.139178577,0.600000000,0.600000000,11.592511145,-1.598395031,12.364832965,-0.679962123
55,1.072817760,11.960469019,-1.124035128,0.600000000,0.600000000,11.579169773,-1.587296269,12.341768265,-0.660773986
56,1.096690307,11.941958251,-1.108960316,0.600000000,0.600000000,11.565483324,-1.576150460,12.318433177,-0.641770173
