s_m,x_m,y_m,psi_rad,kappa_radpm,w_tr_right_m,w_tr_left_m,right_boundary_x_m,right_boundary_y_m,left_boundary_x_m,left_boundary_y_m
0.000000000,11.146573636,-3.548076815,0.014887920,0.354687507,0.600000000,0.600000000,11.149121156,-4.148071407,11.144026117,-2.948082223
0.083988321,11.230513312,-3.545576355,0.059564165,0.709866930,0.600000000,0.600000000,11.266222980,-4.144512426,11.194803643,-2.946640282
0.167976643,11.314155266,-3.538083134,0.119129378,0.709791500,0.600000000,0.600000000,11.385463316,-4.133830699,11.242847216,-2.942335568
0.251964964,11.397202835,-3.525624261,0.178692489,0.709816590,0.600000000,0.600000000,11.503848656,-4.116070421,11.290557014,-2.935178100
0.335953285,11.479361462,-3.508243748,0.238256652,0.709816715,0.600000000,0.600000000,11.620966793,-4.091294287,11.337756131,-2.925193211
0.419941606,11.560339744,-3.486003242,0.297820814,0.709816596,0.600000000,0.600000000,11.736402334,-4.059590171,11.384277153,-2.912416314
0.503929928,11.639850463,-3.458981626,0.357384974,0.709816634,0.600000000,0.600000000,11.849745848,-4.021070523,11.429955079,-2.896892730
0.587918249,11.717611609,-3.427274742,0.416949141,0.709816796,0.600000000,0.600000000,11.960595321,-3.975871967,11.474627896,-2.878677516
0.671906570,11.793347373,-3.390995047,0.476513307,0.709816602,0.600000000,0.600000000,12.068557589,-3.924154814,11.518137157,-2.857835279
0.755894892,11.866789134,-3.350271221,0.536077467,0.709816639,0.600000000,0.600000000,12.173249726,-3.866102497,11.560328542,-2.834439945
0.839883213,11.937676405,-3.305247705,0.595641630,0.709816668,0.600000000,0.600000000,12.274300408,-3.801920919,11.601052403,-2.808574492
0.923871534,12.005757761,-3.256084189,0.655205791,0.709816606,0.600000000,0.600000000,12.371351222,-3.731837720,11.640164301,-2.780330659
1.007859856,12.070791728,-3.202955051,0.714769953,0.709816703,0.600000000,0.600000000,12.464057945,-3.656101476,11.677525511,-2.749808626
1.091848177,12.132547640,-3.146048728,0.774334118,0.709816668,0.600000000,0.600000000,12.552091761,-3.574980809,11.713003520,-2.717116646
1.175836498,12.190806460,-3.085567060,0.833898284,0.709816716,0.600000000,0.600000000,12.635140428,-3.488763445,11.746472492,-2.682370674
1.259824819,12.245361552,-3.021724565,0.893462446,0.709816575,0.600000000,0.600000000,12.712909386,-3.397755179,11.777813718,-2.645693950
1.343813141,12.296019419,-2.954747682,0.953026607,0.709816708,0.600000000,0.600000000,12.785122800,-3.302278806,11.806916037,-2.607216559
1.427801462,12.342600384,-2.884873968,1.012590771,0.709816628,0.600000000,0.600000000,12.851524542,-3.202672963,11.833676227,-2.567074973
1.511789783,12.384939233,-2.812351254,1.072154930,0.709816598,0.600000000,0.600000000,12.911879095,-3.099290938,11.857999372,-2.525411570
1.595778105,12.422885798,-2.737436766,1.131719095,0.709816771,0.600000000,0.600000000,12.965972391,-2.992499410,11.879799204,-2.482374122
1.679766426,12.456305485,-2.660396213,1.191283263,0.709816671,0.600000000,0.600000000,13.013612568,-2.882677151,11.898998401,-2.438115277
1.763754747,12.485079762,-2.581502847,1.250847426,0.709816633,0.600000000,0.600000000,13.054630657,-2.770213682,11.915528869,-2.392792012
1.847743068,12.509106572,-2.501036490,1.310411584,0.709816585,0.600000000,0.600000000,13.088881170,-2.655507896,11.929331974,-2.346565084
1.931731390,12.528300695,-2.419282543,1.369975749,0.709816768,0.600000000,0.600000000,13.116242629,-2.538966633,11.940358761,-2.299598451
2.015719711,12.542594051,-2.336530973,1.429539914,0.709816602,0.600000000,0.600000000,13.136617986,-2.421003249,11.948570117,-2.252058697
2.099708032,12.551935946,-2.253075289,1.489104076,0.709816690,0.600000000,0.600000000,13.149934972,-2.302036140,11.953936920,-2.204114438
2.183696354,12.556293244,-2.169211493,1.548668238,0.709816629,0.600000000,0.600000000,13.156146354,-2.182487263,11.956440134,-2.155935724
2.267684675,12.555650492,-2.085237038,1.608232400,0.709816650,0.600000000,0.600000000,13.155230103,-2.062780640,11.956070880,-2.107693437
2.351672996,12.550009968,-2.001449768,1.667796561,0.709816638,0.600000000,0.600000000,13.147189467,-1.943340851,11.952830470,-2.059558685
2.435661318,12.539391680,-1.918146861,1.727360728,0.709816760,0.600000000,0.600000000,13.132052965,-1.824591528,11.946730394,-2.011702194
2.519649639,12.523833287,-1.835623782,1.786924892,0.709816599,0.600000000,0.600000000,13.109874286,-1.706953859,11.937792290,-1.964293704
2.603637960,12.503389974,-1.754173225,1.846489053,0.709816665,0.600000000,0.600000000,13.080732090,-1.590845083,11.926047860,-1.917501366
2.687626281,12.478134250,-1.674084083,1.906053214,0.709816619,0.600000000,0.600000000,13.044729743,-1.476677023,11.911538758,-1.871491144
2.771614603,12.448155693,-1.595640419,1.965617375,0.709816640,0.600000000,0.600000000,13.001994939,-1.364854610,11.894316447,-1.826426227
2.855602924,12.413560631,-1.519120461,2.025181542,0.709816789,0.600000000,0.600000000,12.952679251,-1.255774465,11.874442011,-1.782466458
2.939591245,12.374471768,-1.444795613,2.084745706,0.709816557,0.600000000,0.600000000,12.896957594,-1.149823476,11.851985942,-1.739767751
3.023579567,12.331027747,-1.372929493,2.144309866,0.709816678,0.600000000,0.600000000,12.835027604,-1.047377434,11.827027889,-1.698481553
3.107567888,12.283382655,-1.303776999,2.203874033,0.709816750,0.600000000,0.600000000,12.767108937,-0.948799700,11.799656372,-1.658754299
3.191556209,12.231705482,-1.237583404,2.263438194,0.709816519,0.600000000,0.600000000,12.693442490,-0.854439911,11.769968476,-1.620726896
3.275544530,12.176179520,-1.174583484,2.323002353,0.709816701,0.600000000,0.600000000,12.614289544,-0.764632747,11.738069496,-1.584534221
