s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
0.000000000,11.148901273,-3.704409278,0.028220676,0.342472599,1.850000000,0.000000000,0.443650210,0.756349790
0.086365308,11.235188155,-3.700696061,0.070851102,0.645215636,1.850000000,0.000000000,0.444859840,0.755140160
0.172730617,11.321133537,-3.692185972,0.126818264,0.651651064,1.850000000,0.000000000,0.446126217,0.753873783
0.259095925,11.406467579,-3.678857500,0.182638818,0.641841140,1.850000000,0.000000000,0.447451467,0.752548533
0.345461233,11.490930239,-3.660825024,0.238017265,0.641360935,1.850000000,0.000000000,0.448803435,0.751196565
0.431826542,11.574267088,-3.638146614,0.293167595,0.636572223,1.850000000,0.000000000,0.450152314,0.749847686
0.518191850,11.656232127,-3.610926048,0.347973943,0.633368918,1.850000000,0.000000000,0.451466951,0.748533049
0.604557158,11.736587553,-3.579267435,0.402478256,0.629570709,1.850000000,0.000000000,0.452716452,0.747283548
0.690922467,11.815104750,-3.543291186,0.456660225,0.625889136,1.850000000,0.000000000,0.453869598,0.746130402
0.777287775,11.891564785,-3.503127735,0.510519689,0.622090033,1.850000000,0.000000000,0.454895074,0.745104926
0.863653083,11.965759016,-3.458918589,0.564049028,0.618230893,1.850000000,0.000000000,0.455761430,0.744238570
0.950018392,12.037489599,-3.410815043,0.617241951,0.614286246,1.850000000,0.000000000,0.456437150,0.743562850
1.036383700,12.106569957,-3.358977538,0.670090942,0.610252794,1.850000000,0.000000000,0.456890699,0.743109301
1.122749008,12.172825200,-3.303574814,0.722588285,0.606129389,1.850000000,0.000000000,0.457090581,0.742909419
1.209114317,12.236092438,-3.244783053,0.774725708,0.601904085,1.850000000,0.000000000,0.457005451,0.742994549
1.295479625,12.296221128,-3.182785046,0.826494246,0.597572836,1.850000000,0.000000000,0.456604139,0.743395861
1.381844933,12.353073293,-3.117769328,0.877889449,0.593245183,1.850000000,0.000000000,0.455855737,0.744144263
1.468210242,12.406522956,-3.049928870,0.928913160,0.588954134,1.850000000,0.000000000,0.454730543,0.745269457
1.554575550,12.456456289,-2.979459695,0.980010449,0.594955638,1.850000000,0.000000000,0.453200382,0.746799618
1.640940858,12.502706117,-2.906520551,1.031842285,0.605979756,1.850000000,0.000000000,0.451315079,0.748684921
1.727306167,12.545079953,-2.831261751,1.084937414,0.624290445,1.850000000,0.000000000,0.449162730,0.750837270
1.813671475,12.583337274,-2.753833335,1.138521739,0.617259753,1.850000000,0.000000000,0.446886693,0.753113307
1.900036783,12.617420000,-2.674470101,1.195785679,0.709761883,1.850000000,0.000000000,0.444441614,0.755558386
1.986402092,12.646577971,-2.593176700,1.261601655,0.815702283,1.850000000,0.000000000,0.442522498,0.757477502
2.072767400,12.669947825,-2.510032765,1.328362324,0.731709484,1.850000000,0.000000000,0.441923180,0.758076820
2.159132708,12.688025713,-2.425574292,1.386781624,0.622113081,1.850000000,0.000000000,0.442019338,0.757980662
2.245498017,12.701543364,-2.340274003,1.441340802,0.642057057,1.850000000,0.000000000,0.441995647,0.758004353
2.331863325,12.710315965,-2.254352606,1.496559931,0.637482895,1.850000000,0.000000000,0.442000650,0.757999350
