side,index,s_m,x_m,y_m,width_from_center_m
left,0,0.000000000,11.144026117,-2.948082223,0.600000000
left,1,0.023944843,11.160329157,-2.947960017,0.600000000
left,2,0.047889687,11.174080711,-2.947609656,0.600000000
left,3,0.071834530,11.187824334,-2.947025834,0.600000000
left,4,0.095779374,11.201556060,-2.946208719,0.600000000
left,5,0.119724217,11.215271932,-2.945158547,0.600000000
left,6,0.143669061,11.228967993,-2.943875620,0.600000000
left,7,0.167613904,11.242640295,-2.942360308,0.600000000
left,8,0.191558748,11.256284894,-2.940613049,0.600000000
left,9,0.215503591,11.269897855,-2.938634346,0.600000000
left,10,0.239448434,11.283475255,-2.936424770,0.600000000
left,11,0.263393278,11.297013176,-2.933984958,0.600000000
left,12,0.287338121,11.310507715,-2.931315613,0.600000000
left,13,0.311282965,11.323954981,-2.928417505,0.600000000
left,14,0.335227808,11.337351097,-2.925291471,0.600000000
left,15,0.359172652,11.350692198,-2.921938410,0.600000000
left,16,0.383117495,11.363974438,-2.918359292,0.600000000
left,17,0.407062338,11.377193987,-2.914555146,0.600000000
left,18,0.431007182,11.390347033,-2.910527071,0.600000000
left,19,0.454952025,11.403429782,-2.906276228,0.600000000
left,20,0.478896869,11.416438462,-2.901803843,0.600000000
left,21,0.502841712,11.429369323,-2.897111206,0.600000000
left,22,0.526786556,11.442218634,-2.892199669,0.600000000
left,23,0.550731399,11.454982691,-2.887070649,0.600000000
left,24,0.574676243,11.467657813,-2.881725625,0.600000000
left,25,0.598621086,11.480240345,-2.876166138,0.600000000
left,26,0.622565929,11.492726658,-2.870393792,0.600000000
left,27,0.646510773,11.505113152,-2.864410252,0.600000000
left,28,0.670455616,11.517396255,-2.858217241,0.600000000
left,29,0.694400460,11.529572425,-2.851816548,0.600000000
left,30,0.718345303,11.541638151,-2.845210016,0.600000000
left,31,0.742290147,11.553589953,-2.838399552,0.600000000
left,32,0.766234990,11.565424385,-2.831387118,0.600000000
left,33,0.790179833,11.577138034,-2.824174739,0.600000000
left,34,0.814124677,11.588727522,-2.816764492,0.600000000
left,35,0.838069520,11.600189508,-2.809158516,0.600000000
left,36,0.862014364,11.611520686,-2.801359002,0.600000000
left,37,0.885959207,11.622717788,-2.793368202,0.600000000
left,38,0.909904051,11.633777586,-2.785188418,0.600000000
left,39,0.933848894,11.644696890,-2.776822009,0.600000000
left,40,0.957793738,11.655472552,-2.768271389,0.600000000
left,41,0.981738581,11.666101464,-2.759539023,0.600000000
left,42,1.005683424,11.676580562,-2.750627429,0.600000000
left,43,1.029628268,11.686906822,-2.741539176,0.600000000
left,44,1.053573111,11.697077269,-2.732276886,0.600000000
left,45,1.077517955,11.707088968,-2.722843230,0.600000000
left,46,1.101462798,11.716939033,-2.713240927,0.600000000
left,47,1.125407642,11.726624623,-2.703472747,0.600000000
left,48,1.149352485,11.736142946,-2.693541507,0.600000000
left,49,1.173297329,11.745491256,-2.683450070,0.600000000
left,50,1.197242172,11.754666858,-2.673201347,0.600000000
left,51,1.221187015,11.763667106,-2.662798293,0.600000000
left,52,1.245131859,11.772489405,-2.652243908,0.600000000
left,53,1.269076702,11.781131209,-2.641541235,0.600000000
left,54,1.293021546,11.789590029,-2.630693361,0.600000000
left,55,1.316966389,11.797863423,-2.619703414,0.600000000
left,56,1.340911233,11.805949007,-2.608574563,0.600000000
left,57,1.364856076,11.813844448,-2.597310016,0.600000000
left,58,1.388800919,11.821547471,-2.585913024,0.600000000
left,59,1.412745763,11.829055853,-2.574386871,0.600000000
left,60,1.436690606,11.836367430,-2.562734883,0.600000000
left,61,1.460635450,11.843480092,-2.550960418,0.600000000
left,62,1.484580293,11.850391790,-2.539066872,0.600000000
left,63,1.508525137,11.857100530,-2.527057675,0.600000000
left,64,1.532469980,11.863604377,-2.514936291,0.600000000
left,65,1.556414824,11.869901456,-2.502706213,0.600000000
left,66,1.580359667,11.875989951,-2.490370970,0.600000000
left,67,1.604304510,11.881868107,-2.477934118,0.600000000
left,68,1.628249354,11.887534227,-2.465399244,0.600000000
left,69,1.652194197,11.892986679,-2.452769962,0.600000000
left,70,1.676139041,11.898223889,-2.440049914,0.600000000
left,71,1.700083884,11.903244349,-2.427242768,0.600000000
left,72,1.724028728,11.908046609,-2.414352217,0.600000000
left,73,1.747973571,11.912629286,-2.401381979,0.600000000
left,74,1.771918415,11.916991057,-2.388335794,0.600000000
left,75,1.795863258,11.921130665,-2.375217424,0.600000000
left,76,1.819808101,11.925046917,-2.362030651,0.600000000
left,77,1.843752945,11.928738682,-2.348779279,0.600000000
left,78,1.867697788,11.932204896,-2.335467129,0.600000000
left,79,1.891642632,11.935444560,-2.322098038,0.600000000
left,80,1.915587475,11.938456740,-2.308675864,0.600000000
left,81,1.939532319,11.941240567,-2.295204475,0.600000000
left,82,1.963477162,11.943795237,-2.281687758,0.600000000
left,83,1.987422005,11.946120015,-2.268129609,0.600000000
left,84,2.011366849,11.948214230,-2.254533938,0.600000000
left,85,2.035311692,11.950077279,-2.240904667,0.600000000
left,86,2.059256536,11.951708623,-2.227245724,0.600000000
left,87,2.083201379,11.953107793,-2.213561049,0.600000000
left,88,2.107146223,11.954274384,-2.199854589,0.600000000
left,89,2.131091066,11.955208062,-2.186130295,0.600000000
left,90,2.155035910,11.955908555,-2.172392125,0.600000000
left,91,2.178980753,11.956375663,-2.158644042,0.600000000
left,92,2.202925596,11.956609251,-2.144890008,0.600000000
left,93,2.226870440,11.956609251,-2.131133992,0.600000000
left,94,2.250815283,11.956375663,-2.117379958,0.600000000
left,95,2.274760127,11.955908555,-2.103631875,0.600000000
left,96,2.298704970,11.955208062,-2.089893705,0.600000000
left,97,2.322649814,11.954274384,-2.076169411,0.600000000
left,98,2.346594657,11.953107793,-2.062462951,0.600000000
left,99,2.370539500,11.951708623,-2.048778276,0.600000000
left,100,2.394484344,11.950077279,-2.035119333,0.600000000
left,101,2.418429187,11.948214230,-2.021490062,0.600000000
left,102,2.442374031,11.946120015,-2.007894391,0.600000000
