side,index,s_m,x_m,y_m,width_from_center_m
right,0,0.000000000,11.149121156,-4.148071407,0.600000000
right,1,0.023944843,11.180706076,-4.147786996,0.600000000
right,2,0.047889687,11.214828673,-4.146917625,0.600000000
right,3,0.071834530,11.248931588,-4.145468951,0.600000000
right,4,0.095779374,11.283004986,-4.143441392,0.600000000
right,5,0.119724217,11.317039041,-4.140835533,0.600000000
right,6,0.143669061,11.351023940,-4.137652126,0.600000000
right,7,0.167613904,11.384949882,-4.133892088,0.600000000
right,8,0.191558748,11.418807085,-4.129556503,0.600000000
right,9,0.215503591,11.452585784,-4.124646623,0.600000000
right,10,0.239448434,11.486276239,-4.119163862,0.600000000
right,11,0.263393278,11.519868735,-4.113109802,0.600000000
right,12,0.287338121,11.553353585,-4.106486189,0.600000000
right,13,0.311282965,11.586721133,-4.099294932,0.600000000
right,14,0.335227808,11.619961757,-4.091538106,0.600000000
right,15,0.359172652,11.653065872,-4.083217947,0.600000000
right,16,0.383117495,11.686023930,-4.074336854,0.600000000
right,17,0.407062338,11.718826429,-4.064897389,0.600000000
right,18,0.431007182,11.751463909,-4.054902273,0.600000000
right,19,0.454952025,11.783926959,-4.044354389,0.600000000
right,20,0.478896869,11.816206216,-4.033256778,0.600000000
right,21,0.502841712,11.848292374,-4.021612641,0.600000000
right,22,0.526786556,11.880176179,-4.009425335,0.600000000
right,23,0.550731399,11.911848437,-3.996698375,0.600000000
right,24,0.574676243,11.943300015,-3.983435431,0.600000000
right,25,0.598621086,11.974521843,-3.969640327,0.600000000
right,26,0.622565929,12.005504918,-3.955317041,0.600000000
right,27,0.646510773,12.036240305,-3.940469705,0.600000000
right,28,0.670455616,12.066719142,-3.925102599,0.600000000
right,29,0.694400460,12.096932639,-3.909220154,0.600000000
right,30,0.718345303,12.126872083,-3.892826952,0.600000000
right,31,0.742290147,12.156528842,-3.875927718,0.600000000
right,32,0.766234990,12.185894363,-3.858527326,0.600000000
right,33,0.790179833,12.214960177,-3.840630794,0.600000000
