index,s_m,center_x_m,center_y_m,w_left_m,w_right_m,left_boundary_x_m,left_boundary_y_m,right_boundary_x_m,right_boundary_y_m
0,0.000000000,11.146573636,-3.548076815,0.600000000,0.600000000,11.144026117,-2.948082223,11.149121156,-4.148071407
1,0.023944843,11.170517617,-3.547873507,0.600000000,0.600000000,11.160329157,-2.947960017,11.180706076,-4.147786996
2,0.047889687,11.194454692,-3.547263641,0.600000000,0.600000000,11.174080711,-2.947609656,11.214828673,-4.146917625
3,0.071834530,11.218377961,-3.546247393,0.600000000,0.600000000,11.187824334,-2.947025834,11.248931588,-4.145468951
4,0.095779374,11.242280523,-3.544825056,0.600000000,0.600000000,11.201556060,-2.946208719,11.283004986,-4.143441392
5,0.119724217,11.266155487,-3.542997040,0.600000000,0.600000000,11.215271932,-2.945158547,11.317039041,-4.140835533
6,0.143669061,11.289995967,-3.540763873,0.600000000,0.600000000,11.228967993,-2.943875620,11.351023940,-4.137652126
7,0.167613904,11.313795088,-3.538126198,0.600000000,0.600000000,11.242640295,-2.942360308,11.384949882,-4.133892088
8,0.191558748,11.337545989,-3.535084776,0.600000000,0.600000000,11.256284894,-2.940613049,11.418807085,-4.129556503
9,0.215503591,11.361241820,-3.531640485,0.600000000,0.600000000,11.269897855,-2.938634346,11.452585784,-4.124646623
10,0.239448434,11.384875747,-3.527794316,0.600000000,0.600000000,11.283475255,-2.936424770,11.486276239,-4.119163862
11,0.263393278,11.408440955,-3.523547380,0.600000000,0.600000000,11.297013176,-2.933984958,11.519868735,-4.113109802
12,0.287338121,11.431930650,-3.518900901,0.600000000,0.600000000,11.310507715,-2.931315613,11.553353585,-4.106486189
13,0.311282965,11.455338057,-3.513856219,0.600000000,0.600000000,11.323954981,-2.928417505,11.586721133,-4.099294932
14,0.335227808,11.478656427,-3.508414788,0.600000000,0.600000000,11.337351097,-2.925291471,11.619961757,-4.091538106
15,0.359172652,11.501879035,-3.502578179,0.600000000,0.600000000,11.350692198,-2.921938410,11.653065872,-4.083217947
16,0.383117495,11.524999184,-3.496348073,0.600000000,0.600000000,11.363974438,-2.918359292,11.686023930,-4.074336854
17,0.407062338,11.548010208,-3.489726267,0.600000000,0.600000000,11.377193987,-2.914555146,11.718826429,-4.064897389
18,0.431007182,11.570905471,-3.482714672,0.600000000,0.600000000,11.390347033,-2.910527071,11.751463909,-4.054902273
19,0.454952025,11.593678370,-3.475315308,0.600000000,0.600000000,11.403429782,-2.906276228,11.783926959,-4.044354389
20,0.478896869,11.616322339,-3.467530311,0.600000000,0.600000000,11.416438462,-2.901803843,11.816206216,-4.033256778
21,0.502841712,11.638830848,-3.459361923,0.600000000,0.600000000,11.429369323,-2.897111206,11.848292374,-4.021612641
22,0.526786556,11.661197406,-3.450812502,0.600000000,0.600000000,11.442218634,-2.892199669,11.880176179,-4.009425335
23,0.550731399,11.683415564,-3.441884512,0.600000000,0.600000000,11.454982691,-2.887070649,11.911848437,-3.996698375
24,0.574676243,11.705478914,-3.432580528,0.600000000,0.600000000,11.467657813,-2.881725625,11.943300015,-3.983435431
25,0.598621086,11.727381094,-3.422903233,0.600000000,0.600000000,11.480240345,-2.876166138,11.974521843,-3.969640327
26,0.622565929,11.749115788,-3.412855417,0.600000000,0.600000000,11.492726658,-2.870393792,12.005504918,-3.955317041
27,0.646510773,11.770676729,-3.402439978,0.600000000,0.600000000,11.505113152,-2.864410252,12.036240305,-3.940469705
28,0.670455616,11.792057698,-3.391659920,0.600000000,0.600000000,11.517396255,-2.858217241,12.066719142,-3.925102599
29,0.694400460,11.813252532,-3.380518351,0.600000000,0.600000000,11.529572425,-2.851816548,12.096932639,-3.909220154
30,0.718345303,11.834255117,-3.369018484,0.600000000,0.600000000,11.541638151,-2.845210016,12.126872083,-3.892826952
31,0.742290147,11.855059397,-3.357163635,0.600000000,0.600000000,11.553589953,-2.838399552,12.156528842,-3.875927718
32,0.766234990,11.875659374,-3.344957222,0.600000000,0.600000000,11.565424385,-2.831387118,12.185894363,-3.858527326
