s_m,x_m,y_m,psi_rad,kappa_radpm,w_tr_right_m,w_tr_left_m,right_boundary_x_m,right_boundary_y_m,left_boundary_x_m,left_boundary_y_m
0.000000000,11.149765556,-3.579323111,0.014776523,0.357240105,0.600000000,0.600000000,11.152975708,-4.179314523,11.146555403,-2.979331699
0.082717363,11.232436370,-3.576879575,0.059084843,0.714753523,0.600000000,0.600000000,11.267885042,-4.175832199,11.196987699,-2.977926951
0.165434725,11.314818665,-3.569559610,0.118166764,0.714991758,0.600000000,0.600000000,11.385555034,-4.165375258,11.244082297,-2.973743962
0.248152088,11.396624921,-3.557387134,0.177254976,0.714906548,0.600000000,0.600000000,11.502421805,-4.147986001,11.290828036,-2.966788267
0.330869450,11.477569633,-3.540405212,0.236339816,0.714909588,0.600000000,0.600000000,11.618057095,-4.123726113,11.337082171,-2.957084311
0.413586813,11.557370304,-3.518673091,0.295424777,0.714909531,0.600000000,0.600000000,11.732058052,-4.092680226,11.382682554,-2.944665957
0.496304175,11.635748427,-3.492266616,0.354509728,0.714909314,0.600000000,0.600000000,11.844026800,-4.054956689,11.427470053,-2.929576542
0.579021538,11.712430462,-3.461277947,0.413594679,0.714909555,0.600000000,0.600000000,11.953572565,-4.010687162,11.471288360,-2.911868732
0.661738900,11.787148788,-3.425815235,0.472679636,0.714909438,0.600000000,0.600000000,12.060313030,-3.960026145,11.513984546,-2.891604325
0.744456263,11.859642636,-3.386002245,0.531764597,0.714909670,0.600000000,0.600000000,12.163875670,-3.903150444,11.555409601,-2.868854045
0.827173625,11.929659000,-3.341977924,0.590849555,0.714909354,0.600000000,0.600000000,12.263899048,-3.840258558,11.595418952,-2.843697290
0.909890988,11.996953524,-3.293895919,0.649934501,0.714909386,0.600000000,0.600000000,12.360034082,-3.771569980,11.633872966,-2.816221859
0.992608350,12.061291348,-3.241924038,0.709019456,0.714909590,0.600000000,0.600000000,12.451945259,-3.697324435,11.670637437,-2.786523641
1.075325713,12.122447932,-3.186243661,0.768104418,0.714909518,0.600000000,0.600000000,12.539311808,-3.617781039,11.705584057,-2.754706282
1.158043075,12.180209838,-3.127049114,0.827189368,0.714909325,0.600000000,0.600000000,12.621828817,-3.533217403,11.738590860,-2.720880827
1.240760438,12.234375478,-3.064546990,0.886274320,0.714909558,0.600000000,0.600000000,12.699208301,-3.443928652,11.769542654,-2.685165328
1.323477800,12.284755810,-2.998955419,0.945359276,0.714909420,0.600000000,0.600000000,12.771180206,-3.350226408,11.798331415,-2.647684430
1.406195163,12.331175009,-2.930503317,1.004444229,0.714909503,0.600000000,0.600000000,12.837493347,-3.252437691,11.824856672,-2.608568944
1.488912525,12.373471069,-2.859429585,1.063529187,0.714909528,0.600000000,0.600000000,12.897916289,-3.150903787,11.849025849,-2.567955382
1.571629888,12.411496376,-2.785982270,1.122614141,0.714909385,0.600000000,0.600000000,12.952238156,-3.045979052,11.870754596,-2.525985487
1.654347250,12.445118223,-2.710417704,1.181699093,0.714909499,0.600000000,0.600000000,13.000269366,-2.938029673,11.889967079,-2.482805736
1.737064613,12.474219267,-2.632999610,1.240784053,0.714909591,0.600000000,0.600000000,13.041842287,-2.827432395,11.906596248,-2.438566825
1.819781975,12.498697946,-2.553998177,1.299869009,0.714909388,0.600000000,0.600000000,13.076811828,-2.714573205,11.920584065,-2.393423149
1.902499338,12.518468829,-2.473689122,1.358953961,0.714909505,0.600000000,0.600000000,13.105055946,-2.599845983,11.931881711,-2.347532260
1.985216700,12.533462915,-2.392352725,1.418038911,0.714909314,0.600000000,0.600000000,13.126476069,-2.483651131,11.940449761,-2.301054319
2.067934063,12.543627875,-2.310272851,1.477123867,0.714909684,0.600000000,0.600000000,13.140997440,-2.366394169,11.946258310,-2.254151534
2.150651425,12.548928232,-2.227735960,1.536208830,0.714909462,0.600000000,0.600000000,13.148569379,-2.248484323,11.949287086,-2.206987596
2.233368788,12.549345488,-2.145030108,1.595293780,0.714909367,0.600000000,0.600000000,13.149165460,-2.130333105,11.949525517,-2.159727109
2.316086150,12.544878188,-2.062443939,1.654378730,0.714909470,0.600000000,0.600000000,13.142783602,-2.012352864,11.946972774,-2.112535012
2.398803513,12.535541922,-1.980265679,1.713463689,0.714909595,0.600000000,0.600000000,13.129446080,-1.894955352,11.941637765,-2.065576008
2.481520875,12.521369274,-1.898782134,1.772548650,0.714909508,0.600000000,0.600000000,13.109199439,-1.778550287,11.933539109,-2.019013982
2.564238238,12.502409705,-1.818277682,1.831633601,0.714909354,0.600000000,0.600000000,13.082114341,-1.663543926,11.922705070,-1.973011437
2.646955600,12.478729387,-1.739033283,1.890718547,0.714909374,0.600000000,0.600000000,13.048285315,-1.550337644,11.909173459,-1.927728924
2.729672963,12.450410964,-1.661325504,1.949803503,0.714909605,0.600000000,0.600000000,13.007830424,-1.439326529,11.892991503,-1.883324479
2.812390325,12.417553267,-1.585425544,2.008888468,0.714909608,0.600000000,0.600000000,12.960890857,-1.330898015,11.874215676,-1.839953073
2.895107688,12.380270968,-1.511598297,2.067973422,0.714909321,0.600000000,0.600000000,12.907630431,-1.225430520,11.852911506,-1.797766074
2.977825050,12.338694187,-1.440101421,2.127058371,0.714909477,0.600000000,0.600000000,12.848235029,-1.123292125,11.829153345,-1.756910716
3.060542413,12.292968025,-1.371184440,2.186143325,0.714909459,0.600000000,0.600000000,12.782911941,-1.024839295,11.803024109,-1.717529585
3.143259775,12.243252068,-1.305087876,2.245228283,0.714909575,0.600000000,0.600000000,12.711889144,-0.930415632,11.774614992,-1.679760120
3.225977138,12.189719825,-1.242042408,2.304313240,0.714909426,0.600000000,0.600000000,12.635414512,-0.840350678,11.744025138,-1.643734138
3.308694500,12.132558124,-1.182268065,2.363398191,0.714909437,0.600000000,0.600000000,12.553754939,-0.754958760,11.711361309,-1.609577370
3.391411863,12.071966461,-1.125973460,2.422483142,0.714909435,0.600000000,0.600000000,12.467195421,-0.674537896,11.676737502,-1.577409025
3.474129225,12.008156303,-1.073355062,2.481568098,0.714909530,0.600000000,0.600000000,12.376038052,-0.599368756,11.640274554,-1.547341369
3.556846588,11.941350346,-1.024596512,2.540653061,0.714909617,0.600000000,0.600000000,12.280600971,-0.529713683,11.602099721,-1.519479340
3.639563950,11.871781745,-0.979867977,2.599738013,0.714909284,0.600000000,0.600000000,12.181217255,-0.465815776,11.562346235,-1.493920177
3.722281313,11.799693296,-0.939325558,2.658822959,0.714909445,0.600000000,0.600000000,12.078233756,-0.407898037,11.521152836,-1.470753081
3.804998675,11.725336589,-0.903110752,2.717907918,0.714909611,0.600000000,0.600000000,11.972009889,-0.356162599,11.478663289,-1.450058906
3.887716038,11.648971129,-0.871349948,2.776992878,0.714909472,0.600000000,0.600000000,11.862916375,-0.310790021,11.435025883,-1.431909875
3.970433400,11.570863433,-0.844153992,2.836077834,0.714909506,0.600000000,0.600000000,11.751333952,-0.271938656,11.390392914,-1.416369329
4.053150763,11.491286099,-0.821617798,2.895162784,0.714909333,0.600000000,0.600000000,11.637652046,-0.239744093,11.344920152,-1.403491504
4.135868125,11.410516853,-0.803820018,2.954247736,0.714909559,0.600000000,0.600000000,11.522267416,-0.214318692,11.298766291,-1.393321344
4.218585488,11.328837581,-0.790822766,3.013331104,0.714870710,0.600000000,0.600000000,11.405582736,-0.195751188,11.252092425,-1.385894342
4.301302850,11.246533345,-0.782671138,3.072508365,0.717190103,0.600000000,0.600000000,11.287995995,-0.184105933,11.205070694,-1.381236344
4.384020213,11.163891339,-0.779409409,3.121341914,0.464300214,0.600000000,0.600000000,11.170942824,-0.179451864,11.156839854,-1.379366954
4.466737575,11.081173991,-0.779322031,3.141071058,0.012929628,0.600000000,0.600000000,11.081212008,-0.179321870,11.081135973,-1.379322191
4.549454938,10.998456632,-0.779323119,-3.141586121,-0.000160156,0.600000000,0.600000000,10.998456351,-0.179323120,10.998456912,-1.379323118
4.632172300,10.915739269,-0.779323111,3.141592605,0.000001027,0.600000000,0.600000000,10.915739253,-0.179323112,10.915739285,-1.379323111
4.714889663,10.833021907,-0.779323111,3.141592651,0.000000074,0.600000000,0.600000000,10.833021907,-0.179323111,10.833021906,-1.379323111
4.797607025,10.750304544,-0.779323111,-3.141592653,-0.000000003,0.600000000,0.600000000,10.750304544,-0.179323111,10.750304544,-1.379323111
4.880324388,10.667587182,-0.779323111,3.141592654,0.000000000,0.600000000,0.600000000,10.667587182,-0.179323111,10.667587182,-1.379323111
4.963041750,10.584869819,-0.779323111,-3.141592654,-0.000000000,0.600000000,0.600000000,10.584869819,-0.179323111,10.584869819,-1.379323111
5.045759113,10.502152457,-0.779323111,-3.141592654,-0.000000000,0.600000000,0.600000000,10.502152457,-0.179323111,10.502152457,-1.379323111
5.128476475,10.419435094,-0.779323111,3.141592654,-0.000000000,0.600000000,0.600000000,10.419435094,-0.179323111,10.419435094,-1.379323111
5.211193838,10.336717732,-0.779323111,3.141592654,0.000000000,0.600000000,0.600000000,10.336717732,-0.179323111,10.336717732,-1.379323111
5.293911200,10.254000369,-0.779323111,3.141592654,-0.000000000,0.600000000,0.600000000,10.254000369,-0.179323111,10.254000369,-1.379323111
5.376628563,10.171283007,-0.779323111,3.141592654,-0.000000000,0.600000000,0.600000000,10.171283007,-0.179323111,10.171283007,-1.379323111
5.459345925,10.088565644,-0.779323111,3.141592654,-0.000000000,0.600000000,0.600000000,10.088565644,-0.179323111,10.088565644,-1.379323111
5.542063288,10.005848282,-0.779323111,3.141592654,-0.000000000,0.600000000,0.600000000,10.005848282,-0.179323111,10.005848282,-1.379323111
5.624780650,9.923130919,-0.779323111,3.141592654,0.000000000,0.600000000,0.600000000,9.923130919,-0.179323111,9.923130919,-1.379323111
5.707498013,9.840413557,-0.779323111,3.141592654,-0.000000000,0.600000000,0.600000000,9.840413557,-0.179323111,9.840413557,-1.379323111
5.790215375,9.757696194,-0.779323111,3.141592654,-0.000000000,0.600000000,0.600000000,9.757696194,-0.179323111,9.757696194,-1.379323111
5.872932738,9.674978832,-0.779323111,3.141592654,0.000000000,0.600000000,0.600000000,9.674978832,-0.179323111,9.674978832,-1.379323111
5.955650100,9.592261469,-0.779323111,3.141592654,-0.000000000,0.600000000,0.600000000,9.592261469,-0.179323111,9.592261469,-1.379323111
6.038367463,9.509544107,-0.779323111,3.141592654,0.000000000,0.600000000,0.600000000,9.509544107,-0.179323111,9.509544107,-1.379323111
6.121084825,9.426826744,-0.779323111,3.141592654,-0.000000000,0.600000000,0.600000000,9.426826744,-0.179323111,9.426826744,-1.379323111
6.203802188,9.344109382,-0.779323111,3.141592654,0.000000000,0.600000000,0.600000000,9.344109382,-0.179323111,9.344109382,-1.379323111
6.286519550,9.261392019,-0.779323111,3.141592654,-0.000000000,0.600000000,0.600000000,9.261392019,-0.179323111,9.261392019,-1.379323111
6.369236913,9.178674657,-0.779323111,3.141592654,-0.000000000,0.600000000,0.600000000,9.178674657,-0.179323111,9.178674657,-1.379323111
6.451954275,9.095957294,-0.779323111,3.141592654,-0.000000000,0.600000000,0.600000000,9.095957294,-0.179323111,9.095957294,-1.379323111
6.534671638,9.013239932,-0.779323111,3.141592654,0.000000000,0.600000000,0.600000000,9.013239932,-0.179323111,9.013239932,-1.379323111
6.617389000,8.930522569,-0.779323111,3.141592654,-0.000000000,0.600000000,0.600000000,8.930522569,-0.179323111,8.930522569,-1.379323111
6.700106363,8.847805207,-0.779323111,3.141592654,0.000000000,0.600000000,0.600000000,8.847805207,-0.179323111,8.847805207,-1.379323111
6.782823725,8.765087844,-0.779323111,3.141592654,-0.000000000,0.600000000,0.600000000,8.765087844,-0.179323111,8.765087844,-1.379323111
6.865541088,8.682370482,-0.779323111,3.141592654,-0.000000000,0.600000000,0.600000000,8.682370482,-0.179323111,8.682370482,-1.379323111
6.948258450,8.599653119,-0.779323111,3.141592654,0.000000000,0.600000000,0.600000000,8.599653119,-0.179323111,8.599653119,-1.379323111
7.030975813,8.516935757,-0.779323111,3.141592654,-0.000000000,0.600000000,0.600000000,8.516935757,-0.179323111,8.516935757,-1.379323111
7.113693175,8.434218394,-0.779323111,3.141592654,0.000000000,0.600000000,0.600000000,8.434218394,-0.179323111,8.434218394,-1.379323111
7.196410538,8.351501032,-0.779323111,3.141592654,-0.000000000,0.600000000,0.600000000,8.351501032,-0.179323111,8.351501032,-1.379323111
7.279127900,8.268783669,-0.779323111,3.141592654,-0.000000000,0.600000000,0.600000000,8.268783669,-0.179323111,8.268783669,-1.379323111
7.361845263,8.186066307,-0.779323111,3.141592654,0.000000000,0.600000000,0.600000000,8.186066307,-0.179323111,8.186066307,-1.379323111
7.444562625,8.103348944,-0.779323111,3.141592654,-0.000000000,0.600000000,0.600000000,8.103348944,-0.179323111,8.103348944,-1.379323111
7.527279988,8.020631582,-0.779323111,3.141592654,-0.000000000,0.600000000,0.600000000,8.020631582,-0.179323111,8.020631582,-1.379323111
7.609997350,7.937914219,-0.779323111,3.141592654,-0.000000000,0.600000000,0.600000000,7.937914219,-0.179323111,7.937914219,-1.379323111
7.692714713,7.855196857,-0.779323111,3.141592654,-0.000000000,0.600000000,0.600000000,7.855196857,-0.179323111,7.855196857,-1.379323111
7.775432075,7.772479494,-0.779323111,3.141592654,-0.000000000,0.600000000,0.600000000,7.772479494,-0.179323111,7.772479494,-1.379323111
7.858149438,7.689762132,-0.779323111,3.141592654,0.000000000,0.600000000,0.600000000,7.689762132,-0.179323111,7.689762132,-1.379323111
7.940866800,7.607044769,-0.779323111,3.141592654,-0.000000000,0.600000000,0.600000000,7.607044769,-0.179323111,7.607044769,-1.379323111
8.023584163,7.524327407,-0.779323111,3.141592654,-0.000000000,0.600000000,0.600000000,7.524327407,-0.179323111,7.524327407,-1.379323111
8.106301525,7.441610044,-0.779323111,3.141592654,-0.000000000,0.600000000,0.600000000,7.441610044,-0.179323111,7.441610044,-1.379323111
