s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
0.000000000,11.151860330,-3.721076469,0.050088361,0.345995423,1.850000000,0.000000000,0.458231165,0.741768835
0.085975092,11.237655013,-3.715495471,0.093114287,0.655390538,1.850000000,0.000000000,0.461308213,0.738691787
0.171950183,11.322999152,-3.705094785,0.149504398,0.657233128,1.850000000,0.000000000,0.464430549,0.735569451
0.257925275,11.407621930,-3.689893637,0.205353347,0.642792770,1.850000000,0.000000000,0.467577027,0.732422973
0.343900367,11.491275029,-3.670044692,0.260188847,0.633594451,1.850000000,0.000000000,0.470661243,0.729338757
0.429875459,11.573724831,-3.645673098,0.314120005,0.621731752,1.850000000,0.000000000,0.473590916,0.726409084
0.515850550,11.654755222,-3.616933853,0.367063271,0.610566995,1.850000000,0.000000000,0.476274625,0.723725375
0.601825642,11.734167103,-3.583984894,0.419024231,0.598845805,1.850000000,0.000000000,0.478619024,0.721380976
0.687800734,11.811779021,-3.546995031,0.469971537,0.586947721,1.850000000,0.000000000,0.480530228,0.719469772
0.773775826,11.887427364,-3.506139396,0.519890529,0.574888019,1.850000000,0.000000000,0.481913536,0.718086464
0.859750917,11.960965859,-3.461598026,0.568748473,0.562228402,1.850000000,0.000000000,0.482675050,0.717324950
0.945726009,12.032267311,-3.413557085,0.616611181,0.551700955,1.850000000,0.000000000,0.482718564,0.717281436
1.031701101,12.101212089,-3.362190748,0.664188311,0.555578460,1.850000000,0.000000000,0.481966255,0.718033745
1.117676193,12.167626542,-3.307592744,0.712597088,0.571071496,1.850000000,0.000000000,0.480449583,0.719550417
1.203651284,12.231282975,-3.249802405,0.762301720,0.585770676,1.850000000,0.000000000,0.478288481,0.721711519
1.289626376,12.291951106,-3.188882420,0.813265029,0.600395224,1.850000000,0.000000000,0.475599157,0.724400843
1.375601468,12.349397062,-3.124914871,0.865467035,0.614632861,1.850000000,0.000000000,0.472498899,0.727501101
1.461576560,12.403386227,-3.058003955,0.918878560,0.628578927,1.850000000,0.000000000,0.469103240,0.730896760
1.547551651,12.453684626,-2.988275985,0.973474676,0.642237866,1.850000000,0.000000000,0.465526230,0.734473770
1.633526743,12.500060732,-2.915879887,1.029233234,0.655669806,1.850000000,0.000000000,0.461880049,0.738119951
1.719501835,12.542287051,-2.840987332,1.086135985,0.668905296,1.850000000,0.000000000,0.458275098,0.741724902
1.805476927,12.580141961,-2.763792870,1.144169990,0.682037738,1.850000000,0.000000000,0.454819893,0.745180107
1.891452018,12.613411141,-2.684513855,1.203331449,0.695186891,1.850000000,0.000000000,0.451621465,0.748378535
1.977427110,12.641888863,-2.603390274,1.263438950,0.704090962,1.850000000,0.000000000,0.448785977,0.751214023
2.063402202,12.665410424,-2.520693335,1.324052885,0.706997145,1.850000000,0.000000000,0.446387093,0.753612907
2.149377294,12.683868707,-2.436721521,1.384676392,0.704304394,1.850000000,0.000000000,0.444452978,0.755547022
2.235352385,12.697215510,-2.351786198,1.446266661,0.729541814,1.850000000,0.000000000,0.442969217,0.757030783
2.321327477,12.705216456,-2.266181563,1.509267698,0.737229007,1.850000000,0.000000000,0.442125688,0.757874312
2.407302569,12.707783453,-2.180246484,1.569259872,0.659318955,1.850000000,0.000000000,0.441981838,0.758018162
2.493277661,12.705480552,-2.094294782,1.626787759,0.679883555,1.850000000,0.000000000,0.441963088,0.758036912
2.579252752,12.698164576,-2.008634101,1.688238946,0.750670181,1.850000000,0.000000000,0.442221209,0.757778791
2.665227844,12.685343004,-1.923616717,1.751914539,0.731844926,1.850000000,0.000000000,0.443277847,0.756722153
2.751202936,12.667205544,-1.839574548,1.814325847,0.721133772,1.850000000,0.000000000,0.444990866,0.755009134
2.837178028,12.643899719,-1.756816652,1.876548926,0.727469408,1.850000000,0.000000000,0.447276997,0.752723003
2.923153119,12.615470794,-1.675675769,1.939103311,0.728861305,1.850000000,0.000000000,0.450176600,0.749823400
3.009128211,12.582020374,-1.596472876,2.001308499,0.719326313,1.850000000,0.000000000,0.453692048,0.746307952
3.095103303,12.543742495,-1.519486995,2.062276288,0.700011802,1.850000000,0.000000000,0.457743402,0.742256598
3.181078395,12.500906838,-1.444941117,2.121598595,0.680963839,1.850000000,0.000000000,0.462176967,0.737823033
3.267053486,12.453785723,-1.373027591,2.179272271,0.661582130,1.850000000,0.000000000,0.466839515,0.733160485
3.353028578,12.402655286,-1.303907362,2.235268673,0.641870259,1.850000000,0.000000000,0.471574198,0.728425802
3.439003670,12.347792594,-1.237710788,2.289555129,0.621731562,1.850000000,0.000000000,0.476220952,0.723779048
3.524978762,12.289473575,-1.174538250,2.342091105,0.601079383,1.850000000,0.000000000,0.480616232,0.719383768
3.610953853,12.227971019,-1.114460854,2.392832645,0.579921137,1.850000000,0.000000000,0.484592890,0.715407110
3.696928945,12.163552295,-1.057521747,2.441729307,0.558097419,1.850000000,0.000000000,0.487980848,0.712019152
3.782904037,12.096477900,-1.003736442,2.488753005,0.536291709,1.850000000,0.000000000,0.490606623,0.709393377
3.868879129,12.026997018,-0.953098634,2.533831074,0.512775299,1.850000000,0.000000000,0.492299240,0.707700760
