side,index,s_m,x_m,y_m,width_from_center_m
left,0,0.000000000,11.146555403,-2.979331699,0.600000000
left,1,0.029919361,11.166861357,-2.979140424,0.600000000
left,2,0.059838721,11.183949350,-2.978592445,0.600000000
left,3,0.089758082,11.201021732,-2.977679425,0.600000000
left,4,0.119677443,11.218070703,-2.976401782,0.600000000
left,5,0.149596803,11.235088478,-2.974760097,0.600000000
left,6,0.179516164,11.252067285,-2.972755122,0.600000000
left,7,0.209435524,11.268999368,-2.970387772,0.600000000
left,8,0.239354885,11.285876996,-2.967659128,0.600000000
left,9,0.269274246,11.302692459,-2.964570437,0.600000000
left,10,0.299193606,11.319438077,-2.961123108,0.600000000
left,11,0.329112967,11.336106202,-2.957318717,0.600000000
left,12,0.359032328,11.352689223,-2.953159002,0.600000000
left,13,0.388951688,11.369179564,-2.948645861,0.600000000
left,14,0.418871049,11.385569695,-2.943781356,0.600000000
left,15,0.448790410,11.401852130,-2.938567709,0.600000000
left,16,0.478709770,11.418019432,-2.933007301,0.600000000
left,17,0.508629131,11.434064218,-2.927102671,0.600000000
left,18,0.538548492,11.449979159,-2.920856517,0.600000000
left,19,0.568467852,11.465756988,-2.914271691,0.600000000
left,20,0.598387213,11.481390497,-2.907351200,0.600000000
left,21,0.628306573,11.496872547,-2.900098205,0.600000000
left,22,0.658225934,11.512196067,-2.892516020,0.600000000
left,23,0.688145295,11.527354058,-2.884608105,0.600000000
left,24,0.718064655,11.542339597,-2.876378074,0.600000000
left,25,0.747984016,11.557145841,-2.867829686,0.600000000
left,26,0.777903377,11.571766026,-2.858966843,0.600000000
left,27,0.807822737,11.586193477,-2.849793595,0.600000000
left,28,0.837742098,11.600421602,-2.840314131,0.600000000
left,29,0.867661459,11.614443905,-2.830532779,0.600000000
left,30,0.897580819,11.628253980,-2.820454009,0.600000000
left,31,0.927500180,11.641845521,-2.810082422,0.600000000
left,32,0.957419541,11.655212320,-2.799422755,0.600000000
left,33,0.987338901,11.668348272,-2.788479878,0.600000000
left,34,1.017258262,11.681247378,-2.777258787,0.600000000
left,35,1.047177622,11.693903746,-2.765764609,0.600000000
left,36,1.077096983,11.706311596,-2.754002591,0.600000000
left,37,1.107016344,11.718465261,-2.741978107,0.600000000
left,38,1.136935704,11.730359191,-2.729696648,0.600000000
left,39,1.166855065,11.741987953,-2.717163823,0.600000000
left,40,1.196774426,11.753346236,-2.704385357,0.600000000
left,41,1.226693786,11.764428853,-2.691367085,0.600000000
left,42,1.256613147,11.775230742,-2.678114953,0.600000000
left,43,1.286532508,11.785746969,-2.664635013,0.600000000
left,44,1.316451868,11.795972731,-2.650933423,0.600000000
left,45,1.346371229,11.805903359,-2.637016439,0.600000000
left,46,1.376290590,11.815534317,-2.622890419,0.600000000
left,47,1.406209950,11.824861206,-2.608561813,0.600000000
left,48,1.436129311,11.833879766,-2.594037166,0.600000000
left,49,1.466048671,11.842585879,-2.579323111,0.600000000
left,50,1.495968032,11.850975567,-2.564426369,0.600000000
left,51,1.525887393,11.859045001,-2.549353743,0.600000000
left,52,1.555806753,11.866790493,-2.534112118,0.600000000
left,53,1.585726114,11.874208507,-2.518708453,0.600000000
left,54,1.615645475,11.881295654,-2.503149786,0.600000000
left,55,1.645564835,11.888048698,-2.487443220,0.600000000
left,56,1.675484196,11.894464554,-2.471595931,0.600000000
left,57,1.705403557,11.900540293,-2.455615155,0.600000000
left,58,1.735322917,11.906273139,-2.439508191,0.600000000
left,59,1.765242278,11.911660474,-2.423282396,0.600000000
left,60,1.795161638,11.916699838,-2.406945180,0.600000000
left,61,1.825080999,11.921388929,-2.390504006,0.600000000
left,62,1.855000360,11.925725605,-2.373966381,0.600000000
left,63,1.884919720,11.929707885,-2.357339858,0.600000000
left,64,1.914839081,11.933333952,-2.340632033,0.600000000
left,65,1.944758442,11.936602149,-2.323850534,0.600000000
left,66,1.974677802,11.939510982,-2.307003027,0.600000000
left,67,2.004597163,11.942059125,-2.290097207,0.600000000
left,68,2.034516524,11.944245412,-2.273140793,0.600000000
left,69,2.064435884,11.946068846,-2.256141532,0.600000000
left,70,2.094355245,11.947528593,-2.239107186,0.600000000
left,71,2.124274606,11.948623988,-2.222045536,0.600000000
left,72,2.154193966,11.949354529,-2.204964373,0.600000000
left,73,2.184113327,11.949719882,-2.187871500,0.600000000
left,74,2.214032687,11.949719882,-2.170774722,0.600000000
left,75,2.243952048,11.949354529,-2.153681849,0.600000000
left,76,2.273871409,11.948623988,-2.136600687,0.600000000
left,77,2.303790769,11.947528593,-2.119539036,0.600000000
left,78,2.333710130,11.946068846,-2.102504690,0.600000000
left,79,2.363629491,11.944245412,-2.085505429,0.600000000
left,80,2.393548851,11.942059125,-2.068549016,0.600000000
left,81,2.423468212,11.939510982,-2.051643195,0.600000000
left,82,2.453387573,11.936602149,-2.034795688,0.600000000
left,83,2.483306933,11.933333952,-2.018014190,0.600000000
left,84,2.513226294,11.929707885,-2.001306364,0.600000000
left,85,2.543145655,11.925725605,-1.984679842,0.600000000
left,86,2.573065015,11.921388929,-1.968142217,0.600000000
left,87,2.602984376,11.916699838,-1.951701042,0.600000000
left,88,2.632903736,11.911660474,-1.935363826,0.600000000
left,89,2.662823097,11.906273139,-1.919138031,0.600000000
left,90,2.692742458,11.900540293,-1.903031068,0.600000000
left,91,2.722661818,11.894464554,-1.887050292,0.600000000
left,92,2.752581179,11.888048698,-1.871203002,0.600000000
left,93,2.782500540,11.881295654,-1.855496437,0.600000000
left,94,2.812419900,11.874208507,-1.839937769,0.600000000
left,95,2.842339261,11.866790493,-1.824534105,0.600000000
left,96,2.872258622,11.859045001,-1.809292479,0.600000000
left,97,2.902177982,11.850975567,-1.794219853,0.600000000
left,98,2.932097343,11.842585879,-1.779323111,0.600000000
left,99,2.962016704,11.833879766,-1.764609056,0.600000000
left,100,2.991936064,11.824861206,-1.750084409,0.600000000
left,101,3.021855425,11.815534317,-1.735755804,0.600000000
left,102,3.051774785,11.805903359,-1.721629783,0.600000000
left,103,3.081694146,11.795972731,-1.707712800,0.600000000
left,104,3.111613507,11.785746969,-1.694011209,0.600000000
left,105,3.141532867,11.775230742,-1.680531270,0.600000000
left,106,3.171452228,11.764428853,-1.667279138,0.600000000
left,107,3.201371589,11.753346236,-1.654260865,0.600000000
left,108,3.231290949,11.741987953,-1.641482399,0.600000000
left,109,3.261210310,11.730359191,-1.628949574,0.600000000
left,110,3.291129671,11.718465261,-1.616668115,0.600000000
left,111,3.321049031,11.706311596,-1.604643631,0.600000000
left,112,3.350968392,11.693903746,-1.592881614,0.600000000
left,113,3.380887752,11.681247378,-1.581387435,0.600000000
left,114,3.410807113,11.668348272,-1.570166344,0.600000000
left,115,3.440726474,11.655212320,-1.559223467,0.600000000
left,116,3.470645834,11.641845521,-1.548563801,0.600000000
left,117,3.500565195,11.628253980,-1.538192214,0.600000000
left,118,3.530484556,11.614443905,-1.528113443,0.600000000
left,119,3.560403916,11.600421602,-1.518332092,0.600000000
left,120,3.590323277,11.586193477,-1.508852627,0.600000000
left,121,3.620242638,11.571766026,-1.499679379,0.600000000
left,122,3.650161998,11.557145841,-1.490816537,0.600000000
left,123,3.680081359,11.542339597,-1.482268148,0.600000000
left,124,3.710000720,11.527354058,-1.474038117,0.600000000
left,125,3.739920080,11.512196067,-1.466130203,0.600000000
left,126,3.769839441,11.496872547,-1.458548017,0.600000000
left,127,3.799758801,11.481390497,-1.451295022,0.600000000
left,128,3.829678162,11.465756988,-1.444374531,0.600000000
left,129,3.859597523,11.449979159,-1.437789705,0.600000000
left,130,3.889516883,11.434064218,-1.431543551,0.600000000
left,131,3.919436244,11.418019432,-1.425638922,0.600000000
