side,index,s_m,x_m,y_m,width_from_center_m
right,0,0.000000000,11.152975708,-4.179314523,0.600000000
right,1,0.029919361,11.192505059,-4.178866393,0.600000000
right,2,0.059838721,11.235225043,-4.177496446,0.600000000
right,3,0.089758082,11.277905996,-4.175213897,0.600000000
right,4,0.119677443,11.320528424,-4.172019787,0.600000000
right,5,0.149596803,11.363072862,-4.167915576,0.600000000
right,6,0.179516164,11.405519879,-4.162903139,0.600000000
right,7,0.209435524,11.447850088,-4.156984764,0.600000000
right,8,0.239354885,11.490044156,-4.150163154,0.600000000
right,9,0.269274246,11.532082813,-4.142441425,0.600000000
right,10,0.299193606,11.573946858,-4.133823104,0.600000000
right,11,0.329112967,11.615617172,-4.124312127,0.600000000
right,12,0.359032328,11.657074723,-4.113912837,0.600000000
right,13,0.388951688,11.698300577,-4.102629985,0.600000000
right,14,0.418871049,11.739275904,-4.090468723,0.600000000
right,15,0.448790410,11.779981992,-4.077434605,0.600000000
right,16,0.478709770,11.820400247,-4.063533585,0.600000000
right,17,0.508629131,11.860512212,-4.048772011,0.600000000
right,18,0.538548492,11.900299565,-4.033156626,0.600000000
right,19,0.568467852,11.939744136,-4.016694560,0.600000000
right,20,0.598387213,11.978827909,-3.999393333,0.600000000
right,21,0.628306573,12.017533034,-3.981260847,0.600000000
right,22,0.658225934,12.055841833,-3.962305382,0.600000000
right,23,0.688145295,12.093736811,-3.942535597,0.600000000
right,24,0.718064655,12.131200660,-3.921960519,0.600000000
right,25,0.747984016,12.168216269,-3.900589547,0.600000000
right,26,0.777903377,12.204766733,-3.878432441,0.600000000
right,27,0.807822737,12.240835358,-3.855499321,0.600000000
right,28,0.837742098,12.276405672,-3.831800660,0.600000000
right,29,0.867661459,12.311461428,-3.807347282,0.600000000
right,30,0.897580819,12.345986617,-3.782150355,0.600000000
right,31,0.927500180,12.379965469,-3.756221387,0.600000000
right,32,0.957419541,12.413382466,-3.729572221,0.600000000
right,33,0.987338901,12.446222346,-3.702215028,0.600000000
right,34,1.017258262,12.478470111,-3.674162302,0.600000000
right,35,1.047177622,12.510111031,-3.645426855,0.600000000
right,36,1.077096983,12.541130657,-3.616021811,0.600000000
right,37,1.107016344,12.571514820,-3.585960601,0.600000000
right,38,1.136935704,12.601249645,-3.555256954,0.600000000
right,39,1.166855065,12.630321550,-3.523924892,0.600000000
right,40,1.196774426,12.658717257,-3.491978725,0.600000000
right,41,1.226693786,12.686423799,-3.459433045,0.600000000
right,42,1.256613147,12.713428520,-3.426302715,0.600000000
right,43,1.286532508,12.739719088,-3.392602866,0.600000000
right,44,1.316451868,12.765283495,-3.358348890,0.600000000
right,45,1.346371229,12.790110065,-3.323556431,0.600000000
right,46,1.376290590,12.814187459,-3.288241380,0.600000000
right,47,1.406209950,12.837504681,-3.252419865,0.600000000
right,48,1.436129311,12.860051082,-3.216108248,0.600000000
right,49,1.466048671,12.881816363,-3.179323111,0.600000000
right,50,1.495968032,12.902790585,-3.142081256,0.600000000
right,51,1.525887393,12.922964168,-3.104399692,0.600000000
right,52,1.555806753,12.942327899,-3.066295628,0.600000000
right,53,1.585726114,12.960872933,-3.027786467,0.600000000
right,54,1.615645475,12.978590802,-2.988889797,0.600000000
right,55,1.645564835,12.995473412,-2.949623384,0.600000000
right,56,1.675484196,13.011513053,-2.910005160,0.600000000
right,57,1.705403557,13.026702400,-2.870053220,0.600000000
right,58,1.735322917,13.041034515,-2.829785811,0.600000000
right,59,1.765242278,13.054502853,-2.789221324,0.600000000
right,60,1.795161638,13.067101262,-2.748378284,0.600000000
right,61,1.825080999,13.078823988,-2.707275347,0.600000000
right,62,1.855000360,13.089665678,-2.665931285,0.600000000
right,63,1.884919720,13.099621380,-2.624364979,0.600000000
right,64,1.914839081,13.108686547,-2.582595415,0.600000000
right,65,1.944758442,13.116857038,-2.540641668,0.600000000
right,66,1.974677802,13.124129122,-2.498522901,0.600000000
right,67,2.004597163,13.130499479,-2.456258350,0.600000000
right,68,2.034516524,13.135965197,-2.413867317,0.600000000
right,69,2.064435884,13.140523781,-2.371369163,0.600000000
right,70,2.094355245,13.144173150,-2.328783298,0.600000000
right,71,2.124274606,13.146911636,-2.286129172,0.600000000
right,72,2.154193966,13.148737988,-2.243426266,0.600000000
right,73,2.184113327,13.149651373,-2.200694083,0.600000000
right,74,2.214032687,13.149651373,-2.157952139,0.600000000
right,75,2.243952048,13.148737988,-2.115219956,0.600000000
right,76,2.273871409,13.146911636,-2.072517050,0.600000000
right,77,2.303790769,13.144173150,-2.029862924,0.600000000
right,78,2.333710130,13.140523781,-1.987277059,0.600000000
right,79,2.363629491,13.135965197,-1.944778906,0.600000000
right,80,2.393548851,13.130499479,-1.902387873,0.600000000
right,81,2.423468212,13.124129122,-1.860123321,0.600000000
right,82,2.453387573,13.116857038,-1.818004554,0.600000000
right,83,2.483306933,13.108686547,-1.776050808,0.600000000
right,84,2.513226294,13.099621380,-1.734281243,0.600000000
right,85,2.543145655,13.089665678,-1.692714938,0.600000000
right,86,2.573065015,13.078823988,-1.651370875,0.600000000
right,87,2.602984376,13.067101262,-1.610267938,0.600000000
right,88,2.632903736,13.054502853,-1.569424899,0.600000000
right,89,2.662823097,13.041034515,-1.528860411,0.600000000
