index,s_m,center_x_m,center_y_m,w_left_m,w_right_m,left_boundary_x_m,left_boundary_y_m,right_boundary_x_m,right_boundary_y_m
0,0.000000000,11.149765556,-3.579323111,0.600000000,0.600000000,11.146555403,-2.979331699,11.152975708,-4.179314523
1,0.029919361,11.179683208,-3.579003408,0.600000000,0.600000000,11.166861357,-2.979140424,11.192505059,-4.178866393
2,0.059838721,11.209587197,-3.578044445,0.600000000,0.600000000,11.183949350,-2.978592445,11.235225043,-4.177496446
3,0.089758082,11.239463864,-3.576446661,0.600000000,0.600000000,11.201021732,-2.977679425,11.277905996,-4.175213897
4,0.119677443,11.269299564,-3.574210784,0.600000000,0.600000000,11.218070703,-2.976401782,11.320528424,-4.172019787
5,0.149596803,11.299080670,-3.571337837,0.600000000,0.600000000,11.235088478,-2.974760097,11.363072862,-4.167915576
6,0.179516164,11.328793582,-3.567829130,0.600000000,0.600000000,11.252067285,-2.972755122,11.405519879,-4.162903139
7,0.209435524,11.358424728,-3.563686268,0.600000000,0.600000000,11.268999368,-2.970387772,11.447850088,-4.156984764
8,0.239354885,11.387960576,-3.558911141,0.600000000,0.600000000,11.285876996,-2.967659128,11.490044156,-4.150163154
9,0.269274246,11.417387636,-3.553505931,0.600000000,0.600000000,11.302692459,-2.964570437,11.532082813,-4.142441425
10,0.299193606,11.446692468,-3.547473106,0.600000000,0.600000000,11.319438077,-2.961123108,11.573946858,-4.133823104
11,0.329112967,11.475861687,-3.540815422,0.600000000,0.600000000,11.336106202,-2.957318717,11.615617172,-4.124312127
12,0.359032328,11.504881973,-3.533535919,0.600000000,0.600000000,11.352689223,-2.953159002,11.657074723,-4.113912837
13,0.388951688,11.533740071,-3.525637923,0.600000000,0.600000000,11.369179564,-2.948645861,11.698300577,-4.102629985
14,0.418871049,11.562422800,-3.517125039,0.600000000,0.600000000,11.385569695,-2.943781356,11.739275904,-4.090468723
15,0.448790410,11.590917061,-3.508001157,0.600000000,0.600000000,11.401852130,-2.938567709,11.779981992,-4.077434605
16,0.478709770,11.619209840,-3.498270443,0.600000000,0.600000000,11.418019432,-2.933007301,11.820400247,-4.063533585
17,0.508629131,11.647288215,-3.487937341,0.600000000,0.600000000,11.434064218,-2.927102671,11.860512212,-4.048772011
18,0.538548492,11.675139362,-3.477006571,0.600000000,0.600000000,11.449979159,-2.920856517,11.900299565,-4.033156626
19,0.568467852,11.702750562,-3.465483126,0.600000000,0.600000000,11.465756988,-2.914271691,11.939744136,-4.016694560
20,0.598387213,11.730109203,-3.453372267,0.600000000,0.600000000,11.481390497,-2.907351200,11.978827909,-3.999393333
21,0.628306573,11.757202790,-3.440679526,0.600000000,0.600000000,11.496872547,-2.900098205,12.017533034,-3.981260847
22,0.658225934,11.784018950,-3.427410701,0.600000000,0.600000000,11.512196067,-2.892516020,12.055841833,-3.962305382
23,0.688145295,11.810545434,-3.413571851,0.600000000,0.600000000,11.527354058,-2.884608105,12.093736811,-3.942535597
24,0.718064655,11.836770128,-3.399169297,0.600000000,0.600000000,11.542339597,-2.876378074,12.131200660,-3.921960519
25,0.747984016,11.862681055,-3.384209617,0.600000000,0.600000000,11.557145841,-2.867829686,12.168216269,-3.900589547
26,0.777903377,11.888266379,-3.368699642,0.600000000,0.600000000,11.571766026,-2.858966843,12.204766733,-3.878432441
27,0.807822737,11.913514417,-3.352646458,0.600000000,0.600000000,11.586193477,-2.849793595,12.240835358,-3.855499321
28,0.837742098,11.938413637,-3.336057395,0.600000000,0.600000000,11.600421602,-2.840314131,12.276405672,-3.831800660
29,0.867661459,11.962952666,-3.318940030,0.600000000,0.600000000,11.614443905,-2.830532779,12.311461428,-3.807347282
30,0.897580819,11.987120298,-3.301302182,0.600000000,0.600000000,11.628253980,-2.820454009,12.345986617,-3.782150355
31,0.927500180,12.010905495,-3.283151904,0.600000000,0.600000000,11.641845521,-2.810082422,12.379965469,-3.756221387
32,0.957419541,12.034297393,-3.264497488,0.600000000,0.600000000,11.655212320,-2.799422755,12.413382466,-3.729572221
33,0.987338901,12.057285309,-3.245347453,0.600000000,0.600000000,11.668348272,-2.788479878,12.446222346,-3.702215028
34,1.017258262,12.079858744,-3.225710544,0.600000000,0.600000000,11.681247378,-2.777258787,12.478470111,-3.674162302
35,1.047177622,12.102007388,-3.205595732,0.600000000,0.600000000,11.693903746,-2.765764609,12.510111031,-3.645426855
36,1.077096983,12.123721126,-3.185012201,0.600000000,0.600000000,11.706311596,-2.754002591,12.541130657,-3.616021811
37,1.107016344,12.144990041,-3.163969354,0.600000000,0.600000000,11.718465261,-2.741978107,12.571514820,-3.585960601
38,1.136935704,12.165804418,-3.142476801,0.600000000,0.600000000,11.730359191,-2.729696648,12.601249645,-3.555256954
39,1.166855065,12.186154751,-3.120544357,0.600000000,0.600000000,11.741987953,-2.717163823,12.630321550,-3.523924892
40,1.196774426,12.206031747,-3.098182041,0.600000000,0.600000000,11.753346236,-2.704385357,12.658717257,-3.491978725
41,1.226693786,12.225426326,-3.075400065,0.600000000,0.600000000,11.764428853,-2.691367085,12.686423799,-3.459433045
42,1.256613147,12.244329631,-3.052208834,0.600000000,0.600000000,11.775230742,-2.678114953,12.713428520,-3.426302715
43,1.286532508,12.262733028,-3.028618940,0.600000000,0.600000000,11.785746969,-2.664635013,12.739719088,-3.392602866
44,1.316451868,12.280628113,-3.004641156,0.600000000,0.600000000,11.795972731,-2.650933423,12.765283495,-3.358348890
45,1.346371229,12.298006712,-2.980286435,0.600000000,0.600000000,11.805903359,-2.637016439,12.790110065,-3.323556431
46,1.376290590,12.314860888,-2.955565899,0.600000000,0.600000000,11.815534317,-2.622890419,12.814187459,-3.288241380
47,1.406209950,12.331182943,-2.930490839,0.600000000,0.600000000,11.824861206,-2.608561813,12.837504681,-3.252419865
48,1.436129311,12.346965424,-2.905072707,0.600000000,0.600000000,11.833879766,-2.594037166,12.860051082,-3.216108248
49,1.466048671,12.362201121,-2.879323111,0.600000000,0.600000000,11.842585879,-2.579323111,12.881816363,-3.179323111
50,1.495968032,12.376883076,-2.853253813,0.600000000,0.600000000,11.850975567,-2.564426369,12.902790585,-3.142081256
51,1.525887393,12.391004584,-2.826876717,0.600000000,0.600000000,11.859045001,-2.549353743,12.922964168,-3.104399692
52,1.555806753,12.404559196,-2.800203873,0.600000000,0.600000000,11.866790493,-2.534112118,12.942327899,-3.066295628
53,1.585726114,12.417540720,-2.773247460,0.600000000,0.600000000,11.874208507,-2.518708453,12.960872933,-3.027786467
54,1.615645475,12.429943228,-2.746019791,0.600000000,0.600000000,11.881295654,-2.503149786,12.978590802,-2.988889797
55,1.645564835,12.441761055,-2.718533302,0.600000000,0.600000000,11.888048698,-2.487443220,12.995473412,-2.949623384
56,1.675484196,12.452988804,-2.690800545,0.600000000,0.600000000,11.894464554,-2.471595931,13.011513053,-2.910005160
57,1.705403557,12.463621346,-2.662834187,0.600000000,0.600000000,11.900540293,-2.455615155,13.026702400,-2.870053220
58,1.735322917,12.473653827,-2.634647001,0.600000000,0.600000000,11.906273139,-2.439508191,13.041034515,-2.829785811
59,1.765242278,12.483081663,-2.606251860,0.600000000,0.600000000,11.911660474,-2.423282396,13.054502853,-2.789221324
60,1.795161638,12.491900550,-2.577661732,0.600000000,0.600000000,11.916699838,-2.406945180,13.067101262,-2.748378284
61,1.825080999,12.500106458,-2.548889676,0.600000000,0.600000000,11.921388929,-2.390504006,13.078823988,-2.707275347
62,1.855000360,12.507695641,-2.519948833,0.600000000,0.600000000,11.925725605,-2.373966381,13.089665678,-2.665931285
63,1.884919720,12.514664633,-2.490852419,0.600000000,0.600000000,11.929707885,-2.357339858,13.099621380,-2.624364979
64,1.914839081,12.521010249,-2.461613724,0.600000000,0.600000000,11.933333952,-2.340632033,13.108686547,-2.582595415
